Key_0_0,Soil_Type27,Wilderness_Area1,Aspect,Horizontal_Distance_To_Hydrology,Key_1_2
k222321,0,0,335.0,30.0,k381922
k133472,0,1,106.0,258.0,k70144
k306314,0,0,320.0,268.0,k346520
k222057,0,0,46.0,297.0,k250979
k375403,0,0,60.0,127.0,k396647
k235488,0,1,333.0,120.0,k188262
k290635,0,1,347.0,127.0,k280934
k282417,0,1,76.0,684.0,k88933
k86469,0,0,34.0,67.0,k418576
k81172,0,1,45.0,234.0,k218693
k331116,0,0,308.0,180.0,k174350
k31367,0,1,86.0,124.0,k219755
k196908,0,0,218.0,331.0,k356363
k101528,0,0,331.0,30.0,k189165
k39499,0,1,237.0,488.0,k292553
k327660,0,1,6.0,484.0,k281487
k248452,0,0,39.0,190.0,k26174
k81651,0,1,289.0,120.0,k282692
k267897,0,1,117.0,108.0,k184230
k368061,0,1,96.0,124.0,k368140
k320951,0,1,217.0,516.0,k286728
k303047,0,0,251.0,124.0,k209866
k276381,0,1,165.0,242.0,k31903
k404285,0,1,107.0,162.0,k411501
k322634,0,1,65.0,408.0,k392875
k349519,0,0,75.0,150.0,k396419
k159041,0,0,185.0,306.0,k346499
k170207,0,0,195.0,433.0,k63293
k101761,0,1,164.0,450.0,k92899
k144333,0,1,105.0,360.0,k160328
k215892,0,1,112.0,270.0,k36657
k377084,0,0,3.0,218.0,k358182
k410932,0,0,115.0,495.0,k92410
k386323,0,1,180.0,30.0,k304059
k320912,0,0,124.0,190.0,k247224
k133140,0,1,49.0,90.0,k344922
k42824,0,1,59.0,607.0,k269003
k28437,0,1,340.0,190.0,k116385
k359551,0,1,105.0,421.0,k374310
k300619,0,1,201.0,60.0,k287423
k241702,0,0,175.0,484.0,k419473
k36251,0,0,165.0,192.0,k36222
k366116,0,1,329.0,30.0,k279599
k187352,0,1,166.0,351.0,k382881
k349004,0,0,355.0,95.0,k167187
k147000,0,1,22.0,0.0,k261929
k281367,0,1,84.0,417.0,k241135
k50239,0,1,32.0,95.0,k325612
k82220,0,1,349.0,30.0,k36904
k138569,0,1,68.0,60.0,k377258
k133820,0,0,75.0,371.0,k308246
k309316,0,1,76.0,300.0,k7929
k352132,0,1,142.0,573.0,k282482
k253479,0,1,233.0,306.0,k217686
k305448,0,1,66.0,443.0,k184291
k45174,0,0,93.0,492.0,k147363
k60132,0,0,210.0,242.0,k23332
k66132,0,1,68.0,0.0,k118089
k301241,0,1,11.0,268.0,k31675
k138162,0,1,0.0,108.0,k36656
k50217,0,0,95.0,228.0,k370877
k290977,0,0,340.0,234.0,k291603
k225755,0,1,336.0,90.0,k32742
k368232,0,0,282.0,420.0,k96303
k82311,0,1,120.0,134.0,k390175
k2327,0,1,180.0,649.0,k248843
k191760,0,0,343.0,849.0,k275742
k367294,0,1,323.0,0.0,k302628
k417546,0,1,7.0,420.0,k91403
k405803,0,0,349.0,247.0,k214282
k174148,0,0,195.0,391.0,k82478
k168526,0,0,339.0,371.0,k160393
k71861,0,1,37.0,313.0,k266105
k145142,0,1,59.0,443.0,k144860
k186485,0,0,59.0,658.0,k248451
k40081,0,1,165.0,90.0,k27890
k176899,0,1,278.0,335.0,k175636
k258513,0,0,122.0,351.0,k199912
k95215,0,0,154.0,309.0,k14940
k420626,0,0,7.0,216.0,k35236
k351728,0,1,51.0,256.0,k11475
k158767,0,0,132.0,201.0,k60337
k16984,0,0,13.0,175.0,k364267
k393332,0,1,106.0,120.0,k195552
k17305,0,0,129.0,127.0,k415404
k251925,0,1,149.0,190.0,k52211
k366100,0,1,130.0,457.0,k83266
k130767,0,1,321.0,390.0,k380490
k192514,0,1,181.0,95.0,k273897
k220008,0,0,135.0,0.0,k335256
k157642,0,1,350.0,108.0,k97628
k227210,0,0,50.0,60.0,k222327
k148079,0,1,132.0,390.0,k380269
k93812,0,0,22.0,175.0,k212294
k198988,0,0,110.0,258.0,k19283
k114727,0,0,228.0,127.0,k335836
k265966,0,1,142.0,67.0,k106168
k56273,0,1,77.0,150.0,k19110
k230031,0,1,359.0,268.0,k241110
k209489,0,1,179.0,454.0,k256829
k34533,0,1,286.0,120.0,k339536
k417786,0,0,184.0,437.0,k36017
k103668,0,0,43.0,323.0,k140954
k160528,0,1,127.0,90.0,k17563
k230610,0,0,67.0,295.0,k327597
k272498,0,0,17.0,228.0,k361162
k378825,0,1,169.0,510.0,k34733
k157641,0,1,323.0,390.0,k314588
k87375,0,1,24.0,0.0,k268312
k18567,0,0,236.0,228.0,k211894
k1473,0,0,29.0,371.0,k370144
k21563,0,1,340.0,228.0,k177625
k155118,0,1,329.0,272.0,k39948
k199565,0,1,90.0,240.0,k354470
k152790,0,0,293.0,313.0,k16908
k295190,0,0,61.0,60.0,k395058
k190537,0,1,63.0,42.0,k315956
k182375,0,1,45.0,300.0,k83684
k378087,0,0,327.0,108.0,k393880
k293339,0,0,162.0,376.0,k392869
k300985,0,1,270.0,402.0,k324655
k98646,0,0,147.0,85.0,k365346
k15280,0,1,197.0,511.0,k294511
k103859,0,0,221.0,153.0,k421299
k63137,0,1,225.0,616.0,k332067
k382614,0,1,212.0,408.0,k213327
k125740,0,1,175.0,268.0,k289235
k167733,0,0,279.0,513.0,k154731
k237598,0,0,248.0,120.0,k194312
k32696,0,1,3.0,404.0,k33777
k157715,0,1,301.0,600.0,k360261
k363908,0,1,264.0,467.0,k260759
k125799,0,1,66.0,268.0,k362107
k391358,0,0,221.0,127.0,k20250
k414907,0,0,210.0,711.0,k30557
k150739,0,0,60.0,201.0,k156401
k416128,0,1,50.0,30.0,k217521
k359121,0,0,272.0,210.0,k125901
k416421,0,1,180.0,424.0,k367994
k101425,0,0,14.0,297.0,k92008
k372649,0,0,39.0,552.0,k391167
k72660,0,1,278.0,190.0,k48436
k249656,0,0,316.0,201.0,k251736
k135961,0,1,138.0,60.0,k226726
k354736,0,1,97.0,531.0,k331727
k419361,0,1,11.0,497.0,k70783
k382191,0,1,57.0,400.0,k290078
k336325,0,1,71.0,247.0,k253607
k221653,0,0,58.0,361.0,k73244
k345669,0,1,80.0,371.0,k413746
k97971,0,1,7.0,300.0,k112263
k294597,0,0,317.0,313.0,k131425
k217076,0,0,151.0,201.0,k192953
k27191,0,0,19.0,108.0,k140473
k142394,0,1,134.0,90.0,k56241
k28695,0,0,339.0,85.0,k181757
k45786,0,1,32.0,190.0,k272791
k240707,0,0,220.0,624.0,k405290
k125186,0,0,147.0,330.0,k196509
k267763,0,0,358.0,85.0,k11340
k111903,0,1,22.0,376.0,k96258
k59332,0,1,116.0,90.0,k184391
k5881,0,1,133.0,60.0,k287472
k151361,0,0,85.0,42.0,k420664
k356538,0,1,70.0,180.0,k337682
k82473,0,1,51.0,162.0,k135258
k244239,0,0,47.0,350.0,k122394
k287508,0,1,148.0,60.0,k120393
k34462,0,1,263.0,150.0,k203331
k278243,0,1,284.0,319.0,k228201
k46352,0,0,204.0,488.0,k76110
k396669,0,1,127.0,124.0,k138513
k279844,0,0,159.0,778.0,k418554
k136347,0,1,11.0,210.0,k93204
k179636,0,0,138.0,300.0,k107110
k412772,0,1,10.0,382.0,k410213
k33454,0,0,320.0,700.0,k208100
k9567,0,0,255.0,210.0,k153071
k71562,0,1,97.0,216.0,k411173
k348057,0,0,286.0,485.0,k1942
k32319,0,0,285.0,60.0,k124285
k369607,0,1,137.0,67.0,k9222
k18941,0,0,202.0,297.0,k370092
k85438,0,1,120.0,67.0,k163555
k378749,0,1,34.0,0.0,k29738
k336871,0,1,124.0,0.0,k62993
k334240,0,1,131.0,134.0,k54760
k366212,0,1,133.0,42.0,k54559
k343657,0,0,134.0,210.0,k89691
k55912,0,0,169.0,470.0,k377185
k168575,0,1,300.0,228.0,k149492
k404260,0,1,0.0,342.0,k108578
k317331,0,0,61.0,323.0,k172351
k65696,0,1,151.0,134.0,k119675
k96765,0,0,178.0,242.0,k422010
k406145,0,0,301.0,85.0,k229150
k63885,0,0,165.0,60.0,k208254
k338708,0,0,64.0,255.0,k385041
k50523,0,0,119.0,511.0,k63819
k287369,0,0,50.0,180.0,k1401
k368536,0,0,99.0,192.0,k152599
k47970,0,0,333.0,323.0,k249955
k371096,0,1,126.0,216.0,k123126
k29309,0,1,2.0,95.0,k386347
k99485,0,0,216.0,350.0,k114137
k60805,0,1,135.0,258.0,k194874
k405474,0,1,40.0,242.0,k48262
k304191,0,1,298.0,376.0,k80678
k65341,0,0,43.0,60.0,k13167
k118884,0,1,120.0,67.0,k252336
k292937,0,1,11.0,108.0,k395765
k78619,0,1,27.0,361.0,k316875
k283923,0,1,171.0,408.0,k301066
k4030,0,1,31.0,395.0,k257008
k398433,0,0,204.0,90.0,k205908
k255034,0,1,284.0,351.0,k127215
k64692,0,1,29.0,90.0,k321955
k21168,0,1,32.0,216.0,k24892
k95175,0,0,297.0,175.0,k382710
k305682,0,0,88.0,67.0,k91591
k329316,0,0,345.0,285.0,k168005
k190280,0,0,134.0,330.0,k366
k114849,0,0,119.0,60.0,k179066
k201094,0,1,95.0,655.0,k35072
k277507,0,0,237.0,391.0,k330117
k135236,0,0,148.0,361.0,k51746
k15086,0,1,79.0,212.0,k15403
k351373,0,0,261.0,108.0,k210406
k288476,0,1,32.0,108.0,k54797
k144633,0,0,28.0,201.0,k158593
k88329,0,1,329.0,560.0,k87222
k316538,0,1,45.0,201.0,k20047
k346739,0,0,162.0,30.0,k385659
k108869,0,1,329.0,218.0,k65706
k143966,0,1,72.0,85.0,k421649
k289203,0,1,29.0,212.0,k109425
k421737,0,1,342.0,649.0,k206070
k28706,0,0,219.0,120.0,k56896
k284642,0,1,25.0,30.0,k81390
k284748,0,1,346.0,256.0,k187286
k136862,0,1,65.0,323.0,k178116
k41312,0,0,65.0,285.0,k360334
k295401,0,0,359.0,400.0,k387579
k419707,0,0,65.0,658.0,k131822
k57133,0,0,193.0,0.0,k32611
k340698,0,1,4.0,212.0,k393965
k184070,0,1,211.0,108.0,k407807
k404672,0,1,298.0,85.0,k119409
k52464,0,1,42.0,210.0,k282260
k293095,0,0,35.0,0.0,k220040
k415265,0,0,17.0,108.0,k175784
k277133,0,0,125.0,153.0,k420479
k287867,0,1,135.0,335.0,k380776
k79223,0,1,160.0,67.0,k70357
k157890,0,1,87.0,247.0,k113338
k3408,0,1,47.0,360.0,k210472
k240050,0,1,60.0,120.0,k349976
k87554,0,0,18.0,532.0,k196470
k374035,0,1,248.0,313.0,k374853
k226543,0,1,265.0,170.0,k49233
k272123,0,0,22.0,201.0,k165815
k51067,0,0,283.0,400.0,k169527
k121433,0,1,18.0,297.0,k172047
k347849,0,1,43.0,162.0,k178735
k130927,0,1,329.0,474.0,k191129
k252555,0,1,274.0,335.0,k103365
k264919,0,1,16.0,30.0,k340942
k322556,0,0,2.0,335.0,k355214
k158955,0,1,39.0,90.0,k107133
k316556,0,0,98.0,481.0,k206575
k161291,0,1,145.0,67.0,k197848
k174576,0,0,102.0,883.0,k25585
k381759,0,1,111.0,95.0,k312187
k129518,0,0,153.0,67.0,k403180
k57512,0,0,29.0,404.0,k119191
k145338,0,1,95.0,384.0,k224327
k243885,0,0,340.0,85.0,k167074
k145263,0,1,132.0,270.0,k151130
k321410,0,0,184.0,792.0,k209882
k138411,0,1,12.0,67.0,k13225
k266668,0,1,271.0,450.0,k67375
k187773,0,0,29.0,67.0,k237941
k235607,0,1,31.0,418.0,k341696
k40762,0,0,45.0,295.0,k374063
k384543,0,1,32.0,67.0,k283555
k88985,0,1,148.0,153.0,k172670
k7157,0,0,100.0,400.0,k89960
k380461,0,1,131.0,573.0,k204869
k1586,0,1,72.0,30.0,k12808
k187884,0,1,92.0,182.0,k201405
k145872,0,0,142.0,42.0,k267505
k213652,0,0,268.0,120.0,k167413
k407810,0,0,203.0,150.0,k191729
k221805,0,0,281.0,339.0,k27519
k48812,0,0,39.0,30.0,k142147
k376831,0,0,110.0,212.0,k124149
k18208,0,1,337.0,30.0,k413983
k223338,0,0,61.0,127.0,k408561
k21767,0,1,81.0,362.0,k191625
k184745,0,0,206.0,234.0,k209203
k8611,0,0,172.0,150.0,k106575
k115842,0,0,90.0,693.0,k257384
k95084,0,0,125.0,382.0,k99247
k54244,0,0,154.0,134.0,k125543
k168865,0,1,45.0,470.0,k291741
k180094,0,1,0.0,170.0,k268592
k249228,0,1,67.0,391.0,k118233
k46336,0,0,293.0,658.0,k277085
k157382,0,0,87.0,365.0,k292307
k71272,0,0,88.0,430.0,k338851
k374792,0,0,323.0,541.0,k391151
k117885,0,0,26.0,616.0,k161897
k2480,0,0,208.0,192.0,k324169
k154837,0,0,318.0,390.0,k417947
k312951,0,1,21.0,0.0,k134325
k31147,0,1,27.0,242.0,k191308
k386964,0,0,203.0,395.0,k26257
k390659,0,1,158.0,162.0,k33691
k292053,0,1,9.0,212.0,k164229
k242152,0,1,17.0,379.0,k70922
k81280,0,1,126.0,67.0,k106486
k17584,0,1,68.0,210.0,k230036
k53554,0,0,37.0,67.0,k368533
k82116,0,0,227.0,85.0,k364344
k137453,0,1,2.0,0.0,k230701
k177372,0,0,130.0,85.0,k14482
k35499,0,0,240.0,268.0,k34851
k145011,0,0,1.0,607.0,k307531
k93117,0,0,268.0,376.0,k76245
k229124,0,0,32.0,350.0,k221863
k203912,0,1,144.0,30.0,k11411
k225692,0,0,359.0,757.0,k294779
k241031,0,0,200.0,573.0,k125365
k180965,0,1,86.0,124.0,k105181
k385179,0,0,86.0,120.0,k309134
k388022,0,1,296.0,60.0,k190744
k278294,0,0,76.0,0.0,k118396
k152344,0,0,52.0,0.0,k190948
k384297,0,0,182.0,930.0,k149738
k182677,0,0,50.0,150.0,k229931
k311343,0,0,56.0,212.0,k187853
k368436,0,0,179.0,175.0,k269742
k27448,0,0,103.0,42.0,k288354
k246186,0,1,119.0,190.0,k149924
k281136,0,0,247.0,170.0,k66483
k219747,0,0,142.0,162.0,k331852
k206712,0,0,254.0,365.0,k232100
k113302,0,0,263.0,242.0,k20113
k89341,0,1,49.0,0.0,k399233
k139954,0,0,318.0,124.0,k389015
k419806,0,1,92.0,277.0,k251272
k313144,0,1,324.0,150.0,k106978
k75164,0,0,58.0,228.0,k423237
k282936,0,0,0.0,592.0,k421052
k30096,0,1,313.0,30.0,k92281
k201286,0,1,33.0,30.0,k348777
k205064,0,0,60.0,150.0,k170289
k196988,0,1,12.0,417.0,k206786
k47082,0,0,25.0,30.0,k94641
k295638,0,0,34.0,420.0,k286393
k116706,0,1,353.0,60.0,k131075
k22522,0,0,50.0,0.0,k137456
k405603,0,1,56.0,277.0,k189201
k391716,0,0,310.0,240.0,k50098
k357339,0,1,185.0,339.0,k96966
k270830,0,0,57.0,85.0,k178006
k208860,0,0,153.0,390.0,k201717
k234546,0,1,307.0,309.0,k79365
k305286,0,1,302.0,382.0,k312893
k88087,0,1,324.0,256.0,k359817
k298121,0,0,208.0,210.0,k125987
k140691,0,0,322.0,190.0,k171854
k288546,0,1,65.0,67.0,k211938
k362206,0,1,65.0,134.0,k33831
k394317,0,0,154.0,60.0,k296909
k263475,0,0,276.0,420.0,k354010
k9407,0,1,71.0,134.0,k211011
k325404,0,1,333.0,134.0,k116752
k416675,0,1,338.0,150.0,k260452
k302813,0,0,246.0,67.0,k374689
k5052,0,0,41.0,42.0,k107936
k113479,0,1,342.0,120.0,k413346
k250723,0,0,72.0,631.0,k196916
k327213,0,1,353.0,212.0,k90280
k375970,0,1,54.0,242.0,k323297
k278414,0,0,207.0,939.0,k347157
k159103,0,0,337.0,360.0,k80115
k182479,0,1,102.0,300.0,k23169
k362679,0,1,159.0,210.0,k222357
k118684,0,1,165.0,30.0,k11507
k107308,0,0,356.0,365.0,k165063
k298742,0,1,256.0,319.0,k366515
k359630,0,1,24.0,30.0,k95669
k294336,0,1,354.0,30.0,k35518
k370419,0,0,11.0,124.0,k401355
k231242,0,0,121.0,67.0,k5844
k191038,0,1,39.0,0.0,k242936
k329274,0,0,265.0,42.0,k259723
k104656,0,1,351.0,192.0,k193293
k183419,0,0,286.0,255.0,k89478
k314750,0,1,53.0,384.0,k422487
k70793,0,0,219.0,247.0,k176458
k214479,0,1,93.0,270.0,k208793
k287801,0,0,50.0,1233.0,k267695
k375681,0,0,98.0,190.0,k329550
k220045,0,1,15.0,319.0,k377186
k416478,0,1,357.0,124.0,k311396
k364226,0,1,73.0,242.0,k6130
k10160,0,1,50.0,0.0,k229080
k328513,0,1,338.0,277.0,k420619
k239285,0,0,2.0,457.0,k184594
k2234,0,1,10.0,30.0,k20881
k355982,0,0,225.0,426.0,k275281
k158020,0,0,331.0,210.0,k173998
k162494,0,0,356.0,466.0,k306542
k333303,0,1,142.0,210.0,k111284
k125299,0,1,208.0,0.0,k43269
k244627,0,1,150.0,124.0,k5131
k387553,0,1,259.0,360.0,k219710
k357673,0,0,130.0,228.0,k184110
k10979,0,0,281.0,474.0,k179933
k13395,0,1,190.0,391.0,k115687
k104601,0,1,48.0,242.0,k306154
k212547,0,0,112.0,789.0,k91659
k384087,0,1,97.0,95.0,k249290
k399619,0,1,119.0,470.0,k409504
k308568,0,0,316.0,330.0,k221568
k367699,0,0,209.0,242.0,k56679
k258667,0,1,78.0,480.0,k102255
k309271,0,0,179.0,446.0,k162576
k232810,0,1,21.0,124.0,k405756
k93691,0,0,13.0,390.0,k201672
k143589,0,0,59.0,212.0,k355734
k130122,0,0,17.0,120.0,k255310
k352004,0,1,135.0,162.0,k294642
k26891,0,0,315.0,150.0,k282869
k273139,0,1,356.0,134.0,k303636
k97012,0,0,36.0,351.0,k324668
k111981,0,0,151.0,180.0,k177331
k39828,0,1,27.0,283.0,k63821
k290830,0,0,260.0,270.0,k274472
k69883,0,0,335.0,351.0,k421705
k61606,0,1,88.0,67.0,k231480
k348163,0,0,249.0,616.0,k112802
k326693,0,0,257.0,759.0,k129941
k153458,0,1,37.0,255.0,k220830
k400426,0,0,191.0,721.0,k160134
k81167,0,1,30.0,42.0,k187120
k14851,0,1,34.0,150.0,k372611
k340783,0,0,47.0,150.0,k245981
k39545,0,1,351.0,0.0,k251809
k29091,0,1,84.0,180.0,k133813
k227831,0,1,71.0,127.0,k270011
k365430,0,0,331.0,391.0,k282438
k52323,0,1,91.0,190.0,k72490
k215591,0,0,232.0,726.0,k421063
k8786,0,0,240.0,190.0,k59764
k122204,0,0,158.0,534.0,k233680
k104819,0,1,117.0,30.0,k197354
k319627,0,0,2.0,560.0,k98462
k115332,0,0,0.0,443.0,k49588
k94534,0,0,28.0,150.0,k49371
k190136,0,0,145.0,210.0,k34105
k295556,0,0,319.0,319.0,k17119
k405993,0,0,194.0,240.0,k162902
k304758,0,0,160.0,120.0,k276315
k347641,0,0,222.0,301.0,k111409
k121840,0,1,102.0,42.0,k49287
k32437,0,1,101.0,510.0,k69927
k71541,0,0,79.0,30.0,k331154
k186139,0,1,12.0,95.0,k208278
k106629,0,0,69.0,330.0,k205116
k194264,0,1,72.0,120.0,k124519
k15812,0,0,70.0,67.0,k221012
k269222,0,0,83.0,684.0,k35603
k217922,0,1,338.0,30.0,k214201
k180471,0,0,31.0,722.0,k286699
k42330,0,0,262.0,60.0,k6531
k11693,0,1,133.0,95.0,k338278
k365282,0,1,299.0,228.0,k243614
k397133,0,1,91.0,90.0,k355454
k63605,0,0,6.0,301.0,k95630
k231967,0,0,56.0,153.0,k251661
k21270,0,0,146.0,277.0,k385564
k252786,0,0,273.0,228.0,k319355
k103795,0,0,145.0,134.0,k411034
k243055,0,1,341.0,0.0,k379580
k39447,0,1,292.0,379.0,k71407
k206901,0,1,124.0,67.0,k123499
k351113,0,1,10.0,134.0,k35281
k319760,0,0,135.0,150.0,k364329
k165609,0,0,352.0,175.0,k111083
k233514,0,1,14.0,190.0,k421170
k325007,0,0,345.0,150.0,k402223
k107644,0,0,43.0,210.0,k295518
k58361,0,1,106.0,201.0,k23602
k326172,0,1,81.0,255.0,k83693
k242028,0,0,44.0,124.0,k57351
k227243,0,0,258.0,258.0,k277035
k58292,0,0,231.0,301.0,k382242
k67676,0,0,44.0,108.0,k173371
k409595,0,1,151.0,295.0,k49799
k72268,0,1,288.0,361.0,k111708
k361470,0,1,103.0,90.0,k1592
k82020,0,1,343.0,0.0,k11565
k423097,0,0,232.0,395.0,k33932
k303299,0,0,205.0,420.0,k338684
k101469,0,1,88.0,256.0,k107037
k285608,0,1,36.0,192.0,k97290
k328164,0,0,353.0,170.0,k239417
k388908,0,1,343.0,30.0,k105232
k212137,0,1,130.0,60.0,k253649
k326495,0,1,18.0,212.0,k320853
k401794,0,1,327.0,150.0,k325149
k189232,0,1,49.0,216.0,k50490
k296483,0,0,330.0,150.0,k110385
k89680,0,1,0.0,60.0,k129236
k325510,0,1,145.0,30.0,k264857
k379994,0,1,11.0,150.0,k240054
k82026,0,0,241.0,484.0,k350037
k244331,0,1,260.0,170.0,k87893
k136072,0,1,87.0,912.0,k243984
k18590,0,1,340.0,192.0,k352919
k353544,0,0,356.0,902.0,k204658
k403378,0,1,118.0,150.0,k202874
k380974,0,0,251.0,295.0,k115916
k203715,0,1,63.0,153.0,k252806
k362130,0,1,133.0,216.0,k355043
k105395,0,0,25.0,283.0,k172803
k371681,0,0,119.0,170.0,k168113
k318835,0,1,82.0,67.0,k9127
k107566,0,1,225.0,450.0,k239955
k391521,0,0,115.0,624.0,k284542
k108226,0,1,35.0,242.0,k83107
k95588,0,0,244.0,85.0,k418695
k70938,0,0,75.0,0.0,k244310
k174117,0,1,225.0,335.0,k19396
k74044,0,0,221.0,212.0,k220129
k230658,0,1,34.0,306.0,k13059
k399844,0,1,355.0,95.0,k293367
k282440,0,1,52.0,192.0,k252450
k241837,0,1,105.0,153.0,k298862
k145806,0,0,23.0,960.0,k470
k307555,0,1,119.0,60.0,k367106
k346485,0,0,163.0,713.0,k62750
k218554,0,0,192.0,350.0,k331530
k111811,0,1,198.0,350.0,k74395
k105034,0,1,27.0,108.0,k2624
k118674,0,0,242.0,566.0,k310637
k142925,0,0,345.0,300.0,k340665
k406698,0,0,353.0,376.0,k190996
k241881,0,1,181.0,182.0,k311766
k64406,0,0,314.0,120.0,k231590
k402172,0,1,84.0,162.0,k252831
k383031,0,1,38.0,576.0,k336501
k128222,0,1,241.0,272.0,k180576
k374901,0,0,118.0,124.0,k177381
k343955,0,1,180.0,0.0,k28811
k277187,0,1,83.0,134.0,k296163
k131845,0,0,207.0,212.0,k204606
k4790,0,1,163.0,607.0,k40892
k268468,0,0,81.0,658.0,k403635
k165804,0,0,233.0,247.0,k108616
k34717,0,0,5.0,240.0,k345695
k396907,0,1,67.0,335.0,k235462
k69940,0,0,32.0,335.0,k377021
k249287,0,0,282.0,335.0,k362206
k222763,0,0,54.0,150.0,k313165
k199296,0,1,70.0,319.0,k155872
k311319,0,0,164.0,300.0,k304377
k152261,0,0,272.0,60.0,k178539
k350578,0,0,243.0,134.0,k262678
k247963,0,1,86.0,579.0,k11468
k137134,0,1,108.0,153.0,k47642
k128312,0,1,36.0,190.0,k167733
k203274,0,0,158.0,767.0,k416691
k86098,0,1,150.0,376.0,k213788
k256854,0,0,51.0,295.0,k335218
k397492,0,1,226.0,402.0,k290355
k113929,0,0,318.0,162.0,k419221
k351368,0,1,291.0,256.0,k85876
k345325,0,1,334.0,0.0,k171087
k378780,0,0,155.0,309.0,k249010
k132117,0,1,134.0,108.0,k310879
k186132,0,0,111.0,60.0,k205401
k78792,0,0,96.0,201.0,k363459
k381813,0,1,155.0,30.0,k5182
k204288,0,0,41.0,417.0,k4127
k280852,0,0,21.0,295.0,k308844
k188114,0,1,335.0,67.0,k15270
k348140,0,1,96.0,612.0,k365289
k274434,0,0,214.0,1006.0,k223616
k393896,0,1,352.0,268.0,k125848
k248943,0,1,0.0,351.0,k260855
k17231,0,1,87.0,124.0,k274442
k366075,0,1,64.0,216.0,k169084
k290002,0,1,140.0,0.0,k201684
k208097,0,1,239.0,418.0,k95955
k385100,0,0,52.0,42.0,k181610
k174400,0,0,25.0,234.0,k4786
k8335,0,0,28.0,306.0,k212184
k192552,0,0,156.0,258.0,k407919
k31576,0,1,45.0,376.0,k357472
k90381,0,1,151.0,300.0,k207190
k369049,0,1,100.0,335.0,k246169
k135474,0,0,355.0,497.0,k312344
k331005,0,0,292.0,95.0,k206623
k251502,0,0,294.0,124.0,k60765
k131885,0,1,94.0,495.0,k273295
k246200,0,0,345.0,319.0,k369526
k93172,0,0,83.0,497.0,k18778
k137700,0,1,270.0,342.0,k422369
k209474,0,0,86.0,127.0,k8671
k113343,0,0,19.0,484.0,k62728
k59905,0,0,156.0,570.0,k86657
k324226,0,1,124.0,708.0,k242340
k111288,0,1,135.0,95.0,k388023
k243847,0,1,110.0,134.0,k258422
k402429,0,0,213.0,170.0,k258681
k54621,0,0,65.0,212.0,k22104
k132592,0,1,44.0,268.0,k157140
k333944,0,0,73.0,0.0,k397494
k15604,0,1,83.0,430.0,k141598
k105465,0,0,27.0,67.0,k305126
k106562,0,0,90.0,30.0,k403676
k282830,0,1,163.0,256.0,k329973
k50979,0,1,70.0,134.0,k146573
k318373,0,1,139.0,90.0,k379235
k341131,0,0,350.0,30.0,k412883
k262773,0,1,30.0,0.0,k354213
k20067,0,0,224.0,330.0,k384947
k252894,0,1,151.0,95.0,k209025
k28656,0,0,165.0,408.0,k27643
k301590,0,0,80.0,524.0,k143273
k230808,0,1,90.0,301.0,k231264
k102634,0,0,111.0,309.0,k119494
k403646,0,0,72.0,342.0,k44142
k349895,0,1,81.0,655.0,k403876
k174558,0,1,97.0,255.0,k347905
k313803,0,0,293.0,90.0,k347958
k382639,0,1,106.0,510.0,k130193
k391193,0,1,38.0,90.0,k212551
k326807,0,0,346.0,277.0,k343926
k23393,0,0,32.0,255.0,k404813
k377300,0,1,101.0,339.0,k329771
k10172,0,0,184.0,335.0,k192760
