Key_0_0,Soil_Type31,Soil_Type16,Soil_Type17,Wilderness_Area3,Key_1_3
k351728,0,0,0,0,k21943
k158767,0,0,0,1,k177311
k16984,1,0,0,1,k70796
k393332,0,0,0,0,k263497
k17305,0,0,0,1,k187966
k251925,0,0,0,0,k140552
k366100,0,0,0,0,k390099
k130767,0,0,0,0,k370411
k192514,0,0,0,0,k191174
k220008,0,0,0,1,k84002
k157642,0,0,0,0,k39168
k227210,1,0,0,1,k66135
k148079,0,0,0,0,k4358
k93812,0,0,0,1,k165711
k198988,0,0,0,1,k332201
k114727,0,0,0,1,k195463
k265966,0,0,0,0,k386759
k56273,0,0,0,0,k117046
k230031,0,0,0,0,k142117
k209489,0,0,0,0,k80
k34533,0,0,0,0,k336512
k417786,0,0,0,1,k353970
k103668,0,0,0,1,k353723
k160528,0,0,0,0,k354719
k230610,0,0,0,1,k209573
k272498,0,0,0,1,k387743
k378825,0,0,0,0,k65856
k157641,0,0,0,0,k326872
k87375,0,0,0,0,k198851
k18567,1,0,0,1,k130628
k1473,0,0,0,1,k53507
k21563,0,0,0,0,k413588
k155118,0,0,0,0,k338219
k199565,0,0,0,0,k420959
k152790,1,0,0,1,k309861
k295190,0,0,0,1,k146766
k190537,0,0,0,0,k12249
k182375,0,0,0,0,k56847
k378087,0,0,0,1,k166960
k293339,0,0,0,0,k208631
k300985,0,0,0,0,k375186
k98646,0,0,0,1,k97409
k15280,0,0,0,0,k393974
k103859,0,0,0,1,k310474
k63137,0,0,0,0,k375802
k382614,0,0,0,0,k332943
k125740,0,0,0,0,k306552
k167733,0,0,0,1,k297352
k237598,0,0,0,1,k78289
k32696,0,0,0,0,k106603
k157715,0,0,0,0,k182401
k363908,0,0,0,0,k22638
k125799,0,0,0,0,k344117
k391358,0,0,0,1,k50398
k414907,0,0,0,1,k300943
k150739,0,0,0,1,k79219
k416128,0,0,0,0,k61192
k359121,0,0,0,0,k288428
k416421,0,0,0,0,k35880
k101425,0,0,0,1,k342109
k372649,0,0,0,1,k389068
k72660,0,0,0,0,k212779
k249656,0,0,0,1,k55118
k135961,0,0,0,0,k283149
k354736,0,0,0,0,k219594
k419361,0,0,0,0,k223820
k382191,0,0,0,0,k218661
k336325,0,0,0,0,k98626
k221653,0,0,0,1,k371528
k345669,0,0,0,0,k198303
k97971,0,0,0,0,k128610
k294597,0,0,0,1,k419012
k217076,0,0,0,1,k252604
k27191,0,0,0,1,k58886
k142394,0,0,0,0,k368957
k28695,0,0,0,1,k327532
k45786,0,0,0,0,k196581
k240707,0,0,0,1,k361272
k125186,0,0,0,1,k185731
k267763,1,0,0,1,k323377
k111903,0,0,0,0,k351577
k59332,0,0,0,0,k9250
k5881,0,0,0,0,k214450
k151361,0,0,0,1,k342294
k356538,0,0,0,0,k94378
k82473,0,0,0,0,k211348
k244239,1,0,0,1,k337543
k287508,0,0,0,0,k237463
k34462,0,0,0,0,k402624
k278243,0,0,0,0,k118515
k46352,0,0,0,1,k255785
k396669,0,0,0,0,k55171
k279844,0,0,0,1,k169384
k136347,0,0,0,0,k114661
k179636,0,0,0,1,k335196
k412772,0,0,0,0,k302821
k33454,0,0,0,1,k4998
k9567,0,0,0,1,k261516
k71562,0,0,0,0,k217462
k348057,1,0,0,1,k178274
k32319,0,0,0,1,k313213
k369607,0,0,0,0,k303808
k18941,0,0,0,1,k207248
k85438,0,0,0,0,k229158
k378749,0,0,0,0,k70398
k336871,0,0,0,0,k283909
k334240,0,0,0,0,k273678
k366212,0,1,0,0,k114530
k343657,0,0,0,1,k261746
k55912,0,0,0,1,k239527
k168575,0,0,0,0,k213670
k404260,0,0,0,0,k194578
k317331,0,0,0,1,k61269
k65696,0,0,0,0,k111533
k96765,0,0,0,1,k186207
k406145,0,0,0,1,k412808
k63885,0,0,0,1,k22199
k338708,1,0,0,1,k349321
k50523,0,0,0,1,k352544
k287369,0,0,0,1,k122921
k368536,0,0,0,1,k407015
k47970,0,0,0,1,k9231
k371096,0,0,0,0,k379447
k29309,0,0,0,0,k213691
k99485,0,0,0,1,k176636
k60805,0,0,0,0,k304834
k405474,0,0,0,0,k54037
k304191,0,0,0,0,k269208
k65341,0,0,0,1,k70282
k118884,0,0,0,0,k414776
k292937,0,0,0,0,k154429
k78619,0,0,0,0,k339744
k283923,0,0,0,0,k79667
k4030,0,0,0,0,k150158
k398433,0,0,0,1,k191629
k255034,0,0,0,0,k329627
k64692,0,0,0,0,k417668
k21168,0,0,0,0,k53782
k95175,0,0,0,1,k253047
k305682,0,0,0,1,k363357
k329316,0,0,0,0,k261484
k190280,0,0,0,1,k111731
k114849,0,0,0,1,k164083
k201094,0,0,0,0,k39012
k277507,0,0,0,1,k361953
k135236,1,0,0,1,k366538
k15086,0,0,0,0,k108011
k351373,0,0,0,1,k96326
k288476,0,0,0,0,k246483
k144633,1,0,0,1,k55733
k88329,0,0,0,0,k110556
k316538,0,0,0,0,k164046
k346739,0,0,0,1,k232825
k108869,0,0,0,0,k226131
k143966,0,0,0,0,k365949
k289203,0,0,0,0,k414898
k421737,0,0,0,0,k112416
k28706,0,0,0,1,k66200
k284642,0,0,0,0,k58905
k284748,0,0,0,0,k239944
k136862,0,0,0,0,k50962
k41312,0,0,0,1,k365187
k295401,0,0,0,1,k129661
k419707,0,0,0,1,k28658
k57133,0,0,0,1,k263674
k340698,0,0,0,0,k410254
k184070,0,1,0,0,k31288
k404672,0,0,0,0,k247599
k52464,0,0,0,0,k24902
k293095,1,0,0,1,k96417
k415265,0,0,0,1,k42703
k277133,0,0,0,1,k122957
k287867,0,0,0,0,k177112
k79223,0,0,0,0,k187226
k157890,0,0,0,0,k311601
k3408,0,0,0,0,k353247
k240050,0,0,0,0,k197787
k87554,0,0,0,1,k119093
k374035,0,0,0,0,k180485
k226543,0,0,0,0,k162897
k272123,0,0,0,1,k241842
k51067,1,0,0,1,k39547
k121433,0,0,0,0,k343849
k347849,0,0,0,0,k286472
k130927,0,0,0,0,k22183
k252555,0,0,0,0,k417725
k264919,0,0,0,0,k54950
k322556,0,0,0,1,k312357
k158955,0,0,0,0,k36668
k316556,0,0,0,1,k4405
k161291,0,0,0,0,k401387
k174576,0,0,0,1,k214793
k381759,0,0,0,0,k332552
k129518,0,0,0,1,k120405
k57512,0,0,0,1,k375113
k145338,0,0,0,0,k281092
k243885,1,0,0,1,k44494
k145263,0,0,0,0,k290988
k321410,0,0,0,1,k177955
k138411,0,0,0,0,k47982
k266668,0,0,0,0,k263531
k187773,1,0,0,1,k280330
k235607,0,0,0,0,k242710
k40762,0,0,0,1,k33741
k384543,0,0,0,0,k416533
k88985,0,0,0,0,k74434
k7157,0,0,0,1,k100892
k380461,0,0,0,0,k199132
k1586,0,0,0,0,k191016
k187884,0,0,0,0,k372423
k145872,0,0,0,1,k411303
k213652,0,0,0,1,k266397
k407810,0,0,0,1,k212262
k221805,1,0,0,1,k385655
k48812,0,0,0,1,k383612
k376831,1,0,0,1,k62178
k18208,0,0,0,0,k342872
k223338,0,0,0,1,k227910
k21767,0,0,0,0,k80211
k184745,0,0,0,1,k397095
k8611,0,0,0,1,k283484
k115842,0,0,0,1,k416554
k95084,0,0,0,0,k154387
k54244,0,0,0,1,k124134
k168865,0,0,0,0,k218774
k180094,0,0,0,0,k351453
k249228,0,0,0,0,k59091
k46336,0,0,0,0,k298579
k157382,0,0,0,1,k51080
k71272,0,0,0,1,k171778
k374792,0,0,0,1,k378035
k117885,0,0,0,1,k355505
k2480,0,0,0,1,k152538
k154837,0,0,0,1,k409348
k312951,0,0,0,0,k317250
k31147,0,0,0,0,k195375
k386964,0,0,0,1,k374391
k390659,0,0,0,0,k326116
k292053,0,0,0,0,k188891
k242152,0,0,0,0,k350976
k81280,0,0,0,0,k216410
k17584,0,0,0,0,k9551
k53554,0,0,0,1,k332383
k82116,0,0,0,1,k95133
k137453,0,0,0,0,k27769
k177372,0,0,0,0,k115494
k35499,0,0,0,1,k38254
k145011,0,0,0,1,k50934
k93117,0,0,0,1,k215707
k229124,1,0,0,1,k64674
k203912,0,0,0,0,k326157
k225692,0,0,0,1,k35826
k241031,0,0,0,1,k65249
k180965,0,0,0,0,k388784
k385179,0,0,0,1,k240198
k388022,0,0,0,0,k240515
k278294,0,0,0,1,k328577
k152344,0,0,0,1,k228080
k384297,0,0,0,1,k111297
k182677,0,0,0,1,k260083
k311343,0,0,0,1,k229031
k368436,0,0,0,1,k83567
k27448,0,0,0,1,k105992
k246186,0,0,0,0,k248808
k281136,0,0,0,0,k287457
k219747,0,0,0,1,k115847
k206712,0,0,0,1,k140146
k113302,0,0,0,1,k9024
k89341,0,0,0,0,k166034
k139954,0,0,0,0,k103458
k419806,0,0,0,0,k334559
k313144,0,0,0,0,k65554
k75164,0,0,0,1,k208488
k282936,0,0,0,1,k187625
k30096,0,0,0,0,k2028
k201286,0,0,0,0,k14908
k205064,0,0,0,1,k67981
k196988,0,0,0,0,k213681
k47082,0,0,0,1,k115030
k295638,0,0,0,1,k367736
k116706,0,0,0,0,k154473
k22522,0,0,0,1,k344528
k405603,0,0,0,0,k96857
k391716,0,0,0,0,k33121
k357339,0,0,0,0,k175149
k270830,0,0,0,1,k195506
k208860,0,0,0,1,k139653
k234546,0,0,0,0,k94952
k305286,0,0,0,0,k386048
k88087,0,0,0,0,k5562
k298121,0,0,0,1,k207116
k140691,0,0,0,0,k119476
k288546,0,0,0,0,k149597
k362206,0,0,0,0,k319394
k394317,0,0,0,1,k362939
k263475,0,0,0,1,k246681
k9407,0,0,0,0,k80317
k325404,0,0,0,0,k267525
k416675,0,0,0,0,k364164
k302813,0,0,0,1,k27561
k5052,0,0,0,1,k81576
k113479,0,0,0,0,k330828
k250723,0,0,0,1,k166667
k327213,0,0,0,0,k184757
k375970,0,0,0,0,k163319
k278414,0,0,0,1,k325865
k159103,0,0,0,0,k186083
k182479,0,0,0,0,k67684
k362679,0,0,0,0,k412074
k118684,0,0,0,0,k219630
k107308,0,0,0,1,k103275
k298742,0,0,0,0,k226409
k359630,0,1,0,0,k164830
k294336,0,0,0,0,k22417
k370419,0,0,0,1,k173247
k231242,0,0,0,1,k78271
k191038,0,0,0,0,k313647
k329274,0,0,0,1,k347395
k104656,0,0,0,0,k48299
k183419,0,0,0,1,k278955
k314750,0,0,0,0,k175362
k70793,0,0,0,1,k300729
k214479,0,0,0,0,k312447
k287801,0,0,0,1,k148048
k375681,0,0,0,0,k67123
k220045,0,0,0,0,k87341
k416478,0,0,0,0,k22249
k364226,0,0,0,0,k329805
k10160,0,0,0,0,k400683
k328513,0,0,0,0,k92176
k239285,0,0,0,1,k265790
k2234,0,1,0,0,k336003
k355982,0,0,0,1,k192678
k158020,0,0,0,1,k290674
k162494,0,0,0,1,k11060
k333303,0,0,0,0,k213861
k125299,0,0,0,0,k303896
k244627,0,0,0,0,k130286
k387553,0,0,0,0,k208577
k357673,0,0,0,0,k170741
k10979,0,0,0,1,k355737
k13395,0,0,0,0,k206350
k104601,0,0,0,0,k362000
k212547,0,0,0,1,k379481
k384087,0,0,0,0,k244048
k399619,0,0,0,0,k129466
k308568,0,0,0,1,k149191
k367699,0,0,0,1,k290056
k258667,0,0,0,0,k373951
k309271,0,0,0,1,k304444
k232810,0,0,0,0,k198929
k93691,1,0,0,1,k318084
k143589,0,0,0,1,k1947
k130122,0,0,0,1,k9361
k352004,0,0,0,0,k279268
k26891,0,0,0,1,k257464
k273139,0,0,0,0,k115885
k97012,0,0,0,1,k274282
k111981,0,0,0,1,k137121
k39828,0,0,0,0,k211010
k290830,0,0,0,1,k249835
k69883,0,0,0,1,k91609
k61606,0,0,0,0,k155102
k348163,0,0,0,1,k45968
k326693,0,0,0,1,k310243
k153458,0,0,0,0,k177926
k400426,0,0,0,1,k126610
k81167,0,0,0,0,k19471
k14851,0,0,0,0,k355975
k340783,0,0,0,1,k121513
k39545,0,0,0,0,k24450
k29091,0,0,0,0,k330622
k227831,0,0,0,0,k231191
k365430,0,0,0,1,k160467
k52323,0,0,0,0,k271833
k215591,0,0,0,1,k308857
k8786,0,0,0,1,k172493
k122204,0,0,0,1,k103839
k104819,0,0,0,0,k189892
k319627,1,0,0,1,k261841
k115332,0,0,0,1,k75112
k94534,0,0,0,1,k21958
k190136,0,0,0,1,k393881
k295556,0,0,0,1,k311609
k405993,0,0,0,1,k351295
k304758,0,0,0,1,k54718
k347641,0,0,0,1,k73537
k121840,0,0,0,0,k328904
k32437,0,0,0,0,k32396
k71541,0,0,0,1,k355295
k186139,0,0,0,0,k156723
k106629,0,0,0,1,k294091
k194264,0,0,0,0,k393285
k15812,0,0,0,1,k70194
k269222,0,0,0,1,k295582
k217922,0,0,0,0,k415461
k180471,0,0,0,1,k397184
k42330,0,0,0,1,k120978
k11693,0,0,0,0,k371371
k365282,0,0,0,0,k381407
k397133,0,0,0,0,k33346
k63605,1,0,0,1,k94546
k231967,0,0,0,1,k408051
k21270,0,0,0,0,k387434
k252786,1,0,0,1,k119600
k103795,0,0,0,1,k82582
k243055,0,1,0,0,k118947
k39447,0,0,0,0,k228887
k206901,0,0,0,0,k30340
k351113,0,0,0,0,k150782
k319760,0,0,0,0,k183643
k165609,0,0,0,1,k139978
k233514,0,0,0,0,k211457
k325007,0,0,0,1,k57220
k107644,0,0,0,1,k114287
k58361,0,0,0,0,k109086
k326172,0,0,0,0,k219458
k242028,1,0,0,1,k385311
k227243,0,0,0,1,k129338
k58292,0,0,0,1,k254350
k67676,0,0,0,1,k229092
k409595,0,0,0,0,k46009
k72268,0,0,0,0,k176742
k361470,0,0,0,0,k289073
k82020,0,1,0,0,k94687
k423097,1,0,0,1,k98908
k303299,0,0,0,1,k27386
k101469,0,0,0,0,k17106
k285608,0,0,0,0,k187588
k328164,0,0,0,1,k331140
k388908,0,0,0,0,k220805
k212137,0,0,0,0,k374888
k326495,0,0,0,0,k272577
k401794,0,0,0,0,k392585
k189232,0,0,0,0,k391552
k296483,0,0,0,1,k242460
k89680,0,0,0,0,k277591
k325510,0,0,0,0,k157470
k379994,0,0,0,0,k339992
k82026,0,0,0,1,k388929
k244331,0,0,0,0,k150755
k136072,0,0,0,0,k396835
k18590,0,0,0,0,k538
k353544,0,0,0,1,k63586
k403378,0,0,0,0,k332124
k380974,0,0,0,1,k205240
k203715,0,0,0,0,k235186
k362130,0,0,0,0,k378198
k105395,0,0,0,0,k301305
k371681,0,0,0,1,k420321
k318835,0,0,0,0,k384911
k107566,0,0,0,0,k251181
k391521,0,0,0,1,k411568
k108226,0,0,0,0,k410388
k95588,0,0,0,1,k279359
k70938,0,0,0,0,k346859
k174117,0,0,0,0,k225944
k74044,0,0,0,1,k137019
k230658,0,0,0,0,k298733
k399844,0,0,0,0,k53717
k282440,0,0,0,0,k287802
k241837,0,0,0,0,k362466
k145806,0,0,0,1,k56272
k307555,0,0,0,0,k378048
k346485,0,0,0,1,k104390
k218554,0,0,0,1,k222400
k111811,0,0,0,0,k261730
k105034,0,0,0,0,k80248
k118674,0,0,0,1,k183792
k142925,0,0,0,1,k364198
k406698,0,0,0,0,k30455
k241881,0,0,0,0,k261051
k64406,0,0,0,1,k129959
k402172,0,0,0,0,k322154
k383031,0,0,0,0,k41304
k128222,0,0,0,0,k39036
k374901,0,0,0,1,k89458
k343955,0,0,0,0,k172917
k277187,0,0,0,0,k206824
k131845,0,0,0,1,k364108
k4790,0,0,0,0,k45576
k268468,0,0,0,1,k279482
k165804,0,0,0,1,k7242
k34717,0,0,0,1,k333044
k396907,0,0,0,0,k227555
k69940,0,0,0,1,k151666
k249287,1,0,0,1,k200173
k222763,0,0,0,1,k314361
k199296,0,0,0,0,k262812
k311319,0,0,0,1,k404662
k152261,0,0,0,1,k410959
k350578,0,0,0,1,k54092
k247963,0,0,0,0,k219122
k137134,0,0,0,0,k68095
k128312,0,0,0,0,k317241
k203274,0,0,0,1,k139363
k86098,0,0,0,0,k215727
k256854,0,0,0,1,k235187
k397492,0,0,0,0,k260594
k113929,1,0,0,1,k205715
k351368,0,0,0,0,k74523
k345325,0,0,0,0,k306986
k378780,0,0,0,1,k336328
k132117,0,0,0,0,k123025
k186132,0,0,0,1,k115719
k78792,0,0,0,1,k156570
k381813,0,0,0,0,k195224
k204288,1,0,0,1,k391979
k280852,1,0,0,1,k146688
k188114,0,0,0,0,k295500
k348140,0,0,0,0,k363029
k274434,0,0,0,1,k227514
k393896,0,0,0,0,k196661
k248943,0,0,0,0,k59365
k17231,0,0,0,0,k359928
k366075,0,0,0,0,k280418
k290002,0,0,0,0,k169016
k208097,0,0,0,0,k104086
k385100,1,0,0,1,k405106
k174400,0,0,0,1,k37495
k8335,0,0,0,0,k304214
k192552,1,0,0,1,k393976
k31576,0,0,0,0,k110205
k90381,0,0,0,0,k246934
k369049,0,0,0,0,k387373
k135474,0,0,0,1,k69674
k331005,1,0,0,1,k333064
k251502,0,0,0,0,k275769
k131885,0,0,0,0,k180205
k246200,0,0,0,1,k83742
k93172,0,0,0,1,k134094
k137700,0,0,0,0,k387680
k209474,0,0,0,1,k275457
k113343,0,0,0,1,k184404
k59905,0,0,0,1,k20193
k324226,0,0,0,0,k120760
k111288,0,0,0,0,k21921
k243847,0,0,0,0,k149530
k402429,0,0,0,1,k257740
k54621,0,0,0,1,k111364
k132592,0,0,0,0,k286534
k333944,0,0,0,0,k204194
k15604,0,0,0,0,k8601
k105465,0,0,0,0,k53176
k106562,0,0,1,1,k40861
k282830,0,0,0,0,k117286
k50979,0,0,0,0,k265493
k318373,0,0,0,0,k207540
k341131,0,0,1,1,k422888
k262773,0,0,0,0,k146470
k20067,0,0,0,1,k358832
k252894,0,0,0,0,k342583
k28656,0,0,0,1,k127076
k301590,0,0,0,1,k84440
k230808,0,0,0,0,k61146
k102634,0,0,0,0,k420862
k403646,0,0,0,1,k367525
k349895,0,0,0,0,k159687
k174558,0,0,0,0,k175980
k313803,0,0,0,1,k297589
k382639,0,0,0,0,k324601
k391193,0,0,0,0,k281018
k326807,0,0,0,0,k312710
k23393,0,0,0,1,k316040
k377300,0,0,0,0,k267535
k10172,0,0,0,1,k375397
k45690,0,0,0,0,k100523
k238070,0,0,0,1,k188205
k11630,0,0,0,0,k390268
k372661,0,0,0,0,k284341
k192249,0,0,0,0,k143176
k171426,0,0,0,0,k207513
k271931,1,0,0,1,k291867
k101708,0,0,0,0,k418716
k339632,0,0,0,1,k330664
k126996,0,0,0,1,k231348
k140654,0,0,0,1,k121074
k208287,0,0,0,1,k208907
k127684,0,0,0,0,k44666
k39374,0,0,0,1,k196982
k310654,1,0,0,1,k318944
k362371,0,0,0,0,k59383
k361893,0,1,0,0,k187935
k102813,0,0,0,0,k48336
k30218,0,0,0,0,k81509
k407652,0,0,0,0,k24785
k231600,0,0,0,0,k219345
k72856,0,0,0,1,k197625
k204711,0,0,0,1,k262746
k335138,0,0,0,0,k354498
k165746,0,0,0,1,k422969
k94272,1,0,0,1,k58652
k150771,1,0,0,1,k308369
k286102,0,0,0,0,k336753
k315384,0,0,0,0,k244684
k129255,0,0,0,0,k99764
k21792,0,0,0,0,k82944
k139666,0,0,0,1,k77500
k305225,0,0,0,1,k164573
k194550,0,0,0,0,k254083
k403917,0,0,0,0,k208397
k92532,0,0,0,0,k131108
k26369,0,0,0,0,k387651
k176815,0,0,0,1,k290065
k375633,0,0,0,1,k189574
k81692,0,0,0,0,k265412
k47460,0,0,0,0,k128060
k193700,0,0,0,0,k176459
k227562,0,0,0,0,k51754
k422618,0,0,0,1,k416756
k165604,0,0,0,1,k187851
k296374,0,1,0,0,k163240
k422524,1,0,0,1,k284119
k37801,0,0,0,0,k374356
k420623,0,0,0,0,k170402
k53422,0,0,0,0,k48137
k128474,0,0,0,0,k351398
k194792,0,0,0,0,k193167
k210369,0,0,0,0,k120228
k62205,0,0,0,0,k174335
k334152,0,0,0,0,k26062
k79759,0,0,0,0,k304204
k196550,0,0,0,0,k60954
k373061,0,0,0,0,k181265
k152827,0,0,0,0,k337249
k100327,0,0,0,1,k167571
k111548,0,0,0,1,k53953
k51990,0,1,0,0,k131754
k99885,0,0,0,1,k97719
k267264,0,0,0,1,k130575
k306346,0,0,0,0,k110782
k3757,0,0,0,1,k423609
k238785,0,0,0,1,k60924
k341745,0,0,0,0,k328401
k185910,0,0,0,0,k340876
k274258,0,0,0,1,k378403
k414277,0,0,0,0,k6109
k92710,0,0,0,1,k329084
k234671,0,0,0,1,k161766
k267571,0,0,0,0,k206344
k135390,0,0,0,1,k182705
k300311,0,0,0,0,k184575
k341875,0,0,0,0,k283010
k156343,0,0,0,1,k104924
k217518,0,0,0,0,k296075
k218836,0,0,0,1,k48133
k126134,0,0,0,1,k228260
k77391,0,0,0,0,k271082
k80359,0,0,0,0,k393232
k232783,0,0,0,0,k266698
k356657,0,0,0,0,k325031
k353558,0,0,0,1,k137611
k9485,0,0,0,0,k289543
k325218,0,0,0,0,k250667
k341813,0,0,0,0,k337309
k200235,0,0,0,0,k41785
k8533,0,0,0,0,k150858
k80466,0,0,0,0,k215485
k192688,0,0,0,0,k367033
k144352,0,0,0,0,k399294
k126198,0,0,0,1,k140617
k22870,0,0,0,0,k220836
k152900,0,0,0,0,k28473
k231865,0,0,0,1,k155026
k396048,0,0,0,0,k302703
k317499,0,0,0,1,k419760
k248554,0,0,0,0,k262481
k274784,0,0,0,0,k41118
k239627,0,0,0,0,k164168
k207250,0,0,0,0,k224516
k112524,0,0,0,1,k203147
k242084,0,0,0,0,k130985
k379475,0,0,0,1,k137653
k42204,0,0,0,0,k91822
k366901,0,0,0,0,k135559
k45320,0,0,0,0,k363142
k10046,0,0,0,0,k46511
k387295,0,0,0,1,k164766
k382590,0,0,0,1,k224914
k29261,0,0,0,0,k321329
k141739,0,0,0,0,k327563
k254437,0,0,0,0,k331831
k21716,0,0,0,0,k412125
k314766,0,0,0,0,k280788
k300571,0,0,0,1,k98715
k363687,0,0,0,1,k145086
k288134,0,0,0,1,k77968
k163214,0,0,0,1,k266188
k150498,0,0,0,0,k330587
k352802,0,0,0,1,k346228
k371336,0,0,0,0,k201509
k338932,0,1,0,1,k380396
k238539,0,0,0,0,k96185
k126725,0,0,0,0,k93984
k283815,0,0,0,0,k303380
k239401,0,0,0,0,k335033
k113618,0,0,0,0,k7444
k181755,0,0,0,1,k146104
k340818,0,0,0,1,k343243
k134273,0,0,0,1,k208626
k420091,0,0,0,1,k414576
k91209,0,0,0,1,k323983
k267507,0,0,0,0,k99101
k131043,0,0,0,1,k107417
k146,0,0,0,1,k164845
k269382,0,0,0,0,k370484
k321738,0,0,0,0,k258095
k136040,0,0,0,1,k205854
k43468,0,0,0,0,k410879
k110742,1,0,0,1,k18264
k91725,0,0,0,1,k21817
k166592,0,0,0,0,k267789
k373223,0,0,0,1,k819
k71154,0,0,0,0,k96987
k57518,0,0,0,1,k266338
k251459,0,0,0,1,k281344
k223783,0,0,0,1,k75492
k204094,0,0,0,1,k184957
k408894,0,0,0,0,k180507
k330392,0,0,0,0,k337220
k22596,0,0,0,1,k54410
k298329,0,0,0,0,k104357
k144042,0,0,0,0,k214135
k223283,0,0,0,1,k314088
k415708,0,0,0,0,k20660
k91954,0,0,0,1,k31388
k232635,0,0,0,0,k361804
k205244,0,0,0,1,k365529
k31722,0,0,0,1,k209042
k33835,0,0,0,1,k222213
k23999,0,0,0,0,k35201
k63424,0,0,0,1,k101124
k420218,0,0,0,0,k122717
k356058,0,0,0,0,k320812
k241348,0,0,0,0,k241086
k165706,0,0,0,1,k394167
k46379,0,0,0,0,k42482
k42540,0,0,0,1,k344495
k326797,0,0,0,1,k131818
k120205,0,0,0,1,k351526
k166372,0,0,0,0,k91549
