Key_1_3,Elevation,Soil_Type1,Soil_Type5,Soil_Type14,Soil_Type15,Soil_Type37
k326872,3243.0,0,0,0,0,0
k198851,2830.0,0,0,0,0,0
k130628,3132.0,0,0,0,0,0
k53507,2899.0,0,0,0,0,0
k413588,2797.0,0,0,0,0,0
k338219,3024.0,0,0,0,0,0
k420959,2995.0,0,0,0,0,0
k309861,2899.0,0,0,0,0,0
k146766,2852.0,0,0,0,0,0
k12249,2769.0,0,0,0,0,0
k56847,3285.0,0,0,0,0,0
k166960,2689.0,0,0,0,0,0
k208631,3148.0,0,0,0,0,0
k375186,3060.0,0,0,0,0,0
k97409,2846.0,0,0,0,0,0
k393974,3003.0,0,0,0,0,0
k310474,2622.0,0,0,0,0,0
k375802,2988.0,0,0,0,0,0
k332943,2975.0,0,0,0,0,0
k306552,2972.0,0,0,0,0,0
k297352,2649.0,0,0,0,0,0
k78289,3057.0,0,0,0,0,0
k106603,3008.0,0,0,0,0,0
k182401,2955.0,0,0,0,0,0
k22638,3110.0,0,0,0,0,0
k344117,2855.0,0,0,0,0,0
k50398,2901.0,0,0,0,0,0
k300943,3092.0,0,0,0,0,0
k79219,2520.0,0,0,0,0,0
k61192,2956.0,0,0,0,0,0
k288428,2505.0,0,0,0,0,0
k35880,3033.0,0,0,0,0,0
k342109,2872.0,0,0,0,0,0
k389068,2777.0,0,0,0,0,0
k212779,3202.0,0,0,0,0,0
k55118,2861.0,0,0,0,0,0
k283149,2561.0,0,0,0,0,0
k219594,3266.0,0,0,0,0,0
k223820,2939.0,0,0,0,0,0
k218661,2584.0,0,0,0,0,0
k98626,2962.0,0,0,0,0,0
k371528,2900.0,0,0,0,0,0
k198303,3143.0,0,0,0,0,0
k128610,2626.0,0,0,0,0,0
k419012,2738.0,0,0,0,0,0
k252604,2914.0,0,0,0,0,0
k58886,2661.0,0,0,0,0,0
k368957,2681.0,0,0,0,0,0
k327532,2640.0,0,0,0,0,0
k196581,2813.0,0,0,0,0,0
k361272,3277.0,0,0,0,0,0
k185731,2995.0,0,0,0,0,0
k323377,2827.0,0,0,0,0,0
k351577,2939.0,0,0,0,0,0
k9250,3162.0,0,0,0,0,0
k214450,2562.0,0,0,0,0,0
k342294,2807.0,0,0,0,0,0
k94378,2931.0,0,0,0,0,0
k211348,3141.0,0,0,0,0,0
k337543,2991.0,0,0,0,0,0
k237463,3292.0,0,0,0,0,0
k402624,2864.0,0,0,0,0,0
k118515,3211.0,0,0,0,0,0
k255785,2801.0,0,0,0,0,0
k55171,2646.0,0,0,0,0,0
k169384,3281.0,0,0,0,0,0
k114661,3142.0,0,0,0,0,0
k335196,2746.0,0,0,0,0,0
k302821,3038.0,0,0,0,0,0
k4998,3250.0,0,0,0,0,0
k261516,2769.0,0,0,0,0,0
k217462,3072.0,0,0,0,0,0
k178274,2993.0,0,0,0,0,0
k313213,3078.0,0,0,0,0,0
k303808,3187.0,0,0,0,0,0
k207248,2791.0,0,0,0,0,0
k229158,2979.0,0,0,0,0,0
k70398,2903.0,0,0,0,0,0
k283909,2848.0,0,0,0,0,0
k273678,2595.0,0,0,0,0,0
k114530,2675.0,0,0,0,0,0
k261746,3088.0,0,0,0,0,0
k239527,3137.0,0,0,0,0,0
k213670,3190.0,0,0,0,0,0
k194578,2854.0,0,0,0,0,0
k61269,2842.0,0,0,0,0,0
k111533,2605.0,0,0,0,0,0
k186207,3165.0,0,0,0,0,0
k412808,3028.0,0,0,0,0,0
k22199,2942.0,0,0,0,0,0
k349321,2701.0,0,0,0,0,0
k352544,2885.0,0,0,0,0,0
k122921,2973.0,0,0,0,0,0
k407015,2888.0,0,0,0,0,0
k9231,3117.0,0,0,0,0,0
k379447,2831.0,0,0,0,0,0
k213691,2696.0,0,0,0,0,0
k176636,2643.0,0,0,0,0,0
k304834,2991.0,0,0,0,0,0
k54037,3114.0,0,0,0,0,0
k269208,2952.0,0,0,0,0,0
k70282,2816.0,0,0,0,0,0
k414776,3246.0,0,0,0,0,0
k154429,2941.0,0,0,0,0,0
k339744,2949.0,0,0,0,0,0
k79667,2972.0,0,0,0,0,0
k150158,3126.0,0,0,0,0,0
k191629,2636.0,0,0,0,0,0
k329627,3280.0,0,0,0,0,0
k417668,2662.0,0,0,0,0,0
k53782,2754.0,0,0,0,0,0
k253047,2930.0,0,0,0,0,0
k363357,2949.0,0,0,0,0,0
k261484,2534.0,0,0,0,0,0
k111731,3108.0,0,0,0,0,0
k164083,3013.0,0,0,0,0,0
k39012,2970.0,0,0,0,0,0
k361953,3022.0,0,0,0,0,0
k366538,3221.0,0,0,0,0,0
k108011,2922.0,0,0,0,0,0
k96326,2952.0,0,0,0,0,0
k246483,2669.0,0,0,0,0,0
k55733,2721.0,0,0,0,0,0
k110556,3034.0,0,0,0,0,0
k164046,3057.0,0,0,0,0,0
k232825,2962.0,0,0,0,0,0
k226131,2754.0,0,0,0,0,0
k365949,2937.0,0,0,0,0,0
k414898,3031.0,0,0,0,0,0
k112416,3060.0,0,0,0,0,0
k66200,2820.0,0,0,0,0,0
k58905,3046.0,0,0,0,0,0
k239944,2649.0,0,0,0,0,0
k50962,2985.0,0,0,0,0,0
k365187,3026.0,0,0,0,0,0
k129661,3155.0,0,0,0,0,0
k28658,3221.0,0,0,0,0,0
k263674,2637.0,0,0,0,0,0
k410254,2937.0,0,0,0,0,0
k31288,2926.0,0,0,0,0,0
k247599,2869.0,0,0,0,0,0
k24902,2789.0,0,0,0,0,0
k96417,3139.0,0,0,0,0,0
k42703,2669.0,0,0,0,0,0
k122957,2988.0,0,0,0,0,0
k177112,2837.0,0,0,0,0,0
k187226,2704.0,0,0,0,0,0
k311601,2594.0,0,0,0,0,0
k353247,2554.0,0,0,0,0,0
k197787,2870.0,0,0,0,0,0
k119093,2964.0,0,0,0,0,0
k180485,2932.0,0,0,0,0,0
k162897,2922.0,0,0,0,0,0
k241842,2659.0,0,0,0,0,0
k39547,3180.0,0,0,0,0,0
k343849,2711.0,0,0,0,0,0
k286472,2573.0,0,0,0,0,0
k22183,2955.0,0,0,0,0,0
k417725,3009.0,0,0,0,0,0
k54950,2693.0,0,0,0,0,0
k312357,2699.0,0,0,0,0,0
k36668,2634.0,0,0,0,0,0
k4405,3181.0,0,0,0,0,0
k401387,2714.0,0,0,0,0,0
k214793,2978.0,0,0,0,0,0
k332552,3096.0,0,0,0,0,0
k120405,2883.0,0,0,0,0,0
k375113,2846.0,0,0,0,0,0
k281092,2801.0,0,0,0,0,0
k44494,2878.0,0,0,0,0,0
k290988,2784.0,0,0,0,0,0
k177955,2953.0,0,0,0,0,0
k47982,3078.0,0,0,0,0,0
k263531,3210.0,0,0,0,0,0
k280330,2852.0,0,0,0,0,0
k242710,2942.0,0,0,0,0,0
k33741,2839.0,0,0,0,0,0
k416533,2729.0,0,0,0,0,0
k74434,3008.0,0,0,0,0,0
k100892,2621.0,0,0,0,0,0
k199132,3027.0,0,0,0,0,0
k191016,2852.0,0,0,0,0,0
k372423,2934.0,0,0,0,0,0
k411303,2811.0,0,0,0,0,0
k266397,2968.0,0,0,0,0,0
k212262,2784.0,0,0,0,0,0
k385655,3180.0,0,0,0,0,0
k383612,2650.0,0,0,0,0,0
k62178,2799.0,0,0,0,0,0
k342872,2827.0,0,0,0,0,0
k227910,2922.0,0,0,0,0,0
k80211,2804.0,0,0,0,0,0
k397095,2930.0,0,0,0,0,0
k283484,3140.0,0,0,0,0,0
k416554,3248.0,0,0,0,0,0
k154387,3154.0,0,0,0,0,0
k124134,2858.0,0,0,0,0,0
k218774,2923.0,0,0,0,0,0
k351453,2834.0,0,0,0,0,0
k59091,2939.0,0,0,0,0,0
k298579,3148.0,0,0,0,0,0
k51080,2852.0,0,0,0,0,0
k171778,2922.0,0,0,0,0,0
k378035,3039.0,0,0,0,0,0
k355505,2932.0,0,0,0,0,0
k152538,2555.0,0,0,0,0,0
k409348,3065.0,0,0,0,0,0
k317250,3070.0,0,0,0,0,0
k195375,2855.0,0,0,0,0,0
k374391,3148.0,0,0,0,0,0
k326116,2991.0,0,0,0,0,0
k188891,2787.0,0,0,0,0,0
k350976,2545.0,0,0,0,0,0
k216410,2646.0,0,0,0,0,0
k9551,2598.0,0,0,0,0,0
k332383,2700.0,0,0,0,0,0
k95133,2923.0,0,0,0,0,0
k27769,3024.0,0,0,0,0,0
k115494,3277.0,0,0,0,0,0
k38254,3014.0,0,0,0,0,0
k50934,2942.0,0,0,0,0,0
k215707,2876.0,0,0,0,0,0
k64674,2973.0,0,0,0,0,0
k326157,2955.0,0,0,0,0,0
k35826,3158.0,0,0,0,0,0
k65249,2960.0,0,0,0,0,0
k388784,3126.0,0,0,0,0,0
k240198,2802.0,0,0,0,0,0
k240515,2924.0,0,0,0,0,0
k328577,2827.0,0,0,0,0,0
k228080,2967.0,0,0,0,0,0
k111297,3077.0,0,0,0,0,0
k260083,3009.0,0,0,0,0,0
k229031,2843.0,0,0,0,0,0
k83567,3265.0,0,0,0,0,0
k105992,2977.0,0,0,0,0,0
k248808,2897.0,0,0,0,0,0
k287457,3182.0,0,0,0,0,0
k115847,3111.0,0,0,0,0,0
k140146,3111.0,0,0,0,0,0
k9024,3141.0,0,0,0,0,0
k166034,2913.0,0,0,0,0,0
k103458,2511.0,0,0,0,0,0
k334559,3180.0,0,0,0,0,0
k65554,2930.0,0,0,0,0,0
k208488,2620.0,0,0,0,0,0
k187625,2900.0,0,0,0,0,0
k2028,2853.0,0,0,0,0,0
k14908,2559.0,0,0,0,0,0
k67981,2648.0,0,0,0,0,0
k213681,2733.0,0,0,0,0,0
k115030,2797.0,0,0,0,0,0
k367736,2911.0,0,0,0,0,0
k154473,2844.0,0,0,0,0,0
k344528,2836.0,0,0,0,0,0
k96857,2610.0,0,0,0,0,0
k33121,3266.0,0,0,0,0,0
k175149,2954.0,0,0,0,0,0
k195506,2865.0,0,0,0,0,0
k139653,3108.0,0,0,0,0,0
k94952,2900.0,0,0,0,0,0
k386048,2953.0,0,0,0,0,0
k5562,3033.0,0,0,0,0,0
k207116,3142.0,0,0,0,0,0
k119476,2467.0,0,0,0,0,0
k149597,3014.0,0,0,0,0,0
k319394,3046.0,0,0,0,0,0
k362939,2958.0,0,0,0,0,0
k246681,2913.0,0,0,0,0,0
k80317,3252.0,0,0,0,0,0
k267525,2988.0,0,0,0,0,0
k364164,3009.0,0,0,0,0,0
k27561,3063.0,0,0,0,0,0
k81576,2884.0,0,0,0,0,0
k330828,2870.0,0,0,0,0,0
k166667,3086.0,0,0,0,0,0
k184757,2863.0,0,0,0,0,0
k163319,2934.0,0,0,0,0,0
k325865,3088.0,0,0,0,0,0
k186083,3146.0,0,0,0,0,0
k67684,2985.0,0,0,0,0,0
k412074,3205.0,0,0,0,0,0
k219630,2950.0,0,0,0,0,0
k103275,3168.0,0,0,0,0,0
k226409,2607.0,0,0,0,0,0
k164830,2502.0,0,0,0,0,0
k22417,2945.0,0,0,0,0,0
k173247,2979.0,0,0,0,0,0
k78271,2754.0,0,0,0,0,0
k313647,2947.0,0,0,0,0,0
k347395,3047.0,0,0,0,0,0
k48299,2840.0,0,0,0,0,0
k278955,2985.0,0,0,0,0,0
k175362,3011.0,0,0,0,0,0
k300729,3105.0,0,0,0,0,0
k312447,2583.0,0,0,0,0,0
k148048,3102.0,0,0,0,0,0
k67123,3320.0,0,0,0,0,0
k87341,2846.0,0,0,0,0,0
k22249,2913.0,0,0,0,0,0
k329805,2948.0,0,0,0,0,0
k400683,2837.0,0,0,0,0,0
k92176,2766.0,0,0,0,0,0
k265790,2965.0,0,0,0,0,0
k336003,2959.0,0,0,0,0,0
k192678,2748.0,0,0,0,0,0
k290674,3055.0,0,0,0,0,0
k11060,2865.0,0,0,0,0,0
k213861,2907.0,0,0,0,0,0
k303896,2745.0,0,0,0,0,0
k130286,2761.0,0,0,0,0,0
k208577,3057.0,0,0,0,0,0
k170741,3350.0,0,0,0,0,0
k355737,3207.0,0,0,0,0,0
k206350,2899.0,0,0,0,0,0
k362000,2962.0,0,0,0,0,0
k379481,3276.0,0,0,0,0,0
k244048,2926.0,0,0,0,0,0
k129466,2733.0,0,0,0,0,0
k149191,2636.0,0,0,0,0,0
k290056,2967.0,0,0,0,0,0
k373951,2537.0,0,0,0,0,0
k304444,3171.0,0,0,0,0,0
k198929,2561.0,0,0,0,0,0
k318084,3007.0,0,0,0,0,0
k1947,2650.0,0,0,0,0,0
k9361,2734.0,0,0,0,0,0
k279268,3055.0,0,0,0,0,0
k257464,2786.0,0,0,0,0,0
k115885,2840.0,0,0,0,0,0
k274282,2604.0,0,0,0,0,0
k137121,2917.0,0,0,0,0,0
k211010,2852.0,0,0,0,0,0
k249835,2804.0,0,0,0,0,0
k91609,3112.0,0,0,0,0,0
k155102,2888.0,0,0,0,0,0
k45968,3065.0,0,0,0,0,0
k310243,3253.0,0,0,0,0,0
k177926,2760.0,0,0,0,0,0
k126610,2962.0,0,0,0,0,0
k19471,2983.0,0,0,0,0,0
k355975,2783.0,0,0,0,0,0
k121513,2890.0,0,0,0,0,0
k24450,2844.0,0,0,0,0,0
k330622,2942.0,0,0,0,0,0
k231191,2929.0,0,0,0,0,0
k160467,3089.0,0,0,0,0,0
k271833,2856.0,0,0,0,0,0
k308857,3214.0,0,0,0,0,0
k172493,3061.0,0,0,0,0,0
k103839,3118.0,0,0,0,0,0
k189892,3021.0,0,0,0,0,0
k261841,2918.0,0,0,0,0,0
k75112,2888.0,0,0,0,0,0
k21958,2492.0,0,0,0,0,0
k393881,2995.0,0,0,0,0,0
k311609,2912.0,0,0,0,0,0
k351295,3089.0,0,0,0,0,0
k54718,3005.0,0,0,0,0,0
k73537,3202.0,0,0,0,0,0
k328904,2932.0,0,0,0,0,0
k32396,3080.0,0,0,0,0,0
k355295,2942.0,0,0,0,0,0
k156723,2781.0,0,0,0,0,0
k294091,2949.0,0,0,0,0,0
k393285,2660.0,0,0,0,0,0
k70194,2833.0,0,0,0,0,0
k295582,3194.0,0,0,0,0,0
k415461,2882.0,0,0,0,0,0
k397184,3064.0,0,0,0,0,0
k120978,3059.0,0,0,0,0,0
k371371,2572.0,0,0,0,0,0
k381407,3294.0,0,0,0,0,0
k33346,2557.0,0,0,0,0,0
k94546,2783.0,0,0,0,0,0
k408051,2774.0,0,0,0,0,0
k387434,3201.0,0,0,0,0,0
k119600,2930.0,0,0,0,0,0
k82582,2800.0,0,0,0,0,0
k118947,2639.0,0,0,0,0,0
k228887,2784.0,0,0,0,0,0
k30340,2824.0,0,0,0,0,0
k150782,3125.0,0,0,0,0,0
k183643,3259.0,0,0,0,0,0
k139978,2565.0,0,0,0,0,0
k211457,2903.0,0,0,0,0,0
k57220,2579.0,0,0,0,0,0
k114287,2696.0,0,0,0,0,0
k109086,2650.0,0,0,0,0,0
k219458,3024.0,0,0,0,0,0
k385311,2745.0,0,0,0,0,0
k129338,3093.0,0,0,0,0,0
k254350,3024.0,0,0,0,0,0
k229092,2729.0,0,0,0,0,0
k46009,2906.0,0,0,0,0,0
k176742,3027.0,0,0,0,0,0
k289073,3004.0,0,0,0,0,0
k94687,2605.0,0,0,0,0,0
k98908,2991.0,0,0,0,0,0
k27386,2903.0,0,0,0,0,0
k17106,2949.0,0,0,0,0,0
k187588,3000.0,0,0,0,0,0
k331140,2942.0,0,0,0,0,0
k220805,2877.0,0,0,0,0,0
k374888,2952.0,0,0,0,0,0
k272577,2842.0,0,0,0,0,0
k392585,2788.0,0,0,0,0,0
k391552,2795.0,0,0,0,0,0
k242460,2892.0,0,0,0,0,0
k277591,2767.0,0,0,0,0,0
k157470,2663.0,0,0,0,0,0
k339992,2806.0,0,0,0,0,0
k388929,3311.0,0,0,0,0,0
k150755,2765.0,0,0,0,0,0
k396835,3105.0,0,0,0,0,0
k538,2906.0,0,0,0,0,0
k63586,3012.0,0,0,0,0,0
k332124,3170.0,0,0,0,0,0
k205240,3094.0,0,0,0,0,0
k235186,2960.0,0,0,0,0,0
k378198,2938.0,0,0,0,0,0
k301305,2391.0,0,0,0,0,0
k420321,2997.0,0,0,0,0,0
k384911,2557.0,0,0,0,0,0
k251181,3060.0,0,0,0,0,0
k411568,3238.0,0,0,0,0,0
k410388,2760.0,0,0,0,0,0
k279359,2876.0,0,0,0,0,0
k346859,2474.0,0,0,0,0,0
k225944,2972.0,0,0,0,0,0
k137019,2567.0,0,0,0,0,0
k298733,2931.0,0,0,0,0,0
k53717,3147.0,0,0,0,0,0
k287802,2718.0,0,0,0,0,0
k362466,2556.0,0,0,0,0,0
k56272,3089.0,0,0,0,0,0
k378048,2766.0,0,0,0,0,0
k104390,3213.0,0,0,0,0,0
k222400,2639.0,0,0,0,0,0
k261730,2942.0,0,0,0,0,0
k80248,3088.0,0,0,0,0,0
k183792,3023.0,0,0,0,0,0
k364198,3118.0,0,0,0,0,0
k30455,3080.0,0,0,0,0,0
k261051,2911.0,0,0,0,0,0
k129959,2562.0,0,0,0,0,0
k322154,2679.0,0,0,0,0,0
k41304,2840.0,0,0,0,0,0
k39036,3041.0,0,0,0,0,0
k89458,2842.0,0,0,0,0,0
k172917,2901.0,0,0,0,0,0
k206824,3004.0,0,0,0,0,0
k364108,2938.0,0,0,0,0,0
k45576,3313.0,0,0,0,0,0
k279482,3049.0,0,0,0,0,0
k7242,2799.0,0,0,0,0,0
k333044,3011.0,0,0,0,0,0
k227555,3276.0,0,0,0,0,0
k151666,2903.0,0,0,0,0,0
k200173,3012.0,0,0,0,0,0
k314361,2808.0,0,0,0,0,0
k262812,2926.0,0,0,0,0,0
k404662,3230.0,0,0,0,0,0
k410959,2948.0,0,0,0,0,0
k54092,2763.0,0,0,0,0,0
k219122,3059.0,0,0,0,0,0
k68095,2982.0,0,0,0,0,0
k317241,2757.0,0,0,0,0,0
k139363,2972.0,0,0,0,0,0
k215727,2982.0,0,0,0,0,0
k235187,2864.0,0,0,0,0,0
k260594,3132.0,0,0,0,0,0
k205715,2701.0,0,0,0,0,0
k74523,2973.0,0,0,0,0,0
k306986,2798.0,0,0,0,0,0
k336328,3066.0,0,0,0,0,0
k123025,2640.0,0,0,0,0,0
k115719,3053.0,0,0,0,0,0
k156570,2954.0,0,0,0,0,0
k195224,3155.0,0,0,0,0,0
k391979,3036.0,0,0,0,0,0
k146688,3101.0,0,0,0,0,0
k295500,2928.0,0,0,0,0,0
k363029,3204.0,0,0,0,0,0
k227514,3116.0,0,0,0,0,0
k196661,2655.0,0,0,0,0,0
k59365,3211.0,0,0,0,0,0
k359928,3007.0,0,0,0,0,0
k280418,2972.0,0,0,0,0,0
k169016,2821.0,0,0,0,0,0
k104086,2952.0,0,0,0,0,0
k405106,2908.0,0,0,0,0,0
k37495,2994.0,0,0,0,0,0
k304214,3385.0,0,0,0,0,0
k393976,3223.0,0,0,0,0,0
k110205,2857.0,0,0,0,0,0
k246934,2631.0,0,0,0,0,0
k387373,3213.0,0,0,0,0,0
k69674,2898.0,0,0,0,0,0
k333064,3012.0,0,0,0,0,0
k275769,2983.0,0,0,0,0,0
k180205,3248.0,0,0,0,0,0
k83742,3031.0,0,0,0,0,0
k134094,3017.0,0,0,0,0,0
k387680,3178.0,0,0,0,0,0
k275457,2624.0,0,0,0,0,0
k184404,3062.0,0,0,0,0,0
k20193,3129.0,0,0,0,0,0
k120760,3025.0,0,0,0,0,0
k21921,3128.0,0,0,0,0,0
k149530,2824.0,0,0,0,0,0
k257740,3025.0,0,0,0,0,0
k111364,2697.0,0,0,0,0,0
k286534,3121.0,0,0,0,0,0
k204194,2487.0,0,0,0,0,0
k8601,3214.0,0,0,0,0,0
k53176,3043.0,0,0,0,0,0
k40861,2654.0,0,0,0,0,0
k117286,3227.0,0,0,0,0,0
k265493,2907.0,0,0,0,0,0
k207540,2821.0,0,0,0,0,0
k422888,2794.0,0,0,0,0,0
k146470,2852.0,0,0,0,0,0
k358832,2872.0,0,0,0,0,0
k342583,2914.0,0,0,0,0,0
k127076,3227.0,0,0,0,0,0
k84440,2902.0,0,0,0,0,0
k61146,2914.0,0,0,0,0,0
k420862,3296.0,0,0,0,0,0
k367525,2511.0,0,0,0,0,0
k159687,2915.0,0,0,0,0,0
k175980,3034.0,0,0,0,0,0
k297589,2979.0,0,0,0,0,0
k324601,2930.0,0,0,0,0,0
k281018,2701.0,0,0,0,0,0
k312710,2507.0,0,0,0,0,0
k316040,3056.0,0,0,0,0,0
k267535,2975.0,0,0,0,0,0
k375397,3227.0,0,0,0,0,0
k100523,3050.0,0,0,0,0,0
k188205,3037.0,0,0,0,0,0
k390268,2972.0,0,0,0,0,0
k284341,3008.0,0,0,0,0,0
k143176,3365.0,0,0,0,0,0
k207513,3179.0,0,0,0,0,0
k291867,2632.0,0,0,0,0,0
k418716,2873.0,0,0,0,0,0
k330664,2782.0,0,0,0,0,0
k231348,2850.0,0,0,0,0,0
k121074,2667.0,0,0,0,0,0
k208907,2943.0,0,0,0,0,0
k44666,2753.0,0,0,0,0,0
k196982,2945.0,0,0,0,0,0
k318944,3032.0,0,0,0,0,0
k59383,3243.0,0,0,0,0,0
k187935,3213.0,0,0,0,0,0
k48336,2852.0,0,0,0,0,0
k81509,3162.0,0,0,0,0,0
k24785,2936.0,0,0,0,0,0
k219345,2893.0,0,0,0,0,0
k197625,3242.0,0,0,0,0,0
k262746,2872.0,0,0,0,0,0
k354498,3123.0,0,0,0,0,0
k422969,3151.0,0,0,0,0,0
k58652,2912.0,0,0,0,0,0
k308369,3017.0,0,0,0,0,0
k336753,3044.0,0,0,0,0,0
k244684,2978.0,0,0,0,0,0
k99764,2762.0,0,0,0,0,0
k82944,3112.0,0,0,0,0,0
k77500,2519.0,0,0,0,0,0
k164573,2813.0,0,0,0,0,0
k254083,3083.0,0,0,0,0,0
k208397,2917.0,0,0,0,0,0
k131108,2867.0,0,0,0,0,0
k387651,3018.0,0,0,0,0,0
