Key_1_2,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Roadways,Soil_Type29,Soil_Type4
k31903,2947.0,3182.0,0,0
k411501,1282.0,424.0,0,0
k392875,2701.0,1801.0,0,0
k396419,732.0,3270.0,0,0
k346499,450.0,3631.0,0,0
k63293,1826.0,968.0,0,0
k92899,5120.0,4932.0,0,0
k160328,1063.0,5568.0,1,0
k36657,5253.0,4507.0,0,0
k358182,1120.0,598.0,0,0
k92410,404.0,2981.0,0,0
k304059,2952.0,2374.0,1,0
k247224,2334.0,1756.0,0,0
k344922,6276.0,1510.0,0,0
k269003,2469.0,633.0,0,0
k116385,4818.0,5557.0,0,0
k374310,1618.0,2115.0,0,0
k287423,1690.0,2463.0,0,0
k419473,3273.0,433.0,0,0
k36222,2082.0,2173.0,0,0
k279599,799.0,1283.0,1,0
k382881,3297.0,3667.0,0,0
k167187,1312.0,741.0,0,0
k261929,2151.0,1006.0,0,0
k241135,2241.0,1339.0,1,0
k325612,2349.0,1320.0,1,0
k36904,2627.0,3838.0,1,0
k377258,2368.0,466.0,1,0
k308246,1345.0,2793.0,0,0
k7929,2376.0,752.0,0,0
k282482,2300.0,953.0,1,0
k217686,2970.0,5845.0,0,0
k184291,612.0,1624.0,0,0
k147363,3365.0,808.0,0,0
k23332,351.0,2938.0,0,0
k118089,541.0,1048.0,0,0
k31675,1725.0,2066.0,0,0
k36656,90.0,4543.0,0,0
k370877,2609.0,1300.0,0,0
k291603,1291.0,2609.0,0,0
k32742,2167.0,3178.0,1,0
k96303,2144.0,1318.0,0,0
k390175,4436.0,1639.0,1,0
k248843,3120.0,5760.0,1,0
k275742,2673.0,1776.0,0,0
k302628,6232.0,1138.0,1,0
k91403,4066.0,6034.0,1,0
k214282,830.0,2641.0,0,0
k82478,934.0,3164.0,0,0
k160393,1784.0,1616.0,0,0
k266105,485.0,854.0,0,0
k144860,895.0,3786.0,1,0
k248451,655.0,1008.0,0,0
k27890,2054.0,1383.0,0,0
k175636,4509.0,5775.0,1,0
k199912,2652.0,1027.0,0,0
k14940,4590.0,234.0,0,0
k35236,1908.0,808.0,0,0
k11475,2783.0,3427.0,0,0
k60337,2325.0,1747.0,0,0
k364267,618.0,446.0,0,0
k195552,2507.0,1906.0,1,0
k415404,751.0,2254.0,0,0
k52211,3048.0,3301.0,0,0
k83266,1282.0,4240.0,1,0
k380490,3181.0,3543.0,0,0
k273897,1956.0,2986.0,0,0
k335256,470.0,1253.0,0,0
k97628,1482.0,2410.0,1,0
k222327,182.0,700.0,0,0
k380269,1425.0,3185.0,0,0
k212294,1224.0,573.0,0,0
k19283,939.0,1296.0,0,0
k335836,376.0,2017.0,0,0
k106168,2147.0,2429.0,0,0
k19110,5110.0,3301.0,1,0
k241110,1698.0,4621.0,1,0
k256829,1110.0,1928.0,1,0
k339536,890.0,4731.0,1,0
k36017,3048.0,2700.0,0,0
k140954,1242.0,1215.0,0,0
k17563,2155.0,1053.0,0,0
k327597,1364.0,900.0,0,0
k361162,360.0,268.0,0,0
k34733,1456.0,5542.0,1,0
k314588,2136.0,750.0,0,0
k268312,2848.0,2823.0,0,0
k211894,480.0,2497.0,0,0
k370144,1627.0,960.0,0,0
k177625,1842.0,1725.0,0,0
k39948,1123.0,2431.0,1,0
k354470,875.0,932.0,1,0
k16908,959.0,1900.0,0,0
k395058,1978.0,1805.0,0,0
k315956,2255.0,1358.0,1,0
k83684,1266.0,5415.0,1,0
k393880,1337.0,1626.0,0,0
k392869,3376.0,216.0,0,0
k324655,4511.0,5842.0,1,0
k365346,1082.0,808.0,0,0
k294511,849.0,5437.0,0,0
k421299,541.0,350.0,0,0
k332067,3505.0,5902.0,1,0
k213327,4049.0,5388.0,1,0
k289235,4095.0,6418.0,0,0
k154731,1890.0,752.0,0,0
k194312,1566.0,2423.0,0,0
k33777,1666.0,4832.0,1,0
k360261,5769.0,6068.0,1,0
k260759,1764.0,5857.0,0,0
k362107,3140.0,2512.0,0,0
k20250,306.0,990.0,0,0
k30557,488.0,1587.0,0,0
k156401,875.0,842.0,0,0
k217521,1718.0,3636.0,0,0
k125901,684.0,1273.0,0,0
k367994,693.0,5440.0,1,0
k92008,2264.0,1410.0,0,0
k391167,1892.0,2654.0,0,0
k48436,1387.0,6116.0,0,0
k251736,488.0,3215.0,0,0
k226726,433.0,1050.0,0,0
k331727,2847.0,5783.0,1,0
k70783,5868.0,3531.0,0,0
k290078,301.0,967.0,0,0
k253607,6052.0,4694.0,0,0
k73244,1057.0,722.0,0,0
k413746,1706.0,301.0,0,0
k112263,1756.0,495.0,0,0
k131425,1036.0,1075.0,0,0
k192953,2055.0,962.0,0,0
k140473,1935.0,1495.0,0,0
k56241,5229.0,1947.0,1,0
k181757,999.0,1463.0,0,0
k272791,2182.0,642.0,0,0
k405290,706.0,3937.0,0,0
k196509,1465.0,2037.0,0,0
k11340,408.0,700.0,0,0
k96258,5394.0,3870.0,1,0
k184391,1129.0,1207.0,1,0
k287472,335.0,960.0,0,0
k420664,1691.0,2490.0,0,0
k337682,4250.0,3599.0,0,0
k135258,3013.0,5237.0,0,0
k122394,2525.0,2363.0,0,0
k120393,469.0,4806.0,1,0
k203331,2644.0,2151.0,1,0
k228201,1788.0,6051.0,0,0
k76110,1692.0,3986.0,0,0
k138513,6100.0,1234.0,0,0
k418554,2156.0,612.0,0,0
k93204,2391.0,5162.0,1,0
k107110,2202.0,1908.0,0,0
k410213,825.0,4692.0,1,0
k208100,2120.0,402.0,0,0
k153071,1523.0,1110.0,0,0
k411173,2053.0,816.0,1,0
k1942,1436.0,1423.0,0,0
k124285,573.0,2359.0,0,0
k9222,2713.0,1591.0,0,0
k370092,2066.0,30.0,0,0
k163555,1113.0,4094.0,0,0
k29738,2289.0,362.0,1,0
k62993,642.0,5427.0,0,0
k54760,511.0,1200.0,0,0
k54559,2529.0,2241.0,0,0
k89691,787.0,755.0,0,0
k377185,1747.0,247.0,0,0
k149492,1273.0,3193.0,1,0
k108578,1839.0,2862.0,1,0
k172351,2753.0,1291.0,0,0
k119675,1899.0,598.0,0,0
k422010,3250.0,2521.0,0,0
k229150,1627.0,2343.0,0,0
k208254,408.0,1455.0,0,0
k385041,966.0,1110.0,0,0
k63819,541.0,969.0,0,0
k1401,658.0,2181.0,0,0
k152599,1734.0,2370.0,0,0
k249955,1991.0,3677.0,0,0
k123126,6340.0,3554.0,0,0
k386347,6840.0,2461.0,1,0
k114137,1047.0,1237.0,0,0
k194874,5042.0,4700.0,1,0
k48262,973.0,5252.0,1,0
k80678,1924.0,1124.0,0,0
k13167,474.0,1187.0,0,0
k252336,598.0,5364.0,0,0
k395765,1866.0,3971.0,0,0
k316875,2564.0,3780.0,0,0
k301066,4406.0,5325.0,1,0
k257008,2026.0,4232.0,1,0
k205908,1437.0,2029.0,0,1
k127215,911.0,4957.0,1,0
k321955,5281.0,1631.0,1,0
k24892,2742.0,1465.0,1,0
k382710,1441.0,2854.0,0,0
k91591,1875.0,2377.0,0,0
k168005,547.0,30.0,0,0
k366,1110.0,671.0,0,0
k179066,1380.0,859.0,0,0
k35072,745.0,1237.0,1,0
k330117,573.0,1040.0,0,0
k51746,1745.0,2188.0,0,0
k15403,3997.0,4260.0,1,0
k210406,124.0,2581.0,0,0
k54797,1040.0,1448.0,1,0
k158593,1231.0,1549.0,0,0
k87222,3678.0,6565.0,1,0
k20047,4388.0,5608.0,1,0
k385659,2516.0,1505.0,0,0
k65706,661.0,1800.0,0,0
k421649,2279.0,1224.0,0,0
k109425,3034.0,6415.0,1,0
k206070,3684.0,6350.0,1,0
k56896,1872.0,2097.0,0,0
k81390,1340.0,3127.0,0,0
k187286,4339.0,1678.0,1,0
k178116,6391.0,5242.0,0,0
k360334,644.0,1092.0,0,0
k387579,1379.0,2220.0,0,0
k131822,2489.0,1284.0,0,0
k32611,792.0,649.0,0,0
k393965,771.0,240.0,0,0
k407807,3489.0,5198.0,0,0
k119409,2148.0,2888.0,1,0
k282260,1231.0,2203.0,0,0
k220040,3183.0,3023.0,0,0
k175784,1024.0,1276.0,0,0
k420479,2751.0,1776.0,0,0
k380776,2621.0,2938.0,0,0
k70357,2068.0,1243.0,0,0
k113338,1195.0,371.0,0,0
k210472,2806.0,443.0,1,0
k349976,2372.0,1722.0,1,0
k196470,2121.0,2315.0,0,0
k374853,4918.0,5471.0,1,0
k49233,4590.0,6279.0,0,0
k165815,497.0,256.0,0,0
k169527,2809.0,418.0,0,0
k172047,6144.0,1920.0,0,0
k178735,474.0,661.0,1,0
k191129,5511.0,4103.0,0,0
k103365,1254.0,5755.0,1,0
k340942,2167.0,1237.0,0,0
k355214,2656.0,1489.0,0,0
k107133,5974.0,1091.0,0,0
k206575,918.0,283.0,0,0
k197848,2173.0,2457.0,0,0
k25585,1573.0,2700.0,0,0
k312187,2988.0,3481.0,1,0
k403180,2605.0,1536.0,0,0
k119191,997.0,150.0,0,0
k224327,2598.0,1694.0,1,0
k167074,446.0,960.0,0,0
k151130,1008.0,1943.0,0,0
k209882,1702.0,2877.0,0,0
k13225,2264.0,4278.0,1,0
k67375,2962.0,5908.0,1,0
k237941,323.0,552.0,0,0
k341696,4206.0,4520.0,1,0
k374063,984.0,1622.0,0,0
k283555,2315.0,1530.0,0,0
k172670,5181.0,4123.0,1,0
k89960,997.0,959.0,0,0
k204869,3059.0,5372.0,0,0
k12808,2248.0,391.0,0,0
k201405,5159.0,3893.0,0,0
k267505,1864.0,3473.0,0,0
k167413,552.0,2040.0,0,0
k191729,1380.0,1891.0,0,0
k27519,1723.0,3343.0,0,0
k142147,1878.0,1339.0,0,0
k124149,726.0,1891.0,0,0
k413983,2041.0,2717.0,1,0
k408561,1617.0,579.0,0,0
k191625,391.0,511.0,1,0
k209203,331.0,891.0,0,0
k106575,726.0,3588.0,0,0
k257384,2054.0,1129.0,0,0
k99247,3695.0,300.0,0,0
k125543,1080.0,832.0,0,0
k291741,3231.0,2821.0,1,0
k268592,5925.0,3505.0,1,0
k118233,6284.0,4458.0,0,0
k277085,1218.0,592.0,0,0
k292307,2919.0,1597.0,0,0
k338851,1784.0,1170.0,0,0
k391151,1292.0,2089.0,0,0
k161897,2791.0,1507.0,0,0
k324169,745.0,175.0,0,0
k417947,2018.0,1915.0,0,0
k134325,1804.0,1707.0,0,0
k191308,3861.0,2871.0,1,0
k26257,2121.0,201.0,0,0
k33691,5094.0,4971.0,1,0
k164229,5106.0,3062.0,0,0
k70922,2737.0,319.0,1,0
k106486,6407.0,1289.0,1,0
k230036,1116.0,240.0,0,0
k368533,1940.0,1294.0,0,0
k364344,1260.0,2003.0,0,0
k230701,2418.0,4052.0,0,0
k14482,1195.0,780.0,0,0
k34851,649.0,3019.0,0,0
k307531,2695.0,1055.0,0,0
k76245,1473.0,1758.0,0,0
k221863,684.0,417.0,0,0
k11411,5366.0,4250.0,1,0
k294779,2584.0,2912.0,0,0
k125365,2097.0,2790.0,0,0
k105181,1718.0,3996.0,1,0
k309134,2571.0,457.0,0,0
k190744,2148.0,4994.0,0,0
k118396,1116.0,511.0,0,0
k190948,391.0,306.0,0,0
k149738,1245.0,4290.0,0,0
k229931,1445.0,242.0,0,0
k187853,2298.0,1249.0,0,0
k269742,1256.0,3365.0,0,0
k288354,1500.0,1471.0,0,0
k149924,2721.0,3166.0,1,0
k66483,2226.0,470.0,0,0
k331852,2038.0,1962.0,0,0
k232100,1040.0,626.0,0,0
k20113,1853.0,1248.0,0,0
k399233,2290.0,3586.0,0,0
k389015,591.0,531.0,0,0
k251272,1911.0,990.0,1,0
k106978,2890.0,4298.0,0,0
k423237,1451.0,1032.0,0,0
k421052,1403.0,3087.0,0,0
k92281,1485.0,1398.0,1,0
k348777,2030.0,674.0,0,0
k170289,313.0,342.0,0,0
k206786,5706.0,2272.0,0,0
k94641,972.0,1082.0,0,0
k286393,1712.0,1050.0,0,0
k131075,4046.0,2958.0,0,0
k137456,1565.0,930.0,0,0
k189201,631.0,808.0,0,0
k50098,1978.0,2007.0,0,0
k96966,865.0,3776.0,0,0
k178006,1620.0,997.0,0,0
k201717,1254.0,872.0,0,0
k79365,2881.0,3355.0,0,0
k312893,301.0,4817.0,1,0
k359817,242.0,4667.0,0,0
k125987,2550.0,1803.0,0,0
k171854,1556.0,765.0,0,0
k211938,4472.0,5496.0,0,0
k33831,2558.0,4320.0,1,0
k296909,192.0,1567.0,0,0
k354010,1594.0,1445.0,0,0
k211011,1498.0,1848.0,1,0
k116752,5966.0,4966.0,0,0
k260452,1032.0,4975.0,1,0
k374689,1556.0,2947.0,0,0
k107936,2661.0,1513.0,0,0
k413346,2746.0,2876.0,1,0
k196916,1698.0,330.0,0,0
k90280,5180.0,4175.0,0,0
k323297,4696.0,3492.0,0,0
k347157,1347.0,4399.0,0,0
k80115,992.0,1419.0,0,0
k23169,4818.0,3878.0,1,0
k222357,2432.0,794.0,0,0
k11507,492.0,5005.0,0,0
k165063,1421.0,2251.0,0,0
k366515,1729.0,949.0,0,0
k95669,437.0,390.0,0,0
k35518,2190.0,3237.0,0,0
k401355,2045.0,976.0,0,0
k5844,735.0,2069.0,0,0
k242936,1956.0,691.0,1,0
k259723,607.0,2257.0,0,0
k193293,2032.0,2366.0,1,0
k89478,912.0,2350.0,0,0
k422487,5676.0,3236.0,1,0
k176458,513.0,2454.0,0,0
k208793,607.0,992.0,0,0
k267695,1397.0,2850.0,0,0
k329550,3645.0,807.0,0,0
k377186,2366.0,2249.0,1,0
k311396,2670.0,4050.0,1,0
k6130,2193.0,1087.0,0,0
k229080,1639.0,324.0,0,0
k420619,2202.0,2471.0,1,0
k184594,2470.0,1396.0,0,0
k20881,6402.0,3320.0,0,0
k275281,1798.0,1065.0,0,0
k173998,1719.0,1921.0,0,0
k306542,618.0,1072.0,0,0
k111284,1641.0,3692.0,0,0
k43269,1874.0,3081.0,1,0
k5131,2206.0,1694.0,0,0
k219710,4817.0,5716.0,0,0
k184110,4098.0,806.0,0,0
k179933,680.0,853.0,0,0
k115687,2451.0,3155.0,0,0
k306154,3942.0,4718.0,1,0
k91659,2183.0,931.0,0,0
k249290,5779.0,4641.0,0,0
k409504,5982.0,2239.0,0,0
k221568,1222.0,858.0,0,0
k56679,2232.0,1806.0,0,0
k102255,3716.0,811.0,0,0
k162576,990.0,2218.0,0,0
k405756,458.0,570.0,0,0
k201672,859.0,1746.0,0,0
k355734,283.0,360.0,0,0
k255310,2371.0,1170.0,0,0
k294642,768.0,2989.0,0,0
k282869,993.0,2334.0,0,0
k303636,5200.0,4131.0,1,0
k324668,616.0,648.0,0,0
k177331,1356.0,3228.0,0,0
k63821,1981.0,2164.0,0,0
k274472,1397.0,1471.0,0,0
k421705,1965.0,3658.0,0,0
k231480,2477.0,3291.0,0,0
k112802,1484.0,2278.0,0,0
k129941,2716.0,742.0,0,0
k220830,5121.0,2846.0,0,0
k160134,1666.0,1262.0,0,0
k187120,1388.0,1840.0,1,0
k372611,2256.0,1961.0,0,0
k245981,2778.0,1536.0,0,0
k251809,3009.0,3017.0,0,0
k133813,2416.0,5212.0,0,0
k270011,6420.0,3746.0,1,0
k282438,2468.0,2163.0,0,0
k72490,201.0,940.0,1,0
k421063,2905.0,553.0,0,0
k59764,601.0,2964.0,0,0
k233680,1727.0,277.0,0,0
k197354,931.0,4373.0,0,0
k98462,1530.0,2195.0,0,0
k49588,570.0,3333.0,0,0
k49371,900.0,816.0,0,0
k34105,1590.0,2628.0,0,0
k17119,1130.0,1144.0,0,0
k162902,1150.0,3349.0,0,0
k276315,1595.0,2486.0,0,0
k111409,2670.0,330.0,0,0
k49287,2349.0,661.0,1,0
k69927,2966.0,6407.0,1,0
k331154,342.0,1811.0,0,0
k208278,1505.0,1954.0,1,0
k205116,2764.0,1734.0,0,0
k124519,904.0,1283.0,0,0
k221012,2363.0,1350.0,0,0
k35603,2590.0,1392.0,0,0
k214201,1256.0,5029.0,0,0
k286699,2812.0,1458.0,0,0
k6531,1765.0,2729.0,0,0
k338278,426.0,1080.0,1,0
k243614,2389.0,1200.0,0,0
k355454,170.0,840.0,1,0
k95630,582.0,1485.0,0,0
k251661,1801.0,1218.0,0,0
k385564,1148.0,858.0,0,0
k319355,1235.0,1684.0,0,0
k411034,2707.0,511.0,0,0
k379580,2596.0,1543.0,0,0
k71407,1727.0,2188.0,0,0
k123499,4657.0,4911.0,0,0
k35281,1834.0,771.0,0,0
k364329,3796.0,553.0,0,0
k111083,1556.0,1259.0,0,0
k421170,4647.0,4855.0,0,0
k402223,2553.0,2461.0,0,0
k295518,1863.0,1149.0,0,0
k23602,2355.0,1082.0,0,0
k83693,641.0,5301.0,0,0
k57351,973.0,1442.0,0,0
k277035,603.0,3122.0,0,0
k382242,658.0,3095.0,0,0
k173371,1740.0,1739.0,0,0
k49799,3502.0,3320.0,0,0
k111708,552.0,2280.0,0,0
k1592,1950.0,5281.0,0,0
k11565,2343.0,1091.0,0,0
k33932,671.0,1781.0,0,0
k338684,1671.0,1290.0,0,0
k107037,2022.0,4279.0,0,0
k97290,2676.0,5179.0,1,0
k239417,1361.0,671.0,0,0
k105232,6064.0,4198.0,0,0
k253649,5371.0,4313.0,1,0
k320853,2017.0,2343.0,1,0
k325149,5941.0,3360.0,1,0
k50490,1556.0,1872.0,1,0
k110385,1947.0,2006.0,0,0
k129236,1595.0,1485.0,0,0
k264857,6481.0,1645.0,1,0
k240054,2172.0,649.0,0,0
k350037,1282.0,3302.0,0,0
k87893,1935.0,2730.0,0,0
k243984,1465.0,916.0,1,0
k352919,5864.0,3988.0,1,0
k204658,1027.0,2893.0,0,0
k202874,1261.0,1365.0,1,0
k115916,841.0,430.0,0,0
k252806,2048.0,1248.0,0,0
k355043,2881.0,942.0,0,0
k172803,1064.0,384.0,0,0
k168113,459.0,1020.0,0,0
k9127,1172.0,607.0,0,0
k239955,2053.0,5899.0,1,0
k284542,3013.0,3089.0,0,0
k83107,3798.0,2118.0,0,0
k418695,2363.0,2685.0,0,0
k244310,1149.0,576.0,0,0
k19396,1243.0,5225.0,0,0
k220129,1207.0,1323.0,0,0
k13059,960.0,4373.0,1,0
k293367,750.0,3048.0,1,0
k252450,4900.0,2335.0,0,0
k298862,4656.0,1412.0,0,0
k470,1866.0,2689.0,0,0
k367106,1818.0,3164.0,1,0
k62750,2163.0,1158.0,0,0
k331530,942.0,1041.0,0,0
k74395,5352.0,5835.0,1,0
k2624,2263.0,1608.0,1,0
k310637,1233.0,2430.0,0,0
k340665,2315.0,2347.0,0,0
k190996,1172.0,990.0,0,0
k311766,649.0,5467.0,0,0
k231590,1621.0,1312.0,0,0
k252831,1548.0,484.0,0,0
k336501,6225.0,3410.0,0,0
k180576,1944.0,5685.0,0,0
k177381,1277.0,2133.0,0,0
k28811,4235.0,4186.0,0,0
k296163,2471.0,4450.0,1,0
k204606,497.0,850.0,0,0
k40892,2389.0,1077.0,1,0
k403635,899.0,247.0,0,0
k108616,1581.0,1099.0,0,0
k345695,1310.0,1986.0,0,0
k235462,1189.0,5484.0,1,0
k377021,2320.0,3237.0,0,0
k362206,1773.0,1793.0,0,0
k313165,2521.0,1422.0,0,0
k155872,577.0,335.0,1,0
k304377,351.0,3167.0,0,0
k178539,190.0,2714.0,0,0
k262678,234.0,2213.0,0,0
k11468,2486.0,1771.0,1,0
k47642,1945.0,4313.0,0,0
k167733,2697.0,201.0,0,0
k416691,1138.0,2824.0,0,0
k213788,3247.0,6067.0,1,0
k335218,2105.0,1414.0,0,0
k290355,1934.0,5894.0,0,0
k419221,1353.0,1226.0,0,0
k85876,2373.0,4177.0,0,0
k171087,4913.0,4578.0,0,0
k249010,1423.0,2719.0,0,0
k310879,1123.0,1706.0,0,0
k205401,787.0,1507.0,0,0
k363459,2072.0,1801.0,0,0
k5182,2571.0,741.0,0,0
k4127,600.0,488.0,0,0
k308844,1648.0,1620.0,0,0
k15270,2423.0,4385.0,1,0
k365289,1880.0,543.0,0,0
k223616,1283.0,4339.0,0,0
k125848,4332.0,1694.0,1,0
k260855,3115.0,5844.0,1,0
k274442,1964.0,4595.0,1,0
k169084,1254.0,5473.0,0,0
k201684,1924.0,3207.0,0,0
k95955,5076.0,5578.0,1,0
k181610,2060.0,886.0,0,0
k4786,1304.0,255.0,0,0
k212184,819.0,618.0,0,0
k407919,1266.0,2586.0,0,0
k357472,1836.0,2132.0,0,0
k207190,2389.0,819.0,0,0
k246169,2868.0,5388.0,1,0
k312344,630.0,3273.0,0,0
k206623,1110.0,2400.0,0,0
k60765,750.0,424.0,0,0
k273295,2135.0,5971.0,1,0
k369526,1423.0,426.0,0,0
k18778,2951.0,2028.0,0,0
k422369,1852.0,6452.0,1,0
k8671,1368.0,1624.0,0,0
k62728,1890.0,2848.0,0,0
k86657,1851.0,859.0,0,0
k242340,1298.0,722.0,1,0
k388023,2208.0,395.0,0,0
k258422,5220.0,4081.0,0,0
k258681,437.0,2955.0,0,0
k22104,900.0,1984.0,0,0
k157140,3129.0,1776.0,1,0
k397494,1087.0,638.0,0,0
k141598,2584.0,5079.0,0,0
k305126,1537.0,1020.0,0,0
k403676,1080.0,1801.0,0,0
k329973,2581.0,1006.0,0,0
k146573,2359.0,2173.0,1,0
k379235,5190.0,4113.0,0,0
k412883,2101.0,1065.0,0,0
k354213,2477.0,1798.0,0,0
k384947,1549.0,2164.0,0,0
k209025,4149.0,4077.0,0,0
k27643,659.0,3847.0,0,0
k143273,474.0,3065.0,0,0
k231264,4076.0,3506.0,0,0
k119494,4101.0,636.0,0,0
k44142,807.0,644.0,0,0
k403876,2324.0,794.0,1,0
k347905,2482.0,4287.0,1,0
k347958,2294.0,2400.0,0,0
k130193,1332.0,731.0,1,0
k212551,1368.0,134.0,0,0
k343926,1499.0,849.0,0,0
k404813,2980.0,2440.0,0,0
k329771,4213.0,5854.0,1,0
k192760,949.0,2952.0,0,0
k141713,3349.0,4078.0,1,0
k268971,1748.0,3378.0,0,0
k65062,5397.0,4061.0,0,0
k387293,3388.0,5657.0,1,0
k120380,4338.0,1061.0,0,0
k109976,2940.0,5865.0,0,0
k16493,1443.0,1396.0,0,0
k159017,760.0,5355.0,1,0
k370351,1736.0,1445.0,0,0
k238027,1237.0,1950.0,0,0
k158784,1350.0,1165.0,0,0
k86486,2452.0,1660.0,0,0
k298351,2210.0,1811.0,0,0
k246022,408.0,2601.0,0,0
k225118,1723.0,1075.0,0,0
k23244,1627.0,5247.0,1,0
k124569,979.0,330.0,0,0
k64651,2713.0,2975.0,0,0
k46653,1316.0,5479.0,1,0
k59040,4308.0,5878.0,0,0
k97973,3354.0,3198.0,0,0
k297309,3284.0,3254.0,0,0
k85701,1237.0,2018.0,0,0
k378060,2080.0,6173.0,1,0
k358250,1226.0,3069.0,0,0
k42027,1338.0,1706.0,0,0
k291845,781.0,1952.0,0,0
k188681,2638.0,4324.0,1,0
k217936,1365.0,5020.0,1,0
k217422,2471.0,1543.0,0,0
k396460,2163.0,1986.0,1,0
k298911,1370.0,693.0,0,0
k138654,2151.0,2014.0,0,0
k203292,4658.0,3655.0,1,0
k368407,4388.0,4281.0,1,0
k375357,2780.0,2706.0,0,0
k17668,1396.0,849.0,0,0
k373205,2257.0,2832.0,0,0
k371554,1463.0,1579.0,0,0
k57284,6157.0,6049.0,1,0
k312755,4164.0,4547.0,1,0
k292384,1316.0,1415.0,1,0
k209364,1271.0,3903.0,0,0
k158063,331.0,2912.0,0,0
k185858,2512.0,1674.0,0,0
k295700,5011.0,900.0,0,0
k93229,690.0,1852.0,0,0
k208009,3973.0,934.0,0,0
k362070,1101.0,888.0,0,0
k35247,2886.0,1939.0,1,0
k34490,2379.0,2053.0,0,0
k99574,1947.0,5248.0,1,0
k336530,210.0,5370.0,0,0
k51591,1986.0,1124.0,1,0
k368865,1624.0,4497.0,0,0
k95807,1865.0,2257.0,0,0
k34976,2636.0,2695.0,0,0
k89531,255.0,4570.0,0,0
k42067,3381.0,569.0,0,0
k280409,1523.0,830.0,0,0
k92991,1591.0,1008.0,0,0
k41016,6513.0,2368.0,0,0
k210345,726.0,2707.0,0,0
k387177,1806.0,3494.0,0,0
k329083,2029.0,1209.0,0,0
k291322,781.0,2503.0,0,0
k303872,2092.0,2309.0,0,0
k252642,1752.0,886.0,1,0
k297054,810.0,878.0,0,0
k186046,2683.0,658.0,0,0
k2620,1657.0,1024.0,0,0
k83656,1456.0,721.0,0,0
k304726,547.0,664.0,0,0
k247159,3092.0,5255.0,0,0
k151815,1630.0,1500.0,0,0
k135086,2053.0,1129.0,0,0
k136,1423.0,1888.0,1,0
k110841,1554.0,805.0,0,0
k97638,2278.0,3813.0,1,0
k282041,1702.0,1328.0,0,0
k201179,2370.0,1535.0,0,1
k149550,1201.0,679.0,0,0
k231466,870.0,1677.0,0,0
k56052,3108.0,5657.0,1,0
k298939,2630.0,1376.0,1,0
k124231,607.0,3397.0,0,0
k183882,1549.0,1588.0,1,0
k403813,1719.0,2203.0,1,0
k88644,510.0,540.0,0,0
k342055,930.0,1396.0,0,0
k269806,1200.0,706.0,0,0
k49909,3948.0,5908.0,1,0
k202261,2300.0,1536.0,0,0
k229954,2293.0,4020.0,1,0
k137931,1170.0,1914.0,0,0
k283915,1455.0,4149.0,0,0
