Key_1_1,Soil_Type21,Soil_Type34,Soil_Type24,Soil_Type3
k400699,0,0,0,0
k81674,0,0,0,0
k334672,0,0,0,0
k346502,0,0,0,0
k164358,0,0,0,0
k113160,0,0,1,0
k240671,0,0,0,0
k235719,0,0,0,0
k229287,0,0,0,0
k102255,0,0,0,0
k78508,0,0,0,0
k365210,0,0,0,0
k283052,0,0,0,0
k389420,0,0,0,0
k319904,0,0,0,0
k160818,0,0,0,0
k153447,0,0,0,0
k118577,0,0,0,0
k264988,0,0,0,0
k414304,0,0,0,0
k194513,0,0,0,0
k241514,0,0,0,1
k189403,0,0,0,0
k289343,0,0,0,0
k203914,0,0,0,0
k223834,0,0,0,0
k308773,0,0,0,0
k349792,0,0,0,0
k208422,0,0,0,0
k38562,0,0,0,0
k162702,0,0,0,0
k414824,0,0,0,0
k60486,0,0,0,0
k295740,0,0,0,0
k92074,0,0,0,0
k148140,0,0,0,0
k209573,0,0,0,0
k336370,0,0,0,0
k229784,0,0,0,0
k42865,0,0,0,0
k118613,0,0,0,0
k347417,0,0,0,0
k387324,0,0,0,0
k14250,0,0,0,0
k69989,0,0,0,0
k81888,0,0,0,0
k82280,0,0,0,0
k396240,0,0,0,0
k124492,0,0,0,0
k14266,0,0,0,0
k278075,0,0,0,0
k375094,0,0,0,0
k78793,0,0,0,0
k260574,0,0,0,0
k114594,0,0,0,0
k177862,0,0,0,0
k97693,0,0,0,0
k287365,0,0,0,0
k157452,0,0,0,0
k380494,0,0,0,0
k197007,0,0,0,0
k193644,0,0,0,1
k145102,0,0,0,0
k105232,0,0,0,0
k261014,0,0,0,0
k246744,0,0,0,0
k273458,0,0,0,0
k353225,0,0,0,0
k320828,0,0,0,0
k71315,0,0,0,0
k302482,0,0,0,0
k218131,0,0,0,0
k120518,0,0,0,0
k128125,0,0,0,0
k21513,0,0,1,0
k415752,0,0,0,0
k359410,0,0,1,0
k414368,0,0,0,0
k146503,0,0,0,0
k403367,0,0,0,0
k387706,0,0,0,0
k324541,0,0,0,0
k411024,0,0,0,0
k390228,0,0,0,0
k148126,0,0,0,0
k145219,0,0,0,0
k369471,0,0,0,0
k159589,0,0,0,0
k95590,0,0,0,0
k112712,0,0,0,0
k215220,0,0,0,0
k220200,0,0,0,0
k417595,0,0,0,0
k27892,0,0,0,0
k188844,0,0,0,0
k191007,0,0,0,0
k97683,0,0,0,0
k321602,0,0,0,0
k92810,0,0,0,0
k8336,0,0,0,0
k321703,0,0,0,0
k200831,0,0,0,0
k105065,0,0,0,0
k192712,0,0,0,1
k62517,0,0,0,0
k43662,0,0,0,0
k56705,0,0,0,0
k166000,0,0,0,0
k163611,0,0,0,0
k347056,0,0,0,0
k417103,0,0,0,0
k165409,0,0,0,0
k306175,0,0,0,0
k225498,0,0,0,0
k390089,0,0,0,0
k2921,0,0,0,0
k71116,0,0,0,0
k36116,0,0,0,0
k137349,0,0,0,0
k117692,0,0,0,0
k332252,0,0,0,0
k92634,0,0,0,0
k91127,0,0,0,0
k126647,0,0,0,0
k226851,0,0,0,0
k395640,0,0,0,0
k360554,0,0,0,0
k87673,0,0,0,0
k275591,0,0,0,0
k159947,0,0,0,1
k114614,0,0,0,0
k409931,0,0,0,0
k143479,0,0,0,0
k409126,0,0,0,0
k225613,0,0,0,0
k297442,0,0,0,0
k218650,0,0,0,0
k8797,0,0,0,0
k183084,0,0,0,0
k237752,0,0,0,0
k116115,0,0,0,0
k178316,0,0,0,0
k104474,0,0,1,0
k27672,0,0,0,0
k137186,0,0,0,0
k33524,0,0,0,0
k423497,0,0,0,0
k167728,0,0,0,0
k67338,0,0,1,0
k218716,0,0,0,0
k325932,0,0,0,0
k314211,0,0,0,0
k4004,0,0,0,0
k314994,0,0,0,0
k232281,0,0,0,0
k370032,0,0,0,0
k191831,0,0,1,0
k158185,0,0,0,0
k264106,0,0,0,0
k321901,0,0,0,0
k345575,0,0,0,0
k251291,0,0,0,0
k232661,0,0,0,0
k303713,0,0,0,0
k114368,0,0,0,0
k164448,0,0,0,0
k90158,0,0,0,0
k269434,0,0,0,0
k256304,0,0,0,0
k176945,0,0,0,0
k21383,0,0,0,0
k199664,0,0,0,0
k400797,0,0,0,0
k338152,0,0,0,0
k113526,0,0,0,0
k400695,0,0,0,0
k22068,0,0,0,0
k422633,0,0,0,0
k376260,0,0,1,0
k361450,0,0,0,0
k3166,0,0,0,0
k105636,0,0,0,0
k124237,0,0,1,0
k245645,0,0,0,0
k404897,0,0,0,0
k210426,0,0,0,0
k204225,0,0,0,0
k3396,0,0,0,0
k96576,0,0,0,0
k385043,0,0,0,0
k45529,0,0,0,0
k279068,0,0,0,0
k255441,0,0,0,0
k251292,0,0,0,0
k154563,0,0,0,0
k222440,0,0,0,0
k135727,0,0,0,0
k122409,0,0,0,0
k226154,0,0,0,0
k18131,0,0,0,0
k42056,0,0,0,0
k392657,0,0,0,0
k75118,0,0,0,0
k228466,0,0,1,0
k184789,0,0,0,0
k15929,0,0,0,0
k60359,0,0,0,0
k74982,0,0,0,0
k31323,0,0,0,0
k400583,0,0,0,0
k107189,0,0,0,0
k129618,0,0,0,0
k23008,0,0,0,0
k1951,0,0,0,0
k201544,0,0,0,0
k315863,0,0,0,0
k387194,0,0,0,0
k404491,0,0,0,0
k181217,0,0,0,0
k418063,0,0,0,0
k97162,0,0,0,0
k345212,0,0,0,0
k206879,0,0,0,0
k332706,0,0,0,0
k152362,0,0,0,0
k385039,0,0,0,0
k228022,0,0,0,0
k368951,0,0,0,0
k174968,0,0,0,0
k131923,0,0,0,0
k166641,0,0,0,0
k378427,0,0,0,0
k201089,0,0,0,0
k92711,0,0,0,0
k318027,0,0,0,0
k46022,0,0,0,0
k90550,0,0,0,0
k389992,0,0,0,0
k33395,0,0,0,0
k99930,0,0,0,0
k326655,0,0,0,0
k386330,0,0,0,0
k102094,0,0,0,0
k204041,0,0,0,0
k114157,0,0,0,0
k280461,0,0,0,0
k72573,0,0,0,0
k391520,0,0,0,0
k384868,0,0,0,0
k115648,0,0,0,0
k40502,0,0,0,0
k328701,0,0,0,0
k230406,0,0,1,0
k131808,0,0,0,0
k93531,0,0,0,0
k224314,0,0,0,0
k379962,0,0,0,0
k166662,0,0,0,0
k281220,0,0,0,0
k33705,0,0,0,0
k406037,0,0,0,0
k86776,0,0,0,0
k413297,0,0,0,0
k168798,0,0,0,0
k234172,0,0,0,0
k320351,0,0,0,0
k260415,0,0,0,0
k319015,0,0,0,0
k209368,0,0,0,0
k225265,0,0,0,0
k7299,0,0,0,0
k406976,0,0,0,0
k416276,0,0,0,0
k409855,0,0,0,0
k247853,0,0,0,0
k244341,0,0,0,0
k337012,0,0,0,0
k150425,0,0,0,0
k261541,0,0,0,0
k130983,0,0,0,0
k73599,0,0,0,0
k146759,0,0,0,0
k286537,0,0,0,0
k20528,0,0,0,0
k176973,0,0,0,0
k16325,0,0,0,0
k50240,0,0,0,0
k273948,0,0,0,0
k344290,0,0,0,0
k18062,0,0,0,0
k276818,0,0,0,0
k369025,0,0,0,0
k162427,0,0,0,0
k310431,0,0,0,0
k144966,0,0,0,0
k393603,0,0,0,0
k187281,0,0,0,0
k138769,0,0,0,0
k32817,0,0,0,0
k133143,0,0,0,0
k122579,0,0,1,0
k306357,0,0,0,0
k7113,0,0,0,0
k97860,0,0,0,0
k230526,0,0,0,0
k409482,0,0,0,0
k216824,0,0,0,0
k42429,0,0,0,0
k133274,0,0,0,0
k175795,0,0,0,0
k123268,0,0,0,0
k270353,0,0,0,0
k140033,0,0,0,0
k378722,0,0,0,0
k257844,0,0,0,0
k164524,0,0,0,0
k370872,0,0,0,0
k23684,0,0,0,0
k337397,0,0,0,0
k302213,0,0,0,0
k333579,0,0,0,0
k407022,0,0,0,0
k151625,0,0,0,0
k405791,0,0,0,0
k321924,0,0,0,0
k305540,0,0,0,0
k400101,0,0,1,0
k245355,0,0,0,0
k135323,0,0,0,0
k260634,0,0,0,0
k174264,0,0,0,0
k340817,0,0,0,0
k163342,0,0,0,0
k186293,0,0,0,0
k414612,0,0,0,0
k38273,0,0,1,0
k58768,0,0,0,0
k53528,0,0,0,0
k186270,0,0,0,0
k94209,0,0,0,0
k279097,0,1,0,0
k111531,0,0,0,0
k144323,0,0,0,0
k400618,0,0,0,0
k234303,0,0,0,0
k296946,0,0,0,0
k79220,0,0,0,0
k170374,0,0,0,0
k220327,0,0,0,0
k215693,0,0,0,0
k93985,0,0,0,0
k258820,0,0,0,0
k219282,0,0,0,0
k285548,0,0,0,0
k404644,0,0,0,1
k140809,0,0,0,0
k291635,0,0,0,0
k176365,0,0,0,0
k11154,0,0,0,0
k137699,0,0,1,0
k405646,0,0,0,0
k275117,0,0,0,0
k103653,0,0,0,1
k184461,0,0,0,0
k33540,0,0,0,0
k100988,0,0,0,0
k248350,0,0,0,0
k271634,0,0,0,0
k327535,0,0,0,0
k185234,0,0,0,0
k363283,0,0,0,0
k357743,0,0,0,0
k196496,0,0,0,0
k218035,0,0,0,0
k151383,0,0,0,0
k197214,0,0,0,0
k180865,0,0,0,0
k201103,0,0,0,0
k362880,0,0,0,0
k52287,0,0,0,0
k396013,0,0,0,0
k197765,0,0,0,0
k284066,0,0,0,0
k124893,0,0,0,0
k366601,0,0,0,0
k260815,0,0,0,0
k189464,0,0,0,0
k164018,0,0,0,0
k187688,0,0,0,0
k44163,0,0,0,0
k394438,0,0,0,0
k129524,0,0,1,0
k123517,0,1,0,0
k339113,0,0,0,0
k349444,0,0,0,0
k261734,0,0,0,0
k330233,0,0,0,0
k311234,0,0,0,0
k41742,0,0,0,0
k382471,0,0,0,0
k389942,0,0,0,0
k120438,0,0,0,0
k261711,0,0,0,0
k141509,0,0,0,0
k371733,0,0,0,0
k360016,0,0,0,0
k275559,0,0,0,0
k98521,0,0,0,0
k353049,0,0,0,0
k155562,0,0,0,0
k373285,0,0,0,0
k421044,0,0,0,0
k422581,0,0,0,0
k268218,0,0,0,0
k265026,0,0,0,0
k390661,0,0,0,0
k397891,0,0,1,0
k62063,0,0,0,0
k334912,0,0,0,0
k226903,0,0,0,0
k244645,0,0,0,0
k316508,0,0,0,0
k107455,0,0,0,0
k141451,0,0,0,0
k7561,0,0,0,0
k176380,0,0,0,0
k10336,0,0,0,0
k158688,0,0,0,0
k30761,0,0,0,0
k344697,0,0,0,0
k241564,0,0,0,0
k35817,0,0,0,0
k123020,0,0,0,0
k377412,0,0,0,0
k268395,0,0,0,0
k226059,0,0,0,0
k330513,0,0,0,0
k403276,0,0,0,0
k38313,0,0,0,0
k221420,0,0,0,0
k420633,0,0,0,0
k149869,0,0,0,0
k172516,0,0,0,0
k63948,0,0,0,0
k128839,0,0,0,0
k142418,0,0,0,0
k230034,0,0,0,0
k39489,0,0,0,0
k365001,0,0,0,0
k322133,0,0,0,0
k159740,0,0,0,0
k257926,0,0,0,0
k308099,0,0,0,0
k379702,0,0,0,0
k210596,0,0,0,0
k234086,0,0,0,0
k6516,0,0,0,0
k2962,0,0,0,0
k161789,0,0,0,0
k329334,0,0,0,0
k261587,0,0,0,0
k79223,0,0,0,0
k410818,0,0,0,0
k264946,0,0,0,0
k323049,0,0,0,0
k353770,0,0,0,0
k370050,0,0,0,0
k46690,0,0,0,0
k323468,0,0,0,0
k58732,0,0,0,0
k217562,0,0,0,0
k120631,0,0,1,0
k11036,0,0,0,0
k144926,0,0,0,0
k342445,0,0,0,0
k56847,0,0,0,0
k138584,0,0,0,0
k93129,0,0,0,0
k321066,0,0,0,0
k233380,0,0,0,0
k46370,0,0,0,0
k368660,0,0,0,0
k422407,0,0,0,0
k288175,0,0,0,0
k352164,0,0,1,0
k155856,0,0,0,0
k7928,0,0,0,0
k18670,0,0,0,0
k357320,0,0,0,0
k208525,0,0,0,0
k128218,0,0,0,0
k37998,0,0,0,0
k216883,0,0,0,0
k56550,0,0,0,0
k13798,0,0,0,0
k169825,0,0,0,0
k94113,0,0,0,0
k139039,0,0,0,0
k75346,0,0,0,0
k350119,0,0,0,0
k306738,0,0,0,0
k27835,0,0,0,0
k374431,0,0,0,0
k99175,0,0,0,0
k3886,0,0,0,0
k348161,0,0,0,0
k179313,0,0,0,0
k338961,0,0,0,0
k370221,0,0,0,0
k342777,0,0,0,0
k261937,0,0,0,0
k175351,0,0,0,0
k259768,0,0,0,0
k216969,0,0,0,0
k74523,0,0,0,0
k309226,0,0,0,0
k258716,0,0,0,0
k329051,0,0,0,0
k174486,0,0,0,0
k176927,0,0,0,0
k68705,0,0,0,0
k191641,0,0,0,0
k197601,0,0,0,0
k287346,0,0,0,0
k44121,0,0,0,0
k73636,0,0,0,0
k307709,0,0,0,0
k92168,0,0,0,0
k393385,0,0,1,0
k175726,0,0,0,0
k273710,0,0,0,0
k71433,0,0,0,0
k230284,0,0,0,0
k52932,0,0,0,0
k292270,0,0,0,0
k162583,0,0,0,0
k53220,0,0,0,0
k70563,0,0,1,0
k162967,0,0,0,0
k13393,0,0,0,0
k212772,0,0,1,0
k381145,0,0,0,0
k414241,0,0,0,0
k107589,0,0,0,0
k334017,0,0,0,0
k31446,0,0,0,0
k229364,0,0,0,0
k354197,0,0,0,0
k194911,0,0,0,0
k69745,0,0,0,0
k408224,0,0,0,0
k145912,0,0,0,0
k8991,0,0,0,0
k293169,0,0,0,0
k316205,0,0,0,0
k228885,0,0,0,0
k307083,0,0,0,0
k21056,0,0,0,0
k238823,0,0,0,0
k77592,0,0,0,0
k402454,0,0,0,0
k29366,0,0,0,0
k279670,0,0,0,0
k254045,0,0,0,0
k399647,0,0,0,0
k399399,0,0,0,0
k47680,0,0,0,0
k102401,0,0,0,0
k131218,0,0,1,0
k165208,0,0,0,0
k415509,0,0,0,0
k402039,0,0,0,0
k394133,0,0,0,0
k133795,0,0,0,0
k280864,0,0,0,0
k15950,0,0,0,0
k372815,0,0,0,0
k415845,0,0,0,0
k347332,0,0,0,0
k23058,0,0,0,0
k74842,0,0,0,0
k238867,0,0,0,0
k117396,0,0,1,0
k35613,0,0,0,0
k103229,0,0,0,0
k294489,0,0,0,0
k365815,0,0,0,0
k11545,0,0,0,0
k170912,0,0,0,0
k312981,0,0,0,0
k250981,0,0,0,0
k167948,0,0,0,0
k157945,0,0,0,0
k273756,0,0,0,0
k23310,0,0,0,0
k361652,0,0,0,0
k311536,0,0,0,0
k380981,0,0,0,0
k123439,0,0,0,0
k322859,0,0,0,0
k410958,0,0,0,0
k1882,0,0,0,0
k36138,0,0,0,0
k192739,0,0,0,0
k260338,0,0,0,0
k46728,0,0,0,0
k168156,0,0,0,0
k336655,0,0,0,0
k397255,0,0,0,0
k194198,0,0,0,0
k286804,0,0,0,0
k387756,0,0,0,0
k179141,0,1,0,0
k403164,0,0,0,0
k252304,0,0,0,0
k69392,0,0,0,0
k412751,0,0,0,0
k238141,0,0,0,0
k72040,0,0,0,0
k97533,0,0,0,0
k329812,0,1,0,0
k294653,0,0,0,0
k98676,0,0,0,0
k226063,0,0,0,0
k219842,0,0,0,0
k112586,0,0,0,0
k85885,0,0,0,0
k64131,0,0,0,0
k200348,0,0,1,0
k406727,0,0,0,0
k283067,0,0,0,0
k228684,0,0,0,0
k12707,0,0,0,0
k291694,0,0,0,0
k2763,0,0,0,0
k314257,0,0,0,0
k165719,0,0,0,0
k43161,0,0,0,0
k33581,0,0,0,0
k217391,0,0,0,0
k173730,0,0,0,0
k250542,0,1,0,0
k272764,0,0,0,0
k315970,0,0,0,0
k13339,0,0,0,0
k19551,0,0,0,0
k121105,0,0,0,0
k196252,0,0,0,0
k172537,0,0,0,0
k11055,0,0,0,0
k390893,0,0,0,0
k136504,0,0,0,0
k295853,0,0,0,0
k113236,0,0,0,0
k326006,0,0,0,0
k77806,0,0,0,0
k144159,0,0,0,0
k377698,0,0,0,0
k276118,0,0,0,0
k220771,0,0,0,0
k355637,0,0,0,0
k245878,0,0,0,0
k415621,0,0,1,0
k377313,0,0,0,0
k224849,0,0,0,0
k113042,0,0,0,0
k225687,0,0,0,0
k278129,0,0,0,0
k215916,0,0,0,0
k319691,0,0,0,0
k276993,0,0,0,0
k313823,0,0,0,0
k316187,0,0,0,0
k255306,0,0,0,0
k230882,0,0,0,0
k376203,0,0,0,0
k39519,0,0,0,0
k219806,0,0,0,0
k216751,0,0,0,0
k345407,0,0,0,0
k124730,0,0,0,0
k25994,0,0,0,0
k378652,0,0,0,0
k60018,0,0,0,0
k346469,0,0,0,0
k135880,0,0,0,0
k150277,0,0,0,0
k136861,0,0,0,0
k247713,0,0,0,0
k8066,0,0,0,0
k140700,0,0,0,0
k334991,0,0,0,0
k194835,0,0,0,0
k56450,0,0,0,0
k373928,0,0,0,0
k268625,0,0,0,0
k264811,0,0,0,0
k241310,0,0,0,0
k213432,0,0,0,0
k26834,0,0,0,0
k12852,0,0,0,0
k175696,0,0,0,0
k223963,0,0,0,0
k371906,0,0,0,0
k98382,0,0,0,0
k189452,0,0,0,0
k162887,0,0,0,0
k325159,0,0,0,0
k994,0,0,0,0
k365332,0,0,0,0
k91940,0,0,0,0
k245849,0,0,0,0
k302341,0,0,0,0
k58915,0,0,0,0
k243166,0,0,0,0
k158272,0,0,0,0
k103138,0,0,0,0
k328029,0,0,0,0
k279724,0,0,0,0
k133442,0,0,0,0
k393946,0,0,0,0
k317500,0,0,0,0
k272421,0,0,0,0
k340771,0,0,0,0
k385250,0,0,0,0
k125693,0,0,0,0
k228463,0,0,0,0
k77862,0,0,0,0
k275382,0,0,0,0
k26494,0,0,0,0
k357800,0,0,0,0
k167357,0,0,0,0
k14327,0,0,0,0
k365720,0,0,0,0
k422946,0,0,0,0
k159350,0,0,0,0
k178725,0,0,0,0
k75219,0,0,0,0
k250648,0,0,0,0
k206651,0,0,0,0
k408587,0,0,0,0
k133363,0,0,0,0
k52566,0,0,0,0
k232136,0,0,0,0
k421353,0,0,0,0
k360601,0,0,0,0
k180687,0,0,0,0
k16335,0,0,0,0
k113683,0,0,0,0
k361563,0,0,0,0
k200506,0,0,0,0
k417707,0,0,0,0
k71553,0,0,0,0
k377612,0,0,0,0
k216794,0,0,0,0
k131800,0,0,0,0
k328140,0,0,0,0
k159811,0,0,0,0
k374894,0,0,0,0
k10919,0,0,0,0
k326389,0,0,0,0
k254715,0,0,0,0
k51993,0,0,0,0
k61107,0,0,0,0
k50208,0,0,0,0
k224355,0,0,0,0
k324837,0,0,0,0
k15905,0,0,0,0
k386216,0,0,0,0
k293358,0,0,0,0
k87309,0,0,0,0
k171680,0,0,0,0
k64953,0,0,0,0
k398415,0,0,0,0
k358631,0,0,0,0
k112154,0,0,0,0
k109924,0,0,0,0
k325992,0,0,0,0
k379026,0,0,0,0
k93279,0,0,0,0
k370454,0,0,0,0
k302059,0,0,0,0
k241704,0,0,0,0
k74375,0,0,0,0
k364246,0,0,0,0
k237629,0,0,0,0
k158393,0,0,1,0
k165120,0,0,0,0
k100689,0,0,0,0
k217649,0,0,0,0
k380732,0,0,0,0
k319714,0,0,0,0
k152493,0,0,0,0
k2731,0,0,0,0
k182983,0,0,0,0
k144440,0,0,0,0
k221920,0,0,0,0
k395582,0,0,0,0
k99069,0,0,0,0
k219374,0,0,0,0
k340646,0,0,0,0
k335764,0,0,0,0
k369170,0,0,0,0
k41223,0,0,0,0
k127436,0,0,0,0
k376693,0,0,0,0
k60209,0,0,0,0
k69422,0,0,0,0
k72234,0,0,0,0
k100282,0,0,0,0
k361292,0,0,0,0
k42009,0,0,0,0
k100899,0,0,0,0
k228957,0,0,0,0
k206303,0,0,0,0
k389527,0,0,0,0
k208804,0,0,0,0
k224173,0,0,0,0
k338290,0,0,0,0
k128964,0,0,0,0
k42724,0,0,0,1
k78752,0,0,0,0
k144881,0,0,0,0
k368734,0,0,0,0
k125501,0,0,0,0
k413854,0,0,0,0
k80617,0,0,0,0
k246334,0,0,0,0
k40849,0,0,0,0
k46683,0,0,0,0
k120643,0,0,0,0
k7474,0,0,0,0
k49684,0,0,0,0
k378414,0,0,1,0
k256869,0,0,0,0
k314610,0,0,0,0
k397517,0,0,0,0
k239097,0,0,0,0
k394223,0,0,1,0
k204887,0,0,1,0
k306611,0,0,0,0
k311079,0,0,0,0
k37100,0,0,0,0
k369768,0,0,0,0
k420290,0,0,0,0
k133936,0,0,0,0
k347259,0,0,0,0
k302094,0,0,0,0
k75991,0,0,0,0
k120747,0,0,0,0
k184902,0,0,0,0
k16175,0,0,0,0
k279755,0,0,0,0
k388101,0,0,0,0
k330524,0,0,0,0
k35676,0,0,0,0
k88486,0,0,0,0
k230489,0,0,0,0
k95945,0,0,0,0
k403829,0,0,0,0
k4044,0,0,0,0
k375164,0,0,0,0
k229372,0,0,0,0
k40058,0,0,0,0
k418359,0,0,0,0
k160345,0,1,0,0
k125849,0,0,0,0
k3377,0,0,0,0
k377872,0,0,0,0
k163144,0,0,0,0
k84822,0,0,0,0
k30663,0,0,0,0
k39343,0,0,0,0
k378290,0,0,0,0
k244732,0,0,0,0
k326793,0,0,0,0
k203988,0,0,0,0
k336845,0,0,0,0
k100604,0,0,0,0
k296700,0,0,0,0
k278171,0,0,0,0
k174949,0,0,0,0
k381573,0,0,0,0
k278579,0,0,0,0
k15549,0,0,0,0
k102708,0,0,0,0
k396182,0,0,0,0
k41822,0,0,0,0
k252801,0,0,0,0
k30349,0,0,0,0
k372222,0,0,0,0
k308273,0,0,0,0
k280536,0,0,0,0
k35267,0,0,1,0
k41845,0,0,0,0
k196334,0,0,0,0
k292702,0,0,0,0
k120847,0,0,0,0
k88325,0,0,0,0
k230431,0,0,0,0
k83911,0,0,0,0
k247201,0,0,0,0
k405339,0,0,0,0
k251111,0,0,0,0
k378634,0,0,0,0
k205490,0,0,0,0
k277799,0,0,0,0
k421665,0,0,0,0
k268799,0,0,0,0
k243178,0,0,0,0
k164603,0,0,0,0
k106976,0,0,0,0
k339497,0,0,0,0
k54622,0,0,0,0
k359822,0,0,0,0
k44033,0,0,0,0
k373944,0,0,0,0
k98726,0,0,0,0
k72239,0,0,0,0
k309371,0,0,0,0
k50412,0,0,0,0
k253034,0,0,0,1
k284582,0,0,0,0
k352208,0,0,0,0
k126285,0,0,0,0
k323479,0,0,0,0
k404331,0,0,0,1
k70485,0,0,0,0
k78108,0,0,0,0
