Key_2_4,ParticleID_2,ParticleID_41,ParticleID_26,ParticleID_22,ParticleID_15
k38615,154.08100000000002,-22.8179,132.599,25.0903,673.084
k50758,105.798,-14.5703,145.48,66.9893,644.008
k8997,148.447,-31.4942,158.126,31.7041,839.669
k23113,142.4,-14.7669,146.668,61.9752,691.815
k60316,102.831,-15.3836,12.1084,54.5421,415.929
k15308,98.6915,-34.7939,94.1816,41.2682,706.803
k12538,217.117,-53.7556,208.482,71.0178,963.749
k38461,126.422,-26.4352,72.2565,46.9672,672.725
k16753,124.274,26.8898,102.497,34.1633,645.109
k62879,132.606,-41.8439,186.821,56.3192,769.9730000000001
k1569,37.7611,5.97577,29.0027,130.792,825.663
k11891,90.4777,-31.9804,114.442,39.6534,453.684
k33139,100.894,4.77186,126.496,37.5587,447.755
k27238,93.1366,-34.2525,77.1985,48.2673,793.576
k53908,111.807,-38.9235,120.358,64.8557,953.735
k11443,110.251,-160.062,101.486,11.8031,518.822
k57643,155.80100000000002,-29.4238,134.683,31.9534,724.173
k54072,132.576,-37.0901,109.9,33.8415,579.191
k30293,126.438,-12.5731,132.045,91.7112,718.797
k65931,101.146,-175.875,137.259,6.40872,613.139
k8645,102.022,-99.1053,90.9127,26.3114,708.117
k5964,92.3197,-29.189,133.414,32.3126,516.635
k55533,114.473,-31.8737,112.261,38.8551,584.4169999999999
k26600,24.2372,0.169938,140.82299999999998,75.3835,830.6210000000001
k7885,104.176,-37.3976,1.16732,61.6116,676.9739999999999
k13383,32.4161,52.2195,183.33900000000003,61.3499,1306.87
k21561,115.877,-61.2547,145.786,38.877,631.519
k58918,155.998,-2.58202,309.184,97.3364,1394.77
k10190,228.18400000000003,37.422,28.7494,54.0496,537.923
k15719,116.642,-29.5052,182.904,88.5214,710.88
k47330,111.037,-60.4757,119.125,35.3833,578.356
k53717,136.70600000000002,-43.1076,149.045,67.1624,633.008
k28824,482.718,33.1812,85.3403,80.1607,898.51
k54414,110.025,-68.6983,156.14,84.9961,477.649
k15780,234.028,-41.3182,104.055,95.6505,668.268
k71784,81.3877,-25.589,100.484,20.3446,558.372
k3261,109.205,-65.4647,118.482,50.5815,776.1089999999999
k21465,129.062,-51.4622,119.442,50.1941,560.2330000000001
k46094,94.0375,39.8779,25.5922,78.3516,902.57
k51394,131.531,-12.9055,8.540280000000001,81.948,1047.54
k36659,121.49,-14.317,144.856,87.5715,792.704
k42009,154.31799999999998,-44.6056,53.2251,79.6476,637.558
k23453,153.52,-39.0237,174.113,69.1034,646.163
k22279,121.054,-13.2559,143.607,73.0891,667.69
k31917,134.708,-54.4485,105.798,47.1385,722.432
k37452,94.8941,-52.396,150.995,57.5751,972.432
k31948,94.4638,-36.7913,107.228,61.1198,537.518
k18753,97.0871,-63.4512,86.2311,50.7648,606.106
k12135,139.782,-34.3866,142.237,38.2425,322.297
k36916,122.964,-5.85551,145.925,48.8806,749.6239999999999
k56864,176.951,-36.474,222.067,134.515,1173.5
k16456,56.8862,-18.5198,52.3745,46.9078,1002.02
k34698,102.267,2.33371,128.486,32.253,618.268
k69888,122.632,-25.1036,12.0865,69.6326,1073.98
k22059,139.477,-62.5802,119.485,80.7602,569.64
k14378,29.8149,-32.9799,133.183,36.8864,547.885
k64703,96.5613,-42.8302,150.951,44.4478,573.34
k1494,161.137,-17.2365,167.912,94.237,711.49
k59498,151.536,-8.25375,107.575,13.6015,499.234
k16772,152.645,-61.1437,95.215,97.6634,788.328
k44821,123.631,-19.9054,197.836,287.385,1212.38
k43105,107.687,-43.1236,153.643,61.3078,910.823
k567,86.5049,-23.5899,143.453,42.2755,774.585
k39823,154.642,5.1925,138.136,17.6965,706.943
k68566,76.1027,-48.8064,104.931,80.7821,706.461
k50742,82.6067,-12.0427,19.7371,57.92,875.882
k70367,134.284,-0.325785,120.809,41.0263,543.135
k12363,359.259,-30.4892,288.487,317.722,1338.93
k20306,46.8303,-29.1922,5.59931,34.9011,476.974
k19465,192.092,23.361,163.571,13.3766,768.743
k16745,266.41700000000003,-30.614,93.617,109.267,534.701
k9860,85.4314,-5.6211,160.879,137.511,1172.78
k48946,127.207,-27.5425,131.316,40.8982,601.225
k5709,220.435,-13.9972,146.789,116.032,1544.01
k71151,92.6797,-23.3747,131.434,21.6756,517.785
k14385,138.961,7.717280000000001,85.3885,47.8421,780.247
k59413,103.495,-194.127,157.57399999999998,25.112,786.0889999999999
k34279,147.3,-40.9421,173.668,77.7538,930.313
k50848,126.586,-33.0478,94.9836,46.3646,780.1
k70428,143.22799999999998,-46.6704,220.963,101.95,691.632
k25913,168.234,-29.9496,167.41099999999997,78.5881,824.808
k35029,55.1849,-77.288,120.486,18.3368,522.7959999999999
k16813,29.4151,-7.6153,110.803,13.1734,345.542
k9135,104.456,-61.3512,133.891,40.5894,649.492
k45326,121.468,-42.382,91.7131,24.8295,435.104
k59910,109.737,-20.2223,120.858,49.4887,757.845
k47065,11.2215,1.6581,6.75863,73.9002,957.594
k25603,284.606,-67.9361,251.648,199.159,1196.98
k68171,34.5993,2.90691,123.39,120.068,1048.65
k25789,154.195,-63.9105,105.015,12.1057,540.1419999999999
k44624,142.512,-3.96556,0.770364,138.914,543.288
k60560,115.054,-28.0296,118.212,22.315,483.089
k9852,105.567,-4.41472,113.256,37.8932,528.933
k68363,263.497,2.5003900000000003,86.4605,104.157,1958.94
k35658,91.846,-56.4083,143.161,63.211,927.338
k24149,85.3257,-60.2176,111.662,49.7691,592.184
k58288,130.778,-18.7943,179.58900000000003,45.1293,770.11
k12652,212.789,2.23121,178.641,63.0398,784.2239999999999
k45834,171.75799999999998,1.37298,162.346,18.1709,602.539
k31414,54.0957,-26.7632,118.622,42.8777,599.783
k20102,97.9661,-54.5043,228.642,138.04399999999998,738.703
k29391,269.421,-45.2447,48.3215,35.8887,982.853
k42701,79.7196,-14.8794,148.673,131.236,996.259
k36571,122.983,-153.57299999999998,135.52,44.217,584.008
k62171,112.444,-26.5269,136.222,35.0426,767.442
k36967,47.2236,-24.5208,29.8873,22.3102,696.568
k909,122.539,-48.6895,155.314,56.9068,882.5039999999999
k59412,101.648,-42.5243,13.7754,43.1974,752.426
k47971,125.216,28.3567,59.9122,44.7151,754.382
k12606,113.36,-11.6696,109.649,53.9974,785.587
k23541,158.273,-47.9991,140.76,30.7429,607.0459999999999
k18375,148.766,-51.6042,171.634,62.1497,966.376
k11659,121.201,-33.1788,150.328,48.9582,564.706
k44655,54.8653,-127.822,93.0071,0.0,466.588
k59572,40.4492,-3.4553199999999995,36.6029,270.466,3488.45
k5201,106.45,39.2755,195.847,10.1015,891.2669999999999
k63281,153.50799999999998,3.51556,181.467,38.9176,681.5139999999999
k41438,145.648,-22.968,107.994,15.811,483.163
k48512,222.097,-13.7255,112.224,76.0975,935.719
k3545,139.721,-32.7792,99.9122,97.1911,497.972
k27342,14.3742,31.7434,4.79164,51.0032,521.398
k26860,99.7884,-16.3919,96.7285,60.5532,976.863
k48349,63.6332,-40.512,0.0,54.8718,713.048
k65678,116.268,-73.5472,174.96099999999998,80.9349,744.795
k625,141.94,-9.07521,156.80100000000002,55.5446,607.007
k22030,150.795,-9.43661,229.692,83.2088,806.99
k8540,153.236,-16.8192,153.351,65.9281,806.7489999999999
k70047,113.691,-12.4281,30.6237,64.6347,888.6389999999999
k18127,133.361,-48.5745,147.284,27.3657,546.192
k72394,157.183,-67.1533,113.713,150.58700000000002,801.801
k35888,128.899,-7.294760000000001,93.9383,21.3656,698.765
k9916,101.113,-61.2914,128.22899999999998,33.9731,775.745
k3113,852.426,-39.9081,225.647,156.255,3177.62
k9796,7.9891,-111.153,18.4519,2.91166,160.007
k55377,101.721,-69.0411,79.8598,97.5983,779.931
k30289,206.772,-7.415789999999999,156.681,26.4046,478.949
k59860,182.665,-13.4687,205.473,168.945,717.982
k64455,116.464,-30.0074,127.244,33.8224,690.177
k30878,22.1454,-53.3616,120.188,58.4974,639.423
k36239,60.4492,-21.5811,11.414,58.154,970.035
k48025,134.643,-40.0878,54.7842,74.2111,460.454
k16316,4.86444,-21.8956,5.44447,26.6892,402.413
k53364,129.138,40.0051,0.0,258.103,1599.52
k70453,64.7507,-24.8651,1.40224,43.6491,420.811
k580,95.6268,-59.8615,129.149,27.7098,682.3889999999999
k50114,121.58,-25.518,121.922,49.2525,802.66
k42787,30.7585,-33.7039,78.1827,44.581,245.306
k32832,259.519,-21.9037,112.222,77.2551,1215.45
k48947,116.947,-33.0143,125.423,22.5511,548.295
k40557,58.5019,-83.499,84.1134,52.7784,860.63
k45132,129.591,-32.6996,137.944,61.4167,467.04
k36953,128.134,-51.7942,122.94,42.5577,586.0169999999999
k55552,141.175,-66.5419,168.967,57.0173,697.715
k26306,362.487,8.7428,81.9716,112.31,955.674
k71529,152.97799999999998,-35.3597,147.211,32.3061,688.444
k1025,137.722,-48.1899,143.585,35.015,739.1619999999999
k42208,89.0014,-32.0877,168.554,107.524,823.202
k49495,60.1855,-33.2132,14.8194,20.8825,585.286
k32070,128.87,-15.4029,143.224,54.6963,581.224
k18107,57.8034,-16.2702,103.92,39.7307,386.834
k57793,155.967,-46.5239,181.787,55.7738,853.534
k19704,112.956,-2.72647,115.254,33.9165,857.817
k5901,154.65,-26.0275,264.889,109.578,1040.4
k29875,20.8704,-39.6852,159.809,33.0366,843.47
k7042,157.334,-64.065,142.401,39.7335,633.054
k21972,124.657,-34.3412,135.19,26.7731,516.177
k38574,98.3536,-23.6232,142.92,85.5404,540.309
k36986,108.955,-29.557,52.0555,105.144,1411.19
k21770,118.235,-14.6778,200.008,182.231,619.29
k35194,112.842,-48.5795,169.345,42.6258,685.727
k8608,143.545,-46.5833,90.2716,14.608,559.658
k19217,130.539,-47.4616,133.27700000000002,44.2215,621.5269999999999
k70454,134.951,-168.63299999999998,283.605,87.5453,1910.22
k65417,3.83724,-82.5575,114.729,44.7256,566.4680000000001
k44665,65.9656,-55.0497,199.547,57.0231,1134.2
k68961,290.379,-24.354,4.09145,119.595,611.547
k29671,147.589,49.7967,108.979,62.1369,925.446
k45790,59.0007,-37.0025,134.597,70.6417,647.121
k45616,74.1308,-54.2054,96.7052,43.0379,410.172
k4030,309.942,-44.8614,12.2865,67.3557,1173.82
k7343,49.5888,-6.73486,87.4538,46.6704,550.173
k536,107.615,41.8391,82.4451,74.4673,731.638
k29273,154.41899999999998,15.6206,115.085,52.6716,499.298
k39404,90.1611,-45.1456,162.316,59.3251,959.867
k49667,130.464,-31.196,115.829,60.1516,837.982
k42101,164.333,-25.6444,57.3738,138.96,952.418
k47740,130.917,-52.1295,147.733,31.0454,542.9
k4299,116.134,-63.7478,166.622,78.1533,671.547
k64261,124.454,12.6949,155.936,45.2997,784.1560000000001
k69450,124.532,-94.0846,154.041,61.692,659.7760000000001
k72432,117.236,-32.2224,148.375,36.8774,488.234
k44375,130.159,-18.1824,103.357,23.1585,468.329
k28935,58.7897,-76.8914,116.399,44.2521,511.846
k34875,141.435,-50.3833,157.382,41.9846,738.9639999999999
k11975,126.15,-38.2789,128.743,33.5265,576.212
k4992,47.9325,-23.1546,85.377,94.183,467.49300000000005
k56346,25.0926,-14.9752,4.22589,76.3801,625.386
k26895,102.453,16.2753,117.65,31.7311,550.624
k69848,131.071,-11.3756,123.436,45.5163,883.283
k11389,173.84799999999998,-53.7392,183.195,80.1478,908.912
k61954,87.7599,-59.6503,120.001,89.5884,712.645
k52311,106.063,-61.4589,90.9341,16.7237,371.822
k14048,137.732,-29.0505,3.16416,36.0065,747.365
k43340,138.204,-46.5385,162.87,67.657,686.712
k59941,68.8111,-41.3615,24.911,33.7649,493.409
k38182,108.889,-38.9248,91.8971,9.5489,380.847
k40952,224.951,-19.6801,246.683,39.9925,1130.47
k31869,142.42600000000002,-42.9188,106.34,40.3238,919.997
k7966,126.679,-28.3647,125.408,28.3419,503.489
k1449,132.33100000000002,-22.5358,136.43200000000002,80.4808,874.508
k60062,170.19299999999998,-56.9884,158.968,58.6779,627.268
k30406,115.054,-61.6442,142.17600000000002,38.0937,739.743
k10176,131.42700000000002,-3.41511,94.7739,53.3566,1110.52
k8116,11.2887,27.5564,2.79464,58.8816,979.516
k62759,185.311,-25.5501,131.769,114.136,715.645
k13106,154.235,-39.3892,9.63146,44.4983,607.369
k16702,95.9159,-56.7368,141.737,25.8766,613.559
k72263,29.5707,31.2572,68.7988,75.2273,599.52
k44398,16.9737,-33.8706,110.054,88.6128,373.865
k67882,122.012,-59.0244,100.435,44.3192,698.544
k42392,76.9716,-50.4173,134.97299999999998,58.7642,772.801
k65569,143.42700000000002,-12.9503,232.776,71.4038,914.709
k6302,42.1085,-13.5433,62.7924,8.513810000000001,532.524
k47777,121.807,-29.4597,161.12,82.7312,900.39
k65774,57.9041,-12.6725,210.512,313.268,2084.45
k58983,139.375,-88.5553,161.998,49.9019,844.56
k50772,19.295,18.4607,80.3938,7.1791,167.745
k9500,29.8857,-28.1484,0.536515,35.6741,505.152
k47730,119.315,3.04673,106.409,58.4835,698.298
k3170,262.36,-20.6812,9.63502,52.8271,495.168
k41010,134.17,-41.7677,155.086,63.4114,654.499
k21492,93.3582,-27.5946,114.372,57.2492,840.257
k33310,155.99200000000002,-30.0355,168.155,75.5127,487.2480000000001
k913,102.541,-26.5574,32.303,96.453,519.248
k23647,128.97799999999998,-37.4725,144.122,40.7366,654.7230000000001
k9671,85.1761,10.0927,187.904,77.3319,750.308
k12959,244.675,-57.3124,137.793,79.84,553.599
k23594,39.662,-24.6678,152.178,29.603,445.471
k44568,0.235065,-23.6009,6.12299,58.3148,609.7
k17957,104.712,-65.4404,185.016,19.3991,647.798
k2838,50.7348,17.2038,5.12509,27.1968,482.345
k56903,94.2885,-64.3394,110.395,22.5172,628.865
k55292,46.5856,-74.2214,124.127,74.3035,1232.84
k70087,126.304,13.8884,57.1887,36.3527,572.2
k19417,86.127,9.18875,102.492,38.4953,825.808
k14258,141.474,-6.735239999999999,138.157,29.6461,573.294
k3508,124.332,-0.711789,120.851,33.1472,790.679
k70779,54.7198,-21.8157,167.862,62.2692,424.396
k59234,147.202,-5.874569999999999,166.72099999999998,63.7094,765.175
k52889,54.5227,9.2035,59.0843,56.2777,819.112
k51933,119.519,-56.2826,6.912660000000001,23.9035,524.521
k54163,333.744,-63.2809,2.35524,295.921,909.634
k52483,148.515,-64.8578,141.719,31.9329,475.603
k46803,125.203,68.429,62.3018,77.3713,893.7739999999999
k51308,154.049,-20.8041,126.444,74.4248,658.447
k1826,94.308,-18.4713,118.563,67.5646,891.192
k6951,77.85,-31.6453,137.71200000000002,17.8695,404.425
k32009,119.946,-24.0927,149.2,47.6493,708.307
k45602,75.2597,8.45946,78.7244,121.611,953.318
k15812,97.7655,-61.5869,154.791,58.6763,957.768
k18044,124.32,-26.2536,103.122,43.5291,699.705
k39487,123.304,34.279,128.09,32.6697,763.375
k21413,41.6292,-13.1128,12.5211,16.2455,490.643
k57244,65.828,-11.5383,143.828,11.3693,571.552
k72890,94.8066,-96.7964,134.852,156.523,759.2439999999999
k60288,129.134,-18.1856,70.4511,52.5765,717.243
k55857,80.4686,-28.0984,95.1029,55.0916,855.306
k9082,173.618,-10.7538,144.901,60.67,620.312
k11439,145.80100000000002,-55.2474,149.359,21.4801,725.196
k29009,68.6743,-54.4852,110.386,20.7985,552.6619999999999
k66997,114.925,-29.9884,143.599,28.7144,532.651
k59654,276.957,-17.8526,156.536,57.228,441.35
k61568,130.165,-44.6972,101.09,17.4166,642.7130000000001
k47473,114.077,-50.5083,154.03799999999998,59.9212,509.222
k32237,132.393,-22.9325,7.7942,123.673,616.05
k12643,200.446,-29.0238,164.94,109.594,671.868
k50247,51.4067,-28.218,172.34900000000002,63.3002,1072.21
k36840,106.966,-40.4133,127.123,35.0098,489.567
k16862,21.3456,29.7777,94.2412,27.7034,679.341
k30978,132.357,-34.491,70.526,13.2967,531.7040000000001
k19111,89.8498,-14.4176,101.767,32.1878,793.6469999999999
k26424,115.379,-18.0631,142.79,63.1266,782.753
k23138,114.784,-59.5643,133.618,32.4705,555.025
k736,153.961,-23.6469,156.722,21.4007,584.948
k43786,142.875,-37.1504,148.835,26.7702,523.383
k37606,133.411,-52.3084,304.634,145.203,1593.99
k22758,123.687,-22.6945,143.055,58.3149,934.424
k61075,135.191,-28.9316,212.827,121.188,1182.13
k54944,151.877,16.0575,102.795,120.917,1387.01
k52499,114.632,-5.31421,116.917,20.9901,525.9630000000001
k9169,172.747,-39.1292,180.293,39.0409,625.466
k49645,59.4315,22.3913,222.088,62.1273,982.886
k41127,31.1924,-69.0299,60.6735,79.4372,441.604
k42926,50.2,-28.6888,79.2167,14.0227,392.212
k39405,125.182,-15.6232,160.55700000000002,28.2477,472.937
k56472,147.36700000000002,-47.0628,135.517,42.0491,728.7639999999999
k28188,119.943,-15.2478,145.359,30.26,656.4169999999999
k57468,120.893,-45.5366,119.733,94.4249,1040.91
k63671,107.148,-28.1224,202.982,47.9639,813.96
k53976,156.204,-97.4704,182.039,32.4449,637.992
k1291,28.6046,-47.8542,48.8893,35.2907,279.428
k8330,154.43200000000002,-36.0406,138.202,46.8983,805.034
k72923,20.4279,15.3187,92.5154,64.222,791.243
k69901,41.8032,-15.4365,94.7391,21.0697,399.896
k59982,130.546,-14.8018,154.843,48.3252,715.431
k40782,120.002,-13.8831,132.97,28.5709,466.435
k72353,235.803,-57.223,220.664,164.28400000000002,1208.37
k56935,187.674,-6.19231,119.712,125.066,1336.73
k15310,114.738,-29.9057,112.703,56.6173,633.514
k20730,106.985,-49.5584,125.844,14.1388,540.938
k37912,75.3306,-44.9208,126.81,32.4992,522.92
k24590,149.47799999999998,-46.3655,157.327,78.5063,671.438
k52362,230.42,18.7738,31.4967,40.8335,533.302
k6580,155.22799999999998,-10.3185,118.924,34.0304,782.1089999999999
k23338,118.276,-63.4291,110.843,49.9858,567.742
k16990,119.648,-23.6068,12.2835,123.913,1083.59
k63417,46.0517,-55.4392,118.134,58.9225,1094.6
k6482,86.7018,-46.5981,149.435,41.3952,757.372
k13373,61.936,-10.2487,53.8762,59.4031,445.696
k62538,126.594,-47.7023,151.343,64.0,542.927
k56297,102.154,-58.1706,118.858,26.5536,520.302
k19222,179.24599999999998,-39.2238,171.937,80.7148,1383.23
k35943,121.67,-15.0694,97.8218,87.359,1198.16
k68990,64.7526,29.2283,157.87,6.769889999999999,685.6619999999999
k61901,12.3993,30.8838,88.4374,77.336,816.565
k65893,146.74200000000002,9.14023,33.8873,9.53293,451.784
k36592,184.272,-29.0323,73.7287,33.2455,620.015
k49753,110.506,-21.295,121.126,53.2147,661.177
k69162,126.825,-11.2446,137.257,40.4861,662.211
k35424,133.19,-4.80103,121.376,35.9075,533.924
k64951,136.42,-27.9055,144.122,39.1448,694.572
k3717,128.116,-9.01368,157.218,40.832,595.69
k18071,145.487,-68.9625,133.22299999999998,22.6441,562.622
k22360,34.5973,-35.5013,151.461,38.2772,645.43
k4206,26.9444,-55.939,90.6551,24.4083,465.443
k53520,119.948,-59.8993,140.753,54.3117,606.753
k7162,119.605,-43.7007,111.516,39.1016,491.197
k65912,91.3132,-35.0279,155.494,60.4667,551.633
k5749,131.933,8.59165,123.579,20.5816,575.807
k57398,1.63381,11.5149,111.953,94.2546,956.232
k2012,141.52100000000002,-26.9378,154.597,35.5634,881.163
k45360,75.3407,-68.8101,116.929,65.2217,729.194
k24830,114.475,-25.3721,94.573,68.9156,679.77
k19987,116.242,15.1255,117.949,29.4944,531.094
k7183,150.695,-25.0378,2.25321,47.0768,620.156
k42786,117.983,-53.9348,181.827,35.3437,807.664
k30650,65.6398,-28.1275,70.7389,43.548,614.572
k63125,260.275,-41.338,139.195,97.2795,606.529
k57986,128.332,-62.9581,122.727,31.7018,520.653
k57733,153.675,-58.216,142.517,43.5445,751.8789999999999
k54713,117.941,-19.5707,146.19799999999998,58.1337,502.823
k21456,1254.56,-4.45546,267.025,131.40200000000002,1564.06
k38343,102.484,-240.505,0.0,11.0825,600.435
k72251,84.4627,-26.1742,153.981,38.0961,734.867
k14375,107.925,-87.4146,121.856,34.4818,805.566
k67003,129.642,-9.37974,5.890680000000001,64.4728,658.313
k48625,125.642,-27.5403,113.241,54.2957,642.266
k47440,136.312,18.3701,96.1033,78.1671,1286.8
k58803,109.26,-23.238,180.013,58.5616,937.742
k71661,82.6999,-48.1836,94.3217,42.4809,545.16
k56268,126.609,-4.33807,117.632,158.131,1116.87
k63806,76.3913,-18.897,62.1731,32.6072,813.36
k58813,17.6391,-38.2143,86.7542,92.3205,384.994
k43260,48.91,-1.2766,6.91729,35.5674,554.905
k30212,163.464,22.0837,15.8788,126.606,1155.86
k57378,129.596,-29.6171,148.36700000000002,42.762,376.094
k32976,147.842,-69.8937,114.51,59.3747,545.627
k29971,76.1983,-6.988460000000001,115.144,80.9663,487.235
k32159,88.555,-29.092,88.6992,28.6445,679.4889999999999
k8268,268.566,-27.7989,137.512,42.467,683.21
k48687,165.47299999999998,4.59029,72.8866,45.0926,590.99
k67058,342.374,-26.8166,253.787,113.119,1754.27
k14484,83.5933,-48.2145,117.61,44.0276,476.9330000000001
k59751,114.652,-45.967,152.72799999999998,84.6294,965.315
k46051,29.5753,-45.994,113.295,47.5491,359.403
k39401,146.435,-73.9824,161.701,20.1136,525.061
k68564,9.38407,-175.247,47.3848,4.07006,267.065
k25011,152.083,-36.8708,124.288,56.2586,1125.68
k37558,129.251,-61.5999,145.839,55.1955,601.9069999999999
k6720,46.0864,-42.9989,84.8149,39.3652,649.681
k46663,102.188,-47.5675,164.24,41.402,887.0060000000001
k25888,124.774,-34.4513,127.873,23.2269,640.366
k5395,165.632,-33.129,156.5,53.9896,649.705
k48123,87.0222,-86.6023,152.609,37.0778,918.616
k67752,98.1247,-24.873,161.635,50.6573,597.986
k13034,121.988,-42.3822,90.0851,24.8865,650.923
k62218,127.561,18.9874,141.931,84.9572,373.626
k38132,110.606,15.6536,172.541,151.884,893.768
k19079,32.9569,6.9882,123.792,98.316,571.355
k63591,77.687,-16.1134,0.0,25.8794,264.894
k55257,163.88099999999997,-54.2624,156.149,49.2131,544.09
k21980,32.5726,-19.0732,115.293,55.9413,659.577
k41456,100.282,-43.8505,206.402,84.0626,1073.93
k27856,361.142,28.365,83.2281,40.9155,760.172
k38562,130.743,-25.8612,190.887,51.3298,858.503
k51733,136.208,-79.1978,112.875,77.8796,557.262
k8754,112.198,-31.8311,128.392,25.5606,470.601
k62055,115.614,7.174119999999999,179.66,101.368,1122.44
k7933,128.49,-20.9767,167.169,95.0443,1025.52
k59590,128.02,-27.1627,152.726,66.1475,587.1709999999999
k5717,150.58100000000002,-3.3080300000000005,138.06,63.9444,816.1060000000001
k27897,137.778,-40.9708,133.466,35.9169,470.882
k6030,222.103,-10.1298,212.826,69.4626,1015.52
k23191,121.423,-55.9136,119.126,37.9783,827.721
k68760,439.393,-10.2927,45.0491,43.0911,718.701
k58498,168.14700000000002,-62.035,122.11,64.26,604.279
k29157,152.686,-26.139,173.562,48.0191,743.992
k42302,50.7449,-37.6323,195.72,115.408,1460.73
k66235,65.431,-11.101,58.7258,13.3861,478.395
k51011,104.534,-54.1502,132.871,65.4405,519.518
k65714,72.0866,-9.86341,124.754,30.6706,464.013
k34735,86.6624,-6.6306,122.467,70.6599,654.675
k27571,112.58,5.43487,148.404,33.8513,916.46
k37458,115.022,-21.7132,124.348,26.2375,391.9330000000001
k1371,24.2884,-34.6096,8.50998,86.1356,1318.88
k48371,126.04,-34.1668,186.605,102.216,851.0830000000001
k34912,94.6907,11.6772,181.141,29.5269,718.551
k66276,111.183,-33.9613,120.474,32.0925,424.891
k83,142.998,17.5605,95.0967,11.703,627.371
k71621,213.747,-45.1766,121.712,13.0336,487.105
k29730,222.079,-29.9623,334.565,191.946,1324.07
k39602,100.087,-16.0163,84.405,151.614,1887.8
k34293,241.011,29.1376,84.9512,103.924,1033.24
k1353,140.825,5.05461,151.92600000000002,38.91,607.28
k69532,97.6215,-26.2528,125.497,36.2895,525.072
k28781,93.4405,1.13952,194.737,24.0907,786.413
k7583,85.8633,-6.43463,98.8088,11.4586,257.063
k60455,120.627,-54.9025,108.653,52.161,826.3480000000001
k43252,123.163,-50.5928,125.804,59.409,733.503
k9788,348.79400000000004,20.845,51.4954,38.0531,615.6759999999999
k8110,156.078,-19.6236,8.87018,52.0299,588.007
k5648,96.2079,-14.0194,53.1035,62.3324,509.473
k12631,39.1441,-41.2747,31.2383,28.5154,457.651
k65574,79.0432,-32.5744,36.746,102.346,641.313
k26144,1.30937,4.33438,50.4446,62.5178,675.3889999999999
k29902,118.25,-57.6482,96.8179,43.6779,443.401
k35289,101.257,-25.116,6.767739999999999,170.128,805.505
