Key_3_13,D3,D8,D177,D60,D10,D64,D83,D739,D158,D660,D187,D209,D146,D607,D87,D659,D182,D217,D469
k3182,0.0,0.383772134,0.000514,0.0882,0.072,0.0433,0.111111111,0.0,0.222222222,0.0,0.836961625,0.296797516,0.142857143,0.0,0.382948654,0.0,0.0943,0.539307845,0.0
k2817,0.0,0.426982434,0.104516017,0.067,0.219631584,0.0254,0.333333333,0.0,0.0,0.114285714,0.836961625,0.288501645,0.404761905,0.0,0.339014181,0.25,0.114313114,0.539307845,0.0
k1991,0.1,0.545830502,0.0691,0.0275,0.248700408,0.225600418,0.0,0.0682,0.0444,0.0,0.743532632,0.296797516,0.0476,0.0,0.406708127,0.0,0.0943,0.275308622,0.166666667
k2121,0.05,0.574535524,0.280437936,0.0,0.390058887,0.0,0.222222222,0.0682,0.0,0.0,0.836961625,0.667979793,0.142857143,0.0714,0.279919551,0.229166667,0.182497887,0.539307845,0.0
k1086,0.2,0.503351971,0.496512723,0.0356,0.14837833,0.0589,0.444444444,0.318181818,0.133333333,0.228571429,0.836961625,0.773369792,0.333333333,0.214285714,0.219670163,0.354166667,0.212827514,0.539307845,0.0
k378,0.15,0.513800961,0.419947383,0.0,0.264746994,0.0102,0.222222222,0.227272727,0.0444,0.0571,0.836961625,0.296797516,0.0714,0.214285714,0.335155789,0.25,0.0943,0.539307845,0.166666667
k3132,0.05,0.520754213,0.428781643,0.0,0.171260198,0.0838,0.222222222,0.0682,0.0667,0.114285714,0.836961625,0.296797516,0.0238,0.0714,0.371646042,0.25,0.0943,0.539307845,0.0833
k738,0.0,0.536681024,0.27826347,0.0,0.335985352,0.0,0.222222222,0.0,0.0222,0.114285714,0.836961625,0.296797516,0.166666667,0.0,0.362774162,0.25,0.0943,0.539307845,0.0
k430,0.15,0.585444864,0.388154012,0.0,0.264748783,0.0102,0.222222222,0.227272727,0.0444,0.0571,0.836961625,0.296797516,0.0,0.214285714,0.335155789,0.25,0.0943,0.539307845,0.166666667
k2097,0.2,0.494189298,0.256539792,0.0,0.261223026,0.0,0.222222222,0.272727273,0.0222,0.0571,0.836961625,0.73017565,0.142857143,0.214285714,0.263603621,0.229166667,0.311807858,0.539307845,0.0
k2380,0.15,0.613810208,0.11772544,0.0,0.459023325,0.166666669,0.0,0.113636364,0.0,0.0,0.745742817,0.296797516,0.0476,0.0,0.335155958,0.0,0.0943,0.281553869,0.166666667
k55,0.1,0.585444864,0.252384962,0.0,0.355231994,0.0,0.111111111,0.0909,0.0,0.0,0.836961625,0.296797516,0.0,0.0714,0.323853855,0.125,0.0943,0.539307845,0.0
k2611,0.2,0.579562348,0.394619704,0.0,0.243051183,0.0,0.222222222,0.272727273,0.0889,0.114285714,0.836961625,0.296797516,0.0238,0.285714286,0.307537586,0.25,0.0943,0.539307845,0.166666667
k29,0.0,0.507727026,0.271186619,0.0,0.279949119,0.0,0.111111111,0.0,0.0444,0.0,0.836961625,0.296797516,0.0476,0.0,0.288791601,0.125,0.0943,0.539307845,0.0
k3060,0.1,0.605092439,0.52818019,0.0,0.171633872,0.0144,0.333333333,0.0909,0.0222,0.2,0.836961625,0.296797516,0.166666667,0.0,0.401695654,0.375,0.0943,0.539307845,0.0
k3188,0.1,0.521818082,0.0664,0.0,0.36671131,0.333333344,0.111111111,0.0909,0.0,0.0,0.614981162,0.296797516,0.119047619,0.142857143,0.43432633,0.125,0.0943,0.222013688,0.333333333
k2936,0.15,0.474794399,0.111359422,0.0,0.254682241,0.190182744,0.111111111,0.159090909,0.0444,0.0571,0.747918647,0.296797516,0.214285714,0.142857143,0.390392365,0.125,0.0943,0.28770204,0.166666667
k96,0.0,0.599213803,0.11738445,0.0,0.332828277,0.0,0.333333333,0.0,0.0,0.114285714,0.836961625,0.190990406,0.119047619,0.0,0.346458062,0.25,0.0566,0.539307845,0.0
k2771,0.0,0.518769954,0.000514,0.0,0.470821353,0.0,0.0,0.0,0.0,0.0,0.836961625,0.296797516,0.0,0.0,0.395406193,0.0,0.0943,0.539307845,0.0
k2525,0.2,0.567363303,0.204798514,0.0,0.345078617,0.333333344,0.222222222,0.227272727,0.0,0.114285714,0.639894415,0.296797516,0.214285714,0.285714286,0.4180104,0.25,0.0943,0.2608766,0.333333333
k2181,0.0,0.264364797,0.000514,0.0588,0.141856768,0.0289,0.0,0.0,0.133333333,0.0,0.836961625,0.296797516,0.0238,0.0,0.435754669,0.0,0.0943,0.539307845,0.0
k1304,0.1,0.547071638,0.23838077,0.0,0.375131703,0.0838,0.111111111,0.0909,0.0,0.0,0.836961625,0.296797516,0.0,0.0,0.351471889,0.125,0.0943,0.539307845,0.0833
k2040,0.2,0.562394984,0.157146492,0.0,0.323964184,0.0,0.333333333,0.272727273,0.0,0.114285714,0.836961625,0.296797516,0.214285714,0.285714286,0.374076435,0.25,0.0943,0.539307845,0.0
k178,0.05,0.530007233,0.270643658,0.0,0.31234952,0.0,0.333333333,0.0909,0.0,0.114285714,0.836961625,0.296797516,0.285714286,0.0714,0.318840197,0.25,0.0943,0.539307845,0.0
k1465,0.0,0.561681095,0.464635416,0.0,0.325834555,0.0,0.333333333,0.0,0.0,0.171428571,0.836961625,0.909904065,0.238095238,0.0,0.263603451,0.375,0.385285959,0.539307845,0.0
k3395,0.2,0.476567859,0.349758553,0.0,0.187460647,0.0589,0.333333333,0.159090909,0.0889,0.114285714,0.836961625,0.65013672,0.30952381,0.142857143,0.291221824,0.333333333,0.288727434,0.539307845,0.0
k486,0.05,0.527148491,0.318476667,0.0,0.334398743,0.0,0.222222222,0.0682,0.0,0.0286,0.836961625,0.791629976,0.0952,0.0714,0.279919551,0.229166667,0.218023319,0.539307845,0.0
k1336,0.05,0.454322715,0.188118864,0.0,0.304432824,0.102557979,0.111111111,0.0682,0.0,0.0286,0.836961625,0.296797516,0.0476,0.0714,0.406708127,0.125,0.0943,0.539307845,0.0833
k294,0.15,0.569289231,0.294303109,0.0,0.313330119,0.0,0.333333333,0.227272727,0.0,0.114285714,0.836961625,0.296797516,0.119047619,0.357142857,0.263603621,0.25,0.0943,0.539307845,0.0
k198,0.35,0.503346415,0.0216,0.0,0.32940737,1.0,0.222222222,0.363636364,0.0,0.114285714,0.0,0.296797516,0.19047619,0.571428571,0.583719621,0.25,0.0943,0.135567169,1.0
k3112,0.0,0.37812589,0.000514,0.0,0.250226479,0.0,0.0,0.0,0.0222,0.0,0.836961625,0.296797516,0.0,0.0,0.423024396,0.0,0.0943,0.539307845,0.0
k2039,0.05,0.593004386,0.365729994,0.0,0.384554372,0.166666669,0.333333333,0.0682,0.0,0.2,0.75545389,0.581406127,0.428571429,0.0714,0.24728769,0.375,0.17483692,0.308994127,0.166666667
k1985,0.1,0.585444864,0.110756132,0.0,0.37345077,0.333333344,0.111111111,0.0909,0.0,0.0,0.653304399,0.296797516,0.0476,0.142857143,0.406708127,0.125,0.0943,0.279822674,0.333333333
k504,0.1,0.520884048,0.253397439,0.0,0.224754352,0.125620178,0.111111111,0.0455,0.0222,0.0,0.836961625,0.296797516,0.0238,0.0,0.387961973,0.125,0.0943,0.539307845,0.25
k565,0.1,0.532354803,0.254013844,0.0,0.331889201,0.166666669,0.111111111,0.136363636,0.0222,0.0286,0.750174639,0.296797516,0.119047619,0.0714,0.362774162,0.125,0.0943,0.294076723,0.166666667
k2733,0.1,0.448853883,0.153804791,0.0,0.264231272,0.0,0.111111111,0.0909,0.0444,0.0286,0.836961625,0.742086481,0.119047619,0.0714,0.307537755,0.125,0.207512515,0.539307845,0.0
k2740,0.0,0.572920632,0.532686502,0.0,0.26655433,0.0,0.444444444,0.0,0.0,0.285714286,0.836961625,0.915558233,0.452380952,0.0,0.148117148,0.5,0.555192554,0.539307845,0.0
k1927,0.15,0.443818653,0.108072804,0.117647068,0.222825939,0.171635612,0.111111111,0.181818182,0.0444,0.0571,0.746263871,0.485007184,0.166666667,0.142857143,0.4180104,0.125,0.143179897,0.283026194,0.166666667
k2703,0.05,0.433395691,0.137917286,0.0,0.337697574,0.0,0.222222222,0.113636364,0.0667,0.0857,0.836961625,0.524864439,0.285714286,0.0714,0.219669656,0.229166667,0.241369222,0.539307845,0.0
k3159,0.0,0.51276121,0.000514,0.0,0.292285836,0.0,0.0,0.0,0.0,0.0,0.836961625,0.296797516,0.0,0.0,0.45064243,0.0,0.0943,0.539307845,0.0
k3001,0.3,0.590606359,0.409581291,0.0,0.319710134,0.0203,0.666666667,0.545454545,0.0,0.228571429,0.836961625,0.0552,0.571428571,0.428571429,0.609182028,0.75,0.0,0.539307845,0.333333333
k3058,0.0,0.100229496,0.000514,0.0,0.340198336,0.0,0.0,0.0,0.0222,0.0,0.836961625,0.296797516,0.0,0.0,0.45951448,0.0,0.0943,0.539307845,0.0
k361,0.0,0.521913855,0.378944663,0.0,0.282037263,0.0,0.222222222,0.0,0.0667,0.0286,0.836961625,0.85971173,0.119047619,0.0,0.208367383,0.25,0.227483042,0.539307845,0.0
k1661,0.05,0.551850941,0.318513389,0.0588,0.165441756,0.166666669,0.555555556,0.0682,0.0444,0.285714286,0.759713936,0.786949066,0.547619048,0.0714,0.175735352,0.5,0.349863468,0.321031598,0.166666667
k64,0.05,0.471663648,0.19110646,0.0,0.337859883,0.0,0.111111111,0.0455,0.0222,0.0,0.836961625,0.296797516,0.0,0.0714,0.351472058,0.125,0.0943,0.539307845,0.0
k643,0.15,0.585444864,0.512554985,0.00621,0.301720031,0.153348059,0.222222222,0.159090909,0.0,0.114285714,0.836961625,0.296797516,0.0952,0.0,0.279919382,0.25,0.0943,0.539307845,0.166666667
k816,0.15,0.292452734,0.000514,0.0588,0.220500301,0.161919076,0.0,0.0455,0.0667,0.0,0.836961625,0.296797516,0.119047619,0.0,0.461944534,0.0,0.0943,0.539307845,0.166666667
k1475,0.0,0.392630713,0.000514,0.0,0.32268472,0.0,0.0,0.0,0.0444,0.0,0.836961625,0.296797516,0.0,0.0,0.323853855,0.0,0.0943,0.539307845,0.0
k37,0.0,0.582214861,0.553114418,0.0376,0.220185043,0.0,0.555555556,0.0,0.0,0.285714286,0.836961625,0.810678037,0.380952381,0.0,0.175735352,0.5,0.48232668,0.539307845,0.0
k2030,0.05,0.577743706,0.0858,0.0,0.381134714,0.249730779,0.111111111,0.0455,0.0,0.0,0.737194095,0.296797516,0.0714,0.0714,0.43432633,0.125,0.0943,0.257398029,0.166666667
k1874,0.05,0.587391393,0.128752528,0.0275,0.33306057,0.166666669,0.111111111,0.0455,0.0,0.0,0.75927877,0.296797516,0.0952,0.0714,0.307537755,0.125,0.0943,0.319801964,0.166666667
k1854,0.15,0.479362138,0.264319607,0.0,0.16151632,0.0101,0.333333333,0.181818182,0.111111111,0.228571429,0.836961625,0.821383881,0.357142857,0.0714,0.274906063,0.333333333,0.217909542,0.539307845,0.0833
k1080,0.05,0.640391108,0.59938412,0.0,0.369511603,0.0789,0.555555556,0.0682,0.0,0.314285714,0.836961625,0.728460861,0.595238095,0.0714,0.148117318,0.625,0.601201699,0.539307845,0.0833
k272,0.05,0.417639735,0.222126046,0.0,0.205363749,0.0,0.111111111,0.113636364,0.0667,0.0,0.836961625,0.296797516,0.0714,0.0,0.434326161,0.125,0.0943,0.539307845,0.166666667
k218,0.05,0.548270049,0.480932109,0.0,0.328746772,0.0,0.333333333,0.113636364,0.0,0.114285714,0.836961625,0.666496733,0.142857143,0.0714,0.219669317,0.354166667,0.1915621,0.539307845,0.0
k2312,0.0,0.393248776,0.000514,0.294117652,0.0329,0.0866,0.333333333,0.0,0.466666667,0.0,0.836961625,0.296797516,0.238095238,0.0,0.384376823,0.0,0.0943,0.539307845,0.0
k383,0.0,0.465584294,0.229438967,0.0,0.172361708,0.0,0.111111111,0.0,0.0667,0.0286,0.836961625,0.296797516,0.0238,0.0,0.415580177,0.229166667,0.0943,0.539307845,0.0
k298,0.25,0.611037341,0.387684495,0.0,0.317374594,0.14119605,0.333333333,0.295454545,0.0,0.0286,0.836961625,0.656439727,0.166666667,0.0714,0.219669317,0.25,0.183928223,0.539307845,0.166666667
k667,0.1,0.400542481,0.112177797,0.0,0.306525752,0.0,0.111111111,0.0909,0.0,0.0,0.836961625,0.778375122,0.0714,0.0714,0.335155958,0.125,0.217384002,0.539307845,0.0
k828,0.1,0.580291275,0.625364925,0.00621,0.253466061,0.0,0.444444444,0.25,0.0,0.228571429,0.836961625,0.296797516,0.214285714,0.214285714,0.192051283,0.375,0.0943,0.539307845,0.0
k1534,0.0,0.614992255,0.175069444,0.0,0.403034067,0.0,0.111111111,0.0,0.0,0.0,0.836961625,0.296797516,0.0476,0.0,0.379090093,0.125,0.0943,0.539307845,0.0
k2208,0.05,0.589609394,0.0615,0.0,0.459047957,0.166666669,0.0,0.0455,0.0,0.0,0.741167848,0.296797516,0.0,0.0,0.379090093,0.0,0.0943,0.268626531,0.166666667
k1234,0.0,0.412356537,0.000514,0.0,0.199721764,0.0,0.111111111,0.0,0.0444,0.0,0.836961625,0.296797516,0.142857143,0.0,0.307537755,0.0,0.0943,0.539307845,0.0
k2119,0.0,0.589577454,0.58013393,0.0,0.383748814,0.0298,0.444444444,0.0,0.0,0.257142857,0.836961625,0.740325346,0.404761905,0.0,0.148117148,0.5,0.344196303,0.539307845,0.0
k370,0.1,0.610063645,0.485005626,0.0,0.379890407,0.221591322,0.444444444,0.159090909,0.0,0.285714286,0.747735419,0.411085878,0.571428571,0.214285714,0.203353725,0.5,0.447202176,0.2871843,0.166666667
k2134,0.05,0.519745545,0.271976141,0.0395,0.209950033,0.0,0.333333333,0.0682,0.0444,0.0571,0.836961625,0.802057747,0.380952381,0.0714,0.164433248,0.229166667,0.222736927,0.539307845,0.0
k52,0.05,0.463194847,0.210120579,0.0,0.336510144,0.166666669,0.333333333,0.0682,0.0667,0.2,0.741104864,0.3523196,0.357142857,0.0714,0.302524097,0.375,0.184990139,0.268448558,0.166666667
k2347,0.2,0.621739862,0.224413301,0.0,0.313037287,0.333333344,0.333333333,0.272727273,0.0,0.114285714,0.661280533,0.296797516,0.166666667,0.428571429,0.318839858,0.25,0.0943,0.291099714,0.333333333
k2388,0.1,0.547937047,0.185188974,0.0275,0.394090006,0.0,0.111111111,0.0909,0.0,0.0571,0.836961625,0.296797516,0.0714,0.0,0.379090093,0.125,0.0943,0.539307845,0.0
k2869,0.0,0.427890038,0.0512,0.0,0.305314524,0.0831,0.111111111,0.0,0.0,0.0,0.836961625,0.296797516,0.0238,0.0,0.379090093,0.0,0.0943,0.539307845,0.0
k1971,0.05,0.365282481,0.0892,0.0983,0.0957,0.0,0.555555556,0.0455,0.266666667,0.171428571,0.836961625,0.296797516,0.428571429,0.0,0.488408149,0.25,0.0943,0.539307845,0.0
k585,0.15,0.473502753,0.207143475,0.0,0.34054197,0.0,0.111111111,0.181818182,0.0,0.0,0.836961625,0.73772999,0.0714,0.142857143,0.307537755,0.125,0.204072124,0.539307845,0.0
k680,0.1,0.547710309,0.415131557,0.0,0.348144572,0.0101,0.222222222,0.0909,0.0222,0.0,0.836961625,0.296797516,0.142857143,0.142857143,0.307537755,0.25,0.0943,0.539307845,0.0
k2070,0.1,0.567453611,0.0667,0.0275,0.412851132,0.166666669,0.0,0.0682,0.0,0.0,0.742261489,0.296797516,0.0476,0.0,0.406708296,0.0,0.0943,0.271716796,0.166666667
k3424,0.1,0.537149417,0.116566075,0.0,0.372929639,0.333333344,0.111111111,0.0909,0.0,0.0,0.644314785,0.296797516,0.0714,0.142857143,0.406708127,0.125,0.0943,0.267138026,0.333333333
k3029,0.15,0.443864645,0.109292498,0.0588,0.264255363,0.171635612,0.111111111,0.181818182,0.0444,0.0571,0.74767816,0.504379664,0.214285714,0.142857143,0.418010569,0.125,0.147752639,0.287022506,0.166666667
k2787,0.25,0.465067522,0.25237447,0.0,0.19656627,0.343556536,0.222222222,0.318181818,0.0889,0.114285714,0.628505663,0.296797516,0.19047619,0.357142857,0.418010738,0.25,0.0943,0.239115311,0.5
k1793,0.05,0.513218135,0.345249618,0.0,0.323172107,0.102557979,0.222222222,0.0455,0.0,0.0286,0.836961625,0.758214766,0.0952,0.0714,0.335155789,0.25,0.206878616,0.539307845,0.0833
k1272,0.05,0.495673991,0.190130704,0.0,0.333912354,0.0789,0.111111111,0.0682,0.0,0.0,0.836961625,0.296797516,0.0476,0.0714,0.351472058,0.125,0.0943,0.539307845,0.0833
k264,0.0,0.59664871,0.720679462,0.0,0.381327896,0.0,0.555555556,0.0,0.0,0.542857143,0.836961625,0.870741994,0.547619048,0.0,0.104182845,0.625,0.508571181,0.539307845,0.0
k2884,0.1,0.33705143,0.000514,0.0294,0.224688987,0.0789,0.0,0.0455,0.0889,0.0,0.836961625,0.296797516,0.0238,0.0,0.351471889,0.0,0.0943,0.539307845,0.166666667
k2335,0.05,0.577682222,0.412561018,0.055,0.337825974,0.0,0.222222222,0.0455,0.0222,0.0571,0.836961625,0.296797516,0.0714,0.0714,0.307537755,0.25,0.0943,0.539307845,0.0
k1164,0.0,0.585983867,0.350702833,0.0376,0.318679938,0.0,0.555555556,0.0,0.0,0.228571429,0.836961625,0.910506558,0.761904762,0.0,0.0766,0.5,0.389203129,0.539307845,0.0
k890,0.1,0.52146764,0.223408692,0.0,0.29033508,0.210202305,0.111111111,0.0455,0.0,0.0286,0.836961625,0.296797516,0.0238,0.0,0.379090093,0.125,0.0943,0.539307845,0.0833
k2891,0.0,0.497209276,0.000514,0.0,0.325651733,0.0831,0.0,0.0,0.0,0.0,0.836961625,0.296797516,0.0,0.0,0.505878838,0.0,0.0943,0.539307845,0.0
k2270,0.25,0.585444864,0.350652996,0.0,0.309061257,0.0,0.222222222,0.25,0.0,0.0857,0.836961625,0.600824952,0.166666667,0.214285714,0.235985417,0.208333333,0.171326095,0.539307845,0.0
k2124,0.1,0.585444864,0.525300137,0.0,0.338183297,0.0,0.222222222,0.181818182,0.0,0.0571,0.836961625,0.296797516,0.0,0.142857143,0.252301348,0.25,0.0943,0.539307845,0.0
k1540,0.0,0.596779993,0.454791301,0.0101,0.260228488,0.0,0.444444444,0.0,0.0,0.2,0.836961625,0.888306994,0.571428571,0.0,0.148117318,0.5,0.517684156,0.539307845,0.0
k3055,0.05,0.0678,0.000514,0.0588,0.0758,0.0838,0.111111111,0.0227,0.155555556,0.0,0.836961625,0.296797516,0.0,0.0,0.479688803,0.0,0.0943,0.539307845,0.0833
k1514,0.0,0.533833122,0.334080888,0.0202,0.197468357,0.0,0.555555556,0.0,0.0444,0.228571429,0.836961625,0.837882931,0.595238095,0.0,0.131801387,0.5,0.352604945,0.539307845,0.0
k3409,0.05,0.60666143,0.360153498,0.0,0.237487087,0.166666669,0.444444444,0.0455,0.0,0.114285714,0.759673855,0.740139964,0.476190476,0.0714,0.219669656,0.375,0.344505125,0.320918343,0.166666667
k3331,0.05,0.585444864,0.37279373,0.0,0.360571993,0.0,0.222222222,0.0455,0.0,0.114285714,0.836961625,0.296797516,0.0238,0.0714,0.307537586,0.25,0.0943,0.539307845,0.0
k2909,0.1,0.491137153,0.318324533,0.0,0.187363037,0.0589,0.333333333,0.0455,0.0889,0.142857143,0.836961625,0.45066506,0.285714286,0.0,0.318840028,0.25,0.18945994,0.539307845,0.0
k433,0.1,0.552608056,0.311019481,0.0,0.337300474,0.0549,0.333333333,0.113636364,0.0,0.171428571,0.836961625,0.747091811,0.261904762,0.142857143,0.24728769,0.375,0.444644908,0.539307845,0.0
k811,0.1,0.585444864,0.382538171,0.055,0.264455452,0.17688987,0.222222222,0.0909,0.0444,0.0571,0.756633418,0.296797516,0.0476,0.142857143,0.362773993,0.25,0.0943,0.312327083,0.166666667
k1205,0.15,0.420120938,0.142316056,0.0,0.319150849,0.0589,0.333333333,0.25,0.0222,0.0286,0.836961625,0.535755666,0.285714286,0.0714,0.274906063,0.104166667,0.165209241,0.539307845,0.0
k1794,0.25,0.409600611,0.152886742,0.117647068,0.0978,0.0888,0.222222222,0.227272727,0.2,0.0571,0.836961625,0.296797516,0.19047619,0.0,0.374076943,0.125,0.0943,0.539307845,0.0833
k2453,0.2,0.376773519,0.0297,0.00941,0.167530399,0.225600418,0.0,0.0682,0.0667,0.0,0.746561616,0.296797516,0.0714,0.0,0.399264415,0.0,0.0943,0.283867523,0.166666667
k1845,0.0,0.585444864,0.556804977,0.0,0.323514119,0.0,0.222222222,0.0,0.0,0.0,0.836961625,0.296797516,0.0476,0.0,0.252301178,0.25,0.0943,0.539307845,0.0
k3309,0.0,0.487537509,0.201643047,0.0,0.314185024,0.0,0.333333333,0.0,0.0,0.114285714,0.836961625,0.296797516,0.19047619,0.0,0.346458231,0.25,0.0943,0.539307845,0.0
k410,0.05,0.612010045,0.185713574,0.0,0.425170832,0.0,0.111111111,0.0227,0.0,0.0,0.836961625,0.296797516,0.0,0.0,0.323853855,0.104166667,0.0943,0.539307845,0.0
k1239,0.1,0.332989723,0.000514,0.0,0.18492818,0.0789,0.0,0.0455,0.0889,0.0,0.836961625,0.296797516,0.0,0.0,0.45064243,0.0,0.0943,0.539307845,0.166666667
k1654,0.05,0.629074185,0.29957009,0.0,0.400810035,0.0,0.222222222,0.0682,0.0,0.0,0.836961625,0.700885202,0.142857143,0.0714,0.279919551,0.229166667,0.200263312,0.539307845,0.0
k1575,0.05,0.597369149,0.607145574,0.0,0.379198146,0.0,0.444444444,0.0909,0.0,0.285714286,0.836961625,0.799184317,0.357142857,0.0714,0.164433079,0.5625,0.492902499,0.539307845,0.0
k2675,0.05,0.426855077,0.136270043,0.0,0.326662831,0.0,0.111111111,0.0455,0.0,0.0,0.836961625,0.296797516,0.0476,0.0714,0.379090093,0.125,0.0943,0.539307845,0.0
k346,0.1,0.280880854,0.000514,0.0,0.15821882,0.0789,0.111111111,0.0455,0.0889,0.0,0.836961625,0.296797516,0.0,0.0,0.351472058,0.0,0.0943,0.539307845,0.166666667
k3416,0.05,0.442854856,0.000514,0.0,0.15426663,0.0,0.0,0.0227,0.133333333,0.0,0.836961625,0.296797516,0.0238,0.0,0.561115075,0.0,0.0943,0.539307845,0.0
k2592,0.0,0.0764,0.000514,0.0882,0.122369428,0.0,0.111111111,0.0,0.0889,0.0,0.836961625,0.296797516,0.0476,0.0,0.470816584,0.0,0.0943,0.539307845,0.0
k2333,0.0,0.157680704,0.000514,0.0,0.251447027,0.0,0.0,0.0,0.0222,0.0,0.836961625,0.296797516,0.0,0.0,0.45064243,0.0,0.0943,0.539307845,0.0
k2469,0.0,0.520496566,0.282816996,0.0376,0.219989115,0.0,0.444444444,0.0,0.0,0.228571429,0.836961625,0.845622654,0.476190476,0.0,0.203353556,0.375,0.375192337,0.539307845,0.0
k795,0.0,0.0678,0.000514,0.147058827,0.126941941,0.0,0.0,0.0,0.244444444,0.0,0.836961625,0.296797516,0.0238,0.0,0.415580346,0.0,0.0943,0.539307845,0.0
k2215,0.1,0.595433996,0.207350692,0.0,0.380332276,0.0298,0.222222222,0.136363636,0.0,0.0,0.836961625,0.604717987,0.142857143,0.142857143,0.307537755,0.229166667,0.169272696,0.539307845,0.0
k2820,0.2,0.585444864,0.282305511,0.0,0.344876323,0.168550252,0.222222222,0.295454545,0.0222,0.114285714,0.836961625,0.555220837,0.19047619,0.142857143,0.318840197,0.25,0.161487116,0.539307845,0.0833
k649,0.1,0.585444864,0.372670449,0.0,0.324465843,0.166666669,0.222222222,0.136363636,0.0,0.114285714,0.75621543,0.296797516,0.0714,0.214285714,0.335155958,0.25,0.0943,0.311145987,0.166666667
k3287,0.0,0.640431764,0.000514,0.0,0.400536301,0.0,0.0,0.0,0.0,0.0,0.836961625,0.296797516,0.0,0.0,0.45064243,0.0,0.0943,0.539307845,0.0
k2701,0.15,0.5881594,0.203877842,0.0,0.361320965,0.333333344,0.111111111,0.181818182,0.0,0.0286,0.657547267,0.296797516,0.0714,0.142857143,0.390392196,0.125,0.0943,0.284870646,0.333333333
k1507,0.05,0.378902886,0.0885,0.157142061,0.0848,0.0,0.777777778,0.0455,0.533333333,0.171428571,0.836961625,0.296797516,0.642857143,0.0,0.51101371,0.25,0.0943,0.539307845,0.0
k3406,0.15,0.590144243,0.185044709,0.0,0.419753734,0.0,0.222222222,0.113636364,0.0,0.0,0.836961625,0.620429161,0.142857143,0.0714,0.279919551,0.1875,0.181452225,0.539307845,0.166666667
k545,0.0,0.555971927,0.431339067,0.0376,0.22019557,0.0,0.444444444,0.0,0.0,0.171428571,0.836961625,0.813227047,0.357142857,0.0,0.219669486,0.375,0.349457122,0.539307845,0.0
k340,0.15,0.511730774,0.0445,0.0,0.35766219,0.196511947,0.111111111,0.136363636,0.0,0.0,0.73831064,0.296797516,0.0238,0.214285714,0.43432633,0.125,0.0943,0.260553012,0.166666667
k1316,0.05,0.272614265,0.000514,0.0294,0.249126882,0.249730779,0.0,0.0,0.0,0.0,0.746699037,0.296797516,0.0,0.0,0.45064243,0.0,0.0943,0.284255829,0.166666667
k1767,0.0,0.430175306,0.000514,0.0,0.240342842,0.0,0.0,0.0,0.0222,0.0,0.836961625,0.296797516,0.0,0.0,0.45064243,0.0,0.0943,0.539307845,0.0
k653,0.2,0.487165663,0.341278397,0.0356,0.163218264,0.225600418,0.333333333,0.295454545,0.111111111,0.171428571,0.756805195,0.296797516,0.285714286,0.214285714,0.318840197,0.25,0.0943,0.312812465,0.166666667
