Key_0_0,pupilDiamMax,P1stFixation,leavingPos,Key_1_3
k3650,0.1507,1,29.904,3296
k740,0.1787,0,26.5,5124
k7089,0.2135,1,123.0742,5587
k3135,0.1168,1,35.0892,3581
k159,0.1952,1,83.7511,864
k449,0.3623,0,78.4347,5791
k1013,0.4825,1,139.0081,1024
k6481,0.1023,1,53.4813,6427
k37,1.1076,0,96.6294,1374
k1280,0.2184,1,70.859,4095
k6817,0.25,1,12.3794,6418
k6504,0.1636,1,62.2435,1507
k7249,0.2658,1,7.433,2793
k3783,0.1537,1,104.6542,7265
k5051,0.1886,0,76.5131,1644
k6734,0.2841,1,46.7386,3353
k185,0.3988,1,29.8329,414
k5408,-0.014,1,85.0368,7287
k2981,0.1054,1,63.3344,3149
k4899,0.1855,1,97.8174,5266
k6254,0.8257,1,55.491,4868
k3956,0.1752,1,78.5,902
k1273,0.2923,1,62.3258,184
k5847,0.254,1,215.0285,3176
k7487,0.0781,0,100.1312,6301
k4018,0.2052,1,67.0168,4604
k1940,0.0835,1,46.2952,1732
k2435,0.1625,0,78.578,6093
k4031,0.1446,1,47.1301,6817
k6627,0.1129,1,39.6548,2520
k5769,0.0313,1,72.8011,5909
k4974,0.1296,1,74.5604,2148
k716,0.1978,1,43.2897,2115
k3298,0.1347,1,100.505,2393
k1827,0.1107,1,118.2381,4978
k1759,0.0184,0,45.6098,4988
k1113,0.1816,1,47.9401,1120
k6259,0.1566,1,33.8711,7483
k4311,0.0258,1,47.8592,2613
k3382,0.1224,0,130.4186,3420
k98,0.231,0,68.244,4657
k5498,0.125,1,48.7083,375
k2998,0.1731,1,77.6466,2670
k5566,0.247,0,95.1381,574
k2331,0.162,1,81.0015,6889
k4765,0.0182,1,117.5936,6982
k2678,0.4038,1,56.4358,5427
k7607,0.0602,1,108.5104,3400
k7474,-0.0077,1,43.9915,1674
k3208,0.2083,1,27.0601,5290
k3970,0.0668,1,52.3378,5885
k2343,1.6561,1,68.8077,6319
k1943,0.2914,1,46.9521,5482
k3493,0.1853,1,25.2389,7444
k4743,0.0854,1,71.2215,5851
k351,0.275,1,25.4558,6753
k4763,0.0057,1,59.6343,1609
k1396,0.0841,1,59.9708,3553
k3001,0.0812,1,14.7139,1181
k5859,0.3716,1,64.08,2241
k1757,0.1113,1,109.11,6196
k5334,0.8061,1,97.8289,6042
k233,0.3675,1,86.8864,2305
k586,-0.0094,1,16.7705,4885
k7390,0.0533,1,53.6027,4437
k6713,0.2165,1,57.7862,2836
k5281,-0.0093,1,114.7007,7051
k4832,0.0936,1,25.045,3997
k321,0.1102,0,177.4218,7528
k2916,0.3104,1,91.8178,1410
k5563,0.1091,1,49.0408,1338
k6042,0.2812,1,77.5403,2663
k4351,0.2718,1,31.8198,6385
k7308,0.2525,1,49.98,4370
k3347,0.0412,0,62.3699,894
k3855,0.3006,1,56.4845,3504
k6643,0.1986,1,67.2625,144
k3008,0.1955,1,78.7464,6347
k3995,0.1136,1,63.5472,4863
k6927,0.0845,1,39.246,5898
k5459,-0.0096,1,20.5061,2548
k4200,0.0713,0,89.3826,4876
k221,0.1426,1,92.0014,2658
k3185,-0.0073,1,49.5807,3902
k6021,-0.1087,0,62.46,5505
k5523,0.1572,1,30.5164,5055
k1919,0.2288,0,18.2003,1782
k6963,0.2178,1,71.9757,3313
k1323,0.2949,1,101.9865,3514
k4352,0.128,1,140.3932,1243
k4973,0.0682,1,65.0942,4974
k4879,0.2779,1,72.7083,2184
k2005,0.116,1,90.5166,3325
k3450,0.0533,1,56.2428,3590
k2862,-0.0422,1,114.6833,6880
k6616,0.1661,1,38.0592,44
k2261,0.066,1,65.0173,4804
k6078,0.1043,0,6.3246,3130
k5283,0.0345,0,33.738,1861
k6082,0.2297,1,33.2415,4840
k7232,0.0386,0,36.6231,5984
k1686,0.1856,1,84.5946,1219
k6802,0.2986,1,41.2311,1871
k2548,0.2891,1,70.6435,7352
k1041,0.1903,0,47.289,7574
k1200,0.1556,1,61.5508,4559
k585,0.152,1,44.6346,167
k1932,0.0957,1,127.289,4854
k777,0.0637,1,64.562,6121
k1969,0.1458,1,62.7096,1848
k3714,0.1436,1,99.7359,4646
k2139,0.0637,1,74.0068,6132
k7586,0.2028,1,64.5368,5127
k4597,0.1719,1,115.2606,6049
k3219,0.043,1,83.0452,5755
k1978,0.3438,0,71.8418,3987
k5382,0.2671,0,71.353,5002
k2047,0.0736,1,83.0557,3555
k4876,0.404,0,34.0074,2756
k2341,0.2338,0,46.0353,7345
k4573,0.0892,0,7.433,2425
k722,0.0375,1,78.2192,1780
k1339,0.3323,1,31.4086,164
k1295,0.4267,1,96.0325,3132
k86,0.127,1,6.3246,2766
k3902,0.1348,1,103.5109,4526
k5118,-0.0945,1,31.8473,6468
k7429,0.023,1,82.5742,1308
k2269,0.2927,1,46.768,6378
k144,0.2521,1,97.5141,3399
k173,0.1127,1,49.5631,1966
k4047,0.1325,1,137.4273,4973
k5447,0.1128,1,57.2385,6224
k1589,0.1201,0,38.422,6568
k5813,-0.0408,1,56.0201,4817
k862,-0.0107,1,15.3379,5593
k2365,0.2535,1,56.8727,3434
k3653,0.1433,0,30.6961,6299
k562,0.0482,1,116.8471,7452
k3525,-0.0433,1,86.3134,5617
k269,0.0778,0,22.102,7019
k6192,0.3523,1,57.1948,4021
k3603,0.2651,0,76.1577,4160
k5442,0.1268,1,89.7733,4945
k5877,0.28,1,19.1638,544
k2602,-0.0312,1,43.0116,2422
k5057,0.1097,1,45.853,1306
k4032,0.3508,1,21.2897,5367
k199,0.1728,0,68.7841,504
k118,0.2672,1,47.5105,6515
k7251,0.314,1,45.8939,5611
k4044,0.2126,1,149.9483,7236
k925,0.0854,1,29.8873,844
k5338,0.1452,1,60.407,2243
k7588,0.1968,0,90.1679,3524
k1834,0.1708,1,47.4236,3679
k1300,0.1846,1,50.5,4638
k4353,0.086,1,76.9025,4281
k6628,0.114,0,43.8292,934
k6635,0.1818,1,33.6043,3203
k3476,0.1856,1,114.4246,5702
k7336,0.2482,1,70.799,5913
k2565,0.8115,1,36.4177,5982
k3433,0.1422,1,92.6944,5302
k1894,0.1838,1,87.865,1554
k5732,0.1536,1,16.0078,1056
k720,0.1038,1,91.0069,5878
k6282,-0.0092,1,89.0632,5753
k6555,0.1708,1,76.3053,2767
k4861,-0.0019,1,65.0308,4360
k1944,0.2343,1,163.7475,3567
k4766,0.0774,1,79.4292,6916
k4953,0.062,1,95.0118,4753
k4222,0.1427,0,90.7965,6164
k3507,0.1123,1,47.5631,6748
k2950,0.0265,1,169.0362,6993
k4535,0.1493,1,57.5,720
k1734,0.1921,1,37.9012,5193
k5703,1.2322,0,43.6835,4948
k6984,0.1082,1,93.0484,4248
k3380,0.6347,0,81.2219,709
k6767,0.3791,1,39.8026,1704
k4326,0.1445,1,74.7329,2263
k1143,0.3301,1,28.5701,7244
k3310,0.0571,0,27.9508,1752
k7510,0.0183,1,191.0321,936
k5973,-0.0881,1,48.9745,1508
k7420,0.154,1,117.0662,186
k2491,0.1391,0,101.4704,6373
k1902,0.0506,0,66.3871,5309
k5480,0.2168,1,58.6707,4693
k5590,0.0805,1,112.0413,5659
k2661,0.0822,1,40.5617,3191
k1670,0.1837,1,23.5053,140
k6563,0.106,1,35.934,3855
k5879,0.2556,1,54.7403,7309
k4799,0.1006,1,56.9759,420
k6981,-0.3515,1,77.9006,4060
k1006,0.2689,1,35.0,340
k614,0.0646,1,36.6674,5903
k2164,0.0962,1,2.2361,6852
k2395,0.1761,1,50.1224,1132
k1491,0.1032,1,206.0097,64
k6428,0.3222,0,47.1699,7340
k2767,0.179,1,68.8368,2814
k686,0.0091,1,33.0,7055
k5196,0.1187,1,63.3127,705
k1592,0.1606,0,43.8292,7012
k2529,0.1467,0,21.006,5486
k7533,0.0257,1,51.0221,1065
k4878,0.1437,1,33.2415,5918
k3251,0.2133,1,144.3892,6112
k2990,0.0415,1,15.3052,2322
k6895,0.1437,1,30.5164,6750
k6278,-0.1907,0,39.538,5371
k624,0.1104,0,24.5204,4327
k230,0.0621,0,92.4392,2920
k2801,0.2449,1,96.2042,1647
k2030,0.1955,1,55.5428,6571
k3883,0.0251,1,118.4536,229
k1335,0.1653,1,74.2445,7259
k2075,0.9212,1,38.5649,5504
k2764,0.1427,1,47.1699,806
k3609,0.1288,1,110.5226,4249
k5006,0.1442,1,11.2361,5548
k4389,0.2011,1,54.722,5557
k6063,0.2357,1,77.1508,5695
k7100,-0.0449,1,61.7454,7537
k1885,0.0427,1,57.0307,5036
k5458,0.0238,1,28.7924,987
k1126,0.3317,1,209.9548,3104
k2792,0.0652,1,8.544,3173
k426,0.1309,1,46.2196,5408
k3983,0.3093,1,109.5411,346
k193,-0.0406,1,53.4252,4554
k5277,0.1852,1,171.3863,4355
k2184,0.1653,1,63.1348,84
k6553,0.1852,1,64.0176,6399
k2163,-0.1413,1,107.5512,57
k6336,0.2487,1,76.0345,2604
k7570,0.3302,1,12.5,4057
k1754,0.1279,1,79.3804,6941
k5378,0.0978,1,78.8575,3103
k6476,0.0289,1,77.8621,3474
k6832,0.285,0,46.0,15
k4445,0.1289,1,65.7001,1549
k5766,0.1462,1,68.6331,250
k1914,0.734,1,147.3635,3110
k5768,0.3047,1,43.8207,1658
k348,0.272,1,76.5408,1361
k4392,0.0774,0,6.5765,2444
k4151,0.068,1,76.5408,6816
k1318,-0.2753,0,53.668,1453
k1913,0.2966,1,201.5397,5538
k3610,0.0321,0,72.5603,1470
k2851,0.1695,0,82.9608,5085
k1405,0.8252,0,214.2154,3743
k418,0.4563,1,59.1798,6938
k4252,0.3335,1,62.2013,3094
k1473,0.3339,1,43.9005,6004
k503,0.052,1,74.0068,3195
k457,0.1916,1,116.2981,3634
k3451,0.1538,0,218.2527,3923
k5989,0.0866,1,108.7945,1774
k2035,0.2659,1,30.7937,5199
k2209,0.191,1,44.0114,4318
k7435,0.094,1,186.1887,1990
k5050,0.2954,0,84.214,2919
k5616,0.9915,1,18.868,58
k1756,0.0113,1,111.072,5763
k7254,0.1645,1,107.4826,1541
k3606,0.106,1,9.0139,3164
k5116,0.01,1,124.4869,6122
k3155,-0.0287,1,46.457,1321
k2538,0.0086,1,143.9522,5907
k4547,0.0602,1,40.2492,5966
k1111,0.0742,1,29.0043,2149
k1223,0.0102,1,59.0699,6766
k1034,0.164,1,57.0636,1746
k4504,0.16,1,154.7385,4570
k3782,0.1542,1,54.5825,262
k6566,0.3507,1,46.5242,1547
k266,-0.0338,1,63.3127,4530
k1623,0.2643,1,46.5027,5842
k863,-0.0538,0,77.5645,693
k4381,0.2712,1,45.722,4596
k824,0.2227,0,54.5092,2360
k3358,0.0591,1,78.0801,2199
k6974,0.1757,0,34.7635,2871
k4029,0.1767,1,38.0789,6431
k5659,-0.0052,1,67.1509,729
k5756,0.1413,1,45.5988,2267
k6810,0.2222,1,38.1903,120
k3541,-0.0124,1,28.0401,3029
k2228,0.0143,1,88.9565,4455
k3133,0.1856,1,109.0287,2706
k5994,0.2257,0,21.095,1186
k6479,0.0465,1,45.3982,933
k4710,0.3289,0,83.1039,6029
k3789,0.0403,1,30.104,5037
k3868,0.2236,1,60.3842,6983
k2915,0.1783,1,54.3323,2817
k5970,0.0867,1,11.2361,4971
k2468,0.2227,1,83.3802,5449
k6881,-0.0268,0,83.4865,5512
k4566,0.2923,1,28.0045,2806
k3549,0.0003,1,102.6365,3610
k1270,0.1201,1,67.8325,6996
k1398,0.0882,1,82.8734,6864
k4056,0.253,1,20.9404,3721
k613,0.1903,1,52.5952,534
k2929,-0.0593,0,14.1156,3479
k5460,-0.0222,1,20.1308,5238
k2237,0.2886,1,14.5,4497
k4653,0.1224,1,69.8176,6584
k7216,0.8267,1,76.415,4896
k4544,0.0642,1,182.0391,1288
k5371,0.1026,0,78.1857,3935
k6867,0.1316,1,143.7715,4933
k5247,0.0685,1,35.4154,4378
k5525,0.1296,1,47.8174,4799
k2438,0.1294,1,30.6472,372
k227,0.1041,1,102.3938,6843
k4063,0.0216,1,79.456,722
k632,0.1617,1,25.4951,5742
k3739,0.1796,1,104.9238,7130
k4791,-0.2253,1,44.2832,5897
k1663,0.5104,1,96.791,7378
k272,-0.5346,1,56.7979,2804
k7385,0.0841,0,32.28,4468
k4391,0.1468,0,104.8094,2815
k3537,1.6561,1,31.8002,5334
k3509,0.2781,1,66.6202,7467
k5936,0.2045,0,90.8529,4171
k7065,0.0296,1,11.7686,4737
k6006,0.2314,1,167.5836,5197
k5831,0.9595,1,59.1798,6812
k3130,0.0651,1,205.6557,3493
k7202,0.1567,1,68.9638,3470
k4829,0.1465,1,42.6058,7506
k750,0.3651,1,40.6725,3865
k1072,0.1464,1,21.4709,4413
k1767,0.1462,1,1328.823,22
k6011,0.0852,1,4.6098,5114
k2271,0.0417,0,70.3491,6317
k5019,-0.1552,1,61.565,7425
k3293,0.2667,1,85.5,1595
k4959,0.1038,1,38.5649,555
k3387,0.2228,1,81.9954,2693
k2592,0.5822,1,12.083,6644
k2609,0.0411,1,8.7321,5686
k5855,0.0563,1,94.1077,5687
k5315,0.0785,1,45.6207,3129
k6666,0.1941,1,20.1804,3099
k1735,0.1254,1,80.1639,6286
k6872,0.2028,1,138.5081,3192
k6960,0.2218,1,31.753,4791
k2334,0.1448,1,23.0705,1240
k3308,0.0989,1,38.3047,1231
k6795,0.0753,1,49.4975,4910
k2132,0.029,1,107.5012,3273
k7401,0.098,1,57.1161,4185
k5882,0.1572,1,230.157,4607
k6656,1.6651,0,16.2788,1052
k6762,0.0185,1,20.1556,4832
k2956,0.0261,1,95.7131,559
k7449,0.3335,1,30.7002,2999
k4612,0.1086,1,102.6462,1620
k4095,-0.1119,1,48.2312,7321
k688,0.948,1,79.5063,5305
k4312,0.1212,1,78.1025,6502
k5701,0.0165,0,74.6676,890
k5979,0.0445,1,143.1258,1952
k5307,1.4382,1,90.9189,5138
k5969,0.1058,1,31.0161,7334
k4220,0.0887,1,47.1832,2729
k6820,0.0628,0,104.3384,5714
k1893,-0.1435,1,83.4161,3999
k1109,0.0213,1,55.536,2886
k4990,0.1592,1,84.6242,1717
k4126,0.2128,1,68.1487,5105
k5009,0.0811,1,60.8769,4951
k2014,0.1217,0,51.8097,2660
k2390,0.0914,0,55.7315,526
k324,2.0375,1,57.9418,7597
k3088,0.0756,1,70.1783,449
k5567,2.582,0,162.4354,2278
k7170,0.0002,1,7.8102,4721
k3769,0.0437,0,71.8418,2420
k6569,0.1086,1,29.0043,7079
k4569,0.0847,1,49.3077,177
k2747,0.0852,1,99.2472,6978
k5341,0.2347,1,56.5199,83
k7025,0.0592,1,77.1038,3284
k3232,0.021,1,120.3536,5682
k3478,0.2428,1,39.5601,3161
k748,0.2487,1,41.2311,2952
k5635,0.0015,1,39.3859,3640
k7364,0.2369,1,49.5807,6680
k1184,0.248,0,73.2069,2618
k2266,1.3231,1,7.1589,3429
k1889,-0.0044,1,120.0521,5332
k180,0.9595,1,94.3398,4553
k3690,0.1437,1,54.2517,6320
k6766,0.2853,1,12.5399,1651
k2868,0.1855,1,35.7526,1570
k6114,0.146,1,93.0188,2104
k4877,0.4335,1,84.4423,1854
k3978,-0.0893,1,55.3173,3148
k2743,-0.3803,1,15.2069,4087
k1949,0.0552,1,22.4722,6060
k3651,0.2496,1,75.8024,2764
k3265,0.4565,1,110.3913,5598
k4215,0.3776,1,47.3973,4008
k4261,0.1104,1,123.0254,6637
k3004,0.0996,0,35.5879,1793
k3890,0.1533,1,95.9909,7295
k427,0.1507,1,90.0888,645
k3162,0.2188,1,63.0436,3033
k5996,0.0811,0,61.3209,6754
k5547,0.0949,1,66.259,1457
k5426,0.2045,1,65.622,4773
k4477,0.0984,0,208.5384,4347
k7406,-0.0089,1,27.0416,5211
k1877,0.1096,1,104.3552,4232
k885,0.0946,1,19.6023,5081
k4738,0.0223,1,41.9672,6970
k774,0.2776,1,47.8539,2468
k1997,0.201,1,65.1249,6668
k3490,0.748,1,164.0069,516
k5985,0.1942,0,60.5248,5662
k2433,0.037,1,210.2879,4153
k2125,0.2162,1,44.9944,6755
k679,0.0383,1,100.0012,3269
k1092,0.105,1,4.5277,4565
k1814,0.2592,0,79.3095,5369
k745,0.522,1,59.5252,2704
k3819,0.0736,1,54.5206,3179
k7496,0.0802,0,31.753,3588
k6804,0.3803,0,16.8003,3797
k3825,0.0994,1,51.8773,7499
k4887,-0.0013,1,418.5024,5497
k2160,0.2343,1,48.0677,2592
k5637,0.2608,1,87.5229,4075
k6966,0.199,1,33.2415,341
k6414,0.147,1,70.3651,3047
k7183,0.0284,1,76.9367,155
k7095,0.2705,1,93.3916,1077
k2927,0.0867,1,63.4449,3385
k6173,0.1351,1,13.6015,4919
k5905,0.1033,1,48.8595,200
k3767,0.0443,1,39.3859,1466
k4339,0.1615,0,69.527,1207
k6054,-0.3369,1,61.6847,5880
k1826,0.4211,1,92.577,6012
k2690,0.0556,1,69.857,6828
k5511,0.0736,1,32.5,6289
k4021,0.0404,1,13.0863,5420
k6675,0.0088,0,81.3895,5499
k997,0.0952,1,81.4877,6739
k5192,-0.0094,1,40.0,5178
k6791,0.1193,1,209.2158,3480
k2421,0.1078,1,52.2231,5614
k1104,0.1313,1,23.9008,3177
k7115,0.29,0,85.9069,6665
k2891,0.0395,1,65.3491,4641
k4954,4.4917,0,44.9722,3614
k7096,0.1087,1,18.5068,4138
k5574,0.9126,1,45.5686,871
k4661,0.948,1,205.1298,2540
k2218,0.1071,1,49.5101,3187
k5736,0.0289,1,114.2464,1634
k4008,0.1698,0,120.0042,1088
k3745,0.0185,0,26.2393,223
k539,0.1125,1,21.7083,3021
k3160,0.171,1,66.4116,3152
k1833,0.734,1,73.0068,2727
k3034,1.7524,1,43.9602,3039
k5708,0.1274,1,71.0282,6251
k1775,0.2091,0,80.4984,2732
k4668,0.1802,1,106.2121,7191
k6615,1.4717,1,37.4833,881
k4490,0.0344,1,54.0833,6736
k1153,0.052,1,87.5728,2077
k2115,2.0375,1,89.3001,2808
k2968,1.2407,1,35.4295,3766
k1206,-0.0683,1,41.512,2513
k1009,0.0831,1,75.8238,2929
k231,-0.0053,1,66.3363,2045
k5241,-0.0097,1,33.9411,5739
k6961,0.0084,1,46.8108,6810
k1262,0.0343,0,52.8228,4785
k3075,0.3796,1,57.7256,105
k3811,-0.7869,1,60.7988,4264
k4875,0.0805,1,29.8412,5405
k1207,0.0751,1,48.5927,3870
k7035,0.107,1,61.002,2125
k394,0.0931,0,48.7571,6419
k3299,-0.0927,1,56.0022,4642
k3267,0.7725,0,38.5519,2313
k3410,0.0487,1,77.6611,1788
k1489,0.0056,1,64.9038,6339
k980,0.1771,1,116.8418,316
k921,0.1427,0,154.159,4769
k2749,0.0175,0,45.0999,5259
k1595,0.2812,1,120.8356,7386
k7551,0.069,1,162.0069,3044
k1572,0.0167,1,56.7208,2376
k4865,0.3575,1,178.5567,7128
k5208,0.0887,1,23.0217,5495
k4308,0.2469,1,61.0451,5616
k4149,0.3575,1,35.3553,6829
k3068,0.0426,0,90.2358,5496
k4201,-0.0131,1,55.644,4940
k3172,0.013,1,88.9621,321
k4306,0.295,0,99.0454,3124
k4709,0.0642,1,29.77,4678
k2431,0.2761,0,133.4541,5953
k3844,0.2775,0,69.1466,6241
k6644,0.132,1,54.0948,3326
k1174,0.3369,1,78.0801,6454
k3990,0.2085,1,288.7495,3096
k564,0.1688,1,31.3249,2386
k3094,1.0896,1,35.609,2008
k565,0.0892,1,92.8574,663
k1260,0.0647,0,36.0555,4295
k2094,0.1168,1,29.6015,4491
k5555,0.2978,1,62.0322,3539
k4046,-0.0035,0,99.9525,4775
k3530,0.1921,0,118.2074,6630
k5132,0.0762,1,59.6825,5822
k3084,0.1842,1,107.8483,4634
k5033,0.325,1,82.0518,3042
k4023,0.3498,1,82.1523,5732
k2660,-0.0602,1,119.9417,5576
k4419,0.1327,0,92.716,5910
k2221,0.0975,1,27.5136,5182
k3938,-0.0081,1,76.844,102
k2345,0.2915,1,101.4027,6912
k4591,0.2433,0,42.7376,5899
k1818,0.0415,1,47.5184,3984
k6315,0.1102,0,80.8857,5667
k6269,0.1288,0,32.8824,7448
k6264,0.1426,1,55.0568,5784
k142,0.114,1,69.1466,2334
k7391,0.1042,1,86.6444,1362
k897,0.1861,1,27.7218,728
k3357,0.2633,1,68.4726,2795
k2823,0.0752,0,158.0388,2403
k6674,0.1139,1,110.8197,1766
k4213,0.0945,0,198.8328,3323
k623,-0.0406,1,51.12,3830
k2870,0.0481,0,107.5047,4447
k7606,0.3893,1,230.6729,4288
k2619,0.2813,1,36.3352,4690
k1717,1.15,1,53.6004,732
k3824,1.8132,1,142.7533,3486
k7491,0.2655,0,12.2066,1176
k5597,0.0655,1,37.0135,6540
k855,0.0629,1,96.0,3509
k4184,0.211,1,45.2217,6326
k3456,0.58,0,40.0281,1904
k6730,0.2028,1,27.0416,5195
k150,-0.001,1,133.7853,6570
k1973,0.3218,1,101.4027,437
k3642,0.1053,0,87.1436,5206
k7042,0.9337,1,22.655,744
k2599,0.0366,1,80.5559,4428
k6180,0.4576,1,19.6596,5823
k6688,0.0028,0,51.0098,5158
k7118,-0.0593,0,40.5123,1134
k544,0.1753,1,13.4629,5634
k2038,0.0842,1,57.5022,5564
k2350,0.1515,1,55.0818,6762
k5414,-0.0176,1,78.9003,5632
k149,0.1876,1,41.4367,3363
k2519,0.27,1,174.7069,3178
k5670,0.0812,0,38.5292,2449
k5427,-0.9618,0,101.2139,5923
k551,0.0626,0,75.6257,1613
k2790,0.0813,0,46.9814,5570
k67,0.0448,1,29.5846,1295
k3766,0.1771,1,44.9722,7084
k7234,-0.1044,0,73.077,3577
k1199,0.0404,1,39.8152,1575
k1127,0.0596,1,59.0021,909
k1858,0.1671,1,13.6473,3818
k943,0.074,0,76.6322,1988
k4034,0.4217,1,68.0018,1487
k3467,0.2284,1,76.1988,3467
k2588,0.3057,1,49.7318,2359
k4611,0.0628,1,78.5255,6335
k1984,0.1465,1,65.4905,5010
k7433,0.0842,0,71.2899,5503
k6540,0.2373,1,24.1868,7438
k5145,0.1012,0,63.6965,1284
k3188,0.2967,1,69.3055,6761
k5395,0.1467,1,89.3588,5946
k4414,0.2493,1,66.3871,738
k575,0.1162,1,21.9203,291
k5789,0.0144,0,75.208,1526
k262,-0.2316,1,20.573,2616
k2127,0.1005,1,87.882,2219
k1428,0.447,1,61.5894,369
k1032,0.3245,0,33.8711,5471
k2779,0.2188,1,45.6974,3410
k6308,0.0215,1,87.3742,648
k6402,1.5725,0,183.1427,3691
k4099,0.1446,0,15.4029,121
k4908,0.0921,1,59.5525,7218
k4385,-0.0372,1,49.0026,496
k4355,0.208,0,71.0106,1578
k2284,0.0926,0,75.7694,1591
k850,1.8317,0,64.531,5489
k732,1.196,1,70.8308,5883
k341,0.0388,1,78.578,282
k3139,0.0636,1,58.6941,4625
k3853,0.1595,1,56.2694,3025
k5988,0.2718,1,95.2694,4226
k4291,0.0861,1,65.2093,118
k85,0.0802,1,82.5379,6444
k1912,0.1741,1,57.2931,4175
k5800,0.2083,1,51.2372,5474
k7078,0.3776,1,39.2588,7223
k7580,-0.0592,0,60.6321,5203
k3792,0.1375,1,85.5716,3970
k1812,0.2142,1,81.6854,2256
k5662,0.2369,1,25.318,2114
k6950,0.5542,1,87.122,2438
k4189,0.1353,1,62.8908,2086
k5962,-0.0174,1,10.7355,3068
k6562,0.7161,1,124.3724,1477
k1730,0.1052,0,41.7852,337
k2611,-0.0906,1,65.5305,4007
k1539,0.2587,0,12.2577,6569
k5815,0.1139,1,56.4646,2813
k5884,0.208,0,64.6239,4597
k3802,0.1661,1,42.9418,3960
k3616,0.1106,1,84.5237,4346
k5430,0.1761,1,64.6703,6240
k5133,0.2874,1,40.0,2532
k83,0.0761,1,80.1639,1281
