Key_0_0,totalFixDur,prevFixDur,nextFixDur,Key_1_1
k7487,119.0,80.0,219.0,k4899
k4018,139.0,80.0,119.0,k1678
k1940,139.0,139.0,179.0,k349
k2435,80.0,139.0,119.0,k4073
k4031,99.0,298.0,99.0,k1885
k6627,99.0,99.0,99.0,k2185
k5769,199.0,119.0,119.0,k1124
k4974,219.0,179.0,139.0,k6688
k716,139.0,199.0,119.0,k3212
k3298,239.0,159.0,139.0,k6329
k1827,159.0,119.0,179.0,k507
k1759,119.0,219.0,219.0,k4579
k1113,179.0,99.0,358.0,k6699
k6259,278.0,139.0,99.0,k6221
k4311,258.0,199.0,298.0,k748
k3382,199.0,139.0,99.0,k1185
k98,219.0,219.0,99.0,k6339
k5498,139.0,80.0,119.0,k267
k2998,179.0,199.0,179.0,k917
k5566,219.0,278.0,239.0,k5687
k2331,318.0,99.0,80.0,k4570
k4765,159.0,0.0,199.0,k3404
k2678,119.0,99.0,119.0,k3596
k7607,99.0,219.0,179.0,k1568
k7474,318.0,159.0,199.0,k7316
k3208,99.0,417.0,119.0,k2518
k3970,139.0,0.0,358.0,k811
k2343,219.0,259.0,140.0,k1804
k1943,159.0,139.0,119.0,k3958
k3493,219.0,179.0,99.0,k6871
k4743,80.0,80.0,119.0,k1402
k351,139.0,80.0,99.0,k7276
k4763,139.0,199.0,139.0,k5141
k1396,179.0,219.0,119.0,k3333
k3001,358.0,239.0,378.0,k6660
k5859,139.0,80.0,179.0,k1131
k1757,139.0,99.0,139.0,k985
k5334,279.0,279.0,159.0,k5144
k233,199.0,518.0,199.0,k5278
k586,159.0,238.0,99.0,k3620
k7390,139.0,139.0,139.0,k1180
k6713,119.0,80.0,80.0,k5509
k5281,398.0,99.0,179.0,k595
k4832,199.0,199.0,199.0,k6770
k321,338.0,179.0,179.0,k3436
k2916,218.0,99.0,139.0,k1265
k5563,199.0,139.0,199.0,k197
k6042,99.0,80.0,99.0,k4576
k4351,99.0,0.0,179.0,k3917
k7308,179.0,179.0,179.0,k2999
k3347,279.0,119.0,99.0,k4559
k3855,298.0,179.0,238.0,k1178
k6643,258.0,119.0,119.0,k611
k3008,179.0,199.0,179.0,k6268
k3995,238.0,99.0,238.0,k7292
k6927,119.0,119.0,159.0,k2752
k5459,278.0,0.0,99.0,k3397
k4200,298.0,139.0,80.0,k6087
k221,99.0,80.0,99.0,k662
k3185,139.0,219.0,80.0,k5082
k6021,99.0,199.0,139.0,k4299
k5523,99.0,139.0,99.0,k4673
k1919,318.0,139.0,139.0,k3884
k6963,99.0,159.0,80.0,k1893
k1323,99.0,139.0,99.0,k4134
k4352,179.0,179.0,100.0,k6178
k4973,199.0,179.0,199.0,k1905
k4879,119.0,80.0,80.0,k1624
k2005,139.0,80.0,278.0,k7522
k3450,159.0,80.0,99.0,k5374
k2862,239.0,219.0,139.0,k527
k6616,139.0,159.0,80.0,k4245
k2261,99.0,80.0,298.0,k102
k6078,99.0,139.0,179.0,k4929
k5283,80.0,80.0,99.0,k7097
k6082,278.0,159.0,139.0,k5685
k7232,179.0,139.0,199.0,k2057
k1686,219.0,99.0,159.0,k3054
k6802,397.0,139.0,159.0,k2926
k2548,219.0,278.0,139.0,k6652
k1041,278.0,179.0,199.0,k6564
k1200,99.0,259.0,100.0,k1771
k585,278.0,159.0,239.0,k1838
k1932,139.0,139.0,139.0,k4401
k777,298.0,159.0,238.0,k6074
k1969,99.0,139.0,99.0,k1137
k3714,219.0,0.0,99.0,k259
k2139,238.0,179.0,139.0,k5799
k7586,417.0,139.0,298.0,k1024
k4597,199.0,159.0,99.0,k6053
k3219,139.0,119.0,179.0,k5828
k1978,179.0,139.0,119.0,k6495
k5382,179.0,99.0,259.0,k5913
k2047,259.0,120.0,180.0,k6335
k4876,239.0,139.0,179.0,k1645
k2341,199.0,99.0,219.0,k2909
k4573,159.0,99.0,99.0,k6305
k722,159.0,278.0,179.0,k2572
k1339,100.0,139.0,199.0,k5733
k1295,80.0,80.0,139.0,k189
k86,199.0,179.0,139.0,k1398
k3902,258.0,99.0,100.0,k5058
k5118,99.0,258.0,139.0,k6874
k7429,159.0,80.0,219.0,k2399
k2269,99.0,298.0,179.0,k2146
k144,179.0,0.0,99.0,k7005
k173,258.0,258.0,457.0,k6437
k4047,80.0,199.0,80.0,k7261
k5447,219.0,139.0,119.0,k5781
k1589,99.0,159.0,119.0,k3685
k5813,179.0,278.0,179.0,k7248
k862,139.0,179.0,139.0,k1533
k2365,99.0,119.0,199.0,k5217
k3653,99.0,159.0,159.0,k6114
k562,139.0,119.0,119.0,k1345
k3525,199.0,219.0,278.0,k6982
k269,159.0,99.0,219.0,k4099
k6192,159.0,119.0,119.0,k6977
k3603,80.0,179.0,159.0,k3969
k5442,80.0,80.0,199.0,k1996
k5877,139.0,119.0,99.0,k7187
k2602,119.0,258.0,159.0,k6002
k5057,119.0,219.0,99.0,k5378
k4032,159.0,139.0,179.0,k6858
k199,258.0,199.0,99.0,k2137
k118,198.0,139.0,159.0,k578
k7251,139.0,0.0,139.0,k2200
k4044,159.0,219.0,239.0,k2978
k925,139.0,139.0,139.0,k4207
k5338,259.0,139.0,80.0,k3471
k7588,139.0,159.0,239.0,k912
k1834,99.0,139.0,378.0,k6661
k1300,139.0,99.0,139.0,k216
k4353,298.0,0.0,258.0,k5437
k6628,139.0,159.0,139.0,k7592
k6635,238.0,80.0,99.0,k5814
k3476,119.0,119.0,119.0,k5079
k7336,458.0,100.0,219.0,k1561
k2565,159.0,238.0,139.0,k3414
k3433,139.0,99.0,99.0,k4477
k1894,238.0,258.0,159.0,k377
k5732,179.0,199.0,179.0,k3675
k720,99.0,99.0,99.0,k1512
k6282,199.0,258.0,139.0,k1384
k6555,199.0,119.0,199.0,k7576
k4861,99.0,119.0,119.0,k5745
k1944,219.0,179.0,99.0,k6088
k4766,239.0,179.0,139.0,k241
k4953,259.0,0.0,238.0,k2708
k4222,99.0,179.0,80.0,k2683
k3507,139.0,99.0,99.0,k1591
k2950,278.0,119.0,179.0,k4255
k4535,80.0,119.0,179.0,k301
k1734,278.0,139.0,179.0,k1089
k5703,120.0,319.0,299.0,k3157
k6984,199.0,119.0,179.0,k1021
k3380,438.0,279.0,319.0,k5646
k6767,159.0,278.0,99.0,k5331
k4326,159.0,199.0,80.0,k2905
k1143,119.0,119.0,80.0,k3020
k3310,159.0,219.0,258.0,k4751
k7510,80.0,99.0,99.0,k1690
k5973,238.0,139.0,219.0,k6391
k7420,99.0,139.0,99.0,k6929
k2491,179.0,179.0,179.0,k2322
k1902,219.0,119.0,179.0,k3959
k5480,139.0,179.0,99.0,k873
k5590,99.0,80.0,278.0,k1951
k2661,99.0,199.0,119.0,k11
k1670,119.0,99.0,119.0,k6172
k6563,219.0,80.0,139.0,k1397
k5879,139.0,99.0,159.0,k6773
k4799,218.0,358.0,139.0,k3925
k6981,219.0,199.0,219.0,k1210
k1006,179.0,139.0,239.0,k5070
k614,99.0,139.0,80.0,k1447
k2164,179.0,239.0,119.0,k3642
k2395,80.0,100.0,139.0,k5453
k1491,80.0,99.0,159.0,k572
k6428,358.0,239.0,99.0,k5476
k2767,119.0,80.0,100.0,k6986
k686,80.0,99.0,199.0,k5096
k5196,199.0,99.0,119.0,k3980
k1592,179.0,199.0,159.0,k1003
k2529,239.0,199.0,219.0,k881
k7533,139.0,139.0,179.0,k4528
k4878,99.0,159.0,99.0,k3563
k3251,119.0,119.0,179.0,k3921
k2990,139.0,179.0,99.0,k3775
k6895,258.0,99.0,99.0,k2578
k6278,119.0,159.0,338.0,k5914
k624,99.0,219.0,139.0,k3343
k230,279.0,139.0,99.0,k1112
k2801,80.0,80.0,119.0,k6142
k2030,179.0,239.0,219.0,k5338
k3883,219.0,139.0,139.0,k6416
k1335,219.0,179.0,199.0,k5046
k2075,279.0,20.0,199.0,k4251
k2764,238.0,80.0,99.0,k524
k3609,179.0,159.0,139.0,k353
k5006,99.0,100.0,139.0,k1992
k4389,139.0,80.0,159.0,k7383
k6063,119.0,99.0,80.0,k411
k7100,338.0,179.0,199.0,k5086
k1885,119.0,99.0,219.0,k2516
k5458,219.0,199.0,179.0,k6544
k1126,338.0,119.0,298.0,k4258
k2792,179.0,219.0,159.0,k2293
k426,258.0,179.0,139.0,k746
k3983,199.0,0.0,238.0,k3044
k193,179.0,80.0,80.0,k2755
k5277,179.0,99.0,99.0,k3215
k2184,199.0,179.0,219.0,k7414
k6553,119.0,179.0,179.0,k185
k2163,199.0,139.0,139.0,k416
k6336,179.0,199.0,338.0,k937
k7570,139.0,80.0,99.0,k6500
k1754,99.0,99.0,199.0,k854
k5378,119.0,0.0,80.0,k989
k6476,159.0,139.0,199.0,k654
k6832,139.0,119.0,99.0,k7502
k4445,179.0,99.0,179.0,k2084
k5766,199.0,179.0,139.0,k6631
k1914,259.0,279.0,219.0,k6271
k5768,99.0,179.0,219.0,k83
k348,259.0,159.0,179.0,k4705
k4392,219.0,139.0,179.0,k5270
k4151,119.0,80.0,99.0,k2647
k1318,219.0,139.0,219.0,k7062
k1913,438.0,99.0,199.0,k5410
k3610,159.0,199.0,119.0,k4551
k2851,139.0,139.0,378.0,k4902
k1405,857.0,179.0,60.0,k2160
k418,99.0,80.0,119.0,k1260
k4252,199.0,239.0,239.0,k3355
k1473,319.0,219.0,219.0,k6811
k503,179.0,199.0,238.0,k512
k457,80.0,139.0,139.0,k5667
k3451,397.0,219.0,179.0,k413
k5989,298.0,99.0,239.0,k1319
k2035,139.0,179.0,119.0,k4053
k2209,99.0,139.0,99.0,k5295
k7435,378.0,139.0,239.0,k2745
k5050,80.0,80.0,119.0,k3356
k5616,219.0,179.0,399.0,k5743
k1756,100.0,80.0,139.0,k4431
k7254,179.0,99.0,179.0,k6866
k3606,159.0,437.0,497.0,k1917
k5116,179.0,179.0,139.0,k2178
k3155,139.0,80.0,298.0,k6347
k2538,119.0,358.0,179.0,k7387
k4547,139.0,179.0,139.0,k4038
k1111,219.0,199.0,119.0,k4879
k1223,199.0,100.0,159.0,k6973
k1034,99.0,278.0,199.0,k6011
k4504,99.0,139.0,199.0,k4681
k3782,179.0,358.0,80.0,k4786
k6566,238.0,139.0,159.0,k176
k266,179.0,0.0,258.0,k5047
k1623,278.0,119.0,219.0,k7155
k863,179.0,239.0,298.0,k5801
k4381,278.0,119.0,238.0,k6144
k824,378.0,179.0,139.0,k6957
k3358,99.0,179.0,100.0,k4278
k6974,139.0,99.0,179.0,k4735
k4029,238.0,159.0,139.0,k4581
k5659,139.0,0.0,99.0,k2440
k5756,258.0,179.0,159.0,k2331
k6810,119.0,139.0,239.0,k6069
k3541,199.0,298.0,119.0,k1674
k2228,179.0,80.0,239.0,k942
k3133,119.0,119.0,159.0,k4758
k5994,139.0,179.0,199.0,k3799
k6479,139.0,80.0,338.0,k1914
k4710,99.0,119.0,99.0,k4503
k3789,119.0,80.0,139.0,k2504
k3868,179.0,139.0,139.0,k4708
k2915,119.0,100.0,139.0,k5982
k5970,159.0,139.0,278.0,k7357
k2468,179.0,0.0,159.0,k7431
k6881,239.0,398.0,179.0,k205
k4566,219.0,179.0,159.0,k6979
k3549,139.0,338.0,159.0,k6427
k1270,179.0,179.0,338.0,k6212
k1398,139.0,159.0,259.0,k2316
k4056,139.0,159.0,80.0,k7256
k613,179.0,258.0,179.0,k3873
k2929,179.0,258.0,238.0,k4021
k5460,139.0,100.0,99.0,k425
k2237,119.0,80.0,80.0,k7422
k4653,99.0,99.0,159.0,k1152
k7216,159.0,239.0,239.0,k659
k4544,536.0,119.0,179.0,k4295
k5371,219.0,219.0,199.0,k2723
k6867,398.0,20.0,239.0,k1441
k5247,199.0,199.0,159.0,k7411
k5525,219.0,258.0,179.0,k429
k2438,119.0,179.0,179.0,k6836
k227,139.0,139.0,119.0,k5380
k4063,298.0,80.0,99.0,k3364
k632,259.0,139.0,199.0,k5307
k3739,99.0,80.0,80.0,k2892
k4791,298.0,0.0,159.0,k1206
k1663,119.0,139.0,80.0,k6055
k272,219.0,239.0,139.0,k7085
k7385,119.0,338.0,219.0,k1499
k4391,278.0,219.0,80.0,k4098
k3537,120.0,279.0,259.0,k4002
k3509,99.0,119.0,139.0,k5640
k5936,199.0,219.0,219.0,k5402
k7065,239.0,139.0,179.0,k4996
k6006,199.0,258.0,139.0,k6303
k5831,259.0,199.0,139.0,k2990
k3130,537.0,258.0,199.0,k7168
k7202,358.0,179.0,99.0,k5487
k4829,199.0,119.0,179.0,k505
k750,219.0,99.0,179.0,k209
k1072,179.0,179.0,199.0,k6803
k1767,139.0,99.0,219.0,k1532
k6011,219.0,119.0,338.0,k6242
k2271,139.0,199.0,239.0,k5385
k5019,298.0,99.0,139.0,k59
k3293,358.0,179.0,179.0,k4840
k4959,99.0,99.0,139.0,k4534
k3387,159.0,139.0,139.0,k3662
k2592,100.0,319.0,339.0,k3868
k2609,139.0,179.0,99.0,k2911
k5855,278.0,139.0,139.0,k5075
k5315,318.0,0.0,219.0,k1908
k6666,239.0,179.0,379.0,k3586
k1735,119.0,159.0,238.0,k3641
k6872,179.0,119.0,139.0,k5741
k6960,80.0,219.0,99.0,k6083
k2334,119.0,139.0,219.0,k2107
k3308,278.0,258.0,278.0,k5931
k6795,418.0,139.0,99.0,k1072
k2132,219.0,139.0,179.0,k3773
k7401,219.0,318.0,159.0,k4036
k5882,219.0,119.0,99.0,k5235
k6656,239.0,20.0,20.0,k4266
k6762,179.0,239.0,119.0,k7093
k2956,80.0,139.0,99.0,k4776
k7449,338.0,219.0,239.0,k5290
k4612,179.0,139.0,139.0,k2144
k4095,458.0,238.0,239.0,k3189
k688,179.0,159.0,20.0,k173
k4312,179.0,179.0,139.0,k936
k5701,219.0,139.0,119.0,k3362
k5979,338.0,179.0,259.0,k7236
k5307,518.0,199.0,279.0,k5182
k5969,80.0,80.0,99.0,k916
k4220,99.0,119.0,199.0,k2380
k6820,139.0,179.0,80.0,k7480
k1893,258.0,219.0,179.0,k616
k1109,238.0,80.0,139.0,k6417
k4990,179.0,238.0,119.0,k4523
k4126,139.0,159.0,139.0,k2467
k5009,199.0,239.0,139.0,k4460
k2014,119.0,99.0,99.0,k294
k2390,119.0,179.0,119.0,k6807
k324,239.0,199.0,199.0,k1797
k3088,80.0,159.0,80.0,k1195
k5567,458.0,100.0,419.0,k1603
k7170,179.0,0.0,219.0,k5351
k3769,298.0,99.0,159.0,k6468
k6569,139.0,179.0,80.0,k5063
k4569,199.0,258.0,179.0,k3079
k2747,119.0,139.0,219.0,k3709
k5341,219.0,99.0,159.0,k7124
k7025,99.0,99.0,139.0,k641
k3232,159.0,0.0,119.0,k6611
k3478,99.0,99.0,99.0,k6028
k748,338.0,179.0,278.0,k826
k5635,99.0,159.0,80.0,k1067
k7364,159.0,99.0,219.0,k4857
k1184,99.0,99.0,80.0,k751
k2266,179.0,239.0,20.0,k5541
k1889,139.0,139.0,159.0,k3038
k180,199.0,219.0,259.0,k1807
k3690,179.0,159.0,179.0,k3273
k6766,139.0,179.0,80.0,k390
k2868,80.0,119.0,139.0,k2952
k6114,258.0,139.0,199.0,k1328
k4877,239.0,279.0,20.0,k5775
k3978,99.0,199.0,219.0,k4616
k2743,179.0,0.0,199.0,k5250
k1949,179.0,80.0,139.0,k4457
k3651,219.0,119.0,139.0,k3924
k3265,20.0,0.0,279.0,k263
k4215,80.0,80.0,99.0,k2475
k4261,238.0,239.0,80.0,k4630
k3004,219.0,139.0,100.0,k3955
k3890,139.0,159.0,139.0,k7013
k427,99.0,99.0,99.0,k3806
k3162,338.0,199.0,80.0,k7068
k5996,80.0,258.0,99.0,k3081
k5547,179.0,298.0,80.0,k7069
k5426,80.0,239.0,239.0,k775
k4477,239.0,139.0,179.0,k7495
k7406,179.0,279.0,379.0,k6647
k1877,119.0,219.0,80.0,k3132
k885,139.0,239.0,119.0,k7192
k4738,239.0,139.0,199.0,k1057
k774,139.0,139.0,199.0,k5099
k1997,179.0,179.0,219.0,k5591
k3490,458.0,219.0,199.0,k975
k5985,139.0,219.0,199.0,k7358
k2433,537.0,179.0,139.0,k2672
k2125,199.0,179.0,199.0,k94
k679,358.0,139.0,179.0,k506
k1092,139.0,99.0,159.0,k3377
k1814,139.0,258.0,119.0,k2248
k745,119.0,159.0,159.0,k7497
k3819,180.0,259.0,279.0,k5681
k7496,179.0,139.0,258.0,k5147
k6804,139.0,139.0,159.0,k6068
k3825,198.0,99.0,99.0,k273
k4887,99.0,0.0,239.0,k2433
k2160,179.0,199.0,139.0,k455
k5637,457.0,0.0,139.0,k3871
k6966,99.0,258.0,239.0,k6993
k6414,199.0,179.0,139.0,k1365
k7183,139.0,159.0,139.0,k2227
k7095,198.0,119.0,100.0,k409
k2927,139.0,80.0,159.0,k6241
k6173,99.0,139.0,80.0,k5651
k5905,139.0,139.0,179.0,k1476
k3767,278.0,159.0,219.0,k2474
k4339,119.0,80.0,219.0,k4741
k6054,20.0,219.0,259.0,k196
k1826,498.0,179.0,160.0,k2166
k2690,80.0,80.0,119.0,k953
k5511,219.0,139.0,179.0,k7459
k4021,119.0,119.0,139.0,k776
k6675,179.0,219.0,219.0,k4515
k997,159.0,99.0,139.0,k733
k5192,99.0,159.0,358.0,k5863
k6791,198.0,139.0,298.0,k1840
k2421,337.0,179.0,99.0,k6821
k1104,219.0,0.0,119.0,k2055
k7115,139.0,199.0,80.0,k6509
k2891,159.0,159.0,238.0,k2770
k4954,199.0,20.0,219.0,k2019
k7096,119.0,179.0,179.0,k4042
k5574,259.0,120.0,239.0,k4672
k4661,319.0,219.0,199.0,k5354
k2218,159.0,139.0,80.0,k1573
k5736,199.0,159.0,99.0,k2831
k4008,199.0,99.0,139.0,k750
k3745,80.0,179.0,80.0,k5525
k539,99.0,0.0,99.0,k7071
k3160,536.0,199.0,179.0,k3937
k1833,438.0,139.0,279.0,k4238
k3034,538.0,279.0,339.0,k1474
k5708,238.0,159.0,259.0,k4160
k1775,99.0,139.0,159.0,k2344
k4668,338.0,258.0,179.0,k2023
k6615,379.0,199.0,219.0,k1778
k4490,119.0,258.0,99.0,k7055
k1153,238.0,179.0,139.0,k3117
k2115,180.0,139.0,339.0,k2823
k2968,199.0,219.0,20.0,k5013
k1206,99.0,139.0,139.0,k3940
k1009,238.0,159.0,99.0,k2387
k231,199.0,99.0,99.0,k744
k5241,278.0,159.0,179.0,k2413
k6961,99.0,239.0,179.0,k6201
k1262,99.0,80.0,80.0,k7587
k3075,159.0,0.0,278.0,k2351
k3811,338.0,179.0,239.0,k5045
k4875,80.0,219.0,278.0,k3233
k1207,338.0,259.0,199.0,k6790
k7035,258.0,278.0,278.0,k1702
k394,199.0,159.0,179.0,k4296
k3299,179.0,179.0,99.0,k3025
k3267,179.0,140.0,199.0,k6511
k3410,139.0,179.0,139.0,k964
k1489,80.0,179.0,119.0,k6435
k980,338.0,219.0,139.0,k2724
k921,358.0,99.0,99.0,k6397
k2749,99.0,99.0,179.0,k5054
k1595,99.0,99.0,80.0,k4684
k7551,914.0,159.0,99.0,k5512
k1572,99.0,258.0,139.0,k4129
k4865,260.0,199.0,199.0,k6702
k5208,199.0,99.0,99.0,k2102
k4308,119.0,99.0,139.0,k1971
k4149,159.0,140.0,219.0,k1531
k3068,99.0,199.0,99.0,k3373
k4201,199.0,80.0,139.0,k2301
k3172,119.0,80.0,99.0,k4348
k4306,99.0,119.0,99.0,k5570
k4709,179.0,139.0,119.0,k6493
k2431,179.0,159.0,99.0,k1415
k3844,179.0,179.0,179.0,k245
k6644,179.0,139.0,100.0,k7305
k1174,338.0,139.0,139.0,k4034
k3990,518.0,139.0,279.0,k6875
k564,99.0,139.0,119.0,k53
k3094,439.0,20.0,199.0,k6787
k565,99.0,159.0,80.0,k6935
k1260,119.0,179.0,99.0,k5173
k2094,139.0,80.0,238.0,k2611
k5555,199.0,219.0,99.0,k6413
k4046,338.0,179.0,80.0,k7079
k3530,179.0,219.0,99.0,k4664
k5132,199.0,219.0,179.0,k2032
k3084,239.0,179.0,179.0,k6942
k5033,119.0,199.0,159.0,k5088
k4023,80.0,80.0,119.0,k6081
k2660,258.0,0.0,239.0,k3922
k4419,199.0,179.0,199.0,k3974
k2221,179.0,119.0,80.0,k5191
k3938,258.0,238.0,119.0,k6580
k2345,219.0,457.0,139.0,k5567
k4591,119.0,119.0,139.0,k6854
k1818,179.0,99.0,119.0,k2967
k6315,179.0,139.0,80.0,k6200
k6269,219.0,338.0,378.0,k4926
k6264,239.0,179.0,219.0,k1632
k142,139.0,99.0,298.0,k5761
k7391,99.0,99.0,80.0,k3982
k897,99.0,80.0,100.0,k436
k3357,258.0,139.0,99.0,k5542
k2823,477.0,139.0,139.0,k7081
k6674,357.0,99.0,139.0,k4006
k4213,615.0,139.0,378.0,k2099
k623,80.0,119.0,179.0,k7231
k2870,139.0,99.0,99.0,k124
k7606,398.0,278.0,238.0,k6543
k2619,219.0,199.0,139.0,k4017
k1717,319.0,159.0,179.0,k3254
k3824,379.0,199.0,219.0,k7131
k7491,159.0,139.0,99.0,k5851
k5597,139.0,139.0,199.0,k3360
k855,179.0,179.0,159.0,k5696
k4184,259.0,139.0,99.0,k6617
k3456,199.0,119.0,298.0,k217
k6730,119.0,199.0,179.0,k6633
k150,199.0,139.0,99.0,k4859
k1973,159.0,99.0,80.0,k4190
k3642,180.0,80.0,139.0,k7266
k7042,120.0,20.0,219.0,k1405
k2599,676.0,259.0,199.0,k4957
k6180,319.0,219.0,279.0,k4279
k6688,219.0,99.0,179.0,k3546
k7118,238.0,159.0,258.0,k7160
k544,139.0,0.0,99.0,k6797
k2038,199.0,99.0,179.0,k2864
k2350,119.0,199.0,258.0,k5787
k5414,99.0,0.0,139.0,k341
k149,179.0,199.0,139.0,k581
k2519,378.0,179.0,219.0,k1619
k5670,139.0,80.0,80.0,k5451
k5427,239.0,319.0,120.0,k1463
k551,179.0,179.0,179.0,k6008
k2790,179.0,139.0,80.0,k1666
k67,238.0,259.0,139.0,k5734
k3766,199.0,179.0,139.0,k3500
k7234,179.0,139.0,239.0,k1395
k1199,119.0,159.0,119.0,k2955
k1127,219.0,219.0,119.0,k716
k1858,80.0,100.0,139.0,k140
k943,219.0,139.0,298.0,k4958
k4034,319.0,100.0,219.0,k7418
k3467,179.0,100.0,139.0,k2278
k2588,159.0,80.0,298.0,k7201
k4611,616.0,298.0,80.0,k5080
k1984,199.0,99.0,219.0,k188
k7433,159.0,199.0,179.0,k6257
k6540,179.0,239.0,159.0,k7110
k5145,99.0,139.0,417.0,k6754
k3188,219.0,120.0,219.0,k6793
k5395,139.0,179.0,80.0,k1479
k4414,119.0,159.0,219.0,k3538
k575,238.0,179.0,100.0,k6363
