Key_1_1,pupilDiamLag,regressLen,lastSaccLen
k102,0.2895,0.0,282.9629
k4929,0.2213,0.0,74.7011
k7097,0.2091,0.0,99.8624
k5685,0.1802,0.0,205.8501
k2057,0.1206,0.0,143.6672
k3054,0.2616,1193.0,258.4918
k2926,0.2891,0.0,175.5456
k6652,0.2911,0.0,129.1172
k6564,0.1518,0.0,254.3275
k1771,0.1586,199.0,332.1333
k1838,0.374,0.0,103.0946
k4401,0.0672,0.0,445.1957
k6074,0.1212,0.0,134.0009
k1137,0.3413,517.0,177.0254
k259,0.1741,258.0,108.1665
k5799,0.1212,0.0,396.5
k1024,0.0803,0.0,44.0028
k6053,0.2729,1134.0,178.6757
k5828,0.043,0.0,188.5975
k6495,0.3438,0.0,64.9788
k5913,0.3161,438.0,783.0704
k6335,1.2396,0.0,146.5486
k1645,0.196,1849.0,87.8877
k2909,0.2128,0.0,181.2078
k6305,0.2327,0.0,506.2964
k2572,0.2125,0.0,108.4735
k5733,0.1378,398.0,541.0333
k189,0.4452,0.0,184.8276
k1398,0.127,557.0,95.6935
k5058,0.2418,0.0,384.7002
k6874,-0.0945,0.0,147.6906
k2399,0.663,0.0,97.2895
k2146,0.2492,0.0,189.1144
k7005,0.4061,0.0,246.3701
k6437,0.1247,0.0,166.4332
k7261,0.4265,0.0,172.6963
k5781,0.7263,0.0,561.1
k3685,0.0016,0.0,242.3267
k7248,0.0047,457.0,98.1835
k1533,0.0293,0.0,780.0854
k5217,0.29,0.0,113.1868
k6114,0.0903,0.0,104.6721
k1345,0.3507,0.0,225.1444
k6982,-0.0433,0.0,0.0
k4099,0.1053,558.0,124.4689
k6977,0.3178,0.0,73.6376
k3969,0.0971,0.0,239.9318
k1996,0.4063,0.0,354.4929
k7187,0.556,0.0,318.5769
k6002,0.1698,0.0,114.4246
k5378,0.0642,0.0,226.3454
k6858,0.2768,258.0,508.2335
k2137,0.1128,0.0,105.5296
k578,0.3547,0.0,128.8148
k2200,0.314,0.0,159.5125
k2978,0.6131,517.0,194.6645
k4207,0.2449,0.0,126.0159
k3471,0.2672,0.0,141.1737
k912,0.2083,0.0,210.7143
k6661,0.1023,0.0,263.6854
k216,0.3791,0.0,448.5828
k5437,0.199,0.0,156.0072
k7592,0.0825,0.0,52.2398
k5814,0.2253,0.0,166.8682
k5079,0.1786,0.0,129.1908
k1561,0.6732,0.0,104.6757
k3414,0.2685,1113.0,253.1897
k4477,0.3547,0.0,103.0886
k377,0.1843,0.0,87.0531
k3675,0.1946,0.0,301.5933
k1512,0.2988,0.0,138.1774
k1384,0.1033,0.0,233.6204
k7576,0.2198,0.0,217.297
k5745,0.2091,0.0,131.2345
k6088,0.2583,0.0,359.1131
k241,0.1174,796.0,367.1597
k2708,0.126,0.0,487.0503
k2683,0.2482,0.0,131.577
k1591,0.1013,0.0,103.5809
k4255,0.1665,0.0,349.6159
k301,0.3008,0.0,190.6948
k1089,0.2671,0.0,162.5031
k3157,2.1322,658.0,55.3828
k1021,0.2777,0.0,174.018
k5646,1.8132,0.0,86.0131
k5331,0.1821,0.0,230.5049
k2905,0.2265,0.0,1074.4436
k3020,0.3061,0.0,180.2471
k4751,0.2636,0.0,212.5288
k1690,0.0753,3678.0,41.4367
k6391,0.0959,0.0,188.0538
k6929,0.327,0.0,74.8766
k2322,0.2271,0.0,189.5534
k3959,0.3076,0.0,137.5227
k873,0.2703,0.0,233.8616
k1951,0.147,0.0,108.14
k11,0.1822,0.0,370.3245
k6172,0.1327,0.0,261.9971
k1397,0.494,0.0,193.1094
k6773,0.1136,0.0,365.381
k3925,0.0216,1132.0,399.2174
k1210,0.2085,179.0,237.4031
k5070,0.3394,0.0,87.5357
k1447,0.1446,9816.0,494.3099
k3642,0.2647,119.0,54.2033
k5453,0.1476,0.0,363.1425
k572,0.1167,0.0,305.3072
k5476,0.2967,0.0,109.9022
k6986,0.212,0.0,348.7496
k5096,0.0411,0.0,320.0664
k3980,0.1127,0.0,138.5442
k1003,0.1621,0.0,184.3285
k881,0.1682,418.0,353.7814
k4528,0.1787,0.0,155.5072
k3563,0.3642,0.0,119.3367
k3921,0.2133,0.0,538.5165
k3775,0.0915,0.0,224.0006
k2578,0.2487,0.0,136.2654
k5914,-0.1907,0.0,0.0
k3343,0.2754,0.0,251.5244
k1112,0.1356,0.0,633.2097
k6142,0.3464,577.0,97.6371
k5338,0.205,0.0,205.548
k6416,0.2056,0.0,398.5452
k5046,0.2758,418.0,131.3097
k4251,0.8442,737.0,110.8388
k524,0.8872,0.0,222.1041
k353,0.1708,0.0,235.9158
k1992,0.1307,0.0,161.5031
k7383,0.1871,0.0,198.7719
k411,0.3797,0.0,560.8231
k5086,0.1946,0.0,215.2324
k2516,0.1367,378.0,104.2785
k6544,0.1729,0.0,277.6545
k4258,0.4497,0.0,605.0424
k2293,0.0592,0.0,236.5338
k746,0.2094,796.0,72.2928
k3044,0.3768,0.0,82.0686
k2755,-0.0406,0.0,121.9067
k3215,0.3207,0.0,311.0486
k7414,0.2758,0.0,103.5338
k185,0.1397,0.0,122.7609
k416,0.1872,0.0,324.2241
k937,0.2487,0.0,299.5004
k6500,0.2727,0.0,151.268
k854,0.0869,1409.0,199.6246
k989,0.2198,0.0,191.1969
k654,0.3684,0.0,140.1508
k7502,0.285,179.0,113.554
k2084,0.3684,0.0,393.9264
k6631,0.1752,0.0,345.6447
k6271,0.734,9087.0,87.0919
k83,0.2927,0.0,324.0174
k4705,0.4215,0.0,133.5459
k5270,0.2769,179.0,75.634
k2647,0.2781,259.0,667.003
k7062,0.0617,0.0,444.302
k5410,0.1821,8528.0,808.5303
k4551,0.1671,0.0,143.014
k4902,0.3045,0.0,150.0208
k2160,0.3257,0.0,97.0696
k1260,0.2388,0.0,108.0104
k3355,0.55,3363.0,147.5076
k6811,0.2539,697.0,246.2722
k512,0.0795,0.0,150.1408
k5667,0.0951,139.0,267.4177
k413,0.3443,0.0,185.4562
k1319,0.1166,4713.0,153.6953
k4053,0.3344,218.0,124.291
k5295,0.419,0.0,250.72
k2745,0.0775,0.0,100.7435
k3356,0.1554,357.0,504.2393
k5743,0.9915,0.0,163.3065
k4431,0.3303,0.0,88.8651
k6866,0.403,616.0,138.9469
k1917,0.3155,596.0,76.5278
k2178,0.0795,0.0,65.192
k6347,0.0173,833.0,80.9475
k7387,0.1176,318.0,101.2089
k4038,-0.0023,139.0,57.8662
k4879,0.1572,0.0,481.1138
k6973,0.0437,0.0,132.0947
k6011,0.406,0.0,150.0408
k4681,0.1755,159.0,282.0044
k4786,0.1812,0.0,95.2694
k176,0.2897,0.0,550.3519
k5047,0.1057,80.0,459.0256
k7155,0.2643,0.0,0.0
k5801,0.0377,0.0,176.0007
k6144,0.2902,0.0,368.5919
k6957,0.1642,11988.0,589.1657
k4278,0.3061,0.0,275.6216
k4735,0.0847,179.0,119.877
k4581,0.1802,0.0,433.8093
k2440,0.0838,0.0,242.55
k2331,0.0073,0.0,145.5137
k6069,0.4497,0.0,194.1449
k1674,0.0526,0.0,99.0454
k942,0.1388,0.0,196.5407
k4758,0.0971,0.0,220.3548
k3799,0.2477,0.0,210.4335
k1914,0.2015,0.0,485.218
k4503,0.6429,0.0,177.5451
k2504,0.2873,0.0,251.584
k4708,0.2236,0.0,211.6182
k5982,0.2198,0.0,183.4734
k7357,0.2327,278.0,71.8923
k7431,0.1852,0.0,244.8183
k205,0.0377,0.0,129.8124
k6979,0.2908,0.0,177.5028
k6427,0.2633,0.0,450.0156
k6212,0.0246,2504.0,380.5
k2316,0.1342,0.0,185.7323
k7256,0.267,80.0,207.6566
k3873,0.1728,1411.0,95.0118
k4021,-0.1383,556.0,94.5
k425,0.3303,0.0,259.2552
k7422,0.4046,0.0,118.0953
k1152,-0.0086,0.0,253.5005
k659,2.9147,0.0,515.5546
k4295,0.0842,0.0,159.0786
k2723,1.7931,577.0,179.1382
k1441,0.3036,1234.0,303.4967
k7411,0.054,0.0,135.5701
k429,0.0801,0.0,229.0546
k6836,0.1469,0.0,90.8983
k5380,0.1456,0.0,191.0236
k3364,-0.0114,0.0,112.0413
k5307,0.5117,0.0,825.9546
k2892,0.1296,0.0,546.6736
k1206,-0.0593,0.0,360.0889
k6055,0.5104,0.0,201.0025
k7085,0.5974,0.0,173.6412
k1499,0.0841,1173.0,533.271
k4098,0.0703,160.0,460.0024
k4002,2.3196,0.0,190.4652
k5640,0.2165,0.0,430.0012
k5402,0.231,0.0,122.451
k4996,0.0681,775.0,122.2007
k6303,0.4939,0.0,82.134
k2990,0.6945,0.0,119.8384
k7168,0.0971,2167.0,407.511
k5487,0.2482,1412.0,66.7308
k505,0.283,0.0,148.9001
k209,0.3131,0.0,225.5621
k6803,0.2758,418.0,36.0555
k1532,0.1072,0.0,1454.5416
k6242,0.2062,0.0,561.6558
k5385,0.2442,836.0,500.1
k59,0.1723,0.0,141.5883
k4840,0.2667,0.0,195.9751
k4534,0.2988,238.0,329.6673
k3662,0.4189,0.0,210.5024
k3868,1.2187,0.0,217.5575
k2911,-0.0169,0.0,233.8568
k5075,0.1448,139.0,563.2238
k1908,0.0195,0.0,212.5376
k3586,2.9916,379.0,113.1106
k3641,0.1254,0.0,373.1729
k5741,0.1913,0.0,243.2781
k6083,0.3603,0.0,114.0175
k2107,0.3118,0.0,174.5623
k5931,0.0989,3480.0,68.6913
k1072,0.0713,0.0,51.4782
k3773,0.005,0.0,294.6375
k4036,0.327,0.0,127.6656
k5235,0.2032,0.0,90.118
k4266,1.9801,0.0,121.5504
k7093,0.082,298.0,100.3457
k4776,0.1526,3658.0,506.0089
k5290,0.55,0.0,153.0033
k2144,0.2401,0.0,547.5386
k3189,-0.0854,0.0,96.5117
k173,0.734,796.0,1591.8029
k936,0.3122,0.0,209.5239
k3362,0.2751,0.0,200.2255
k7236,0.0585,259.0,655.8363
k5182,0.9767,0.0,59.203
k916,0.2873,0.0,855.5298
k2380,0.1822,0.0,127.0157
k7480,0.1138,0.0,432.2962
k616,-0.07,0.0,52.1943
k6417,0.3878,0.0,77.9647
k4523,0.3402,0.0,143.5862
k2467,0.1523,0.0,262.1092
k4460,0.0756,0.0,75.4072
k294,0.2137,3938.0,140.7782
k6807,0.2729,0.0,269.5116
k1797,2.0375,11655.0,202.0155
k1195,0.0756,0.0,0.0
k1603,2.582,1036.0,0.0
k5351,0.0817,0.0,212.627
k6468,0.0427,0.0,119.7884
k5063,0.2401,0.0,128.2078
k3079,0.1717,0.0,219.1118
k3709,0.2062,0.0,578.1544
k7124,0.2347,0.0,62.0504
k641,0.0417,0.0,137.4627
k6611,0.0645,0.0,543.1429
k6028,0.1893,99.0,59.6657
k826,0.1952,0.0,77.06
k1067,0.124,0.0,158.749
k4857,0.2369,0.0,160.8112
k751,0.1335,0.0,211.1694
k5541,2.3481,20.0,66.7308
k3038,0.1816,0.0,284.9649
k1807,0.9595,0.0,128.6283
k3273,0.1427,0.0,165.0485
k390,0.5893,0.0,445.8343
k2952,0.304,0.0,101.8982
k1328,0.1875,159.0,196.5229
k5775,0.556,140.0,89.9347
k4616,0.1212,0.0,330.8266
k5250,0.6157,0.0,172.0966
k4457,0.2282,0.0,202.2554
k3924,0.3616,0.0,129.5531
k263,1.7995,0.0,136.7013
k2475,0.2966,0.0,135.5701
k4630,0.2813,0.0,131.8797
k3955,0.2116,0.0,115.5097
k7013,0.3023,258.0,396.2783
k3806,0.3262,796.0,442.685
k7068,0.2583,0.0,177.3083
k3081,0.2636,0.0,682.9863
k7069,0.2379,378.0,807.1488
k775,0.55,3363.0,888.1319
k7495,0.2389,3599.0,322.3713
k6647,-0.2634,0.0,141.934
k3132,0.2986,0.0,107.3336
k7192,0.1531,119.0,38.5
k1057,0.0643,0.0,153.2359
k5099,0.1606,716.0,158.5386
k5591,0.2655,2406.0,410.0598
k975,1.0685,4105.0,99.791
k7358,1.0012,0.0,165.0189
k2672,0.106,0.0,119.6547
k94,0.5592,0.0,131.5466
k506,0.3008,0.0,101.6673
k3377,0.2895,0.0,355.1479
k2248,0.1042,4533.0,307.2751
k7497,0.522,0.0,0.0
k5681,1.2396,0.0,267.1353
k5147,0.5782,0.0,149.0252
k6068,0.2768,1193.0,175.6822
k273,0.5514,0.0,210.2617
k2433,0.1102,0.0,996.452
k455,0.3843,0.0,151.9803
k3871,0.4398,0.0,210.1886
k6993,0.199,0.0,244.0215
k1365,0.171,0.0,242.4113
k2227,0.1029,2566.0,140.4226
k409,0.105,0.0,101.1781
k6241,0.2327,0.0,141.0035
k5651,0.2931,9816.0,485.0673
k1476,0.0513,0.0,580.7342
k2474,0.2938,0.0,265.4642
k4741,0.4955,438.0,214.3648
k196,0.0441,299.0,283.9331
k2166,0.4211,0.0,118.9212
k953,0.2895,1389.0,138.6001
k7459,0.0736,0.0,100.8179
k776,0.0859,0.0,598.312
k4515,0.1693,0.0,91.5874
k733,0.1342,398.0,197.7321
k5863,0.1366,0.0,216.037
k1840,0.1468,0.0,417.6967
k6821,0.6398,0.0,69.8713
k2055,0.2333,0.0,50.3289
k6509,0.287,0.0,351.4872
k2770,0.0085,0.0,164.5068
k2019,4.4917,1155.0,0.0
k4042,0.2777,0.0,183.0027
k4672,2.7606,0.0,94.5476
k5354,0.8315,896.0,74.783
k1573,0.3311,0.0,361.0405
k2831,0.3684,0.0,99.1476
k750,0.2243,854.0,92.9005
k5525,0.3095,379.0,662.4519
k7071,0.3265,0.0,780.2854
k3937,0.556,0.0,359.2944
k4238,0.7725,1434.0,253.9734
k1474,1.3664,937.0,58.228
k4160,0.1274,4450.0,584.1836
k2344,0.1795,2802.0,580.8548
k2023,0.2587,834.0,70.8696
k1778,2.2632,1137.0,110.0102
k7055,0.1319,0.0,470.5159
k3117,0.0795,0.0,136.18
k2823,2.0375,0.0,111.4462
k5013,1.3177,0.0,83.9315
k3940,-0.0238,1193.0,356.6402
k2387,0.1091,198.0,98.6268
k744,0.5007,0.0,161.698
k2413,0.1433,0.0,412.9558
k6201,0.2699,0.0,521.318
k7587,0.2253,0.0,109.6141
k2351,0.5301,0.0,217.5092
k5045,1.1346,0.0,329.3543
k3233,0.147,358.0,180.2776
k6790,0.0526,0.0,124.901
k1702,0.2565,914.0,264.8443
k4296,0.1661,0.0,176.9364
k3025,0.3773,0.0,20.5183
k6511,1.4375,4225.0,116.6298
k964,0.1167,1271.0,151.7383
k6435,0.304,0.0,147.666
k2724,0.0971,0.0,208.1015
k6397,0.2482,0.0,183.5824
k5054,0.1795,0.0,125.9246
k4684,0.1032,0.0,387.5116
k5512,0.069,0.0,324.0004
k4129,0.2647,0.0,210.8418
k6702,0.748,11655.0,55.0091
k2102,0.1822,0.0,243.6658
k1971,0.2469,0.0,442.764
k1531,1.058,2152.0,135.9458
k3373,0.1356,0.0,315.9343
k2301,-0.0131,1670.0,927.045
k4348,0.3695,0.0,153.8059
k5570,0.1656,3596.0,329.5243
k6493,0.2802,119.0,58.6366
k1415,0.3596,0.0,125.5488
k245,0.214,0.0,212.5147
k7305,0.1165,0.0,56.8177
k4034,0.2644,0.0,166.0903
k6875,0.3575,1434.0,102.774
k53,0.6683,0.0,502.0458
k6787,1.1076,438.0,197.851
k6935,0.2327,0.0,195.075
k5173,0.0282,0.0,262.0558
k2611,0.1693,0.0,99.8123
k6413,0.3083,0.0,112.3755
k7079,0.132,0.0,620.942
k4664,0.1441,0.0,122.5
k2032,0.1507,0.0,178.6008
k6942,0.3512,0.0,211.1333
k5088,0.1555,0.0,1069.5379
k6081,0.2903,0.0,457.8398
k3922,0.0263,0.0,113.0863
k3974,0.1327,0.0,73.2069
k5191,0.123,0.0,67.574
k6580,0.1319,0.0,198.1067
k5567,0.1945,298.0,217.019
k6854,0.5893,0.0,148.0076
k2967,0.0915,3359.0,110.5486
k6200,0.0837,0.0,130.384
k4926,0.0833,597.0,141.8185
k1632,0.2486,0.0,210.965
k5761,0.0825,0.0,93.6082
k3982,0.2327,80.0,155.2417
k436,0.1476,0.0,239.4394
k5542,0.2428,0.0,79.3237
k7081,0.0522,0.0,225.1227
k4006,0.0904,0.0,89.9694
k2099,0.0395,1034.0,829.0544
k7231,-0.0406,0.0,696.6208
k124,0.1446,0.0,143.3954
k6543,0.3893,0.0,307.1404
k4017,0.1918,0.0,93.6336
k3254,2.157,0.0,70.2887
k7131,1.7537,1137.0,1442.3623
k5851,0.3395,0.0,133.4541
k3360,0.0925,0.0,152.5819
k5696,0.1254,0.0,231.6948
k6617,0.2781,0.0,95.1972
k217,0.8115,0.0,210.535
k6633,0.1913,0.0,242.8482
k4859,0.71,0.0,57.6823
k4190,0.3273,0.0,114.0537
k7266,0.1568,0.0,145.7232
k1405,2.1332,0.0,650.0763
k4957,0.0961,0.0,451.2084
k4279,-0.0089,0.0,340.1092
k3546,0.1693,0.0,117.1292
k7160,-0.1218,0.0,173.4596
k6797,0.5303,99.0,113.4251
k2864,0.0242,0.0,106.1379
k5787,0.522,0.0,263.574
k341,0.2743,318.0,212.1114
k581,0.1876,0.0,218.7287
k1619,0.208,2406.0,95.1381
k5451,0.1497,2464.0,590.5256
k1463,0.3977,0.0,92.2659
k6008,0.1671,0.0,800.5226
k1666,0.1138,279.0,171.1586
k5734,0.0923,0.0,200.0531
k3500,0.0581,0.0,174.3395
k1395,0.1916,0.0,113.5011
k2955,0.0859,0.0,223.5805
k716,0.2386,0.0,205.6502
k140,1.4366,0.0,307.033
k4958,0.1215,4791.0,821.5184
k7418,1.0317,0.0,142.5219
k2278,0.1764,318.0,146.6671
k7201,0.0647,0.0,307.1042
k5080,0.0628,0.0,0.0
k188,0.1755,219.0,117.3382
k6257,0.2802,0.0,102.0306
k7110,0.2978,0.0,286.507
k6754,0.1527,2147.0,346.061
k6793,1.2407,0.0,119.2665
k1479,0.6357,0.0,196.8712
k3538,0.3553,0.0,213.5053
k6363,0.1852,0.0,382.0393
k5140,0.0979,0.0,176.0575
k4323,0.5974,0.0,464.0178
k1587,0.1785,696.0,143.0472
k1117,0.9995,0.0,139.8231
k4332,0.496,0.0,122.2007
k6597,0.5288,199.0,134.8008
k872,0.0395,0.0,410.9699
k895,2.582,1036.0,326.5061
k6627,0.1306,457.0,55.0114
k6370,0.0441,0.0,147.0459
k7060,0.2033,0.0,272.1089
k1075,0.231,0.0,118.0858
k1115,0.3651,6143.0,126.8671
k7252,1.6662,638.0,195.7173
k3240,0.795,0.0,110.5554
k828,0.2373,0.0,310.2084
k882,0.1201,0.0,100.8179
k6657,0.29,0.0,72.2669
k2174,0.3438,0.0,163.1295
k948,0.2081,913.0,398.6142
k4059,0.1767,0.0,171.3337
k1875,0.1111,9184.0,79.6273
k5862,0.2713,0.0,247.358
k4240,0.2966,179.0,65.7742
k3129,0.0343,0.0,178.9839
k5942,0.1385,0.0,156.1802
k5372,0.1977,0.0,96.7497
k1450,0.2114,0.0,95.3362
k4736,1.2187,0.0,295.5486
k842,0.0128,0.0,279.3676
k6834,0.1206,139.0,52.8417
k6538,1.1741,0.0,123.2599
k782,0.1462,278.0,316.532
k1935,0.6234,0.0,104.4629
k1261,0.3212,2265.0,277.0451
k6996,0.1169,0.0,70.8025
k6219,0.231,0.0,118.6054
k3308,0.356,0.0,245.7931
k4730,0.3311,0.0,178.9728
k3656,0.1876,199.0,196.7543
k2914,0.1934,0.0,163.1104
k1635,0.0841,0.0,130.8482
k450,0.3303,0.0,207.9663
k532,0.117,379.0,573.6055
k770,-0.1683,914.0,154.0811
k4626,-0.0073,0.0,276.0041
k2657,0.3095,0.0,208.2793
k300,0.1796,0.0,698.8664
k4093,0.7736,2091.0,170.8106
k2887,0.2265,159.0,251.584
k5463,0.2022,11988.0,122.0656
k1064,0.0541,0.0,697.775
k3877,0.8215,0.0,176.8191
k7600,0.1623,0.0,180.3607
k4037,0.3464,577.0,119.8384
k2074,0.2802,0.0,77.5145
k1963,0.55,0.0,146.7762
k4243,0.2589,0.0,82.7602
k4410,0.2128,0.0,254.1776
k518,0.081,299.0,288.4441
k1811,0.447,617.0,165.4645
k6662,0.8481,0.0,560.9503
k785,0.1031,0.0,104.4761
k1376,0.2206,0.0,124.3483
k7020,0.3303,0.0,353.5127
k4520,0.2081,0.0,125.9573
k2252,0.203,0.0,158.2024
k1471,0.1792,4969.0,155.2297
k3368,-0.079,99.0,56.7825
k5911,0.2153,0.0,189.8486
k711,0.211,0.0,159.3047
k2451,0.3212,11988.0,660.0153
k2110,0.4488,855.0,194.4544
k4153,0.2182,6363.0,227.6648
k3320,0.4949,1372.0,79.5016
k728,0.279,0.0,321.5004
k1768,-0.1094,438.0,160.5631
k3017,0.3507,0.0,452.0426
k5997,0.1402,278.0,550.5908
