Key_1_1,landingPos,firstSaccLen,P2stFixation
k4134,76.1183,157.2657,0
k6178,137.3909,201.1523,0
k1905,56.932,185.0547,0
k1624,66.6202,97.6371,0
k7522,93.2269,139.0081,0
k5374,55.0091,215.3073,0
k527,125.7945,321.5603,0
k4245,51.7904,245.7931,0
k102,71.8766,162.5,0
k4929,20.4022,103.5809,1
k7097,24.6678,197.31,0
k5685,26.6833,226.7355,1
k2057,39.1472,230.9248,1
k3054,70.7407,74.8081,1
k2926,121.062,206.5871,0
k6652,66.0095,382.0239,0
k6564,75.5844,95.0118,1
k1771,62.1772,338.6333,0
k1838,44.7269,581.5325,0
k4401,114.4225,159.7537,0
k6074,99.5013,100.9022,0
k1137,41.3824,100.7782,1
k259,90.5207,0.0,1
k5799,79.511,134.0009,0
k1024,65.5534,183.807,0
k6053,70.445,269.5116,1
k5828,89.0056,408.5893,0
k6495,87.0776,213.7341,1
k5913,62.5799,231.0779,0
k6335,69.7209,387.3296,0
k1645,29.3002,413.2242,1
k2909,33.6823,181.8193,0
k6305,8.5,133.515,1
k2572,81.8917,144.0139,0
k5733,19.6787,109.859,1
k189,85.9956,266.9724,0
k1398,27.8657,653.3062,0
k5058,124.7528,846.3879,0
k6874,18.3576,272.1659,0
k2399,90.5014,147.5305,0
k2146,38.8233,199.01,0
k7005,93.7723,150.3105,1
k6437,57.6758,92.5662,0
k7261,143.9601,169.105,1
k5781,53.584,437.0309,1
k3685,44.95,380.5,1
k7248,60.531,125.3236,1
k1533,10.0623,227.0666,0
k5217,57.7235,86.4653,0
k6114,30.6472,91.9837,1
k1345,125.2248,598.7088,0
k6982,80.8857,276.0041,0
k4099,34.5579,281.2708,1
k6977,77.0211,534.4083,0
k3969,67.3238,310.8641,1
k1996,82.0549,153.4829,0
k7187,38.8973,161.3459,0
k6002,31.3129,152.5524,0
k5378,47.5184,287.007,0
k6858,25.9326,175.6822,1
k2137,45.8939,167.5,1
k578,4.0311,42.0268,0
k2200,40.3268,0.0,1
k2978,166.6208,207.2981,0
k4207,21.7083,11.5974,0
k3471,51.6624,312.9077,0
k912,102.1494,244.2396,1
k6661,51.2957,251.2195,0
k216,32.28,212.9941,1
k5437,69.0,0.0,0
k7592,44.365,40.5278,1
k5814,26.2488,94.5939,0
k5079,128.0625,268.0532,0
k1561,72.092,163.833,0
k3414,35.8504,28.6356,1
k4477,118.0519,596.4229,0
k377,96.251,264.8703,0
k3675,11.7047,125.03,0
k1512,91.444,159.8624,0
k1384,99.1476,254.6566,0
k7576,87.9318,66.191,1
k5745,58.9428,99.8624,0
k6088,169.5361,178.1327,1
k241,79.6571,84.8896,0
k2708,91.6106,144.8447,1
k2683,92.5122,183.5824,0
k1591,45.722,58.5085,0
k4255,73.0548,114.4749,0
k301,70.7107,186.6936,0
k1089,43.2695,87.0919,1
k3157,40.5247,64.438,0
k1021,89.405,609.5697,0
k5646,35.3871,114.6571,1
k5331,31.9453,213.7832,1
k2905,85.1499,251.584,1
k3020,38.7072,536.28,0
k4751,25.5441,108.4735,0
k1690,204.925,138.067,1
k6391,54.9181,145.0078,0
k6929,115.5692,331.3174,0
k2322,115.5725,372.9786,1
k3959,47.8017,103.7654,1
k873,52.024,65.5477,0
k1951,98.6534,180.2776,0
k11,29.0689,243.6658,0
k6172,29.4364,249.1154,0
k1397,34.442,221.6529,0
k6773,46.6181,147.5686,0
k3925,53.5023,133.291,1
k1210,47.1832,260.0562,1
k5070,35.5563,100.005,0
k1447,35.3553,143.3954,1
k3642,12.7475,142.4588,0
k5453,55.0023,745.7883,0
k572,206.1941,166.3348,1
k5476,41.6473,81.2527,0
k6986,73.2683,101.8148,0
k5096,44.643,374.9567,0
k3980,70.8308,105.5107,0
k1003,51.7349,102.6158,1
k881,25.1794,225.0,1
k4528,60.5743,79.0,0
k3563,19.3132,136.2654,0
k3921,123.584,203.0185,0
k3775,18.1728,72.6722,1
k2578,129.6389,697.87,0
k5914,45.1774,92.0666,0
k3343,14.8408,157.0199,1
k1112,156.0032,220.1113,1
k6142,92.662,228.2898,0
k5338,55.084,285.9204,0
k6416,108.5288,119.0378,1
k5046,59.6343,103.5338,0
k4251,65.025,159.695,1
k524,56.6789,685.4331,0
k353,98.2357,684.4043,1
k1992,28.1824,716.2096,0
k7383,46.7386,178.0204,0
k411,83.006,335.0302,0
k5086,151.5033,433.9484,0
k2516,51.5388,577.0366,0
k6544,14.5774,57.0351,0
k4258,110.8434,194.1449,0
k2293,6.265,101.5111,0
k746,40.651,103.9639,0
k3044,102.9393,0.0,1
k2755,53.8911,696.6208,0
k3215,9.7082,166.1994,0
k7414,65.7647,36.0555,0
k185,43.5029,229.0851,0
k416,50.0025,153.5814,0
k937,91.2318,129.0475,0
k6500,18.7417,122.3622,0
k854,60.1103,108.0012,0
k989,82.7103,0.0,0
k654,79.5692,142.4649,0
k7502,27.0647,698.8737,1
k2084,72.892,110.7892,0
k6631,67.7422,242.7396,0
k6271,126.8,559.3954,0
k83,46.8241,116.1034,0
k4705,39.5,495.0253,0
k5270,4.6098,188.5239,1
k2647,80.7233,134.1538,1
k7062,45.6426,116.5172,1
k5410,108.7486,155.9623,0
k4551,74.0827,176.5453,0
k4902,88.285,89.1586,1
k2160,125.6344,303.5927,1
k1260,74.3808,44.3086,0
k3355,62.6279,146.7762,1
k6811,89.0084,273.4273,1
k512,70.5284,263.5043,0
k5667,120.5529,257.7023,1
k413,28.9871,225.2204,1
k1319,105.6835,246.3341,0
k4053,31.5357,89.0056,0
k5295,47.0106,802.0399,1
k2745,33.989,70.0874,0
k3356,75.6637,189.5554,0
k5743,23.0489,188.0957,0
k4431,131.4772,280.2789,0
k6866,87.4714,671.1758,0
k1917,1.118,62.5,1
k2178,127.5353,78.729,0
k6347,48.2131,194.1262,0
k7387,138.6984,540.8597,1
k4038,53.2658,107.7868,0
k4879,9.3005,153.5985,0
k6973,51.1297,69.5072,0
k6011,52.6047,239.852,0
k4681,156.2706,246.6577,1
k4786,44.365,129.2256,0
k176,37.6198,516.6297,0
k5047,73.1198,176.8679,1
k7155,31.3249,909.0903,1
k5801,89.8735,129.8124,1
k6144,48.013,444.8508,0
k6957,187.131,176.5007,1
k4278,67.3238,189.1593,0
k4735,25.6125,415.5193,1
k4581,14.6031,29.5169,0
k2440,70.0071,0.0,0
k2331,35.6721,89.7622,0
k6069,48.0885,325.6662,0
k1674,27.9732,261.4273,0
k942,86.8936,228.6329,0
k4758,102.0012,129.1908,0
k3799,11.4018,490.4921,1
k1914,44.5253,250.0125,0
k4503,86.5592,494.2277,1
k2504,38.6846,328.328,0
k4708,60.0021,176.1817,0
k5982,36.3456,59.3001,0
k7357,11.9269,141.0035,0
k7431,180.8183,0.0,0
k205,84.8248,220.6111,1
k6979,31.3249,117.0438,0
k6427,103.7413,134.1827,0
k6212,89.6354,548.7304,1
k2316,77.0146,197.7321,0
k7256,16.7705,129.4025,0
k3873,85.8094,361.8304,1
k4021,12.3491,154.0811,1
k425,40.8044,88.8651,0
k7422,17.7341,24.4591,0
k1152,68.9366,304.9004,0
k659,41.1461,106.6314,0
k4295,51.87,121.1652,1
k2723,97.2137,169.4993,0
k1441,38.0296,114.7966,1
k7411,24.026,103.1855,0
k429,69.857,417.0432,0
k6836,34.0037,102.2754,0
k5380,97.5103,722.4586,0
k3364,71.1425,184.808,0
k5307,45.5439,283.5,0
k2892,107.0946,258.2562,0
k1206,46.0679,0.0,0
k6055,76.5016,145.9495,0
k7085,50.2842,106.0212,0
k1499,30.9919,89.2749,1
k4098,58.0345,182.1984,1
k4002,26.6317,70.8978,0
k5640,71.044,105.1594,0
k5402,92.5864,118.0858,1
k4996,12.1655,143.7228,0
k6303,178.956,193.3966,0
k2990,41.488,128.6283,0
k7168,127.3548,155.7731,1
k5487,68.4288,120.3007,1
k505,35.8504,58.2151,0
k209,63.2653,75.0267,0
k6803,1.118,151.6344,0
k1532,16.5076,129.0349,0
k6242,20.7966,578.1544,0
k5385,63.0496,110.9516,0
k59,64.1892,278.6472,0
k4840,50.2021,230.8533,1
k4534,38.5519,138.1774,0
k3662,69.0398,164.6853,0
k3868,11.4018,177.5,1
k2911,14.3265,174.0065,0
k5075,78.9177,324.389,0
k1908,112.8207,673.8043,1
k3586,6.7082,224.5089,0
k3641,72.3136,142.8504,1
k5741,135.2793,242.8482,0
k6083,24.4387,52.7873,0
k2107,11.0114,195.9656,0
k5931,46.5672,59.1714,1
k1072,63.4232,204.6277,1
k3773,96.1769,77.1524,1
k4036,38.461,140.322,0
k5235,40.5031,162.8381,0
k4266,12.1037,49.0408,1
k7093,16.6208,190.217,0
k4776,89.4455,524.1612,1
k5290,50.448,785.2625,1
k2144,91.2688,128.2078,1
k3189,57.3149,180.6557,1
k173,69.1466,74.783,1
k936,73.7869,147.1436,0
k3362,91.0082,184.6652,0
k7236,42.8077,146.113,0
k5182,78.7813,224.6892,1
k916,38.5519,470.0234,0
k2380,47.9818,624.1194,0
k7480,102.8944,165.9164,1
k616,73.4983,177.5063,1
k6417,54.6123,70.8414,0
k4523,73.7309,255.5117,0
k2467,69.9893,120.8139,1
k4460,52.5095,85.0235,0
k294,58.9513,369.3457,0
k6807,83.6212,440.702,1
k1797,71.36,111.4462,1
k1195,63.6965,114.5524,1
k1603,111.298,256.5239,1
k5351,20.8387,0.0,1
k6468,72.0069,58.826,1
k5063,26.2774,216.0579,0
k3079,44.0284,205.2182,0
k3709,93.1585,215.0913,0
k7124,49.1859,101.0371,1
k641,84.7732,286.9203,0
k6611,117.3456,0.0,0
k6028,37.353,90.7662,0
k826,29.4151,299.5004,0
k1067,51.6575,480.837,0
k4857,46.0353,166.554,0
k751,76.0148,288.4441,1
k5541,20.0998,83.5853,0
k3038,116.0269,511.2128,0
k1807,49.7041,111.8794,0
k3273,45.7056,87.7055,0
k390,2.0616,153.138,0
k2952,53.7448,369.4117,0
k1328,93.3769,373.5482,1
k5775,85.0706,149.541,0
k4616,47.7127,242.9532,1
k5250,2.0616,0.0,1
k4457,20.5244,476.5315,1
k3924,69.9732,87.5857,1
k263,121.4547,0.0,0
k2475,46.7172,65.7742,0
k4630,135.271,79.7762,1
k3955,27.5045,134.3503,0
k7013,80.3757,165.0273,0
k3806,92.5122,262.3738,1
k7068,63.1506,310.7129,0
k3081,50.4876,139.3592,0
k7069,60.5392,100.71,0
k775,50.2021,136.5229,1
k7495,192.0527,307.2344,0
k6647,54.4518,112.641,0
k3132,81.4632,157.0645,0
k7192,24.3824,153.8343,0
k1057,44.1192,347.5245,0
k5099,60.1041,103.0837,0
k5591,59.4243,401.2995,1
k975,85.9069,338.634,1
k7358,55.2268,791.207,1
k2672,174.1845,788.9899,0
k94,49.6488,133.3304,0
k506,58.5769,193.9001,0
k3377,11.5109,176.4086,0
k2248,80.5248,103.3102,1
k7497,48.1508,120.0333,0
k5681,70.0161,146.5486,0
k5147,14.7054,203.9314,1
k6068,16.1941,221.338,1
k273,64.3933,593.6449,0
k2433,415.7193,0.0,0
k455,51.1566,100.1299,0
k3871,83.5374,0.0,0
k6993,40.302,79.267,0
k1365,79.0569,80.514,0
k2227,73.7835,232.6414,0
k409,106.0955,306.6537,0
k6241,46.7386,122.5122,0
k5651,10.1119,433.5049,1
k1476,38.513,99.5452,0
k2474,66.7083,106.5106,1
k4741,68.1799,617.2773,1
k196,61.5833,260.1216,0
k2166,91.1112,451.1998,1
k953,61.6117,109.7235,1
k7459,27.5045,158.2561,0
k776,15.9452,191.0792,0
k4515,81.2604,117.1292,1
k733,72.2772,418.0108,0
k5863,40.3609,65.4083,0
k1840,107.6952,331.0748,0
k6821,100.9009,560.5644,0
k2055,34.442,0.0,1
k6509,89.3784,410.4878,1
k2770,68.7314,183.5824,0
k2019,46.2871,108.074,1
k4042,23.3452,162.4815,0
k4672,34.1797,153.9683,0
k5354,45.3018,114.2147,1
k1573,36.2836,178.9728,0
k2831,121.7631,140.1508,0
k750,60.7454,102.8324,1
k5525,35.7526,563.1174,1
k7071,18.7216,0.0,0
k3937,101.0309,128.9079,0
k4238,144.1284,503.0002,1
k1474,45.412,192.7343,1
k4160,70.2638,130.9599,1
k2344,47.2705,609.3673,1
k2023,38.6394,151.1101,1
k1778,1262.7076,49.3077,0
k7055,78.1937,198.1067,0
k3117,75.3741,150.1408,0
k2823,65.416,527.5192,0
k5013,42.2966,282.16,0
k3940,49.5202,85.9215,0
k2387,76.0805,151.7243,1
k744,50.1597,170.6436,0
k2413,110.5226,130.0,0
k6201,42.3232,147.6025,0
k7587,45.6207,50.0,1
k2351,64.0078,0.0,0
k5045,20.3039,163.1908,0
k3233,35.0143,109.0046,0
k6790,64.0956,178.1579,0
k1702,51.4782,112.5278,0
k4296,76.6322,211.5325,1
k3025,55.2381,420.4608,0
k6511,34.5615,131.244,1
k964,75.5017,53.3385,1
k6435,66.3042,148.054,0
k2724,112.7885,262.7304,0
k6397,45.5,225.2521,0
k5054,79.456,93.0658,0
k4684,123.1463,181.6989,0
k5512,69.7585,273.6585,0
k4129,61.4858,145.555,0
k6702,67.1193,186.6936,1
k2102,25.224,127.0157,0
k1971,44.9472,70.8308,1
k1531,32.9621,55.0091,0
k3373,83.8824,409.2007,0
k2301,46.8855,164.0564,1
k4348,73.2427,261.7007,0
k5570,107.4477,220.5499,1
k6493,19.3197,159.0786,0
k1415,127.6411,268.3398,1
k245,86.539,56.7979,1
k7305,71.5629,206.8139,0
k4034,32.6382,62.3699,0
k6875,59.6091,423.317,1
k53,25.8312,384.5208,0
k6787,41.7612,124.0343,0
k6935,69.9232,506.2964,0
k5173,50.0899,113.1106,1
k2611,41.003,79.6994,1
k6413,56.7208,112.0379,0
k7079,180.025,231.7159,1
k4664,119.3241,277.6698,1
k2032,65.5172,144.4896,0
k6942,97.1867,197.7758,0
k5088,98.8243,226.1084,0
k6081,66.5451,220.0119,0
k3922,42.7463,84.7835,1
k3974,68.7841,90.0888,1
k5191,16.3478,261.0306,0
k6580,59.5504,165.7181,0
k5567,96.2094,105.5746,0
k6854,45.7957,147.7176,1
k2967,38.3275,224.0006,1
k6200,84.429,127.8329,1
k4926,41.7642,79.5393,0
k1632,54.0833,190.2374,1
k5761,50.8035,52.2398,1
k3982,87.0359,111.4955,0
k436,17.2047,293.3586,0
k5542,47.6471,73.7462,0
k7081,56.0357,229.7401,1
k4006,56.9956,201.3864,0
k2099,8.7321,153.0033,0
k7231,65.2323,439.848,0
k124,110.7362,180.7374,1
k6543,40.6356,101.3817,1
k4017,42.8019,108.2647,1
k3254,26.6552,583.1063,0
k7131,12.51,134.6124,0
k5851,34.0037,276.2413,1
k3360,39.08,57.1183,0
k5696,102.3536,591.0763,1
k6617,82.5015,667.003,1
k217,33.0492,261.1384,1
k6633,37.0473,80.6489,0
k4859,128.7643,437.907,1
k4190,90.1027,180.2505,0
k7266,49.135,355.777,0
k1405,59.8874,68.2092,0
k4957,41.6473,110.269,0
k4279,27.7354,98.0778,0
k3546,51.6236,194.2897,1
k7160,47.8017,94.5,1
k6797,27.0416,337.0059,0
k2864,67.8122,306.6602,0
k5787,54.0208,126.3576,0
k341,82.4924,0.0,1
k581,50.1423,1500.8852,0
k1619,47.4236,830.1581,1
k5451,32.9317,172.605,1
k1463,97.4064,216.6576,1
k6008,87.4371,217.6293,0
k1666,62.5979,432.2962,1
k5734,24.3824,202.8725,0
k3500,57.4674,184.7444,0
k1395,74.9833,95.5667,1
k2955,41.1461,333.1625,0
k716,49.1554,174.0065,0
k140,17.5,192.7706,1
k4958,80.5388,121.2642,1
k7418,35.0143,560.7069,1
k2278,81.3173,113.5099,0
k7201,63.502,122.084,0
k5080,85.5249,87.7909,1
k188,84.5015,282.0044,1
k6257,52.0865,77.5145,1
k7110,35.107,102.5,0
k6754,65.0308,160.5942,0
k6793,50.4505,337.7965,0
k1479,92.2198,104.2029,0
k3538,64.7785,93.409,0
k6363,45.3542,290.0108,0
k5140,79.3426,81.9421,1
k4323,45.2355,173.6412,0
k1587,93.4933,569.4974,0
k1117,89.6172,279.732,0
k4332,48.2597,293.6707,1
k6597,50.6285,240.9243,0
k872,84.0372,164.5919,0
k895,34.9285,306.6178,1
k6627,18.6078,137.1313,1
k6370,59.6091,171.2921,0
k7060,43.5488,97.1249,0
k1075,72.5155,103.5978,1
k1115,72.9932,111.0011,1
k7252,78.0,143.0079,1
k3240,46.9521,156.4265,0
k828,59.4811,85.0368,0
k882,67.4166,62.2977,0
k6657,65.025,72.7496,0
k2174,88.1419,100.7,0
k948,38.6588,93.7083,0
k4059,75.1864,173.2404,0
k1875,46.9814,152.618,0
k5862,48.1923,63.6965,0
k4240,40.8167,150.7987,0
k3129,50.2195,69.9214,1
k5942,190.5531,165.5483,0
k5372,84.9264,107.5291,1
k1450,43.3417,160.8112,0
k4736,92.0122,160.5125,1
k842,109.0562,424.5027,0
k6834,17.2409,469.5905,0
k6538,93.2872,52.0048,0
k782,38.1477,38.513,1
k1935,44.1814,281.7024,0
k1261,33.6341,261.5134,1
k6996,57.2451,0.0,0
k6219,69.0453,95.1381,1
k3308,37.9638,100.4502,0
k4730,81.6854,119.501,0
k3656,69.4262,345.0815,0
k2914,44.4325,72.0347,0
k1635,81.1542,53.0377,0
k450,91.5492,353.5127,1
k532,30.6023,357.0224,1
k770,32.9014,273.7417,1
k4626,23.9635,336.9054,0
k2657,66.7701,320.3514,0
k300,17.4642,251.8358,0
k4093,52.5024,94.4696,1
k2887,32.7758,156.5799,1
k5463,116.9284,650.5115,1
k1064,40.2492,208.6295,0
k3877,90.8089,303.5807,0
k7600,86.0145,535.1479,0
k4037,33.5596,153.5489,0
k2074,35.0321,140.1749,1
k1963,88.6143,153.0033,1
k4243,46.9574,105.6468,1
k4410,36.5274,515.2439,1
k518,105.0964,517.3918,1
k1811,112.3054,99.7309,1
k6662,57.6585,169.0067,1
k785,63.6946,75.738,0
k1376,128.0156,108.2243,0
k7020,74.5268,67.3146,1
k4520,31.1849,114.7661,0
k2252,65.0308,200.3578,0
k1471,139.5081,589.1657,1
k3368,15.5724,200.7212,0
k5911,111.6356,293.8388,0
k711,63.502,106.0389,1
k2451,8.0777,277.0451,1
k2110,88.5508,220.096,1
k4153,118.5116,297.1855,1
k3320,96.5635,170.6605,1
k728,98.2815,316.9941,0
k1768,28.7141,132.8345,1
k3017,34.0037,96.8104,0
k5997,30.104,131.595,0
k5067,15.7003,101.1558,0
k4465,100.1761,142.7839,0
k7478,26.1964,192.5234,0
k1216,55.084,117.031,0
k2503,40.4042,201.0025,0
k295,55.0205,111.7229,1
k6901,34.1211,178.5343,1
k7413,89.5126,222.7128,0
k5445,37.1652,291.8604,0
k4507,48.0416,172.1228,1
k218,16.5605,187.5167,1
k7562,119.3838,241.0332,1
k3230,94.921,104.0637,1
k7043,44.5702,187.3533,1
k7002,57.4282,168.2624,0
k2793,51.5485,130.1816,0
k4793,29.5296,72.8097,0
k1626,61.5508,145.2902,0
k310,83.4416,105.5616,0
k1059,108.6393,565.0179,1
k934,43.9318,213.5,1
k7505,43.0116,724.0451,1
k4490,61.9879,294.3234,0
k586,33.1851,249.6643,1
k6653,56.0803,169.9301,1
k6513,74.3303,250.3003,0
k4033,76.6975,208.4448,1
k1616,65.4083,141.4929,1
k19,58.1936,170.5029,0
k1618,14.3265,169.713,0
k6317,51.5388,527.2732,0
k332,2.0616,236.0095,0
k7518,17.6777,158.0008,0
k5323,50.1224,75.634,1
k305,36.5274,116.9027,1
k1696,36.1836,86.338,1
k2815,95.2169,70.0874,1
k7048,66.4267,606.7967,0
k4405,62.5,551.8066,1
k6078,125.4402,177.7308,1
k3894,63.3285,104.6721,1
k6976,42.9214,66.5676,1
k3528,85.4283,709.8204,1
k5269,71.9253,130.6379,1
k104,30.5941,190.1328,0
k2327,20.8926,121.5504,1
k6379,80.8409,120.204,0
k2463,64.5329,346.061,1
k2560,69.7298,364.6385,1
k3239,49.8121,231.3115,1
k1495,42.1545,265.4642,0
k4633,94.6071,86.2235,0
k3422,64.9788,263.6001,1
k3509,111.9308,179.3941,1
k1919,26.4008,74.8415,0
k1459,110.7215,69.916,0
k6892,28.8531,145.1043,0
k664,42.8544,255.7953,1
k5980,40.3887,170.5007,1
k3527,48.7468,358.0,1
k2450,77.6418,69.8033,1
k2907,78.2943,214.9244,1
k7484,91.6542,263.1316,0
k6408,66.2118,166.4227,0
k4588,100.2821,300.0504,1
k1549,106.5106,119.7884,1
k1362,54.8293,128.7808,0
k5955,35.0036,127.7204,1
k1143,34.1321,248.7217,1
k2983,83.7929,82.1523,0
k3792,53.5584,184.6957,0
k2877,51.8773,100.505,0
k2339,83.8287,214.3648,1
k4256,41.5752,241.6676,1
k78,10.5119,270.2041,0
k5037,39.9406,62.9682,1
k5262,40.4753,190.3004,0
k3084,28.6225,41.3401,0
k5419,23.2863,110.3913,1
k736,30.6961,218.5967,0
k6036,51.2445,86.9253,0
k7548,21.2426,206.1965,0
k417,103.64,645.9106,0
k1281,87.9119,579.4588,1
k2033,39.0512,188.6379,0
k6987,1105.6322,949.6416,0
k1341,121.0806,463.0432,1
k673,79.1865,321.3973,0
k3932,51.3517,168.1071,0
k3927,36.0035,336.7911,0
k7423,148.5842,140.8918,1
k1422,75.6257,98.9949,1
k4748,62.8908,88.5692,0
k1648,46.8855,98.256,1
k1244,45.6207,177.1899,0
k6157,65.7742,151.2457,1
k1113,28.3593,694.1623,0
k6226,54.4541,69.3001,0
k3861,89.4343,74.2428,0
k4697,131.9185,222.3044,1
k3271,20.3039,538.5165,1
k3152,10.6888,582.5019,0
k3080,74.4748,98.6268,1
k5631,40.7922,65.1556,0
k5460,66.2288,96.6049,0
k491,125.501,245.5249,0
k660,32.5,103.646,1
k4353,28.0713,140.0143,1
