Key_0_0,firstPassFixDur,lineNo,assgNo,lineNo.1
k3624,139.0,7653.0,236.0,7653.0
k6416,80.0,10388.0,317.0,10388.0
k6372,179.0,2860.0,87.0,2860.0
k1188,518.0,2539.0,78.0,2539.0
k6854,99.0,490.0,15.0,490.0
k5983,239.0,2983.0,91.0,2983.0
k412,99.0,9322.0,289.0,9322.0
k4467,80.0,10598.0,324.0,10598.0
k4915,199.0,1771.0,55.0,1771.0
k5817,258.0,216.0,6.0,216.0
k3201,80.0,6639.0,197.0,6639.0
k1896,219.0,3747.0,119.0,3747.0
k6066,139.0,260.0,8.0,260.0
k3873,298.0,7578.0,231.0,7578.0
k1518,199.0,7084.0,215.0,7084.0
k7501,378.0,2522.0,78.0,2522.0
k2828,159.0,8204.0,256.0,8204.0
k72,160.0,6566.0,194.0,6566.0
k998,278.0,377.0,11.0,377.0
k7411,199.0,8643.0,274.0,8643.0
k1278,139.0,9833.0,303.0,9833.0
k6188,219.0,775.0,23.0,775.0
k3053,139.0,1448.0,44.0,1448.0
k2034,99.0,535.0,17.0,535.0
k1162,199.0,2746.0,83.0,2746.0
k2309,338.0,8069.0,251.0,8069.0
k5141,298.0,451.0,14.0,451.0
k4048,80.0,9467.0,293.0,9467.0
k5219,139.0,1777.0,56.0,1777.0
k6112,159.0,3168.0,97.0,3168.0
k4050,99.0,1361.0,42.0,1361.0
k3622,339.0,3145.0,96.0,3145.0
k7382,359.0,2736.0,83.0,2736.0
k1406,298.0,5956.0,177.0,5956.0
k871,278.0,1486.0,44.0,1486.0
k904,139.0,10006.0,306.0,10006.0
k6098,80.0,10381.0,317.0,10381.0
k6552,199.0,1436.0,44.0,1436.0
k1129,139.0,9900.0,304.0,9900.0
k4491,139.0,6598.0,195.0,6598.0
k5162,536.0,8383.0,263.0,8383.0
k3650,99.0,8542.0,270.0,8542.0
k740,139.0,1404.0,43.0,1404.0
k7089,337.0,3682.0,115.0,3682.0
k3135,199.0,5200.0,157.0,5200.0
k159,80.0,9224.0,289.0,9224.0
k449,219.0,3734.0,118.0,3734.0
k1013,279.0,2587.0,78.0,2587.0
k6481,139.0,1769.0,55.0,1769.0
k37,120.0,2972.0,91.0,2972.0
k1280,119.0,6789.0,203.0,6789.0
k6817,139.0,10837.0,334.0,10837.0
k6504,278.0,4067.0,130.0,4067.0
k7249,119.0,411.0,12.0,411.0
k3783,159.0,9391.0,291.0,9391.0
k5051,219.0,3950.0,127.0,3950.0
k6734,179.0,6067.0,179.0,6067.0
k185,99.0,10369.0,316.0,10369.0
k5408,179.0,3382.0,103.0,3382.0
k2981,80.0,8316.0,259.0,8316.0
k4899,397.0,165.0,5.0,165.0
k6254,20.0,2829.0,86.0,2829.0
k3956,139.0,9167.0,287.0,9167.0
k1273,159.0,3788.0,121.0,3788.0
k5847,278.0,4260.0,134.0,4260.0
k7487,99.0,7822.0,240.0,7822.0
k4018,139.0,9125.0,286.0,9125.0
k1940,139.0,10882.0,336.0,10882.0
k2435,139.0,6304.0,185.0,6304.0
k4031,139.0,9487.0,293.0,9487.0
k6627,99.0,1805.0,57.0,1805.0
k5769,199.0,3740.0,118.0,3740.0
k4974,219.0,766.0,23.0,766.0
k716,99.0,583.0,18.0,583.0
k3298,239.0,4559.0,142.0,4559.0
k1827,159.0,9207.0,288.0,9207.0
k1759,119.0,2180.0,70.0,2180.0
k1113,179.0,5950.0,177.0,5950.0
k6259,278.0,793.0,24.0,793.0
k4311,159.0,1231.0,38.0,1231.0
k3382,239.0,2105.0,66.0,2105.0
k98,219.0,4308.0,135.0,4308.0
k5498,80.0,6599.0,195.0,6599.0
k2998,179.0,6043.0,179.0,6043.0
k5566,219.0,3593.0,111.0,3593.0
k2331,139.0,6565.0,194.0,6565.0
k4765,100.0,8437.0,266.0,8437.0
k2678,119.0,3833.0,123.0,3833.0
k7607,99.0,4556.0,142.0,4556.0
k7474,318.0,5281.0,159.0,5281.0
k3208,99.0,548.0,17.0,548.0
k3970,139.0,5095.0,155.0,5095.0
k2343,219.0,3159.0,96.0,3159.0
k1943,159.0,302.0,9.0,302.0
k3493,219.0,7967.0,248.0,7967.0
k4743,80.0,6425.0,190.0,6425.0
k351,139.0,5590.0,166.0,5590.0
k4763,139.0,5445.0,164.0,5445.0
k1396,179.0,1567.0,47.0,1567.0
k3001,358.0,5370.0,162.0,5370.0
k5859,139.0,6159.0,181.0,6159.0
k1757,218.0,7346.0,225.0,7346.0
k5334,279.0,3054.0,93.0,3054.0
k233,398.0,2635.0,79.0,2635.0
k586,159.0,6131.0,181.0,6131.0
k7390,139.0,8703.0,276.0,8703.0
k6713,80.0,6553.0,194.0,6553.0
k5281,398.0,7508.0,229.0,7508.0
k4832,199.0,1622.0,49.0,1622.0
k321,338.0,1322.0,42.0,1322.0
k2916,179.0,8239.0,256.0,8239.0
k5563,239.0,1623.0,49.0,1623.0
k6042,99.0,9410.0,291.0,9410.0
k4351,99.0,10278.0,313.0,10278.0
k7308,179.0,4259.0,134.0,4259.0
k3347,279.0,1382.0,43.0,1382.0
k3855,298.0,4801.0,148.0,4801.0
k6643,258.0,1682.0,52.0,1682.0
k3008,179.0,4184.0,133.0,4184.0
k3995,159.0,3935.0,127.0,3935.0
k6927,119.0,3371.0,103.0,3371.0
k5459,278.0,875.0,27.0,875.0
k4200,298.0,7317.0,224.0,7317.0
k221,119.0,6567.0,194.0,6567.0
k3185,119.0,7513.0,229.0,7513.0
k6021,99.0,6990.0,212.0,6990.0
k5523,99.0,10173.0,310.0,10173.0
k1919,318.0,8021.0,249.0,8021.0
k6963,99.0,6976.0,212.0,6976.0
k1323,99.0,6520.0,193.0,6520.0
k4352,179.0,9825.0,303.0,9825.0
k4973,199.0,8534.0,270.0,8534.0
k4879,119.0,6814.0,204.0,6814.0
k2005,99.0,120.0,4.0,120.0
k3450,159.0,5286.0,159.0,5286.0
k2862,239.0,1184.0,37.0,1184.0
k6616,139.0,6607.0,196.0,6607.0
k2261,99.0,6343.0,187.0,6343.0
k6078,99.0,7857.0,242.0,7857.0
k5283,80.0,6628.0,197.0,6628.0
k6082,278.0,8881.0,280.0,8881.0
k7232,179.0,9602.0,296.0,9602.0
k1686,219.0,7647.0,236.0,7647.0
k6802,397.0,4891.0,149.0,4891.0
k2548,238.0,4893.0,149.0,4893.0
k1041,278.0,5179.0,157.0,5179.0
k1200,99.0,7154.0,219.0,7154.0
k585,278.0,3585.0,111.0,3585.0
k1932,139.0,8911.0,281.0,8911.0
k777,298.0,8552.0,271.0,8552.0
k1969,99.0,5208.0,157.0,5208.0
k3714,219.0,1497.0,45.0,1497.0
k2139,238.0,8553.0,271.0,8553.0
k7586,417.0,8045.0,250.0,8045.0
k4597,240.0,6795.0,203.0,6795.0
k3219,139.0,9707.0,299.0,9707.0
k1978,179.0,10286.0,313.0,10286.0
k5382,179.0,4807.0,148.0,4807.0
k2047,259.0,3233.0,98.0,3233.0
k4876,119.0,6292.0,185.0,6292.0
k2341,199.0,3840.0,123.0,3840.0
k4573,159.0,1406.0,43.0,1406.0
k722,159.0,9739.0,300.0,9739.0
k1339,100.0,594.0,19.0,594.0
k1295,80.0,10596.0,324.0,10596.0
k86,179.0,5864.0,174.0,5864.0
k3902,258.0,7886.0,243.0,7886.0
k5118,99.0,6267.0,184.0,6267.0
k7429,159.0,6378.0,188.0,6378.0
k2269,99.0,7558.0,231.0,7558.0
k144,199.0,7693.0,237.0,7693.0
k173,258.0,1264.0,40.0,1264.0
k4047,80.0,9969.0,306.0,9969.0
k5447,139.0,579.0,18.0,579.0
k1589,139.0,7807.0,240.0,7807.0
k5813,179.0,4353.0,136.0,4353.0
k862,139.0,7406.0,226.0,7406.0
k2365,99.0,3658.0,114.0,3658.0
k3653,99.0,5289.0,159.0,5289.0
k562,139.0,9009.0,283.0,9009.0
k3525,199.0,7550.0,230.0,7550.0
k269,159.0,8659.0,275.0,8659.0
k6192,159.0,10354.0,316.0,10354.0
k3603,80.0,9695.0,298.0,9695.0
k5442,80.0,7087.0,215.0,7087.0
k5877,139.0,133.0,4.0,133.0
k2602,119.0,7046.0,214.0,7046.0
k5057,119.0,10662.0,328.0,10662.0
k4032,139.0,1142.0,34.0,1142.0
k199,258.0,5181.0,157.0,5181.0
k118,198.0,10061.0,307.0,10061.0
k7251,139.0,10770.0,332.0,10770.0
k4044,159.0,1643.0,50.0,1643.0
k925,139.0,2003.0,64.0,2003.0
k5338,259.0,10051.0,307.0,10051.0
k7588,139.0,540.0,17.0,540.0
k1834,99.0,8824.0,279.0,8824.0
k1300,238.0,7664.0,236.0,7664.0
k4353,298.0,5804.0,172.0,5804.0
k6628,139.0,5618.0,167.0,5618.0
k6635,238.0,5075.0,154.0,5075.0
k3476,119.0,9574.0,295.0,9574.0
k7336,559.0,2391.0,75.0,2391.0
k2565,258.0,3599.0,111.0,3599.0
k3433,139.0,10058.0,307.0,10058.0
k1894,179.0,8739.0,277.0,8739.0
k5732,179.0,6197.0,183.0,6197.0
k720,99.0,6960.0,211.0,6960.0
k6282,199.0,7354.0,225.0,7354.0
k6555,199.0,7925.0,246.0,7925.0
k4861,80.0,6629.0,197.0,6629.0
k1944,219.0,7066.0,215.0,7066.0
k4766,258.0,981.0,30.0,981.0
k4953,139.0,214.0,6.0,214.0
k4222,99.0,1358.0,42.0,1358.0
k3507,139.0,7856.0,242.0,7856.0
k2950,278.0,4096.0,132.0,4096.0
k4535,80.0,3517.0,108.0,3517.0
k1734,278.0,1441.0,44.0,1441.0
k5703,120.0,2275.0,73.0,2275.0
k6984,199.0,4611.0,143.0,4611.0
k3380,438.0,2302.0,73.0,2302.0
k6767,159.0,7667.0,236.0,7667.0
k4326,80.0,10025.0,306.0,10025.0
k1143,119.0,7618.0,235.0,7618.0
k3310,159.0,1669.0,52.0,1669.0
k7510,258.0,7304.0,224.0,7304.0
k5973,238.0,261.0,8.0,261.0
k7420,99.0,5685.0,168.0,5685.0
k2491,179.0,750.0,22.0,750.0
k1902,219.0,1649.0,51.0,1649.0
k5480,139.0,436.0,13.0,436.0
k5590,99.0,118.0,4.0,118.0
k2661,99.0,10233.0,311.0,10233.0
k1670,119.0,8927.0,281.0,8927.0
k6563,219.0,5572.0,166.0,5572.0
k5879,139.0,7736.0,239.0,7736.0
k4799,139.0,6003.0,178.0,6003.0
k6981,219.0,2501.0,78.0,2501.0
k1006,80.0,8181.0,255.0,8181.0
k614,99.0,9486.0,293.0,9486.0
k2164,179.0,10676.0,328.0,10676.0
k2395,80.0,9653.0,297.0,9653.0
k1491,199.0,1275.0,41.0,1275.0
k6428,358.0,1298.0,41.0,1298.0
k2767,179.0,6528.0,194.0,6528.0
k686,80.0,7743.0,239.0,7743.0
k5196,199.0,1261.0,40.0,1261.0
k1592,179.0,4830.0,148.0,4830.0
k2529,239.0,8397.0,264.0,8397.0
k7533,139.0,5446.0,164.0,5446.0
k4878,99.0,5473.0,164.0,5473.0
k3251,119.0,8796.0,278.0,8796.0
k2990,139.0,9895.0,304.0,9895.0
k6895,258.0,5472.0,164.0,5472.0
k6278,119.0,522.0,15.0,522.0
k624,99.0,8218.0,256.0,8218.0
k230,279.0,9604.0,296.0,9604.0
k2801,80.0,6813.0,204.0,6813.0
k2030,179.0,4187.0,133.0,4187.0
k3883,119.0,9504.0,293.0,9504.0
k1335,179.0,1728.0,54.0,1728.0
k2075,179.0,2917.0,89.0,2917.0
k2764,238.0,1360.0,42.0,1360.0
k3609,179.0,8821.0,279.0,8821.0
k5006,99.0,8971.0,282.0,8971.0
k4389,139.0,7605.0,234.0,7605.0
k6063,119.0,9044.0,284.0,9044.0
k7100,338.0,6195.0,183.0,6195.0
k1885,119.0,8448.0,266.0,8448.0
k5458,219.0,1828.0,57.0,1828.0
k1126,338.0,10593.0,324.0,10593.0
k2792,179.0,5409.0,163.0,5409.0
k426,258.0,966.0,30.0,966.0
k3983,199.0,3731.0,118.0,3731.0
k193,179.0,6864.0,206.0,6864.0
k5277,179.0,7568.0,231.0,7568.0
k2184,199.0,1727.0,54.0,1727.0
k6553,119.0,10606.0,325.0,10606.0
k2163,199.0,10137.0,309.0,10137.0
k6336,179.0,8579.0,272.0,8579.0
k7570,139.0,8567.0,271.0,8567.0
k1754,99.0,6853.0,206.0,6853.0
k5378,119.0,7918.0,246.0,7918.0
k6476,159.0,8116.0,253.0,8116.0
k6832,139.0,3544.0,109.0,3544.0
k4445,179.0,8113.0,253.0,8113.0
k5766,199.0,8997.0,283.0,8997.0
k1914,219.0,2546.0,78.0,2546.0
k5768,99.0,7555.0,231.0,7555.0
k348,259.0,2693.0,81.0,2693.0
k4392,219.0,866.0,26.0,866.0
k4151,119.0,6541.0,194.0,6541.0
k1318,219.0,2382.0,75.0,2382.0
k1913,438.0,1458.0,44.0,1458.0
k3610,159.0,745.0,22.0,745.0
k2851,139.0,24.0,1.0,24.0
k1405,857.0,2899.0,88.0,2899.0
k418,99.0,3832.0,123.0,3832.0
k4252,139.0,4126.0,132.0,4126.0
k1473,338.0,8355.0,261.0,8355.0
k503,179.0,5630.0,167.0,5630.0
k457,80.0,7215.0,221.0,7215.0
k3451,397.0,1736.0,54.0,1736.0
k5989,298.0,3986.0,129.0,3986.0
k2035,139.0,8238.0,256.0,8238.0
k2209,99.0,6569.0,194.0,6569.0
k7435,298.0,5868.0,174.0,5868.0
k5050,80.0,2082.0,66.0,2082.0
k5616,219.0,2524.0,78.0,2524.0
k1756,100.0,602.0,19.0,602.0
k7254,179.0,3540.0,109.0,3540.0
k3606,159.0,5602.0,167.0,5602.0
k5116,238.0,5633.0,167.0,5633.0
k3155,99.0,10325.0,315.0,10325.0
k2538,119.0,1602.0,48.0,1602.0
k4547,139.0,10080.0,308.0,10080.0
k1111,219.0,5332.0,161.0,5332.0
k1223,199.0,8436.0,266.0,8436.0
k1034,99.0,3646.0,113.0,3646.0
k4504,99.0,9953.0,306.0,9953.0
k3782,179.0,9148.0,287.0,9148.0
k6566,238.0,9012.0,283.0,9012.0
k266,99.0,10536.0,321.0,10536.0
k1623,219.0,10349.0,315.0,10349.0
k863,179.0,4361.0,136.0,4361.0
k4381,278.0,4481.0,138.0,4481.0
k824,159.0,9263.0,289.0,9263.0
k3358,99.0,9620.0,296.0,9620.0
k6974,139.0,8953.0,282.0,8953.0
k4029,238.0,5373.0,162.0,5373.0
k5659,139.0,8647.0,275.0,8647.0
k5756,258.0,8070.0,251.0,8070.0
k6810,119.0,10592.0,324.0,10592.0
k3541,199.0,6171.0,182.0,6171.0
k2228,179.0,7400.0,226.0,7400.0
k3133,119.0,9575.0,295.0,9575.0
k5994,139.0,9031.0,284.0,9031.0
k6479,139.0,10720.0,329.0,10720.0
k4710,99.0,6751.0,202.0,6751.0
k3789,119.0,6949.0,210.0,6949.0
k3868,179.0,9562.0,295.0,9562.0
k2915,119.0,7921.0,246.0,7921.0
k5970,159.0,9062.0,285.0,9062.0
k2468,179.0,10604.0,325.0,10604.0
k6881,239.0,4360.0,136.0,4360.0
k4566,219.0,3787.0,121.0,3787.0
k3549,139.0,3818.0,122.0,3818.0
k1270,259.0,7806.0,240.0,7806.0
k1398,139.0,9138.0,287.0,9138.0
k4056,139.0,10845.0,334.0,10845.0
k613,199.0,5178.0,157.0,5178.0
k2929,179.0,4694.0,145.0,4694.0
k5460,139.0,603.0,19.0,603.0
k2237,119.0,4967.0,151.0,4967.0
k4653,99.0,1088.0,33.0,1088.0
k7216,159.0,2848.0,86.0,2848.0
k4544,536.0,8376.0,263.0,8376.0
k5371,20.0,3180.0,97.0,3180.0
k6867,438.0,3205.0,98.0,3205.0
k5247,199.0,5894.0,175.0,5894.0
k5525,219.0,4053.0,130.0,4053.0
k2438,119.0,880.0,27.0,880.0
k227,139.0,9447.0,293.0,9447.0
k4063,298.0,6006.0,178.0,6006.0
k632,259.0,9052.0,284.0,9052.0
k3739,99.0,815.0,24.0,815.0
k4791,298.0,4690.0,145.0,4690.0
k1663,119.0,256.0,7.0,256.0
k272,219.0,2190.0,70.0,2190.0
k7385,119.0,650.0,21.0,650.0
k4391,278.0,7019.0,213.0,7019.0
k3537,120.0,3157.0,96.0,3157.0
k3509,99.0,6548.0,194.0,6548.0
k5936,199.0,4306.0,135.0,4306.0
k7065,239.0,796.0,24.0,796.0
k6006,199.0,341.0,10.0,341.0
k5831,259.0,2687.0,81.0,2687.0
k3130,179.0,655.0,21.0,655.0
k7202,139.0,1355.0,42.0,1355.0
k4829,199.0,10915.0,336.0,10915.0
k750,219.0,5028.0,153.0,5028.0
k1072,179.0,1726.0,54.0,1726.0
k1767,139.0,9129.0,286.0,9129.0
k6011,219.0,9355.0,290.0,9355.0
k2271,139.0,7468.0,227.0,7468.0
k5019,298.0,3815.0,122.0,3815.0
k3293,99.0,4424.0,136.0,4424.0
k4959,99.0,6961.0,211.0,6961.0
k3387,159.0,1863.0,58.0,1863.0
k2592,219.0,2800.0,85.0,2800.0
k2609,139.0,7746.0,239.0,7746.0
k5855,278.0,8705.0,276.0,8705.0
k5315,139.0,5773.0,171.0,5773.0
k6666,159.0,3083.0,93.0,3083.0
k1735,159.0,1028.0,31.0,1028.0
k6872,179.0,8043.0,250.0,8043.0
k6960,80.0,3753.0,119.0,3753.0
k2334,119.0,8713.0,276.0,8713.0
k3308,278.0,978.0,30.0,978.0
k6795,418.0,7311.0,224.0,7311.0
k2132,219.0,4225.0,134.0,4225.0
k7401,219.0,5682.0,168.0,5682.0
k5882,219.0,10172.0,310.0,10172.0
k6656,239.0,3097.0,94.0,3097.0
k6762,179.0,10803.0,333.0,10803.0
k2956,80.0,7790.0,240.0,7790.0
k7449,199.0,4124.0,132.0,4124.0
k4612,119.0,9510.0,293.0,9510.0
k4095,458.0,4863.0,149.0,4863.0
k688,199.0,2543.0,78.0,2543.0
k4312,179.0,8557.0,271.0,8557.0
k5701,219.0,6699.0,200.0,6699.0
k5979,338.0,5524.0,165.0,5524.0
k5307,777.0,2284.0,73.0,2284.0
k5969,80.0,6946.0,210.0,6946.0
k4220,99.0,10231.0,311.0,10231.0
k6820,139.0,560.0,18.0,560.0
k1893,258.0,3300.0,100.0,3300.0
k1109,238.0,1238.0,38.0,1238.0
k4990,179.0,1247.0,39.0,1247.0
k4126,457.0,461.0,14.0,461.0
k5009,199.0,6142.0,181.0,6142.0
k2014,119.0,9286.0,289.0,9286.0
k2390,119.0,6794.0,203.0,6794.0
k324,279.0,2622.0,78.0,2622.0
k3088,100.0,760.0,22.0,760.0
k5567,598.0,2717.0,82.0,2717.0
k7170,179.0,8982.0,283.0,8982.0
k3769,298.0,8446.0,266.0,8446.0
k6569,318.0,9509.0,293.0,9509.0
k4569,199.0,10393.0,317.0,10393.0
k2747,119.0,9354.0,290.0,9354.0
k5341,219.0,7433.0,227.0,7433.0
k7025,278.0,7464.0,227.0,7464.0
k3232,159.0,6688.0,200.0,6688.0
k3478,99.0,6940.0,210.0,6940.0
k748,338.0,8580.0,272.0,8580.0
k5635,99.0,6335.0,187.0,6335.0
k7364,159.0,8267.0,258.0,8267.0
k1184,99.0,3377.0,103.0,3377.0
k2266,179.0,3129.0,95.0,3129.0
k1889,139.0,7719.0,238.0,7719.0
k180,199.0,2686.0,81.0,2686.0
k3690,179.0,4684.0,144.0,4684.0
k6766,139.0,10298.0,314.0,10298.0
k2868,80.0,6675.0,198.0,6675.0
k6114,99.0,10005.0,306.0,10005.0
k4877,239.0,2673.0,81.0,2673.0
k3978,99.0,7507.0,229.0,7507.0
k2743,179.0,2889.0,88.0,2889.0
k1949,179.0,4578.0,142.0,4578.0
k3651,219.0,1445.0,44.0,1445.0
k3265,20.0,2657.0,80.0,2657.0
k4215,80.0,1456.0,44.0,1456.0
k4261,198.0,1734.0,54.0,1734.0
k3004,219.0,4918.0,150.0,4918.0
k3890,139.0,3772.0,120.0,3772.0
k427,99.0,9230.0,289.0,9230.0
k3162,338.0,7063.0,215.0,7063.0
k5996,80.0,1671.0,52.0,1671.0
k5547,179.0,1781.0,56.0,1781.0
k5426,139.0,4128.0,132.0,4128.0
k4477,239.0,1039.0,31.0,1039.0
k7406,179.0,3123.0,95.0,3123.0
k1877,119.0,4883.0,149.0,4883.0
k885,139.0,9419.0,292.0,9419.0
k4738,239.0,1173.0,36.0,1173.0
k774,139.0,4826.0,148.0,4826.0
k1997,179.0,4290.0,135.0,4290.0
k3490,458.0,2515.0,78.0,2515.0
k5985,139.0,8894.0,280.0,8894.0
k2433,537.0,5568.0,166.0,5568.0
k2125,199.0,8474.0,267.0,8474.0
k679,358.0,3512.0,108.0,3512.0
k1092,139.0,6339.0,187.0,6339.0
k1814,139.0,10517.0,321.0,10517.0
k745,119.0,10796.0,332.0,10796.0
k3819,180.0,3234.0,98.0,3234.0
k7496,179.0,10544.0,321.0,10544.0
k6804,139.0,1141.0,34.0,1141.0
k3825,198.0,6517.0,193.0,6517.0
k4887,99.0,1318.0,42.0,1318.0
k2160,179.0,1157.0,35.0,1157.0
k5637,457.0,7274.0,223.0,7274.0
k6966,99.0,5806.0,172.0,5806.0
k6414,199.0,124.0,4.0,124.0
k7183,139.0,1921.0,61.0,1921.0
k7095,198.0,3529.0,109.0,3529.0
k2927,139.0,9061.0,285.0,9061.0
k6173,99.0,9464.0,293.0,9464.0
k5905,139.0,7356.0,225.0,7356.0
k3767,278.0,5130.0,155.0,5130.0
k4339,119.0,6412.0,189.0,6412.0
k6054,259.0,3224.0,98.0,3224.0
k1826,558.0,3059.0,93.0,3059.0
k2690,80.0,6588.0,195.0,6588.0
k5511,219.0,6168.0,182.0,6168.0
k4021,119.0,6493.0,192.0,6493.0
k6675,179.0,1233.0,38.0,1233.0
k997,159.0,9137.0,287.0,9137.0
k5192,99.0,6132.0,181.0,6132.0
k6791,198.0,7016.0,213.0,7016.0
k2421,337.0,6920.0,209.0,6920.0
k1104,219.0,10248.0,312.0,10248.0
k7115,139.0,3660.0,114.0,3660.0
k2891,239.0,4151.0,133.0,4151.0
k4954,438.0,2324.0,73.0,2324.0
k7096,119.0,4608.0,143.0,4608.0
k5574,259.0,3025.0,92.0,3025.0
k4661,378.0,2542.0,78.0,2542.0
k2218,159.0,1539.0,46.0,1539.0
k5736,199.0,8117.0,253.0,8117.0
k4008,179.0,7055.0,214.0,7055.0
k3745,179.0,3687.0,115.0,3687.0
k539,99.0,3339.0,102.0,3339.0
k3160,536.0,129.0,4.0,129.0
k1833,518.0,2550.0,78.0,2550.0
k3034,538.0,2133.0,68.0,2133.0
k5708,238.0,1008.0,31.0,1008.0
k1775,99.0,6635.0,197.0,6635.0
k4668,338.0,1397.0,43.0,1397.0
k6615,379.0,2314.0,73.0,2314.0
k4490,119.0,8300.0,259.0,8300.0
k1153,238.0,5631.0,167.0,5631.0
k2115,199.0,2621.0,78.0,2621.0
k2968,199.0,2433.0,76.0,2433.0
k1206,99.0,4654.0,144.0,4654.0
k1009,179.0,1618.0,49.0,1618.0
k231,199.0,8614.0,273.0,8614.0
k5241,278.0,5284.0,159.0,5284.0
k6961,99.0,8170.0,255.0,8170.0
k1262,80.0,6997.0,212.0,6997.0
k3075,159.0,3697.0,116.0,3697.0
k3811,338.0,3150.0,96.0,3150.0
k4875,139.0,117.0,4.0,117.0
k1207,338.0,5928.0,176.0,5928.0
k7035,258.0,5826.0,173.0,5826.0
k394,199.0,4832.0,148.0,4832.0
k3299,179.0,6893.0,208.0,6893.0
k3267,179.0,2553.0,78.0,2553.0
k3410,139.0,1278.0,41.0,1278.0
k1489,80.0,6673.0,198.0,6673.0
k980,338.0,5002.0,153.0,5002.0
k921,358.0,1357.0,42.0,1357.0
k2749,99.0,6712.0,200.0,6712.0
k1595,99.0,9411.0,291.0,9411.0
k7551,914.0,5564.0,166.0,5564.0
k1572,99.0,10671.0,328.0,10671.0
k4865,279.0,2512.0,78.0,2512.0
k5208,199.0,10232.0,311.0,10232.0
k4308,139.0,8146.0,254.0,8146.0
k4149,159.0,2513.0,78.0,2513.0
k3068,99.0,1701.0,52.0,1701.0
k4201,119.0,6443.0,190.0,6443.0
k3172,119.0,6260.0,184.0,6260.0
k4306,99.0,6559.0,194.0,6559.0
k4709,179.0,8377.0,263.0,8377.0
k2431,179.0,4006.0,129.0,4006.0
k3844,179.0,4276.0,135.0,4276.0
k6644,179.0,5794.0,171.0,5794.0
k1174,338.0,8338.0,261.0,8338.0
k3990,518.0,2507.0,78.0,2507.0
k564,99.0,10370.0,316.0,10370.0
k3094,439.0,2964.0,91.0,2964.0
k565,99.0,1407.0,43.0,1407.0
k1260,119.0,7499.0,229.0,7499.0
k2094,219.0,5201.0,157.0,5201.0
k5555,199.0,407.0,12.0,407.0
k4046,338.0,153.0,5.0,153.0
k3530,179.0,847.0,25.0,847.0
k5132,199.0,8532.0,270.0,8532.0
k3084,239.0,5321.0,160.0,5321.0
k5033,119.0,9942.0,305.0,9942.0
k4023,80.0,7839.0,241.0,7839.0
k2660,219.0,1189.0,37.0,1189.0
