Key_1_1,property_magnitude,installment_commitment,foreign_worker
k206,life insurance,3.0,yes
k580,real estate,4.0,yes
k535,car,4.0,yes
k94,real estate,3.0,yes
k361,car,4.0,yes
k286,car,2.0,yes
k46,car,2.0,yes
k156,no known property,2.0,yes
k518,car,2.0,yes
k808,life insurance,1.0,no
k85,real estate,1.0,yes
k608,car,1.0,yes
k35,life insurance,4.0,yes
k302,real estate,3.0,yes
k731,real estate,4.0,yes
k832,real estate,3.0,yes
k667,real estate,4.0,yes
k919,car,4.0,yes
k417,real estate,2.0,no
k828,car,1.0,yes
k458,car,3.0,yes
k879,real estate,3.0,yes
k428,car,4.0,yes
k908,real estate,3.0,yes
k353,no known property,4.0,yes
k303,real estate,4.0,yes
k178,life insurance,4.0,yes
k673,real estate,4.0,yes
k700,car,4.0,yes
k343,car,4.0,yes
k753,real estate,3.0,yes
k768,car,1.0,yes
k27,life insurance,4.0,yes
k188,life insurance,2.0,yes
k542,no known property,4.0,yes
k588,real estate,2.0,yes
k162,real estate,4.0,yes
k894,car,2.0,yes
k647,real estate,4.0,yes
k133,real estate,4.0,yes
k17,car,2.0,yes
k244,real estate,2.0,no
k680,no known property,4.0,yes
k506,car,3.0,yes
k81,car,2.0,yes
k746,life insurance,4.0,yes
k301,car,4.0,yes
k657,no known property,1.0,yes
k852,car,4.0,yes
k584,life insurance,3.0,yes
k821,car,4.0,yes
k293,no known property,2.0,yes
k367,life insurance,1.0,no
k950,car,4.0,yes
k338,no known property,2.0,yes
k228,car,4.0,yes
k478,car,2.0,yes
k445,real estate,3.0,no
k561,car,4.0,yes
k13,car,2.0,yes
k932,real estate,1.0,yes
k925,real estate,3.0,yes
k899,life insurance,4.0,yes
k550,life insurance,4.0,yes
k281,no known property,2.0,yes
k813,life insurance,4.0,yes
k347,car,1.0,yes
k355,car,4.0,yes
k114,real estate,4.0,yes
k238,life insurance,2.0,yes
k721,real estate,4.0,yes
k536,car,4.0,yes
k403,real estate,4.0,yes
k959,life insurance,3.0,yes
k181,real estate,4.0,no
k991,life insurance,2.0,yes
k389,real estate,4.0,yes
k534,car,2.0,yes
k425,car,4.0,yes
k154,car,4.0,yes
k800,real estate,4.0,yes
k875,car,1.0,yes
k940,real estate,2.0,yes
k815,life insurance,4.0,yes
k616,real estate,4.0,yes
k319,car,4.0,yes
k306,life insurance,4.0,yes
k956,no known property,2.0,yes
k266,car,2.0,yes
k486,life insurance,4.0,yes
k697,car,1.0,yes
k755,life insurance,2.0,yes
k957,no known property,4.0,yes
k321,car,4.0,yes
k383,real estate,2.0,yes
k664,life insurance,4.0,yes
k626,car,2.0,yes
k913,car,1.0,yes
k88,car,4.0,yes
k144,no known property,4.0,yes
k177,no known property,4.0,yes
k456,car,4.0,yes
k706,real estate,4.0,yes
k66,car,3.0,yes
k395,life insurance,4.0,yes
k942,real estate,4.0,yes
k253,no known property,3.0,yes
k862,real estate,4.0,yes
k848,life insurance,4.0,yes
k766,car,2.0,yes
k40,life insurance,3.0,no
k508,real estate,1.0,yes
k348,real estate,2.0,yes
k376,life insurance,2.0,yes
k947,real estate,4.0,yes
k556,car,4.0,yes
k527,life insurance,1.0,yes
k613,life insurance,3.0,yes
k642,real estate,2.0,yes
k110,real estate,2.0,yes
k951,car,2.0,yes
k426,real estate,4.0,yes
k722,life insurance,4.0,yes
k12,real estate,4.0,yes
k384,real estate,4.0,yes
k605,car,3.0,yes
k418,car,4.0,yes
k444,no known property,1.0,yes
k822,no known property,4.0,yes
k699,car,4.0,yes
k540,no known property,4.0,yes
k213,car,4.0,yes
k482,no known property,2.0,yes
k600,no known property,3.0,yes
k297,real estate,4.0,yes
k774,real estate,2.0,yes
k495,car,4.0,yes
k16,life insurance,1.0,yes
k320,car,4.0,yes
k441,life insurance,4.0,yes
k157,life insurance,1.0,yes
k400,car,4.0,yes
k910,life insurance,3.0,yes
k391,no known property,3.0,yes
k773,real estate,3.0,yes
k514,real estate,4.0,yes
k289,real estate,4.0,yes
k14,real estate,4.0,yes
k583,no known property,4.0,no
k909,real estate,2.0,yes
k953,real estate,3.0,yes
k555,real estate,3.0,yes
k155,car,1.0,yes
k874,no known property,4.0,yes
k409,life insurance,2.0,yes
k398,car,2.0,yes
k767,real estate,1.0,yes
k747,real estate,4.0,yes
k310,no known property,4.0,yes
k56,car,1.0,yes
k946,real estate,4.0,yes
k250,real estate,2.0,yes
k900,car,4.0,yes
k807,no known property,2.0,yes
k656,no known property,2.0,yes
k498,real estate,3.0,no
k137,car,4.0,yes
k840,real estate,4.0,yes
k978,car,4.0,yes
k999,life insurance,1.0,no
k219,car,4.0,yes
k723,life insurance,4.0,no
k887,car,3.0,yes
k987,no known property,4.0,yes
k267,real estate,4.0,yes
k977,no known property,1.0,yes
k339,real estate,1.0,yes
k662,car,2.0,yes
k270,life insurance,2.0,yes
k342,life insurance,1.0,yes
k912,car,4.0,yes
k873,no known property,3.0,yes
k200,real estate,4.0,yes
k949,car,4.0,yes
k54,life insurance,4.0,yes
k118,car,4.0,yes
k538,real estate,1.0,yes
k15,life insurance,4.0,yes
k195,no known property,2.0,yes
k539,real estate,4.0,yes
k702,real estate,4.0,yes
k679,real estate,2.0,no
k501,car,1.0,yes
k522,no known property,2.0,yes
k532,no known property,4.0,yes
k998,car,4.0,yes
k770,car,1.0,yes
k459,car,1.0,yes
k262,life insurance,4.0,no
k814,real estate,3.0,yes
k869,car,3.0,yes
k210,real estate,1.0,yes
k659,car,4.0,yes
k989,real estate,4.0,yes
k371,life insurance,4.0,yes
k83,no known property,2.0,yes
k707,real estate,4.0,yes
k365,life insurance,2.0,yes
k335,no known property,4.0,yes
k350,real estate,3.0,yes
k878,real estate,4.0,yes
k549,no known property,3.0,yes
k803,car,4.0,yes
k29,car,2.0,yes
k187,car,2.0,yes
k185,real estate,1.0,no
k296,car,4.0,yes
k103,life insurance,2.0,yes
k791,life insurance,1.0,yes
k131,car,4.0,yes
k323,life insurance,1.0,yes
k541,car,4.0,yes
k895,life insurance,4.0,yes
k252,no known property,2.0,yes
k142,car,4.0,yes
k416,real estate,4.0,yes
k637,real estate,1.0,no
k634,life insurance,2.0,yes
k464,car,4.0,yes
k727,car,4.0,yes
k824,car,4.0,yes
k639,no known property,2.0,yes
k278,real estate,4.0,yes
k844,life insurance,4.0,yes
k732,car,2.0,yes
k58,no known property,3.0,yes
k366,real estate,1.0,yes
k678,life insurance,2.0,yes
k221,car,4.0,yes
k183,life insurance,4.0,yes
k23,car,4.0,yes
k658,no known property,2.0,yes
k982,car,1.0,yes
k447,real estate,1.0,yes
k733,real estate,1.0,yes
k623,life insurance,1.0,yes
k783,car,4.0,yes
k674,real estate,4.0,yes
k415,no known property,1.0,yes
k744,real estate,1.0,yes
k705,no known property,4.0,yes
k143,real estate,1.0,yes
k984,car,1.0,no
k67,no known property,2.0,yes
k392,life insurance,4.0,yes
k222,no known property,4.0,yes
k867,real estate,4.0,yes
k687,real estate,1.0,yes
k850,car,4.0,yes
k898,real estate,4.0,yes
k230,real estate,4.0,yes
k604,no known property,4.0,yes
k961,car,2.0,yes
k433,car,2.0,yes
k851,life insurance,1.0,yes
k823,car,4.0,yes
k729,car,2.0,yes
k24,car,3.0,yes
k737,car,1.0,yes
k505,car,4.0,yes
k835,real estate,2.0,yes
k141,real estate,4.0,yes
k436,car,3.0,yes
k434,real estate,1.0,yes
k906,no known property,2.0,yes
k215,no known property,3.0,yes
k496,car,2.0,yes
k754,real estate,2.0,yes
k566,no known property,3.0,yes
k450,no known property,4.0,yes
k466,car,4.0,yes
k688,car,4.0,yes
k120,no known property,3.0,yes
k324,life insurance,4.0,yes
k113,real estate,4.0,yes
k165,life insurance,2.0,yes
k463,car,2.0,yes
k380,real estate,4.0,yes
k842,life insurance,4.0,yes
k86,car,2.0,yes
k760,car,3.0,yes
k481,life insurance,2.0,yes
k524,real estate,1.0,yes
k726,no known property,2.0,yes
k609,car,1.0,yes
k438,car,2.0,yes
k669,no known property,2.0,yes
k948,no known property,3.0,yes
k372,life insurance,3.0,yes
k986,real estate,1.0,yes
k719,real estate,4.0,yes
k795,real estate,3.0,yes
k599,real estate,4.0,yes
k882,car,2.0,yes
k476,car,4.0,yes
k902,car,4.0,yes
k798,life insurance,1.0,yes
k106,car,4.0,yes
k503,real estate,4.0,no
k370,car,3.0,yes
k126,real estate,4.0,yes
k337,car,4.0,yes
k201,car,3.0,yes
k374,car,4.0,yes
k65,no known property,3.0,no
k327,life insurance,4.0,yes
k349,life insurance,2.0,yes
k502,real estate,4.0,yes
k77,car,1.0,yes
k621,car,1.0,yes
k877,life insurance,4.0,yes
k981,car,2.0,yes
k331,car,4.0,yes
k901,real estate,2.0,yes
k472,real estate,4.0,yes
k916,life insurance,1.0,yes
k715,car,1.0,yes
k6,car,4.0,yes
k362,real estate,4.0,yes
k251,car,1.0,yes
k227,no known property,2.0,yes
k537,real estate,1.0,yes
k404,car,2.0,yes
k592,no known property,4.0,yes
k928,real estate,4.0,yes
k479,real estate,3.0,yes
k831,real estate,2.0,yes
k684,real estate,2.0,yes
k109,real estate,4.0,yes
k211,car,4.0,yes
k937,real estate,4.0,yes
k309,car,4.0,yes
k923,life insurance,2.0,yes
k573,car,2.0,yes
k247,car,4.0,yes
k455,car,2.0,yes
k564,life insurance,4.0,yes
k408,car,4.0,yes
k460,real estate,2.0,yes
k10,real estate,3.0,yes
k954,life insurance,3.0,yes
k979,car,4.0,yes
k749,real estate,3.0,yes
k411,life insurance,2.0,yes
k52,car,4.0,yes
k199,life insurance,2.0,yes
k87,no known property,4.0,yes
k214,real estate,2.0,yes
k591,no known property,3.0,yes
k265,real estate,4.0,yes
k491,car,3.0,yes
k718,life insurance,1.0,yes
k493,real estate,2.0,yes
k603,real estate,3.0,yes
k509,life insurance,4.0,yes
k735,car,4.0,yes
k756,no known property,3.0,yes
k483,car,4.0,yes
k786,car,3.0,yes
k976,car,2.0,yes
k881,car,3.0,yes
k429,car,3.0,yes
k578,life insurance,4.0,yes
k775,car,4.0,yes
k519,life insurance,4.0,yes
k526,car,4.0,yes
k826,life insurance,1.0,yes
k563,car,4.0,yes
k838,car,4.0,yes
k387,real estate,3.0,yes
k666,car,4.0,yes
k135,real estate,1.0,yes
k788,life insurance,4.0,yes
k868,life insurance,4.0,yes
k471,life insurance,3.0,yes
k812,real estate,4.0,yes
k743,life insurance,4.0,yes
k421,car,2.0,yes
k736,no known property,4.0,yes
k745,real estate,3.0,no
k275,life insurance,2.0,yes
k930,no known property,2.0,yes
k116,no known property,2.0,yes
k904,life insurance,1.0,yes
k412,life insurance,4.0,yes
k475,real estate,3.0,no
k988,car,2.0,yes
k636,no known property,4.0,yes
k646,life insurance,4.0,yes
k282,real estate,4.0,yes
k59,car,2.0,yes
k194,life insurance,4.0,yes
k473,no known property,2.0,yes
k853,real estate,2.0,yes
k57,no known property,4.0,yes
k635,life insurance,4.0,yes
k994,life insurance,4.0,yes
k870,car,2.0,yes
k866,life insurance,1.0,yes
k922,life insurance,4.0,yes
k752,car,4.0,yes
k379,real estate,4.0,yes
k972,no known property,2.0,yes
k115,life insurance,2.0,yes
k189,real estate,4.0,yes
k905,life insurance,4.0,yes
k381,life insurance,4.0,no
k43,real estate,2.0,no
k84,life insurance,2.0,yes
k710,life insurance,3.0,yes
k245,no known property,4.0,yes
k470,no known property,3.0,yes
k298,real estate,2.0,yes
k864,no known property,3.0,yes
k288,car,3.0,yes
k190,real estate,4.0,yes
k101,car,2.0,yes
k64,car,4.0,yes
k261,real estate,2.0,yes
k693,car,4.0,yes
k739,real estate,3.0,yes
k797,car,3.0,yes
k917,car,2.0,yes
k273,real estate,4.0,yes
k284,life insurance,4.0,yes
k993,car,4.0,yes
k180,car,2.0,yes
k551,life insurance,4.0,yes
k285,life insurance,3.0,yes
k328,no known property,4.0,yes
k193,life insurance,1.0,yes
k385,real estate,1.0,yes
k589,no known property,4.0,yes
k996,life insurance,4.0,yes
k96,real estate,2.0,yes
k158,real estate,4.0,yes
k90,real estate,4.0,yes
k966,car,4.0,yes
k375,car,3.0,yes
k558,real estate,4.0,yes
k344,no known property,2.0,yes
k334,real estate,4.0,yes
k585,life insurance,2.0,yes
k971,real estate,1.0,yes
k830,car,4.0,yes
k439,life insurance,4.0,yes
k630,car,2.0,yes
k51,car,3.0,yes
k399,life insurance,1.0,yes
k801,car,3.0,yes
k590,real estate,2.0,yes
k269,no known property,4.0,yes
k176,car,4.0,yes
k336,life insurance,2.0,yes
k378,no known property,1.0,yes
k4,life insurance,4.0,yes
k91,life insurance,3.0,yes
k517,car,2.0,yes
k255,car,2.0,yes
k545,car,4.0,yes
k750,car,3.0,yes
k983,real estate,4.0,yes
k2,car,3.0,yes
k34,life insurance,2.0,yes
k606,life insurance,4.0,yes
k216,car,4.0,yes
k499,car,2.0,yes
k893,real estate,2.0,yes
k645,car,3.0,yes
k638,car,4.0,yes
k304,car,4.0,yes
k794,real estate,3.0,yes
k653,real estate,1.0,yes
k44,real estate,4.0,yes
k163,no known property,4.0,yes
k512,no known property,4.0,yes
k140,real estate,1.0,yes
k305,real estate,2.0,yes
k316,life insurance,4.0,yes
k714,real estate,4.0,yes
k485,life insurance,3.0,yes
k520,real estate,4.0,yes
k260,car,4.0,yes
k787,real estate,4.0,yes
k654,life insurance,3.0,yes
k880,car,4.0,yes
k407,life insurance,1.0,yes
k248,car,4.0,yes
k793,real estate,1.0,yes
k208,life insurance,2.0,yes
k572,no known property,1.0,yes
k562,real estate,1.0,yes
k234,life insurance,4.0,yes
k333,no known property,4.0,yes
k121,car,4.0,yes
k525,life insurance,4.0,yes
k748,real estate,4.0,yes
k668,real estate,3.0,yes
k76,no known property,4.0,yes
k117,real estate,4.0,yes
k69,no known property,4.0,yes
k500,life insurance,4.0,yes
k26,no known property,1.0,yes
k38,car,4.0,yes
k340,car,1.0,no
k446,real estate,4.0,yes
k624,car,2.0,yes
k751,no known property,2.0,yes
k36,real estate,1.0,yes
k153,car,2.0,yes
k169,real estate,4.0,yes
k776,life insurance,2.0,yes
k888,life insurance,3.0,yes
k235,real estate,4.0,yes
k554,car,4.0,yes
k258,no known property,4.0,yes
k203,car,4.0,yes
k431,real estate,2.0,yes
k816,no known property,2.0,yes
k644,real estate,4.0,yes
k883,real estate,1.0,yes
k119,car,2.0,yes
k960,car,4.0,yes
k405,life insurance,4.0,yes
k941,car,2.0,yes
k695,car,3.0,yes
k402,life insurance,4.0,yes
k742,car,4.0,yes
k0,car,2.0,yes
k152,car,4.0,yes
k307,life insurance,3.0,yes
k629,real estate,4.0,yes
k414,car,4.0,yes
k308,life insurance,3.0,yes
k173,car,4.0,yes
k33,life insurance,4.0,yes
k8,car,4.0,yes
k382,real estate,2.0,yes
k792,life insurance,2.0,yes
k529,no known property,4.0,yes
k422,car,4.0,yes
k897,no known property,4.0,yes
k515,life insurance,4.0,yes
k990,real estate,4.0,yes
k93,car,2.0,yes
k918,car,4.0,yes
k280,no known property,1.0,yes
k95,car,4.0,yes
k829,car,4.0,yes
k593,car,2.0,yes
k936,no known property,2.0,yes
k907,real estate,3.0,yes
k257,car,4.0,yes
k21,real estate,4.0,yes
k171,life insurance,4.0,yes
k677,life insurance,2.0,yes
k811,no known property,4.0,yes
k595,car,4.0,yes
k225,real estate,1.0,yes
k18,life insurance,3.0,yes
k420,life insurance,4.0,yes
k886,life insurance,3.0,yes
k546,car,2.0,yes
k781,life insurance,2.0,yes
k796,car,1.0,yes
k513,real estate,4.0,yes
k98,car,4.0,yes
k929,car,4.0,yes
k315,car,2.0,yes
k49,real estate,4.0,yes
k617,real estate,3.0,yes
k192,no known property,1.0,yes
k876,no known property,4.0,yes
k233,real estate,4.0,yes
k151,no known property,3.0,yes
k607,life insurance,1.0,yes
k712,no known property,4.0,yes
k72,life insurance,4.0,yes
k477,no known property,4.0,yes
k530,car,3.0,yes
k570,life insurance,1.0,yes
k860,life insurance,2.0,yes
k587,real estate,3.0,yes
k825,car,2.0,yes
k351,real estate,1.0,yes
k242,car,4.0,yes
k837,life insurance,2.0,yes
k1,real estate,4.0,no
k89,life insurance,1.0,yes
k594,car,4.0,yes
k145,car,4.0,yes
k892,car,4.0,yes
k9,no known property,4.0,yes
k924,no known property,4.0,yes
k111,life insurance,4.0,yes
k419,life insurance,4.0,yes
k318,no known property,1.0,yes
k890,life insurance,3.0,yes
k817,life insurance,4.0,yes
k521,real estate,4.0,yes
k632,real estate,2.0,yes
k967,life insurance,4.0,yes
k148,no known property,4.0,yes
k390,real estate,4.0,yes
k377,real estate,4.0,yes
k218,no known property,4.0,yes
k99,car,1.0,yes
k124,car,3.0,yes
k548,no known property,4.0,yes
k352,car,3.0,yes
k601,car,3.0,yes
k720,car,4.0,yes
k295,life insurance,4.0,yes
k903,real estate,4.0,yes
k523,real estate,4.0,yes
k123,real estate,3.0,yes
k368,real estate,2.0,yes
k184,life insurance,2.0,yes
k394,car,4.0,yes
k857,no known property,4.0,yes
k45,real estate,2.0,yes
k271,car,1.0,yes
k544,real estate,2.0,yes
k694,real estate,4.0,yes
k452,car,2.0,yes
k197,real estate,1.0,yes
k357,no known property,3.0,yes
k690,car,1.0,yes
k576,car,3.0,yes
k150,no known property,1.0,yes
k25,car,4.0,yes
k665,car,2.0,yes
k682,real estate,4.0,yes
k175,life insurance,4.0,yes
k806,real estate,4.0,yes
k805,life insurance,4.0,yes
k974,life insurance,3.0,yes
k855,car,1.0,yes
k952,real estate,3.0,yes
k943,car,1.0,yes
k778,car,2.0,yes
k614,life insurance,2.0,yes
k717,car,1.0,yes
k300,real estate,2.0,yes
k480,car,4.0,yes
k299,no known property,4.0,yes
k643,no known property,4.0,yes
k934,real estate,1.0,no
k655,no known property,3.0,yes
k345,real estate,2.0,yes
k861,life insurance,4.0,yes
k559,car,1.0,yes
k272,real estate,4.0,yes
k708,life insurance,4.0,yes
k622,no known property,4.0,yes
k30,life insurance,4.0,yes
k468,real estate,3.0,yes
k681,life insurance,2.0,yes
k689,real estate,1.0,yes
k964,car,1.0,yes
k388,real estate,2.0,yes
k854,real estate,2.0,yes
k611,no known property,3.0,yes
k620,car,1.0,yes
k205,life insurance,4.0,yes
k290,no known property,2.0,yes
k410,real estate,4.0,yes
k435,car,4.0,yes
k543,real estate,4.0,yes
k243,car,4.0,yes
k427,car,2.0,yes
k196,real estate,2.0,yes
k863,real estate,4.0,yes
k146,real estate,2.0,yes
k279,life insurance,4.0,yes
k921,real estate,1.0,yes
k232,life insurance,4.0,yes
k229,car,3.0,yes
k393,car,4.0,yes
k891,no known property,4.0,yes
k711,no known property,4.0,yes
k810,life insurance,2.0,yes
k224,car,3.0,yes
k651,life insurance,1.0,yes
k582,no known property,3.0,yes
k640,no known property,4.0,yes
k575,life insurance,2.0,yes
k568,life insurance,1.0,yes
k373,life insurance,2.0,yes
k313,car,4.0,yes
k268,real estate,4.0,yes
k397,no known property,4.0,yes
k914,real estate,3.0,yes
k628,life insurance,1.0,yes
k574,car,4.0,yes
k931,real estate,1.0,yes
k945,car,2.0,yes
k571,real estate,3.0,no
k973,real estate,4.0,yes
k212,no known property,1.0,yes
k311,real estate,2.0,yes
k79,real estate,3.0,yes
k516,real estate,3.0,yes
k360,car,4.0,yes
k619,car,3.0,yes
k716,no known property,4.0,yes
k995,life insurance,2.0,yes
k618,real estate,1.0,yes
k432,car,1.0,yes
k71,car,2.0,yes
k41,real estate,4.0,yes
k451,real estate,3.0,yes
k62,car,3.0,yes
k292,life insurance,2.0,yes
k533,real estate,4.0,yes
k809,car,3.0,yes
k804,car,4.0,yes
k764,real estate,1.0,yes
k507,car,2.0,yes
k985,no known property,3.0,yes
k448,no known property,4.0,yes
k39,car,4.0,yes
k364,car,4.0,yes
k728,car,2.0,yes
k490,car,2.0,yes
k762,real estate,2.0,yes
k63,car,4.0,yes
k322,car,4.0,yes
k277,real estate,1.0,yes
k55,life insurance,4.0,yes
k955,real estate,4.0,yes
k759,life insurance,4.0,yes
k237,real estate,3.0,yes
k454,real estate,4.0,yes
k75,car,4.0,yes
k586,life insurance,4.0,yes
k789,car,2.0,yes
k698,car,2.0,yes
k413,real estate,4.0,yes
k442,real estate,3.0,yes
k790,real estate,4.0,yes
k660,life insurance,4.0,no
k264,life insurance,3.0,yes
k579,no known property,4.0,yes
k132,no known property,4.0,yes
k650,car,2.0,yes
k819,real estate,4.0,yes
k738,life insurance,4.0,yes
k166,no known property,4.0,yes
k484,life insurance,3.0,yes
k661,real estate,1.0,no
k612,real estate,4.0,yes
k276,car,4.0,yes
k125,real estate,4.0,yes
k314,real estate,4.0,yes
k938,real estate,2.0,yes
k510,car,2.0,yes
k836,car,4.0,yes
k552,life insurance,2.0,yes
k785,life insurance,3.0,yes
k489,life insurance,4.0,yes
k963,car,2.0,yes
k779,real estate,1.0,no
k474,real estate,4.0,yes
k802,real estate,4.0,yes
k363,life insurance,2.0,yes
k73,car,4.0,yes
k332,no known property,3.0,yes
k730,car,4.0,yes
k939,no known property,3.0,yes
k329,life insurance,2.0,yes
k841,car,3.0,yes
k369,no known property,2.0,yes
k209,real estate,4.0,yes
k108,car,4.0,yes
k670,car,3.0,yes
k259,life insurance,4.0,yes
k602,no known property,4.0,yes
k975,car,2.0,yes
k437,car,4.0,yes
k598,real estate,3.0,yes
k927,car,4.0,yes
k274,car,4.0,yes
k61,life insurance,4.0,no
k453,car,3.0,yes
k547,life insurance,4.0,yes
k935,car,3.0,yes
k780,life insurance,4.0,yes
k107,life insurance,3.0,no
k462,real estate,1.0,yes
k845,car,2.0,yes
k341,life insurance,2.0,yes
k241,real estate,2.0,yes
k488,no known property,2.0,yes
k741,real estate,4.0,yes
k97,real estate,4.0,yes
k32,real estate,2.0,yes
k625,real estate,2.0,no
k652,car,2.0,yes
k965,life insurance,1.0,yes
k487,real estate,1.0,yes
k962,real estate,4.0,yes
k763,car,2.0,yes
k685,car,2.0,yes
k827,real estate,1.0,yes
k104,life insurance,4.0,yes
k204,life insurance,1.0,no
k5,real estate,1.0,yes
k82,no known property,1.0,yes
k139,life insurance,1.0,yes
k492,life insurance,4.0,yes
k969,no known property,4.0,yes
k889,car,4.0,yes
k430,life insurance,3.0,yes
k92,life insurance,3.0,yes
k294,life insurance,2.0,yes
k449,car,4.0,yes
k11,life insurance,4.0,yes
k865,no known property,4.0,yes
k198,car,4.0,yes
k782,real estate,4.0,yes
k317,life insurance,4.0,no
k149,car,4.0,yes
k926,real estate,3.0,yes
k569,life insurance,4.0,yes
k48,car,4.0,yes
k42,no known property,4.0,yes
k287,real estate,3.0,yes
k958,car,4.0,yes
k560,no known property,4.0,yes
k159,life insurance,2.0,yes
k610,life insurance,2.0,yes
k758,real estate,3.0,no
k761,car,4.0,yes
k182,real estate,2.0,yes
k734,life insurance,4.0,yes
k724,car,1.0,yes
k424,no known property,4.0,yes
k358,no known property,4.0,yes
k263,life insurance,4.0,yes
k704,car,2.0,yes
k596,car,3.0,yes
k325,car,2.0,yes
k401,car,3.0,yes
k164,car,4.0,yes
k970,life insurance,4.0,yes
k675,life insurance,4.0,yes
k354,life insurance,4.0,yes
k833,real estate,2.0,yes
k885,car,3.0,yes
k147,no known property,4.0,yes
k326,real estate,2.0,yes
k672,life insurance,1.0,yes
k291,no known property,3.0,yes
k997,car,3.0,yes
k138,life insurance,3.0,yes
k226,car,4.0,yes
k627,life insurance,4.0,yes
k740,car,4.0,yes
k254,life insurance,2.0,yes
k249,real estate,1.0,yes
k709,real estate,4.0,yes
k557,life insurance,1.0,yes
k847,no known property,1.0,yes
k186,no known property,4.0,yes
k843,car,4.0,yes
k37,car,3.0,yes
k127,real estate,2.0,yes
k676,life insurance,4.0,yes
k615,car,4.0,yes
k531,life insurance,2.0,yes
k312,life insurance,2.0,yes
k174,car,3.0,yes
k207,car,1.0,yes
k469,life insurance,2.0,yes
k134,life insurance,2.0,yes
k396,life insurance,4.0,yes
k528,life insurance,2.0,yes
k168,real estate,2.0,yes
k100,no known property,4.0,yes
k992,life insurance,4.0,yes
k769,life insurance,2.0,yes
k696,car,4.0,yes
k80,car,2.0,yes
k440,life insurance,4.0,yes
k465,car,4.0,yes
k713,real estate,3.0,yes
k70,life insurance,4.0,yes
k406,car,4.0,yes
k167,no known property,4.0,yes
k846,car,3.0,yes
