Key_1_2,savings_status,purpose,credit_amount,duration,checking_status
k67,<100,new car,6260.0,18.0,0<=X<200
k750,<100,new car,7855.0,36.0,no checking
k212,500<=X<1000,radio/tv,1680.0,12.0,<0
k406,no known savings,radio/tv,3578.0,48.0,no checking
k684,no known savings,radio/tv,7174.0,42.0,<0
k370,no known savings,furniture/equipment,2132.0,10.0,<0
k66,500<=X<1000,furniture/equipment,4281.0,33.0,<0
k425,500<=X<1000,new car,2366.0,12.0,0<=X<200
k125,<100,radio/tv,1835.0,21.0,<0
k847,<100,used car,3868.0,24.0,no checking
k181,<100,furniture/equipment,1768.0,12.0,no checking
k889,<100,new car,781.0,10.0,>=200
k57,no known savings,furniture/equipment,1924.0,18.0,0<=X<200
k497,<100,new car,2121.0,12.0,<0
k403,<100,radio/tv,701.0,12.0,<0
k556,<100,repairs,639.0,12.0,0<=X<200
k355,<100,used car,1860.0,12.0,0<=X<200
k819,<100,new car,3499.0,12.0,<0
k152,no known savings,new car,8487.0,48.0,0<=X<200
k982,<100,education,6887.0,36.0,<0
k9,<100,furniture/equipment,2708.0,15.0,no checking
k238,<100,furniture/equipment,1984.0,18.0,no checking
k311,100<=X<500,radio/tv,10144.0,60.0,no checking
k220,no known savings,radio/tv,1240.0,12.0,no checking
k842,>=1000,used car,8613.0,27.0,no checking
k271,500<=X<1000,radio/tv,766.0,12.0,0<=X<200
k5,no known savings,radio/tv,2728.0,15.0,0<=X<200
k290,<100,radio/tv,1881.0,12.0,>=200
k33,>=1000,new car,709.0,6.0,>=200
k160,<100,radio/tv,4795.0,36.0,0<=X<200
k995,<100,radio/tv,3416.0,27.0,<0
k937,<100,furniture/equipment,2462.0,18.0,<0
k275,<100,furniture/equipment,2288.0,21.0,no checking
k483,100<=X<500,business,3566.0,48.0,0<=X<200
k92,<100,new car,860.0,6.0,<0
k471,100<=X<500,new car,682.0,12.0,no checking
k862,<100,furniture/equipment,5371.0,36.0,<0
k148,>=1000,radio/tv,1582.0,18.0,no checking
k473,100<=X<500,radio/tv,1346.0,6.0,no checking
k172,<100,radio/tv,1924.0,10.0,no checking
k606,<100,radio/tv,5848.0,36.0,>=200
k159,>=1000,used car,7758.0,24.0,0<=X<200
k74,100<=X<500,business,6967.0,24.0,0<=X<200
k443,<100,furniture/equipment,1282.0,12.0,<0
k816,100<=X<500,repairs,1288.0,9.0,<0
k334,<100,retraining,339.0,12.0,<0
k625,100<=X<500,new car,3512.0,24.0,0<=X<200
k825,no known savings,radio/tv,1898.0,6.0,no checking
k341,100<=X<500,radio/tv,2872.0,24.0,no checking
k30,<100,new car,1055.0,18.0,no checking
k809,500<=X<1000,domestic appliance,1262.0,15.0,no checking
k697,<100,new car,7308.0,10.0,0<=X<200
k849,500<=X<1000,new car,909.0,36.0,no checking
k286,500<=X<1000,furniture/equipment,2978.0,6.0,no checking
k351,<100,furniture/equipment,1131.0,18.0,<0
k281,>=1000,furniture/equipment,1577.0,11.0,0<=X<200
k761,<100,furniture/equipment,3972.0,24.0,no checking
k292,<100,business,1935.0,24.0,0<=X<200
k512,<100,new car,950.0,15.0,<0
k402,<100,furniture/equipment,763.0,12.0,no checking
k349,<100,furniture/equipment,2064.0,24.0,0<=X<200
k270,<100,radio/tv,1414.0,8.0,0<=X<200
k347,<100,education,3414.0,21.0,<0
k461,no known savings,used car,7485.0,30.0,no checking
k637,<100,furniture/equipment,2577.0,12.0,<0
k331,500<=X<1000,radio/tv,338.0,6.0,<0
k434,<100,radio/tv,1963.0,12.0,no checking
k277,<100,new car,571.0,21.0,<0
k431,<100,business,9572.0,36.0,no checking
k855,<100,business,4455.0,36.0,0<=X<200
k747,no known savings,new car,1647.0,21.0,<0
k103,>=1000,furniture/equipment,3777.0,24.0,no checking
k790,<100,new car,884.0,18.0,0<=X<200
k913,<100,radio/tv,1360.0,15.0,no checking
k616,<100,used car,5129.0,9.0,0<=X<200
k643,<100,new car,1175.0,16.0,0<=X<200
k738,100<=X<500,radio/tv,674.0,12.0,<0
k800,<100,furniture/equipment,3244.0,18.0,0<=X<200
k482,>=1000,business,4591.0,24.0,no checking
k203,100<=X<500,business,3844.0,48.0,0<=X<200
k877,<100,business,3915.0,27.0,0<=X<200
k551,<100,radio/tv,2108.0,6.0,no checking
k544,100<=X<500,radio/tv,3031.0,45.0,0<=X<200
k102,<100,education,1501.0,9.0,0<=X<200
k609,<100,radio/tv,1382.0,6.0,no checking
k404,100<=X<500,furniture/equipment,951.0,12.0,0<=X<200
k622,no known savings,used car,2760.0,24.0,0<=X<200
k586,<100,furniture/equipment,4297.0,18.0,0<=X<200
k161,500<=X<1000,education,936.0,9.0,no checking
k640,<100,new car,1168.0,12.0,<0
k827,<100,business,5117.0,27.0,no checking
k86,<100,retraining,902.0,12.0,<0
k153,<100,new car,1495.0,12.0,no checking
k981,<100,used car,10623.0,30.0,<0
k191,<100,furniture/equipment,1935.0,12.0,no checking
k162,<100,domestic appliance,1424.0,12.0,0<=X<200
k516,<100,business,6568.0,24.0,<0
k519,>=1000,used car,1413.0,12.0,no checking
k25,no known savings,radio/tv,3074.0,9.0,no checking
k64,no known savings,radio/tv,3835.0,36.0,no checking
k477,<100,business,5293.0,27.0,<0
k299,<100,business,1908.0,30.0,>=200
k904,no known savings,radio/tv,3342.0,36.0,no checking
k867,no known savings,retraining,932.0,6.0,0<=X<200
k763,<100,business,3104.0,18.0,<0
k912,<100,radio/tv,3913.0,36.0,>=200
k274,<100,furniture/equipment,3021.0,24.0,<0
k957,<100,new car,1364.0,10.0,no checking
k195,<100,radio/tv,625.0,12.0,0<=X<200
k234,no known savings,education,1200.0,12.0,<0
k692,<100,radio/tv,707.0,12.0,no checking
k721,no known savings,business,2978.0,24.0,no checking
k722,<100,used car,4657.0,15.0,no checking
k362,<100,repairs,2613.0,36.0,no checking
k703,>=1000,radio/tv,10961.0,48.0,0<=X<200
k772,<100,furniture/equipment,7865.0,12.0,<0
k936,<100,radio/tv,1478.0,9.0,no checking
k356,<100,furniture/equipment,3149.0,24.0,<0
k364,<100,radio/tv,4210.0,36.0,>=200
k317,500<=X<1000,new car,2507.0,9.0,no checking
k20,100<=X<500,radio/tv,2141.0,12.0,no checking
k864,<100,radio/tv,866.0,18.0,0<=X<200
k23,<100,radio/tv,1544.0,4.0,no checking
k11,<100,radio/tv,1823.0,24.0,<0
k32,no known savings,new car,14555.0,6.0,0<=X<200
k308,100<=X<500,business,2767.0,21.0,0<=X<200
k860,<100,radio/tv,1291.0,12.0,no checking
k232,<100,radio/tv,2522.0,30.0,<0
k222,no known savings,new car,915.0,24.0,<0
k527,<100,radio/tv,1595.0,6.0,no checking
k367,<100,used car,4605.0,48.0,<0
k810,<100,business,1185.0,12.0,no checking
k43,500<=X<1000,retraining,3447.0,12.0,no checking
k233,<100,business,1258.0,24.0,no checking
k24,<100,radio/tv,717.0,12.0,no checking
k708,100<=X<500,new car,1204.0,6.0,no checking
k69,<100,furniture/equipment,1925.0,24.0,>=200
k37,<100,radio/tv,433.0,18.0,no checking
k717,>=1000,new car,666.0,6.0,<0
k645,<100,furniture/equipment,2251.0,12.0,>=200
k560,<100,new car,2150.0,30.0,0<=X<200
k302,100<=X<500,furniture/equipment,4151.0,24.0,no checking
k139,no known savings,furniture/equipment,2030.0,9.0,0<=X<200
k565,no known savings,radio/tv,7418.0,60.0,0<=X<200
k386,<100,radio/tv,2684.0,24.0,no checking
k53,<100,radio/tv,2149.0,12.0,<0
k935,100<=X<500,used car,3812.0,15.0,no checking
k539,100<=X<500,radio/tv,1154.0,11.0,no checking
k806,<100,furniture/equipment,1657.0,12.0,<0
k123,<100,radio/tv,1603.0,24.0,<0
k820,<100,new car,5302.0,18.0,<0
k3,<100,education,2748.0,12.0,no checking
k818,<100,new car,1231.0,10.0,no checking
k324,<100,radio/tv,802.0,15.0,0<=X<200
k14,no known savings,business,6304.0,36.0,no checking
k387,<100,radio/tv,1533.0,24.0,no checking
k597,<100,new car,8978.0,14.0,<0
k744,no known savings,radio/tv,999.0,24.0,no checking
k382,no known savings,new car,2662.0,18.0,no checking
k269,500<=X<1000,furniture/equipment,1402.0,12.0,no checking
k604,no known savings,new car,12169.0,48.0,0<=X<200
k38,<100,radio/tv,3060.0,48.0,0<=X<200
k352,<100,repairs,11998.0,30.0,<0
k28,<100,radio/tv,2697.0,9.0,no checking
k450,<100,radio/tv,2404.0,18.0,no checking
k303,no known savings,furniture/equipment,1262.0,12.0,<0
k700,<100,furniture/equipment,4611.0,6.0,no checking
k974,100<=X<500,radio/tv,1901.0,24.0,no checking
k706,>=1000,used car,3368.0,15.0,no checking
k137,<100,furniture/equipment,1574.0,12.0,no checking
k486,no known savings,radio/tv,1445.0,18.0,>=200
k442,no known savings,furniture/equipment,1520.0,15.0,no checking
k258,100<=X<500,new car,3878.0,24.0,0<=X<200
k147,<100,new car,10722.0,47.0,<0
k745,<100,used car,4788.0,48.0,<0
k360,100<=X<500,other,7582.0,48.0,0<=X<200
k766,<100,radio/tv,1092.0,12.0,0<=X<200
k188,<100,radio/tv,1024.0,24.0,<0
k977,<100,business,1076.0,12.0,no checking
k13,<100,used car,9398.0,36.0,0<=X<200
k942,<100,used car,6419.0,24.0,<0
k535,<100,used car,4796.0,42.0,>=200
k674,no known savings,business,7629.0,48.0,no checking
k253,<100,furniture/equipment,9960.0,48.0,0<=X<200
k42,no known savings,used car,4675.0,12.0,no checking
k552,no known savings,new car,1287.0,10.0,no checking
k480,<100,furniture/equipment,2515.0,18.0,no checking
k130,>=1000,furniture/equipment,2745.0,21.0,0<=X<200
k26,<100,new car,672.0,6.0,no checking
k620,<100,radio/tv,3804.0,36.0,0<=X<200
k670,no known savings,new car,1344.0,24.0,>=200
k836,<100,new car,1038.0,10.0,<0
k954,500<=X<1000,new car,10127.0,48.0,no checking
k677,>=1000,furniture/equipment,1543.0,6.0,no checking
k906,no known savings,used car,4811.0,30.0,no checking
k915,100<=X<500,radio/tv,727.0,12.0,<0
k96,<100,furniture/equipment,1237.0,8.0,0<=X<200
k602,<100,new car,276.0,9.0,0<=X<200
k106,no known savings,other,5381.0,48.0,0<=X<200
k920,100<=X<500,furniture/equipment,5511.0,24.0,no checking
k785,<100,furniture/equipment,3749.0,24.0,>=200
k227,<100,new car,685.0,12.0,0<=X<200
k617,no known savings,new car,1494.0,4.0,>=200
k295,<100,furniture/equipment,2746.0,36.0,<0
k866,<100,furniture/equipment,708.0,12.0,<0
k578,no known savings,furniture/equipment,4351.0,24.0,0<=X<200
k646,<100,education,701.0,12.0,no checking
k953,<100,furniture/equipment,3643.0,15.0,<0
k163,<100,new car,4249.0,30.0,0<=X<200
k462,<100,radio/tv,1938.0,24.0,<0
k305,<100,used car,2910.0,24.0,<0
k236,>=1000,furniture/equipment,2659.0,18.0,<0
k566,<100,new car,1028.0,18.0,no checking
k859,<100,new car,3398.0,8.0,<0
k323,no known savings,furniture/equipment,5801.0,12.0,no checking
k468,>=1000,new car,1525.0,24.0,no checking
k405,<100,radio/tv,4473.0,36.0,>=200
k765,<100,radio/tv,1068.0,6.0,0<=X<200
k619,<100,used car,6615.0,24.0,<0
k978,100<=X<500,education,1864.0,18.0,no checking
k882,100<=X<500,new car,7408.0,60.0,0<=X<200
k154,100<=X<500,used car,11590.0,48.0,no checking
k366,<100,furniture/equipment,4110.0,24.0,<0
k792,<100,furniture/equipment,3384.0,6.0,<0
k990,<100,radio/tv,2101.0,13.0,0<=X<200
k822,no known savings,domestic appliance,1275.0,15.0,<0
k593,<100,furniture/equipment,4169.0,24.0,<0
k282,<100,furniture/equipment,1521.0,10.0,0<=X<200
k865,<100,education,5743.0,24.0,0<=X<200
k932,<100,furniture/equipment,3599.0,21.0,<0
k545,500<=X<1000,radio/tv,3213.0,18.0,0<=X<200
k449,<100,business,4439.0,18.0,0<=X<200
k627,<100,new car,3949.0,10.0,>=200
k833,<100,radio/tv,1459.0,15.0,no checking
k985,<100,radio/tv,882.0,13.0,0<=X<200
k419,500<=X<1000,radio/tv,3758.0,24.0,0<=X<200
k526,100<=X<500,business,1743.0,6.0,no checking
k120,>=1000,education,1136.0,9.0,0<=X<200
k456,<100,domestic appliance,1236.0,9.0,no checking
k631,<100,furniture/equipment,959.0,9.0,0<=X<200
k354,no known savings,used car,3229.0,18.0,no checking
k680,<100,radio/tv,6199.0,12.0,<0
k75,500<=X<1000,education,727.0,10.0,no checking
k430,<100,new car,1246.0,24.0,0<=X<200
k214,no known savings,radio/tv,2331.0,12.0,no checking
k221,<100,radio/tv,4463.0,36.0,no checking
k7,<100,radio/tv,776.0,12.0,no checking
k210,<100,furniture/equipment,2406.0,30.0,<0
k776,no known savings,education,1239.0,18.0,0<=X<200
k664,no known savings,radio/tv,3399.0,12.0,>=200
k19,<100,new car,2247.0,12.0,>=200
k890,<100,furniture/equipment,1766.0,6.0,no checking
k424,<100,furniture/equipment,2473.0,18.0,<0
k729,<100,business,1542.0,12.0,no checking
k963,<100,used car,3850.0,18.0,no checking
k778,<100,furniture/equipment,3650.0,18.0,<0
k429,<100,furniture/equipment,3446.0,36.0,<0
k550,<100,furniture/equipment,3001.0,18.0,0<=X<200
k796,no known savings,new car,3079.0,36.0,no checking
k193,<100,radio/tv,6070.0,18.0,no checking
k939,<100,furniture/equipment,2146.0,10.0,no checking
k420,no known savings,new car,13756.0,60.0,no checking
k65,100<=X<500,other,14782.0,60.0,0<=X<200
k138,<100,business,7685.0,48.0,<0
k887,<100,radio/tv,2320.0,18.0,no checking
k667,no known savings,radio/tv,846.0,7.0,no checking
k824,<100,new car,14318.0,36.0,0<=X<200
k129,100<=X<500,new car,362.0,6.0,no checking
k834,no known savings,furniture/equipment,2212.0,20.0,<0
k797,<100,used car,12976.0,18.0,0<=X<200
k145,no known savings,new car,1283.0,22.0,no checking
k986,<100,new car,1330.0,12.0,>=200
k448,100<=X<500,business,4272.0,30.0,no checking
k170,<100,radio/tv,2238.0,18.0,no checking
k642,no known savings,radio/tv,1126.0,18.0,no checking
k10,<100,furniture/equipment,7374.0,18.0,0<=X<200
k999,500<=X<1000,business,2326.0,15.0,0<=X<200
k652,<100,business,1449.0,9.0,no checking
k435,<100,new car,1820.0,18.0,no checking
k605,>=1000,furniture/equipment,983.0,12.0,0<=X<200
k401,<100,new car,3249.0,36.0,<0
k144,<100,radio/tv,1957.0,6.0,<0
k208,<100,furniture/equipment,2406.0,9.0,no checking
k365,100<=X<500,education,11760.0,39.0,0<=X<200
k174,<100,furniture/equipment,2578.0,12.0,<0
k156,<100,furniture/equipment,2348.0,36.0,<0
k770,<100,new car,1223.0,12.0,0<=X<200
k757,>=1000,radio/tv,1516.0,24.0,no checking
k337,<100,radio/tv,1473.0,18.0,no checking
k6,no known savings,business,1887.0,18.0,0<=X<200
k409,<100,business,8648.0,24.0,no checking
k390,<100,new car,802.0,14.0,no checking
k781,no known savings,new car,2899.0,18.0,0<=X<200
k751,<100,radio/tv,2039.0,24.0,0<=X<200
k149,no known savings,used car,2197.0,24.0,no checking
k661,<100,radio/tv,1053.0,15.0,<0
k44,500<=X<1000,radio/tv,3235.0,24.0,no checking
k845,500<=X<1000,new car,939.0,12.0,>=200
k655,<100,radio/tv,1967.0,24.0,0<=X<200
k768,<100,used car,7253.0,33.0,no checking
k886,<100,business,2292.0,12.0,no checking
k399,500<=X<1000,new car,1597.0,10.0,no checking
k363,no known savings,new car,1381.0,24.0,<0
k580,<100,used car,5842.0,36.0,no checking
k979,<100,new car,2579.0,12.0,<0
k671,no known savings,education,8471.0,18.0,<0
k109,500<=X<1000,new car,2782.0,21.0,no checking
k49,no known savings,new car,1042.0,18.0,0<=X<200
k105,>=1000,new car,3186.0,15.0,no checking
k615,no known savings,used car,2028.0,12.0,0<=X<200
k801,<100,new car,958.0,12.0,0<=X<200
k871,100<=X<500,furniture/equipment,1591.0,21.0,no checking
k807,no known savings,furniture/equipment,2762.0,12.0,0<=X<200
k563,<100,used car,2779.0,18.0,0<=X<200
k558,<100,radio/tv,2743.0,28.0,no checking
k184,>=1000,radio/tv,1149.0,18.0,no checking
k576,<100,furniture/equipment,1313.0,9.0,no checking
k500,<100,repairs,1190.0,18.0,<0
k712,<100,business,3448.0,5.0,no checking
k693,<100,other,11328.0,24.0,0<=X<200
k315,<100,furniture/equipment,1872.0,6.0,<0
k964,<100,repairs,2058.0,24.0,no checking
k379,<100,furniture/equipment,2136.0,9.0,<0
k639,no known savings,radio/tv,1484.0,12.0,0<=X<200
k381,500<=X<1000,repairs,660.0,6.0,no checking
k76,>=1000,new car,1287.0,24.0,no checking
k285,<100,repairs,3394.0,42.0,<0
k249,<100,business,609.0,12.0,>=200
k992,<100,new car,1884.0,12.0,no checking
k55,<100,furniture/equipment,1620.0,12.0,<0
k537,<100,other,2629.0,20.0,0<=X<200
k696,<100,education,719.0,12.0,no checking
k884,<100,furniture/equipment,5096.0,48.0,0<=X<200
k839,no known savings,education,1244.0,9.0,no checking
k248,<100,new car,1842.0,36.0,<0
k728,<100,radio/tv,2576.0,7.0,0<=X<200
k709,no known savings,furniture/equipment,1424.0,12.0,>=200
k923,>=1000,repairs,1512.0,15.0,0<=X<200
k215,no known savings,used car,11054.0,36.0,no checking
k294,<100,radio/tv,518.0,6.0,no checking
k283,<100,furniture/equipment,2759.0,12.0,no checking
k599,<100,used car,2670.0,24.0,no checking
k335,<100,new car,4817.0,24.0,<0
k838,<100,used car,2679.0,24.0,no checking
k542,<100,new car,3905.0,11.0,<0
k628,<100,used car,3386.0,12.0,<0
k843,<100,domestic appliance,343.0,6.0,<0
k52,<100,radio/tv,4594.0,18.0,no checking
k344,<100,furniture/equipment,3620.0,36.0,<0
k629,<100,new car,1721.0,15.0,<0
k319,<100,furniture/equipment,3017.0,12.0,0<=X<200
k225,no known savings,retraining,754.0,12.0,0<=X<200
k600,<100,business,1950.0,18.0,no checking
k267,<100,used car,2924.0,24.0,<0
k329,<100,radio/tv,1659.0,24.0,<0
k143,no known savings,radio/tv,7238.0,48.0,no checking
k850,<100,business,2764.0,33.0,no checking
k114,<100,used car,4679.0,24.0,no checking
k127,100<=X<500,radio/tv,3092.0,24.0,0<=X<200
k200,<100,education,448.0,6.0,<0
k896,<100,new car,654.0,9.0,<0
k175,no known savings,retraining,1238.0,6.0,no checking
k583,<100,radio/tv,1245.0,18.0,0<=X<200
k543,<100,furniture/equipment,3114.0,18.0,<0
k591,500<=X<1000,used car,2569.0,39.0,no checking
k673,<100,radio/tv,5152.0,24.0,>=200
k758,100<=X<500,business,1037.0,12.0,0<=X<200
k532,<100,furniture/equipment,1478.0,15.0,<0
k568,<100,radio/tv,3573.0,12.0,0<=X<200
k897,<100,new car,1201.0,24.0,0<=X<200
k944,>=1000,furniture/equipment,3622.0,30.0,<0
k727,>=1000,furniture/equipment,960.0,15.0,no checking
k194,500<=X<1000,new car,1163.0,12.0,no checking
k594,<100,new car,1209.0,6.0,0<=X<200
k746,<100,radio/tv,3077.0,12.0,no checking
k332,<100,new car,3757.0,24.0,no checking
k737,100<=X<500,new car,1418.0,10.0,no checking
k263,<100,new car,3518.0,6.0,no checking
k465,<100,radio/tv,1934.0,12.0,no checking
k987,<100,business,8318.0,27.0,0<=X<200
k264,100<=X<500,radio/tv,1237.0,6.0,no checking
k445,no known savings,radio/tv,368.0,6.0,0<=X<200
k894,<100,new car,2122.0,12.0,<0
k304,no known savings,furniture/equipment,2996.0,24.0,<0
k407,100<=X<500,furniture/equipment,9034.0,36.0,0<=X<200
k760,<100,furniture/equipment,1585.0,24.0,no checking
k306,<100,radio/tv,1301.0,18.0,0<=X<200
k925,100<=X<500,new car,1323.0,6.0,>=200
k665,<100,new car,3123.0,24.0,<0
k118,<100,used car,5493.0,36.0,<0
k553,100<=X<500,radio/tv,1126.0,9.0,>=200
k124,100<=X<500,radio/tv,1216.0,24.0,0<=X<200
k946,<100,new car,1207.0,24.0,<0
k702,no known savings,new car,1309.0,10.0,no checking
k959,500<=X<1000,used car,2360.0,15.0,>=200
k167,100<=X<500,new car,6850.0,15.0,0<=X<200
k383,<100,radio/tv,1413.0,24.0,no checking
k638,100<=X<500,used car,8588.0,39.0,no checking
k310,<100,new car,759.0,12.0,<0
k595,<100,used car,4686.0,36.0,no checking
k231,<100,business,2687.0,15.0,>=200
k293,<100,radio/tv,585.0,12.0,0<=X<200
k165,no known savings,new car,2255.0,24.0,no checking
k247,<100,new car,609.0,6.0,<0
k927,<100,new car,1361.0,6.0,<0
k817,<100,furniture/equipment,7127.0,36.0,no checking
k494,100<=X<500,new car,1203.0,6.0,<0
k931,no known savings,radio/tv,700.0,6.0,no checking
k774,<100,repairs,5507.0,24.0,no checking
k775,<100,radio/tv,3190.0,18.0,<0
k752,<100,furniture/equipment,7119.0,48.0,<0
k78,100<=X<500,used car,3488.0,24.0,no checking
k968,<100,radio/tv,1113.0,18.0,0<=X<200
k107,<100,used car,7966.0,26.0,0<=X<200
k73,100<=X<500,education,1532.0,15.0,no checking
k309,<100,radio/tv,1503.0,4.0,no checking
k832,<100,radio/tv,2302.0,36.0,<0
k658,<100,new car,662.0,6.0,<0
k320,<100,education,2273.0,36.0,0<=X<200
k392,100<=X<500,new car,2631.0,15.0,0<=X<200
k933,<100,used car,1503.0,12.0,no checking
k874,100<=X<500,radio/tv,1311.0,24.0,no checking
k688,no known savings,radio/tv,3105.0,24.0,no checking
k252,<100,education,2319.0,21.0,>=200
k501,no known savings,new car,1374.0,6.0,<0
k649,<100,furniture/equipment,3612.0,18.0,0<=X<200
k731,<100,new car,7763.0,48.0,<0
k297,<100,furniture/equipment,3049.0,18.0,>=200
k848,<100,radio/tv,1534.0,12.0,0<=X<200
k924,<100,new car,2032.0,24.0,no checking
k572,no known savings,furniture/equipment,6350.0,30.0,<0
k585,<100,furniture/equipment,2864.0,18.0,>=200
k870,<100,new car,1255.0,12.0,no checking
k984,<100,new car,1333.0,24.0,<0
k656,<100,new car,2022.0,24.0,no checking
k22,<100,radio/tv,1552.0,24.0,no checking
k261,<100,radio/tv,626.0,12.0,<0
k815,no known savings,used car,8858.0,48.0,no checking
