Key_0_0,housing,other_parties,job,Key_1_1
k526,own,none,skilled,k494
k292,own,none,skilled,k915
k187,rent,none,high qualif/self emp/mgmt,k206
k854,rent,none,unskilled resident,k580
k933,rent,none,skilled,k535
k124,own,none,skilled,k94
k660,rent,none,skilled,k361
k355,rent,none,skilled,k286
k701,own,co applicant,high qualif/self emp/mgmt,k46
k700,own,none,high qualif/self emp/mgmt,k156
k315,own,none,skilled,k518
k760,own,none,skilled,k808
k203,own,none,skilled,k85
k910,own,none,skilled,k608
k377,rent,none,skilled,k35
k50,rent,none,unskilled resident,k302
k411,own,none,skilled,k731
k415,own,none,skilled,k832
k414,own,none,skilled,k667
k749,own,none,high qualif/self emp/mgmt,k919
k900,rent,co applicant,skilled,k417
k941,own,none,skilled,k828
k758,own,none,high qualif/self emp/mgmt,k458
k776,own,none,skilled,k879
k636,rent,none,high qualif/self emp/mgmt,k428
k75,rent,none,unskilled resident,k908
k851,for free,none,skilled,k353
k32,rent,none,skilled,k303
k654,own,none,skilled,k178
k258,own,none,unskilled resident,k673
k54,own,none,skilled,k700
k751,own,none,high qualif/self emp/mgmt,k343
k907,own,co applicant,skilled,k753
k337,own,none,skilled,k768
k623,own,none,skilled,k27
k534,own,none,unskilled resident,k188
k232,for free,none,skilled,k542
k29,own,none,skilled,k588
k763,own,none,skilled,k162
k973,own,none,skilled,k894
k613,own,none,unskilled resident,k647
k190,own,guarantor,skilled,k133
k602,rent,none,unskilled resident,k17
k845,own,none,unemp/unskilled non res,k244
k311,own,none,high qualif/self emp/mgmt,k680
k367,own,none,high qualif/self emp/mgmt,k506
k495,own,none,skilled,k81
k834,own,none,skilled,k746
k267,own,none,skilled,k301
k329,own,none,skilled,k657
k154,own,none,skilled,k852
k214,own,guarantor,skilled,k584
k249,own,none,skilled,k821
k638,for free,none,skilled,k293
k162,own,none,skilled,k367
k742,own,none,skilled,k950
k837,rent,none,skilled,k338
k407,rent,none,high qualif/self emp/mgmt,k228
k359,rent,none,skilled,k478
k368,own,guarantor,skilled,k445
k888,own,none,unskilled resident,k561
k714,own,none,skilled,k13
k530,own,none,unskilled resident,k932
k497,own,none,skilled,k925
k489,own,none,skilled,k899
k769,own,none,skilled,k550
k176,for free,none,high qualif/self emp/mgmt,k281
k291,own,none,skilled,k813
k976,own,none,skilled,k347
k226,own,none,skilled,k355
k606,own,none,skilled,k114
k906,rent,none,skilled,k238
k842,own,none,skilled,k721
k855,rent,none,skilled,k536
k127,own,none,skilled,k403
k31,own,none,high qualif/self emp/mgmt,k959
k655,own,guarantor,skilled,k181
k374,own,none,skilled,k991
k639,own,none,high qualif/self emp/mgmt,k389
k247,own,none,skilled,k534
k92,own,none,skilled,k425
k157,rent,none,high qualif/self emp/mgmt,k154
k840,own,none,skilled,k800
k138,own,none,skilled,k875
k710,own,none,high qualif/self emp/mgmt,k940
k482,own,none,unskilled resident,k815
k71,own,none,skilled,k616
k788,own,none,skilled,k319
k631,own,none,skilled,k306
k558,for free,none,high qualif/self emp/mgmt,k956
k607,for free,none,unemp/unskilled non res,k266
k930,own,none,skilled,k486
k171,own,none,skilled,k697
k379,own,none,high qualif/self emp/mgmt,k755
k348,for free,none,unskilled resident,k957
k675,own,none,skilled,k321
k632,rent,none,skilled,k383
k778,rent,guarantor,skilled,k664
k235,own,none,high qualif/self emp/mgmt,k626
k595,own,none,skilled,k913
k491,rent,none,skilled,k88
k874,for free,none,skilled,k144
k363,own,none,high qualif/self emp/mgmt,k177
k971,own,none,skilled,k456
k100,own,none,unskilled resident,k706
k576,own,none,skilled,k66
k140,rent,none,skilled,k395
k400,own,none,unskilled resident,k942
k306,for free,none,high qualif/self emp/mgmt,k253
k4,own,none,skilled,k862
k507,own,none,skilled,k848
k685,own,none,unskilled resident,k766
k301,own,none,skilled,k40
k364,own,none,skilled,k508
k948,own,none,unskilled resident,k348
k864,own,none,skilled,k376
k439,own,none,high qualif/self emp/mgmt,k947
k964,own,none,skilled,k556
k592,own,none,unskilled resident,k527
k330,own,none,skilled,k613
k299,own,none,skilled,k642
k681,rent,none,unskilled resident,k110
k702,own,none,skilled,k951
k649,own,guarantor,unskilled resident,k426
k483,rent,none,skilled,k722
k347,own,none,skilled,k12
k126,own,none,skilled,k384
k466,own,none,skilled,k605
k7,own,none,skilled,k418
k920,own,co applicant,skilled,k444
k981,for free,none,high qualif/self emp/mgmt,k822
k807,own,none,skilled,k699
k174,for free,none,skilled,k540
k618,own,none,skilled,k213
k652,for free,none,unskilled resident,k482
k397,own,none,skilled,k600
k78,own,guarantor,unskilled resident,k297
k585,own,none,unskilled resident,k774
k831,own,none,high qualif/self emp/mgmt,k495
k403,own,none,unemp/unskilled non res,k16
k754,rent,none,unskilled resident,k320
k974,own,none,skilled,k441
k796,own,guarantor,skilled,k157
k861,own,none,skilled,k400
k21,own,none,skilled,k910
k589,for free,none,skilled,k391
k255,own,none,skilled,k773
k998,own,none,unskilled resident,k514
k580,own,none,skilled,k289
k385,own,none,skilled,k14
k690,rent,none,skilled,k583
k658,own,none,skilled,k909
k18,rent,co applicant,skilled,k953
k340,own,none,unskilled resident,k555
k957,own,none,unskilled resident,k155
k391,own,guarantor,skilled,k874
k562,own,none,skilled,k409
k862,own,none,skilled,k398
k426,own,none,unskilled resident,k767
k694,own,none,unskilled resident,k747
k268,for free,none,skilled,k310
k281,own,none,skilled,k56
k57,own,none,unskilled resident,k946
k236,own,none,skilled,k250
k97,own,none,skilled,k900
k186,for free,none,high qualif/self emp/mgmt,k807
k989,for free,none,unskilled resident,k656
k859,own,none,unskilled resident,k498
k245,own,none,skilled,k137
k441,own,none,skilled,k840
k965,own,none,skilled,k978
k244,own,none,high qualif/self emp/mgmt,k999
k410,own,none,skilled,k219
k927,own,none,skilled,k723
k745,rent,none,skilled,k887
k653,for free,co applicant,high qualif/self emp/mgmt,k987
k804,own,none,skilled,k267
k111,own,none,unskilled resident,k977
k908,own,none,skilled,k339
k695,own,none,skilled,k662
k579,own,none,unskilled resident,k270
k569,own,none,skilled,k342
k279,rent,none,high qualif/self emp/mgmt,k912
k224,rent,none,skilled,k873
k444,own,none,skilled,k200
k959,own,none,unskilled resident,k949
k622,own,none,skilled,k54
k608,own,none,skilled,k118
k341,own,none,unskilled resident,k538
k148,own,none,skilled,k15
k870,for free,none,high qualif/self emp/mgmt,k195
k672,own,guarantor,skilled,k539
k266,own,none,skilled,k702
k460,own,none,skilled,k679
k979,rent,none,high qualif/self emp/mgmt,k501
k463,for free,none,high qualif/self emp/mgmt,k522
k146,for free,none,skilled,k532
k103,own,none,high qualif/self emp/mgmt,k998
k963,own,none,skilled,k770
k727,rent,none,skilled,k459
k286,own,co applicant,unskilled resident,k262
k637,own,none,skilled,k814
k352,own,none,skilled,k869
k550,own,none,unemp/unskilled non res,k210
k793,own,none,skilled,k659
k282,own,none,unskilled resident,k989
k94,own,co applicant,skilled,k371
k665,for free,none,skilled,k83
k728,own,none,skilled,k707
k780,rent,none,unskilled resident,k365
k197,own,none,unskilled resident,k335
k984,own,none,skilled,k350
k852,rent,none,unskilled resident,k878
k572,for free,none,unemp/unskilled non res,k549
k143,own,none,skilled,k803
k56,own,none,skilled,k29
k371,own,none,unskilled resident,k187
k335,own,none,unskilled resident,k185
k932,own,none,skilled,k296
k784,own,guarantor,unskilled resident,k103
k945,own,none,unskilled resident,k791
k896,own,none,skilled,k131
k739,own,none,unskilled resident,k323
k676,own,none,high qualif/self emp/mgmt,k541
k145,own,none,skilled,k895
k904,for free,none,high qualif/self emp/mgmt,k252
k234,own,none,skilled,k142
k877,own,none,skilled,k416
k82,own,none,unskilled resident,k637
k49,rent,none,skilled,k634
k651,own,none,skilled,k464
k848,own,none,skilled,k727
k809,own,none,skilled,k824
k256,for free,none,high qualif/self emp/mgmt,k639
k211,own,none,skilled,k278
k252,own,none,high qualif/self emp/mgmt,k844
k994,rent,none,unskilled resident,k732
k394,rent,none,skilled,k58
k538,rent,none,high qualif/self emp/mgmt,k366
k876,own,guarantor,unskilled resident,k678
k135,rent,none,skilled,k221
k0,own,none,skilled,k183
k916,own,none,unskilled resident,k23
k624,for free,none,skilled,k658
k98,rent,none,unskilled resident,k982
k166,rent,none,skilled,k447
k220,own,co applicant,high qualif/self emp/mgmt,k733
k85,own,guarantor,unskilled resident,k623
k844,own,none,unskilled resident,k783
k556,own,guarantor,skilled,k674
k487,rent,none,unemp/unskilled non res,k415
k713,own,none,unskilled resident,k744
k766,for free,none,skilled,k705
k436,rent,none,skilled,k143
k297,own,none,skilled,k984
k596,own,none,high qualif/self emp/mgmt,k67
k525,rent,none,skilled,k392
k35,for free,none,skilled,k222
k708,own,none,unskilled resident,k867
k139,own,co applicant,skilled,k687
k61,own,none,high qualif/self emp/mgmt,k850
k278,own,none,skilled,k898
k683,rent,none,skilled,k230
k515,for free,none,skilled,k604
k929,own,none,high qualif/self emp/mgmt,k961
k656,own,none,skilled,k433
k240,rent,none,skilled,k851
k775,own,none,unemp/unskilled non res,k823
k79,own,none,skilled,k729
k432,own,none,skilled,k24
k549,rent,none,skilled,k737
k663,own,none,skilled,k505
k892,rent,none,skilled,k835
k532,own,none,skilled,k141
k185,own,none,skilled,k436
k413,rent,none,skilled,k434
k752,for free,none,high qualif/self emp/mgmt,k906
k44,for free,none,high qualif/self emp/mgmt,k215
k719,rent,guarantor,skilled,k496
k787,own,none,skilled,k754
k818,for free,none,skilled,k566
k642,for free,none,high qualif/self emp/mgmt,k450
k764,own,none,unskilled resident,k466
k479,own,none,skilled,k688
k481,for free,none,high qualif/self emp/mgmt,k120
k946,rent,none,skilled,k324
k912,own,none,skilled,k113
k717,own,none,unskilled resident,k165
k399,own,none,skilled,k463
k581,rent,none,skilled,k380
k72,own,none,high qualif/self emp/mgmt,k842
k150,own,none,skilled,k86
k393,own,none,skilled,k760
k87,own,none,high qualif/self emp/mgmt,k481
k101,rent,none,unskilled resident,k524
k193,for free,none,high qualif/self emp/mgmt,k726
k903,own,none,skilled,k609
k163,own,none,high qualif/self emp/mgmt,k438
k304,rent,none,skilled,k669
k548,for free,none,high qualif/self emp/mgmt,k948
k553,own,none,skilled,k372
k225,rent,none,skilled,k986
k77,own,none,unskilled resident,k719
k117,own,none,skilled,k795
k524,own,none,skilled,k599
k573,own,none,skilled,k882
k850,own,none,unskilled resident,k476
k149,own,none,skilled,k902
k167,own,none,skilled,k798
k527,own,none,skilled,k106
k794,own,none,skilled,k503
k309,own,none,high qualif/self emp/mgmt,k370
k471,own,none,skilled,k126
k272,own,none,skilled,k337
k196,own,none,high qualif/self emp/mgmt,k201
k424,own,none,high qualif/self emp/mgmt,k374
k798,rent,none,unskilled resident,k65
k200,own,none,skilled,k327
k293,own,none,skilled,k349
k501,own,none,unskilled resident,k502
k421,rent,none,skilled,k77
k104,own,none,high qualif/self emp/mgmt,k621
k485,own,none,skilled,k877
k712,rent,none,skilled,k981
k738,own,none,skilled,k331
k521,own,none,unskilled resident,k901
k509,own,none,high qualif/self emp/mgmt,k472
k873,own,none,skilled,k916
k961,rent,none,skilled,k715
k522,own,none,skilled,k6
k33,own,none,skilled,k362
k516,own,none,skilled,k251
k985,for free,none,unemp/unskilled non res,k227
k860,own,none,unskilled resident,k537
k586,own,co applicant,high qualif/self emp/mgmt,k404
k99,for free,none,high qualif/self emp/mgmt,k592
k429,own,none,skilled,k928
k316,own,none,skilled,k479
k894,own,none,skilled,k831
k730,rent,none,unskilled resident,k684
k678,own,none,skilled,k109
k503,own,co applicant,unemp/unskilled non res,k211
k885,own,none,unemp/unskilled non res,k937
k673,own,none,high qualif/self emp/mgmt,k309
k968,own,co applicant,skilled,k923
k564,own,none,skilled,k573
k452,own,none,unskilled resident,k247
k155,own,none,high qualif/self emp/mgmt,k455
k733,rent,none,unskilled resident,k564
k551,own,none,skilled,k408
k997,own,guarantor,skilled,k460
k434,own,none,high qualif/self emp/mgmt,k10
k938,own,none,skilled,k954
k779,own,none,high qualif/self emp/mgmt,k979
k498,own,none,skilled,k749
k600,own,none,skilled,k411
k6,own,none,high qualif/self emp/mgmt,k52
k300,own,co applicant,skilled,k199
k987,own,none,high qualif/self emp/mgmt,k87
k836,rent,none,skilled,k214
k643,for free,none,skilled,k591
k729,own,none,skilled,k265
k261,own,none,skilled,k491
k122,own,guarantor,skilled,k718
k692,own,none,skilled,k493
k265,rent,none,high qualif/self emp/mgmt,k603
k698,own,none,skilled,k509
k824,own,none,skilled,k735
k953,own,guarantor,skilled,k756
k469,rent,none,unskilled resident,k483
k492,own,none,skilled,k786
k772,own,none,skilled,k976
k233,own,none,unskilled resident,k881
k814,rent,none,skilled,k429
k614,own,none,skilled,k578
k420,own,none,unskilled resident,k775
k88,own,none,high qualif/self emp/mgmt,k519
k37,own,none,skilled,k526
k970,rent,none,skilled,k826
k464,own,none,skilled,k563
k133,own,none,skilled,k838
k192,own,none,unskilled resident,k387
k567,own,none,skilled,k666
k210,own,none,unskilled resident,k135
k395,own,none,skilled,k788
k599,rent,none,skilled,k868
k905,own,none,skilled,k471
k897,own,none,skilled,k812
k290,own,none,high qualif/self emp/mgmt,k743
k783,own,none,skilled,k421
k433,for free,co applicant,skilled,k736
k865,rent,none,unskilled resident,k745
k722,rent,guarantor,skilled,k275
k721,own,none,skilled,k930
k91,for free,none,high qualif/self emp/mgmt,k116
k866,own,none,skilled,k904
k215,own,none,skilled,k412
k275,rent,none,unskilled resident,k475
k462,own,none,skilled,k988
k372,rent,co applicant,high qualif/self emp/mgmt,k636
k294,own,none,skilled,k646
k791,own,guarantor,unskilled resident,k282
k274,own,none,skilled,k59
k928,own,none,skilled,k194
k284,for free,none,skilled,k473
k697,own,none,skilled,k853
k86,own,none,skilled,k57
k990,rent,none,skilled,k635
k731,own,guarantor,unskilled resident,k994
k841,own,none,skilled,k870
k321,own,none,high qualif/self emp/mgmt,k866
k765,own,none,skilled,k922
k747,own,none,high qualif/self emp/mgmt,k752
k271,own,none,skilled,k379
k254,for free,none,high qualif/self emp/mgmt,k972
k771,rent,none,skilled,k115
k114,rent,co applicant,skilled,k189
k453,own,none,skilled,k905
k839,own,none,skilled,k381
k611,own,none,unskilled resident,k43
k625,rent,none,skilled,k84
k657,own,none,skilled,k710
k425,for free,none,skilled,k245
k849,for free,none,skilled,k470
k384,own,none,skilled,k298
k427,for free,none,skilled,k864
k741,own,none,skilled,k288
k45,own,guarantor,unskilled resident,k190
k250,own,none,skilled,k101
k336,own,none,skilled,k64
k554,own,none,unskilled resident,k261
k879,rent,none,skilled,k693
k19,own,none,unskilled resident,k739
k314,own,none,skilled,k797
k991,rent,none,skilled,k917
k528,rent,none,skilled,k273
k598,own,none,skilled,k284
k520,own,none,skilled,k993
k832,rent,none,skilled,k180
k120,own,none,high qualif/self emp/mgmt,k551
k952,own,none,skilled,k285
k358,for free,none,high qualif/self emp/mgmt,k328
k13,own,none,unskilled resident,k193
k891,rent,none,skilled,k385
k531,for free,none,skilled,k589
k716,own,none,skilled,k996
k390,own,none,unskilled resident,k96
k519,own,none,unskilled resident,k158
k474,for free,none,skilled,k90
k668,own,none,skilled,k966
k609,own,none,skilled,k375
k853,own,none,unskilled resident,k558
k911,for free,none,skilled,k344
k269,own,none,skilled,k334
k691,own,none,unskilled resident,k585
k339,own,guarantor,skilled,k971
k11,own,none,skilled,k830
k647,own,none,high qualif/self emp/mgmt,k439
k74,own,none,skilled,k630
k263,own,none,skilled,k51
k287,own,none,skilled,k399
k810,own,none,skilled,k801
k584,own,none,unskilled resident,k590
k5,for free,none,skilled,k269
k183,rent,guarantor,unskilled resident,k176
k759,own,none,skilled,k336
k735,for free,none,skilled,k378
k724,own,none,high qualif/self emp/mgmt,k4
k944,rent,none,skilled,k91
k518,own,none,skilled,k517
k863,own,none,skilled,k255
k674,own,none,skilled,k545
k628,own,none,skilled,k750
k797,rent,none,unskilled resident,k983
k237,own,co applicant,skilled,k2
k376,rent,none,high qualif/self emp/mgmt,k34
k27,own,none,unskilled resident,k606
k2,own,none,unskilled resident,k216
k693,own,co applicant,skilled,k499
k648,own,none,skilled,k893
k858,own,none,skilled,k645
k260,own,none,skilled,k638
k438,own,none,unskilled resident,k304
k277,own,guarantor,skilled,k794
k934,own,none,unskilled resident,k653
k60,rent,none,skilled,k44
k753,rent,none,unskilled resident,k163
k616,for free,none,high qualif/self emp/mgmt,k512
k552,rent,none,skilled,k140
k969,rent,none,skilled,k305
k847,own,guarantor,unskilled resident,k316
k392,own,none,unskilled resident,k714
k568,own,none,skilled,k485
k16,own,none,unskilled resident,k520
k416,rent,none,skilled,k260
k435,own,none,unskilled resident,k787
k307,rent,none,unskilled resident,k654
k512,own,none,high qualif/self emp/mgmt,k880
k353,own,none,unskilled resident,k407
k125,rent,none,skilled,k248
k947,own,none,unskilled resident,k793
k144,own,none,skilled,k208
k523,for free,none,skilled,k572
k517,own,guarantor,skilled,k562
k812,own,none,skilled,k234
k25,for free,none,unskilled resident,k333
k975,own,none,high qualif/self emp/mgmt,k121
k81,own,none,skilled,k525
k737,own,none,skilled,k748
k118,own,none,high qualif/self emp/mgmt,k668
k468,for free,co applicant,skilled,k76
k543,own,none,skilled,k117
k633,for free,none,skilled,k69
k680,own,none,skilled,k500
k835,for free,none,unskilled resident,k26
k437,own,none,skilled,k38
k565,rent,guarantor,skilled,k340
k442,own,none,skilled,k446
k62,own,none,high qualif/self emp/mgmt,k624
k147,for free,none,high qualif/self emp/mgmt,k751
k288,rent,none,skilled,k36
k703,rent,co applicant,skilled,k153
k451,own,none,unskilled resident,k169
k404,own,none,skilled,k776
k574,own,none,skilled,k888
k447,own,none,skilled,k235
k604,rent,none,skilled,k554
k34,for free,none,skilled,k258
k761,own,none,skilled,k203
k931,own,none,skilled,k431
k80,own,none,skilled,k816
k205,own,none,skilled,k644
k591,own,none,unskilled resident,k883
k40,own,none,skilled,k119
k208,own,none,skilled,k960
k995,own,none,skilled,k405
k505,rent,co applicant,skilled,k941
k55,own,none,unskilled resident,k695
k201,own,none,skilled,k402
k939,own,none,skilled,k742
k480,own,none,skilled,k0
k458,own,none,skilled,k152
k684,own,none,skilled,k307
k22,own,none,unemp/unskilled non res,k629
k317,own,none,unskilled resident,k414
k227,own,none,high qualif/self emp/mgmt,k308
k137,own,guarantor,skilled,k173
k935,own,none,high qualif/self emp/mgmt,k33
k570,rent,none,skilled,k8
k786,own,guarantor,skilled,k382
k12,own,none,skilled,k792
k743,for free,none,skilled,k529
k790,rent,none,unskilled resident,k422
k641,for free,none,high qualif/self emp/mgmt,k897
k499,own,none,unskilled resident,k515
k782,own,co applicant,skilled,k990
k921,own,none,high qualif/self emp/mgmt,k93
k982,own,none,skilled,k918
k659,for free,none,skilled,k280
k620,own,none,unskilled resident,k95
k942,own,none,skilled,k829
k373,own,none,skilled,k593
k977,own,none,skilled,k936
k70,rent,none,skilled,k907
k949,own,none,skilled,k257
k650,own,none,skilled,k21
k199,own,none,high qualif/self emp/mgmt,k171
k682,own,none,unskilled resident,k677
k123,own,co applicant,high qualif/self emp/mgmt,k811
k615,own,none,skilled,k595
k561,own,none,skilled,k225
k24,rent,co applicant,skilled,k18
k662,own,none,skilled,k420
k955,own,none,unskilled resident,k886
k450,own,none,skilled,k546
k17,own,none,high qualif/self emp/mgmt,k781
k164,own,none,skilled,k796
k440,own,none,unskilled resident,k513
k661,rent,none,high qualif/self emp/mgmt,k98
k152,own,none,skilled,k929
k993,own,none,skilled,k315
k168,rent,none,unskilled resident,k49
k105,own,none,skilled,k617
k999,own,none,skilled,k192
k361,for free,none,skilled,k876
k110,own,none,skilled,k233
k159,for free,none,skilled,k151
k331,own,none,unskilled resident,k607
k996,for free,none,skilled,k712
k575,own,none,skilled,k72
k773,for free,none,skilled,k477
k895,own,co applicant,skilled,k530
k878,own,none,skilled,k570
k785,own,none,skilled,k860
k541,own,none,unskilled resident,k587
k922,own,none,skilled,k825
k130,own,none,unskilled resident,k351
k116,own,none,skilled,k242
k846,rent,none,skilled,k837
k402,own,guarantor,skilled,k1
k470,own,none,unemp/unskilled non res,k89
k179,own,none,skilled,k594
k696,rent,none,high qualif/self emp/mgmt,k145
k883,rent,none,unskilled resident,k892
k827,for free,none,skilled,k9
k732,for free,none,skilled,k924
k943,own,none,skilled,k111
k819,own,none,skilled,k419
k536,for free,none,skilled,k318
k26,own,none,skilled,k890
k640,rent,none,skilled,k817
k370,own,none,skilled,k521
k566,own,none,unskilled resident,k632
k431,own,none,high qualif/self emp/mgmt,k967
k158,for free,none,skilled,k148
k396,own,none,high qualif/self emp/mgmt,k390
k750,own,none,unskilled resident,k377
k583,own,none,high qualif/self emp/mgmt,k218
k978,own,none,skilled,k99
k242,own,none,skilled,k124
k322,for free,none,high qualif/self emp/mgmt,k548
k926,own,none,skilled,k352
k914,own,none,skilled,k601
k473,own,none,high qualif/self emp/mgmt,k720
k113,rent,none,skilled,k295
k401,own,none,unskilled resident,k903
k170,own,none,unskilled resident,k523
k542,rent,none,skilled,k123
k333,own,none,unskilled resident,k368
k142,own,none,unskilled resident,k184
k762,rent,none,skilled,k394
k334,rent,none,skilled,k857
k923,own,none,skilled,k45
k940,own,none,skilled,k271
k898,rent,none,unskilled resident,k544
k172,own,guarantor,unskilled resident,k694
k821,rent,none,skilled,k452
k992,own,none,skilled,k197
k925,own,none,unemp/unskilled non res,k357
k555,rent,none,high qualif/self emp/mgmt,k690
k539,own,none,unskilled resident,k576
k28,own,none,high qualif/self emp/mgmt,k150
k954,rent,none,unskilled resident,k25
k58,own,none,skilled,k665
k909,own,none,unskilled resident,k682
k365,own,none,skilled,k175
k734,own,none,skilled,k806
k223,own,none,high qualif/self emp/mgmt,k805
k59,own,none,unskilled resident,k974
k670,rent,none,skilled,k855
k10,own,none,unskilled resident,k952
k704,own,none,skilled,k943
k30,own,none,skilled,k778
k207,own,none,skilled,k614
k417,own,none,unskilled resident,k717
k560,rent,none,unskilled resident,k300
k67,own,none,skilled,k480
k601,for free,none,skilled,k299
k342,rent,none,skilled,k643
k679,own,none,unemp/unskilled non res,k934
k298,for free,none,skilled,k655
k504,own,guarantor,skilled,k345
k686,own,none,skilled,k861
k816,own,none,skilled,k559
k514,rent,none,skilled,k272
k216,own,none,unskilled resident,k708
k308,for free,none,high qualif/self emp/mgmt,k622
k229,own,none,skilled,k30
k332,own,guarantor,unskilled resident,k468
k173,own,none,unskilled resident,k681
k540,rent,none,skilled,k689
k325,rent,none,skilled,k964
k465,own,none,unskilled resident,k388
k380,rent,none,skilled,k854
k169,own,none,high qualif/self emp/mgmt,k611
k285,own,none,high qualif/self emp/mgmt,k620
k875,own,none,skilled,k205
k627,for free,none,unemp/unskilled non res,k290
k966,rent,none,skilled,k410
k180,own,none,skilled,k435
k239,own,guarantor,skilled,k543
k571,own,none,high qualif/self emp/mgmt,k243
k493,own,none,skilled,k427
k305,own,guarantor,skilled,k196
k273,own,none,skilled,k863
k419,own,none,unskilled resident,k146
k802,own,none,unskilled resident,k279
k494,own,none,high qualif/self emp/mgmt,k921
k206,own,none,unskilled resident,k232
k545,own,none,skilled,k229
k740,own,none,skilled,k393
k457,for free,none,skilled,k891
k362,own,none,skilled,k711
k811,own,none,skilled,k810
k177,own,none,high qualif/self emp/mgmt,k224
k73,own,none,skilled,k651
k23,for free,none,skilled,k582
k803,rent,none,skilled,k640
k69,rent,none,skilled,k575
k241,for free,none,skilled,k568
k228,rent,none,unskilled resident,k373
k825,own,none,skilled,k313
k610,own,none,unemp/unskilled non res,k268
k213,for free,none,skilled,k397
k936,rent,guarantor,unskilled resident,k914
k198,own,none,skilled,k628
k709,own,none,skilled,k574
k635,rent,none,unemp/unskilled non res,k931
k748,own,none,skilled,k945
k345,own,none,unskilled resident,k571
k64,own,none,skilled,k973
k986,for free,none,high qualif/self emp/mgmt,k212
k188,rent,none,unemp/unskilled non res,k311
k467,own,none,skilled,k79
k629,own,guarantor,unskilled resident,k516
k823,own,none,skilled,k360
k644,own,none,skilled,k619
k893,for free,none,skilled,k716
k280,rent,none,skilled,k995
k428,own,none,skilled,k618
k770,rent,none,skilled,k432
k795,own,co applicant,high qualif/self emp/mgmt,k71
k477,own,none,skilled,k41
k593,own,none,skilled,k451
k456,own,none,skilled,k62
k289,own,none,skilled,k292
k296,own,none,unskilled resident,k533
k726,own,none,high qualif/self emp/mgmt,k809
k711,own,none,skilled,k804
k597,rent,none,skilled,k764
k951,own,none,skilled,k507
k687,for free,none,skilled,k985
k917,for free,none,skilled,k448
k448,own,none,skilled,k39
