Key_0_0,own_telephone,existing_credits,other_payment_plans,Key_1_2
k352,yes,2.0,none,k130
k550,yes,1.0,none,k26
k793,yes,1.0,none,k620
k282,none,2.0,bank,k670
k94,yes,2.0,none,k836
k665,none,1.0,bank,k954
k728,none,1.0,none,k677
k780,none,1.0,stores,k906
k197,yes,1.0,none,k915
k984,none,1.0,none,k96
k852,none,1.0,none,k602
k572,yes,1.0,bank,k106
k143,none,1.0,stores,k920
k56,none,1.0,none,k785
k371,none,1.0,bank,k227
k335,none,1.0,none,k617
k932,none,1.0,bank,k295
k784,none,1.0,none,k866
k945,yes,1.0,none,k578
k896,none,2.0,none,k646
k739,none,2.0,none,k953
k676,none,2.0,none,k163
k145,none,1.0,none,k462
k904,yes,1.0,none,k305
k234,none,1.0,none,k236
k877,none,2.0,none,k566
k82,none,2.0,none,k859
k49,yes,1.0,none,k323
k651,yes,1.0,none,k468
k848,none,1.0,none,k405
k809,none,1.0,none,k765
k256,yes,2.0,none,k619
k211,none,2.0,none,k978
k252,none,1.0,none,k882
k994,none,2.0,bank,k154
k394,none,2.0,bank,k366
k538,yes,1.0,none,k792
k876,none,1.0,none,k990
k135,none,1.0,none,k822
k0,none,1.0,none,k593
k916,none,1.0,none,k282
k624,yes,2.0,none,k865
k98,none,1.0,none,k932
k166,none,1.0,none,k545
k220,yes,1.0,bank,k449
k85,none,1.0,none,k627
k844,none,1.0,none,k833
k556,none,2.0,none,k985
k487,none,1.0,none,k419
k713,none,2.0,none,k526
k766,none,2.0,none,k120
k436,yes,1.0,none,k456
k297,none,1.0,none,k631
k596,yes,1.0,none,k354
k525,yes,2.0,none,k680
k35,yes,1.0,none,k75
k708,none,1.0,stores,k430
k139,yes,1.0,none,k214
k61,yes,2.0,none,k221
k278,none,1.0,none,k7
k683,none,1.0,none,k210
k515,none,1.0,none,k776
k929,none,1.0,none,k664
k656,yes,2.0,stores,k19
k240,none,1.0,none,k890
k775,none,1.0,none,k424
k79,yes,1.0,none,k729
k432,none,2.0,none,k963
k549,none,1.0,none,k778
k663,none,1.0,none,k429
k892,none,1.0,none,k550
k532,none,1.0,none,k796
k185,yes,2.0,none,k193
k413,none,2.0,none,k939
k752,yes,1.0,bank,k420
k44,yes,2.0,bank,k65
k719,none,1.0,none,k138
k787,none,2.0,none,k887
k818,none,1.0,none,k667
k642,yes,1.0,none,k824
k764,none,2.0,none,k129
k479,yes,1.0,none,k834
k481,yes,1.0,none,k797
k946,none,1.0,none,k145
k912,none,1.0,none,k986
k717,none,2.0,none,k448
k399,none,2.0,none,k170
k581,yes,1.0,none,k642
k72,yes,2.0,stores,k10
k150,none,1.0,bank,k999
k393,none,2.0,none,k652
k87,yes,1.0,none,k435
k101,none,1.0,none,k605
k193,yes,1.0,bank,k401
k903,none,1.0,none,k144
k163,none,1.0,none,k208
k304,yes,1.0,none,k365
k548,none,1.0,none,k174
k553,yes,2.0,none,k156
k225,none,2.0,none,k770
k77,none,2.0,none,k757
k117,yes,1.0,none,k337
k524,none,2.0,bank,k6
k573,yes,2.0,bank,k409
k850,none,2.0,none,k390
k149,none,1.0,none,k781
k167,yes,1.0,none,k751
k527,yes,2.0,none,k149
k794,none,1.0,none,k661
k309,yes,1.0,none,k44
k471,yes,3.0,none,k845
k272,yes,1.0,none,k655
k196,yes,2.0,none,k768
k424,yes,2.0,stores,k886
k798,none,1.0,none,k399
k200,none,1.0,none,k363
k293,yes,2.0,none,k580
k501,none,1.0,none,k979
k421,yes,2.0,none,k671
k104,none,1.0,bank,k109
k485,none,1.0,none,k49
k712,none,1.0,none,k105
k738,none,1.0,none,k615
k521,none,2.0,none,k801
k509,none,2.0,none,k871
k873,yes,1.0,bank,k807
k961,yes,1.0,none,k563
k522,none,2.0,none,k558
k33,none,2.0,none,k184
k516,none,1.0,none,k576
k985,none,3.0,none,k500
k860,none,1.0,none,k712
k586,yes,2.0,bank,k693
k99,yes,3.0,none,k315
k429,yes,2.0,none,k964
k316,none,1.0,none,k379
k894,yes,1.0,none,k639
k730,none,1.0,none,k381
k678,yes,2.0,none,k76
k503,none,2.0,none,k285
k885,none,1.0,none,k249
k673,yes,1.0,none,k992
k968,none,1.0,none,k55
k564,yes,2.0,bank,k537
k452,none,1.0,bank,k696
k155,yes,1.0,none,k884
k733,none,2.0,none,k839
k551,yes,1.0,none,k248
k997,none,1.0,none,k728
k434,yes,1.0,none,k709
k938,none,2.0,stores,k923
k779,yes,1.0,none,k215
k498,none,1.0,none,k294
k600,none,2.0,none,k283
k6,yes,1.0,none,k599
k300,yes,1.0,none,k335
k987,yes,1.0,none,k838
k836,none,2.0,none,k542
k643,yes,1.0,none,k628
k729,none,1.0,none,k843
k261,yes,1.0,none,k52
k122,none,1.0,none,k344
k692,none,1.0,none,k629
k265,none,1.0,none,k319
k698,none,2.0,none,k225
k824,yes,2.0,stores,k600
k953,yes,1.0,bank,k267
k469,yes,1.0,none,k329
k492,none,2.0,bank,k143
k772,yes,2.0,none,k850
k233,yes,2.0,none,k114
k814,yes,1.0,none,k127
k614,none,1.0,none,k200
k420,none,1.0,none,k896
k88,yes,1.0,none,k175
k37,none,1.0,none,k583
k970,none,1.0,none,k543
k464,none,1.0,none,k591
k133,none,1.0,bank,k673
k192,none,1.0,none,k758
k567,yes,2.0,none,k532
k210,none,1.0,none,k568
k395,none,1.0,none,k897
k599,yes,2.0,none,k944
k905,none,2.0,none,k727
k897,yes,1.0,none,k194
k290,yes,1.0,none,k594
k783,yes,1.0,none,k746
k433,yes,1.0,none,k332
k865,none,1.0,none,k737
k722,none,1.0,none,k263
k721,none,2.0,none,k465
k91,yes,2.0,none,k987
k866,none,2.0,none,k264
k215,none,1.0,none,k445
k275,none,2.0,none,k894
k462,none,1.0,none,k304
k372,yes,1.0,none,k407
k294,none,2.0,none,k760
k791,none,1.0,none,k306
k274,yes,2.0,none,k925
k928,none,1.0,none,k665
k284,none,1.0,none,k118
k697,none,1.0,none,k553
k86,none,2.0,bank,k124
k990,none,1.0,none,k946
k731,none,1.0,none,k702
k841,yes,1.0,none,k959
k321,yes,1.0,none,k167
k765,none,1.0,none,k383
k747,yes,1.0,none,k638
k271,none,1.0,none,k310
k254,yes,1.0,none,k595
k771,yes,1.0,none,k231
k114,none,2.0,none,k293
k453,none,1.0,none,k165
k839,none,2.0,none,k247
k611,none,1.0,none,k927
k625,yes,2.0,none,k817
k657,yes,1.0,none,k494
k425,none,2.0,none,k931
k849,none,2.0,none,k774
k384,none,1.0,none,k775
k427,none,2.0,none,k752
k741,none,1.0,none,k78
k45,none,1.0,none,k968
k250,none,2.0,none,k107
k336,none,1.0,none,k73
k554,none,2.0,none,k309
k879,none,1.0,none,k832
k19,yes,1.0,none,k658
k314,none,2.0,none,k320
k991,yes,2.0,none,k392
k528,none,1.0,none,k933
k598,yes,1.0,none,k874
k520,none,2.0,none,k688
k832,none,1.0,none,k252
k120,yes,1.0,none,k501
k952,yes,1.0,none,k649
k358,none,1.0,bank,k731
k13,none,1.0,stores,k297
k891,none,1.0,none,k848
k531,yes,2.0,none,k924
k716,none,1.0,none,k572
k390,none,1.0,none,k585
k519,none,2.0,none,k870
k474,none,2.0,none,k984
k668,yes,1.0,none,k656
k609,none,1.0,bank,k22
k853,none,1.0,bank,k261
k911,yes,2.0,none,k815
k269,none,2.0,none,k598
k691,none,1.0,bank,k803
k339,yes,2.0,none,k189
k11,none,1.0,none,k973
k647,yes,2.0,none,k513
k74,none,1.0,stores,k724
k263,none,2.0,none,k90
k287,yes,2.0,bank,k898
k810,none,1.0,bank,k856
k584,none,2.0,none,k919
k5,yes,1.0,bank,k878
k183,none,1.0,bank,k662
k759,none,1.0,bank,k357
k735,yes,1.0,none,k216
k724,yes,2.0,bank,k574
k944,yes,2.0,none,k786
k518,none,1.0,none,k173
k863,none,1.0,none,k988
k674,yes,2.0,none,k257
k628,yes,1.0,none,k789
k797,yes,1.0,none,k376
k237,none,1.0,none,k115
k376,yes,1.0,none,k511
k27,none,1.0,none,k333
k2,none,2.0,none,k893
k693,none,2.0,bank,k907
k648,none,1.0,none,k113
k858,yes,2.0,none,k411
k260,none,2.0,none,k787
k438,none,2.0,none,k547
k277,none,2.0,bank,k41
k934,none,2.0,bank,k133
k60,none,1.0,none,k350
k753,none,1.0,none,k2
k616,yes,1.0,none,k180
k552,none,1.0,bank,k603
k969,none,2.0,none,k918
k847,none,1.0,none,k858
k392,yes,1.0,none,k686
k568,none,2.0,none,k68
k16,yes,4.0,none,k707
k416,yes,2.0,none,k207
k435,none,1.0,bank,k339
k307,yes,1.0,none,k182
k512,yes,1.0,stores,k313
k353,none,1.0,stores,k771
k125,none,2.0,none,k938
k947,yes,3.0,none,k962
k144,none,2.0,bank,k217
k523,none,1.0,none,k141
k517,none,1.0,none,k84
k812,none,1.0,none,k439
k25,none,1.0,bank,k87
k975,yes,1.0,none,k17
k81,none,1.0,none,k327
k737,yes,1.0,stores,k941
k118,yes,1.0,none,k378
k468,none,1.0,none,k569
k543,none,1.0,none,k767
k633,none,1.0,bank,k314
k680,none,1.0,none,k158
k835,none,1.0,none,k541
k437,none,1.0,bank,k795
k565,none,1.0,bank,k122
k442,none,1.0,none,k467
k62,yes,1.0,bank,k385
k147,none,1.0,none,k976
k288,none,3.0,none,k375
k703,none,1.0,none,k587
k451,none,1.0,none,k567
k404,none,2.0,none,k589
k574,none,2.0,bank,k881
k447,none,1.0,bank,k223
k604,none,1.0,none,k12
k34,none,2.0,none,k663
k761,none,1.0,none,k155
k931,yes,1.0,none,k873
k80,none,1.0,none,k423
k205,yes,2.0,none,k209
k591,none,1.0,none,k805
k40,none,1.0,none,k540
k208,none,1.0,bank,k895
k995,none,1.0,none,k647
k505,none,2.0,none,k389
k55,yes,1.0,none,k934
k201,yes,3.0,bank,k531
k939,none,1.0,none,k446
k480,yes,2.0,none,k418
k458,none,1.0,none,k255
k684,yes,2.0,bank,k571
k22,none,1.0,none,k754
k317,none,2.0,none,k524
k227,yes,1.0,none,k769
k137,yes,2.0,none,k104
k935,yes,2.0,none,k237
k570,yes,2.0,none,k470
k786,none,2.0,none,k241
k12,none,1.0,none,k675
k743,none,1.0,bank,k98
k790,none,1.0,none,k368
k641,yes,1.0,none,k991
k499,none,1.0,none,k464
k782,none,1.0,none,k330
k921,yes,4.0,none,k228
k982,yes,2.0,none,k636
k659,none,1.0,none,k570
k620,none,1.0,bank,k63
k942,yes,1.0,stores,k753
k373,none,2.0,none,k548
k977,yes,1.0,none,k730
k70,none,1.0,none,k345
k949,none,1.0,none,k183
k650,none,2.0,none,k669
k199,yes,2.0,stores,k945
k682,none,1.0,none,k682
k123,yes,2.0,bank,k720
k615,yes,1.0,stores,k528
k561,none,1.0,stores,k94
k24,yes,2.0,none,k71
k662,none,1.0,none,k289
k955,yes,2.0,none,k748
k450,yes,2.0,none,k902
k17,yes,1.0,none,k440
k164,none,1.0,none,k814
k440,none,1.0,bank,k718
k661,yes,1.0,none,k62
k152,yes,1.0,none,k171
k993,none,1.0,none,k226
k168,none,1.0,bank,k478
k105,none,1.0,none,k413
k999,none,1.0,none,k40
k361,yes,1.0,none,k505
k110,none,2.0,bank,k395
k159,yes,3.0,none,k951
k331,yes,2.0,none,k683
k996,yes,1.0,none,k239
k575,yes,2.0,none,k1
k773,none,1.0,none,k336
k895,yes,1.0,none,k930
k878,none,1.0,none,k892
k785,none,2.0,none,k46
k541,none,1.0,none,k736
k922,none,1.0,none,k852
k130,none,2.0,none,k716
k116,yes,1.0,none,k823
k846,none,1.0,none,k243
k402,none,2.0,none,k828
k470,none,1.0,none,k503
k179,none,2.0,none,k39
k696,yes,1.0,none,k205
k883,none,1.0,none,k668
k827,yes,2.0,none,k529
k732,yes,1.0,none,k573
k943,none,2.0,stores,k922
k819,yes,1.0,none,k326
k536,none,1.0,none,k273
k26,none,1.0,none,k641
k640,none,2.0,none,k316
k370,none,1.0,none,k119
k566,none,1.0,none,k256
k431,yes,2.0,bank,k89
k158,none,1.0,none,k495
k396,yes,1.0,none,k983
k750,none,2.0,none,k393
k583,yes,1.0,none,k868
k978,none,2.0,none,k110
k242,yes,2.0,none,k134
k322,yes,1.0,none,k723
k926,yes,2.0,none,k412
k914,yes,2.0,bank,k4
k473,yes,2.0,none,k318
k113,none,1.0,bank,k408
k401,none,1.0,none,k260
k170,none,1.0,none,k621
k542,none,1.0,none,k582
k333,none,2.0,bank,k85
k142,none,2.0,none,k485
k762,none,2.0,bank,k657
k334,none,1.0,none,k666
k923,yes,2.0,none,k288
k940,none,1.0,none,k325
k898,none,1.0,none,k798
k172,none,1.0,none,k510
k821,yes,1.0,none,k95
k992,none,1.0,none,k624
k925,none,1.0,bank,k322
k555,none,2.0,none,k79
k539,yes,1.0,none,k549
k28,yes,2.0,none,k83
k954,none,2.0,none,k136
k58,none,1.0,bank,k224
k909,none,1.0,stores,k150
k365,yes,1.0,none,k522
k734,yes,1.0,stores,k883
k223,yes,2.0,none,k888
k59,none,2.0,bank,k472
k670,none,1.0,none,k469
k10,none,1.0,none,k955
k704,none,1.0,none,k704
k30,none,1.0,none,k943
k207,yes,1.0,bank,k101
k417,none,1.0,none,k132
k560,none,1.0,none,k126
k67,none,2.0,none,k773
k601,none,2.0,none,k784
k342,none,1.0,none,k476
k679,none,3.0,none,k779
k298,yes,2.0,none,k715
k504,yes,1.0,none,k146
k686,none,2.0,none,k187
k816,yes,1.0,none,k82
k514,none,2.0,none,k521
k216,none,1.0,none,k577
k308,yes,1.0,none,k520
k229,yes,2.0,none,k989
k332,none,2.0,bank,k410
k173,none,1.0,none,k831
k540,none,1.0,none,k235
k325,yes,3.0,none,k21
k465,yes,2.0,none,k466
k380,none,1.0,none,k861
k169,yes,2.0,none,k575
k285,yes,1.0,none,k29
k875,none,2.0,bank,k690
k627,none,3.0,bank,k534
k966,none,1.0,none,k391
k180,yes,2.0,none,k488
k239,none,1.0,none,k455
k571,yes,2.0,none,k659
k493,yes,1.0,none,k584
k305,none,2.0,none,k452
k273,yes,1.0,none,k121
k419,yes,1.0,none,k0
k802,none,1.0,bank,k804
k494,yes,1.0,none,k259
k206,yes,1.0,none,k885
k545,none,1.0,none,k851
k740,yes,2.0,none,k956
k457,none,1.0,none,k340
k362,yes,1.0,bank,k112
k811,none,1.0,none,k546
k177,yes,1.0,none,k791
k73,none,2.0,none,k245
k23,none,1.0,none,k950
k803,yes,1.0,none,k911
k69,none,1.0,none,k802
k241,yes,1.0,none,k590
k228,none,2.0,none,k909
k825,yes,2.0,none,k262
k610,none,1.0,none,k900
k213,none,2.0,none,k651
k936,yes,2.0,bank,k15
k198,none,2.0,none,k699
k709,none,2.0,none,k278
k635,none,1.0,none,k611
k748,yes,1.0,none,k117
k345,none,1.0,none,k343
k64,none,4.0,none,k853
k986,yes,1.0,bank,k515
k188,none,2.0,none,k72
k467,yes,1.0,none,k799
k629,none,1.0,bank,k460
k823,yes,2.0,none,k733
k644,none,1.0,none,k618
k893,none,1.0,none,k740
k280,none,1.0,none,k421
k428,none,1.0,none,k438
k770,yes,2.0,none,k186
k795,none,1.0,none,k564
k477,none,1.0,bank,k711
k593,yes,2.0,none,k388
k456,none,1.0,none,k447
k289,none,1.0,bank,k427
k296,none,2.0,none,k514
k726,yes,2.0,none,k623
k711,yes,2.0,none,k921
k597,yes,3.0,bank,k782
k951,none,2.0,stores,k206
k687,none,1.0,none,k626
k917,yes,1.0,none,k579
k448,yes,2.0,none,k875
k52,yes,1.0,none,k190
k890,none,2.0,none,k496
k958,yes,1.0,none,k493
k319,none,1.0,none,k756
k326,none,2.0,bank,k612
k594,none,1.0,none,k650
k621,none,1.0,none,k971
k513,yes,2.0,none,k654
k956,none,2.0,none,k705
k310,none,1.0,none,k371
k1,none,2.0,stores,k459
k587,none,1.0,none,k926
k781,yes,1.0,bank,k914
k806,yes,3.0,bank,k166
k563,yes,1.0,none,k196
k768,none,2.0,none,k250
k350,none,1.0,none,k972
k36,none,1.0,none,k742
k645,none,1.0,stores,k384
k412,none,2.0,bank,k353
k119,yes,2.0,none,k557
k46,yes,2.0,none,k947
k349,none,2.0,none,k694
k222,yes,2.0,none,k168
k490,yes,1.0,none,k562
k459,yes,1.0,none,k358
k924,yes,1.0,none,k876
k799,yes,1.0,none,k837
k15,none,1.0,none,k463
k251,none,2.0,none,k244
k830,yes,1.0,none,k342
k707,yes,1.0,none,k135
k872,yes,2.0,stores,k35
k218,none,1.0,bank,k36
k422,none,1.0,none,k949
k264,none,1.0,stores,k653
k744,none,1.0,stores,k916
k38,none,2.0,none,k899
k398,none,1.0,none,k967
k238,yes,2.0,none,k525
k813,none,2.0,none,k131
k689,yes,2.0,none,k213
k901,none,1.0,none,k685
k475,none,1.0,none,k555
k63,none,2.0,none,k777
k578,yes,1.0,bank,k869
k346,none,1.0,none,k961
k212,yes,1.0,none,k492
k484,none,2.0,none,k929
k295,yes,1.0,none,k61
k822,yes,1.0,none,k813
k817,none,2.0,none,k301
k84,none,2.0,none,k97
k327,yes,1.0,none,k70
k382,none,1.0,none,k698
k65,yes,2.0,none,k592
k230,yes,1.0,none,k54
k48,yes,2.0,none,k100
k409,yes,2.0,bank,k610
k354,yes,4.0,stores,k400
k276,yes,2.0,none,k762
k913,none,2.0,bank,k952
k630,yes,2.0,none,k632
k302,yes,2.0,none,k996
k603,yes,1.0,stores,k994
k838,yes,1.0,none,k276
k511,none,1.0,none,k179
k557,none,1.0,bank,k613
k800,none,1.0,none,k487
k253,yes,1.0,bank,k630
k671,yes,2.0,none,k719
k312,none,2.0,none,k116
k820,yes,1.0,none,k614
k950,yes,1.0,none,k691
k181,yes,1.0,none,k908
k887,none,1.0,none,k523
k478,none,1.0,none,k251
k270,none,2.0,none,k701
k68,none,1.0,none,k844
k756,none,2.0,none,k998
k343,none,1.0,bank,k34
k605,none,1.0,none,k197
k182,yes,1.0,none,k509
k204,yes,1.0,none,k56
k388,yes,1.0,bank,k928
k455,none,1.0,none,k279
k868,yes,1.0,bank,k713
k406,none,1.0,none,k891
k667,yes,1.0,none,k108
k47,none,2.0,none,k192
k590,yes,1.0,none,k732
k725,none,1.0,none,k307
k95,yes,1.0,none,k846
k356,yes,1.0,bank,k764
k833,yes,2.0,bank,k266
k39,none,1.0,none,k453
k189,yes,3.0,stores,k504
k508,yes,1.0,none,k635
k677,none,2.0,none,k725
k418,none,1.0,none,k18
k777,yes,1.0,none,k373
k423,none,2.0,none,k338
k9,yes,2.0,none,k59
k869,none,1.0,bank,k997
k706,none,2.0,stores,k491
k454,none,1.0,none,k794
k774,yes,1.0,none,k608
k121,none,1.0,none,k687
k488,yes,2.0,none,k678
k582,yes,1.0,none,k474
k856,none,1.0,none,k863
k826,yes,1.0,stores,k169
k303,none,3.0,none,k743
k705,none,1.0,none,k689
k387,none,2.0,none,k60
k510,yes,1.0,none,k489
k243,yes,1.0,none,k484
k389,none,1.0,none,k749
k919,none,2.0,none,k857
k880,yes,3.0,none,k369
k338,yes,2.0,none,k199
k351,none,1.0,none,k780
k313,yes,2.0,none,k51
