Key_1_1,personal_status,age,credit_history
k871,male single,51.0,delayed previously
k980,male single,39.0,no credits/all paid
k246,male mar/wid,22.0,existing paid
k130,female div/dep/mar,44.0,existing paid
k217,male single,47.0,existing paid
k701,female div/dep/mar,24.0,existing paid
k179,female div/dep/mar,58.0,existing paid
k511,male single,52.0,existing paid
k944,female div/dep/mar,29.0,critical/other existing credit
k686,female div/dep/mar,27.0,critical/other existing credit
k872,male single,47.0,existing paid
k497,male single,30.0,existing paid
k567,male single,28.0,no credits/all paid
k631,male single,56.0,critical/other existing credit
k129,male single,54.0,critical/other existing credit
k820,female div/dep/mar,33.0,critical/other existing credit
k172,male single,20.0,critical/other existing credit
k663,male single,54.0,existing paid
k553,male single,58.0,no credits/all paid
k703,female div/dep/mar,61.0,critical/other existing credit
k494,male single,34.0,existing paid
k915,male single,36.0,critical/other existing credit
k206,male single,36.0,delayed previously
k580,male mar/wid,41.0,existing paid
k535,male single,24.0,existing paid
k94,female div/dep/mar,24.0,delayed previously
k361,male single,35.0,critical/other existing credit
k286,male mar/wid,26.0,existing paid
k46,male single,39.0,critical/other existing credit
k156,male single,39.0,all paid
k518,male single,32.0,existing paid
k808,female div/dep/mar,30.0,existing paid
k85,male mar/wid,35.0,existing paid
k608,male div/sep,31.0,delayed previously
k35,female div/dep/mar,23.0,existing paid
k302,male single,28.0,existing paid
k731,female div/dep/mar,25.0,critical/other existing credit
k832,male mar/wid,35.0,existing paid
k667,male single,47.0,critical/other existing credit
k919,female div/dep/mar,30.0,existing paid
k417,female div/dep/mar,27.0,critical/other existing credit
k828,female div/dep/mar,23.0,critical/other existing credit
k458,male div/sep,36.0,critical/other existing credit
k879,female div/dep/mar,25.0,existing paid
k428,female div/dep/mar,41.0,critical/other existing credit
k908,male single,24.0,existing paid
k353,male single,63.0,critical/other existing credit
k303,female div/dep/mar,27.0,existing paid
k178,male single,30.0,critical/other existing credit
k673,male mar/wid,40.0,existing paid
k700,male single,30.0,existing paid
k343,male single,34.0,critical/other existing credit
k753,female div/dep/mar,29.0,critical/other existing credit
k768,female div/dep/mar,24.0,existing paid
k27,male single,29.0,delayed previously
k188,male single,27.0,existing paid
k542,male single,47.0,existing paid
k588,female div/dep/mar,21.0,existing paid
k162,female div/dep/mar,38.0,critical/other existing credit
k894,male single,27.0,delayed previously
k647,male single,66.0,existing paid
k133,male single,35.0,critical/other existing credit
k17,female div/dep/mar,44.0,existing paid
k244,male mar/wid,27.0,existing paid
k680,female div/dep/mar,30.0,existing paid
k506,male single,27.0,existing paid
k81,male single,22.0,existing paid
k746,female div/dep/mar,23.0,critical/other existing credit
k301,male single,30.0,all paid
k657,female div/dep/mar,39.0,critical/other existing credit
k852,female div/dep/mar,51.0,critical/other existing credit
k584,male single,28.0,critical/other existing credit
k821,male single,46.0,critical/other existing credit
k293,male single,42.0,existing paid
k367,male single,38.0,existing paid
k950,male single,24.0,existing paid
k338,female div/dep/mar,29.0,critical/other existing credit
k228,male single,36.0,delayed previously
k478,female div/dep/mar,20.0,existing paid
k445,male single,48.0,critical/other existing credit
k561,male mar/wid,45.0,all paid
k13,male single,38.0,existing paid
k932,male single,34.0,critical/other existing credit
k925,male single,36.0,critical/other existing credit
k899,female div/dep/mar,30.0,critical/other existing credit
k550,male single,36.0,existing paid
k281,male single,70.0,existing paid
k813,male single,36.0,existing paid
k347,male single,32.0,existing paid
k355,female div/dep/mar,33.0,existing paid
k114,female div/dep/mar,20.0,existing paid
k238,female div/dep/mar,25.0,existing paid
k721,male div/sep,31.0,critical/other existing credit
k536,male single,33.0,no credits/all paid
k403,female div/dep/mar,26.0,existing paid
k959,female div/dep/mar,34.0,delayed previously
k181,male single,33.0,existing paid
k991,male single,26.0,delayed previously
k389,female div/dep/mar,53.0,all paid
k534,male div/sep,42.0,existing paid
k425,male single,52.0,critical/other existing credit
k154,male single,31.0,existing paid
k800,male single,65.0,critical/other existing credit
k875,male div/sep,28.0,delayed previously
k940,male div/sep,30.0,delayed previously
k815,male single,40.0,all paid
k616,male single,50.0,critical/other existing credit
k319,male single,36.0,critical/other existing credit
k306,male single,31.0,critical/other existing credit
k956,female div/dep/mar,74.0,all paid
k266,male single,68.0,critical/other existing credit
k486,male mar/wid,20.0,existing paid
k697,female div/dep/mar,33.0,no credits/all paid
k755,male single,54.0,existing paid
k957,male single,34.0,no credits/all paid
k321,male single,36.0,existing paid
k383,male mar/wid,29.0,existing paid
k664,male single,21.0,existing paid
k626,female div/dep/mar,34.0,critical/other existing credit
k913,female div/dep/mar,28.0,critical/other existing credit
k88,female div/dep/mar,27.0,existing paid
k144,male single,36.0,existing paid
k177,male div/sep,40.0,delayed previously
k456,male single,52.0,critical/other existing credit
k706,male mar/wid,27.0,existing paid
k66,male single,26.0,delayed previously
k395,male mar/wid,21.0,existing paid
k942,male single,38.0,critical/other existing credit
k253,male single,38.0,critical/other existing credit
k862,male single,43.0,critical/other existing credit
k848,male single,26.0,critical/other existing credit
k766,male mar/wid,21.0,existing paid
k40,male single,55.0,existing paid
k508,male single,33.0,critical/other existing credit
k348,female div/dep/mar,45.0,existing paid
k376,male single,50.0,no credits/all paid
k947,male single,66.0,delayed previously
k556,male single,51.0,critical/other existing credit
k527,female div/dep/mar,39.0,critical/other existing credit
k613,male single,31.0,no credits/all paid
k642,male single,23.0,existing paid
k110,male div/sep,24.0,existing paid
k951,female div/dep/mar,64.0,existing paid
k426,male mar/wid,26.0,existing paid
k722,female div/dep/mar,23.0,existing paid
k12,male single,30.0,existing paid
k384,male single,32.0,delayed previously
k605,male single,30.0,existing paid
k418,male single,27.0,no credits/all paid
k444,male single,27.0,existing paid
k822,male single,53.0,existing paid
k699,male single,22.0,existing paid
k540,male single,22.0,existing paid
k213,male single,26.0,existing paid
k482,male single,51.0,existing paid
k600,male single,35.0,existing paid
k297,male mar/wid,25.0,existing paid
k774,male single,42.0,critical/other existing credit
k495,male single,30.0,existing paid
k16,male single,23.0,existing paid
k320,male div/sep,61.0,existing paid
k441,female div/dep/mar,35.0,critical/other existing credit
k157,male single,39.0,existing paid
k400,female div/dep/mar,29.0,existing paid
k910,male single,51.0,existing paid
k391,male single,24.0,no credits/all paid
k773,female div/dep/mar,27.0,critical/other existing credit
k514,female div/dep/mar,35.0,all paid
k289,male single,25.0,existing paid
k14,male single,52.0,critical/other existing credit
k583,male single,35.0,no credits/all paid
k909,male single,26.0,existing paid
k953,female div/dep/mar,22.0,existing paid
k555,female div/dep/mar,39.0,critical/other existing credit
k155,female div/dep/mar,46.0,existing paid
k874,female div/dep/mar,24.0,existing paid
k409,male single,35.0,delayed previously
k398,male single,24.0,existing paid
k767,male single,27.0,delayed previously
k747,male single,35.0,critical/other existing credit
k310,male div/sep,29.0,all paid
k56,female div/dep/mar,23.0,existing paid
k946,female div/dep/mar,57.0,critical/other existing credit
k250,male single,27.0,existing paid
k900,female div/dep/mar,55.0,existing paid
k807,male single,36.0,critical/other existing credit
k656,female div/dep/mar,57.0,critical/other existing credit
k498,male single,32.0,critical/other existing credit
k137,male single,37.0,existing paid
k840,male single,36.0,critical/other existing credit
k978,female div/dep/mar,38.0,existing paid
k999,male div/sep,45.0,existing paid
k219,male single,25.0,existing paid
k723,male single,32.0,existing paid
k887,female div/dep/mar,37.0,critical/other existing credit
k987,male single,36.0,all paid
k267,male single,28.0,existing paid
k977,male div/sep,34.0,existing paid
k339,male single,32.0,existing paid
k662,female div/dep/mar,26.0,critical/other existing credit
k270,male div/sep,49.0,existing paid
k342,female div/dep/mar,32.0,existing paid
k912,male single,29.0,existing paid
k873,male single,23.0,critical/other existing credit
k200,male single,50.0,existing paid
k949,male single,49.0,all paid
k54,male single,63.0,critical/other existing credit
k118,male div/sep,37.0,critical/other existing credit
k538,female div/dep/mar,35.0,existing paid
k15,male single,26.0,existing paid
k195,male single,31.0,delayed previously
k539,female div/dep/mar,49.0,existing paid
k702,male mar/wid,48.0,delayed previously
k679,male mar/wid,26.0,existing paid
k501,male mar/wid,28.0,existing paid
k522,female div/dep/mar,44.0,critical/other existing credit
k532,male single,56.0,critical/other existing credit
k998,male div/sep,46.0,critical/other existing credit
k770,female div/dep/mar,26.0,existing paid
k459,female div/dep/mar,20.0,existing paid
k262,male single,45.0,existing paid
k814,male single,43.0,existing paid
k869,male single,32.0,critical/other existing credit
k210,female div/dep/mar,54.0,existing paid
k659,female div/dep/mar,42.0,no credits/all paid
k989,male single,37.0,critical/other existing credit
k371,male single,49.0,critical/other existing credit
k83,male single,44.0,critical/other existing credit
k707,male div/sep,33.0,existing paid
k365,female div/dep/mar,24.0,existing paid
k335,male mar/wid,33.0,existing paid
k350,female div/dep/mar,24.0,existing paid
k878,male mar/wid,22.0,existing paid
k549,male single,40.0,existing paid
k803,male single,25.0,existing paid
k29,female div/dep/mar,26.0,existing paid
k187,male mar/wid,25.0,existing paid
k185,male single,29.0,existing paid
k296,male single,31.0,all paid
k103,male single,38.0,existing paid
k791,female div/dep/mar,48.0,existing paid
k131,male single,32.0,critical/other existing credit
k323,female div/dep/mar,27.0,delayed previously
k541,male mar/wid,28.0,critical/other existing credit
k895,male div/sep,32.0,existing paid
k252,male single,34.0,existing paid
k142,male single,28.0,existing paid
k416,female div/dep/mar,36.0,critical/other existing credit
k637,male single,39.0,critical/other existing credit
k634,male single,49.0,critical/other existing credit
k464,female div/dep/mar,34.0,existing paid
k727,male single,31.0,existing paid
k824,male single,28.0,existing paid
k639,male single,75.0,critical/other existing credit
k278,female div/dep/mar,30.0,critical/other existing credit
k844,female div/dep/mar,24.0,existing paid
k732,female div/dep/mar,24.0,critical/other existing credit
k58,male single,23.0,no credits/all paid
k366,male div/sep,44.0,critical/other existing credit
k678,female div/dep/mar,23.0,existing paid
k221,female div/dep/mar,24.0,existing paid
k183,male single,28.0,existing paid
k23,male div/sep,31.0,existing paid
k658,female div/dep/mar,24.0,critical/other existing credit
k982,female div/dep/mar,26.0,existing paid
k447,male mar/wid,25.0,existing paid
k733,male single,33.0,existing paid
k623,male single,37.0,existing paid
k783,female div/dep/mar,43.0,critical/other existing credit
k674,male single,23.0,critical/other existing credit
k415,female div/dep/mar,23.0,existing paid
k744,male single,34.0,delayed previously
k705,male single,32.0,critical/other existing credit
k143,female div/dep/mar,23.0,existing paid
k984,female div/dep/mar,29.0,existing paid
k67,male single,38.0,critical/other existing credit
k392,male single,28.0,no credits/all paid
k222,male single,46.0,existing paid
k867,male single,23.0,existing paid
k687,male single,49.0,critical/other existing credit
k850,male single,26.0,delayed previously
k898,male mar/wid,28.0,existing paid
k230,female div/dep/mar,23.0,existing paid
k604,male single,61.0,existing paid
k961,male single,37.0,existing paid
k433,female div/dep/mar,36.0,delayed previously
k851,male mar/wid,21.0,existing paid
k823,male single,25.0,existing paid
k729,male single,36.0,existing paid
k24,male single,27.0,critical/other existing credit
k737,female div/dep/mar,22.0,existing paid
k505,male single,42.0,existing paid
k835,female div/dep/mar,40.0,existing paid
k141,male single,36.0,existing paid
k436,male single,33.0,critical/other existing credit
k434,female div/dep/mar,23.0,critical/other existing credit
k906,male single,63.0,critical/other existing credit
k215,female div/dep/mar,60.0,all paid
k496,female div/dep/mar,37.0,all paid
k754,male mar/wid,34.0,delayed previously
k566,male single,36.0,delayed previously
k450,male single,57.0,existing paid
k466,female div/dep/mar,52.0,critical/other existing credit
k688,male single,39.0,existing paid
k120,female div/dep/mar,38.0,existing paid
k324,female div/dep/mar,25.0,existing paid
k113,male single,26.0,existing paid
k165,male single,26.0,delayed previously
k463,female div/dep/mar,25.0,critical/other existing credit
k380,female div/dep/mar,21.0,existing paid
k842,male single,40.0,critical/other existing credit
k86,male single,27.0,critical/other existing credit
k760,female div/dep/mar,27.0,existing paid
k481,male mar/wid,30.0,existing paid
k524,female div/dep/mar,19.0,existing paid
k726,male single,39.0,existing paid
k609,female div/dep/mar,31.0,critical/other existing credit
k438,male single,31.0,critical/other existing credit
k669,male single,32.0,delayed previously
k948,female div/dep/mar,55.0,existing paid
k372,male mar/wid,46.0,critical/other existing credit
k986,male div/sep,46.0,existing paid
k719,female div/dep/mar,43.0,critical/other existing credit
k795,male mar/wid,39.0,existing paid
k599,male mar/wid,28.0,critical/other existing credit
k882,male single,27.0,delayed previously
k476,male single,27.0,delayed previously
k902,male single,43.0,delayed previously
k798,male mar/wid,22.0,existing paid
k106,male single,43.0,critical/other existing credit
k503,male mar/wid,27.0,existing paid
k370,male div/sep,26.0,existing paid
k126,male mar/wid,28.0,critical/other existing credit
k337,female div/dep/mar,20.0,existing paid
k201,male single,35.0,critical/other existing credit
k374,male single,42.0,critical/other existing credit
k65,male single,40.0,existing paid
k327,female div/dep/mar,35.0,existing paid
k349,male single,35.0,critical/other existing credit
k502,male single,33.0,existing paid
k77,female div/dep/mar,23.0,delayed previously
k621,female div/dep/mar,31.0,existing paid
k877,female div/dep/mar,33.0,existing paid
k981,female div/dep/mar,20.0,existing paid
k331,male single,30.0,existing paid
k901,male single,47.0,critical/other existing credit
k472,male single,34.0,delayed previously
k916,female div/dep/mar,25.0,existing paid
k715,male mar/wid,21.0,existing paid
k6,male single,29.0,critical/other existing credit
k362,male single,46.0,critical/other existing credit
k251,male single,20.0,existing paid
k227,female div/dep/mar,55.0,critical/other existing credit
k537,male single,74.0,existing paid
k404,male single,29.0,existing paid
k592,male single,36.0,critical/other existing credit
k928,male div/sep,33.0,critical/other existing credit
k479,male single,25.0,existing paid
k831,male mar/wid,25.0,existing paid
k684,male mar/wid,23.0,existing paid
k109,female div/dep/mar,37.0,critical/other existing credit
k211,male single,65.0,critical/other existing credit
k937,female div/dep/mar,26.0,all paid
k309,male single,39.0,existing paid
k923,female div/dep/mar,30.0,existing paid
k573,male single,29.0,delayed previously
k247,male single,41.0,existing paid
k455,female div/dep/mar,30.0,critical/other existing credit
k564,female div/dep/mar,41.0,critical/other existing credit
k408,female div/dep/mar,34.0,existing paid
k460,male single,35.0,existing paid
k10,female div/dep/mar,55.0,existing paid
k954,male mar/wid,61.0,delayed previously
k979,male single,30.0,critical/other existing credit
k749,female div/dep/mar,29.0,existing paid
k411,male single,34.0,no credits/all paid
k52,male single,35.0,existing paid
k199,male single,31.0,existing paid
k87,female div/dep/mar,29.0,existing paid
k214,male single,36.0,critical/other existing credit
k591,male single,35.0,existing paid
k265,female div/dep/mar,27.0,existing paid
k491,male single,32.0,existing paid
k718,male single,37.0,existing paid
k493,male single,36.0,existing paid
k603,female div/dep/mar,34.0,existing paid
k509,male single,38.0,existing paid
k735,male single,34.0,existing paid
k756,male single,63.0,existing paid
k483,female div/dep/mar,29.0,delayed previously
k786,male single,32.0,delayed previously
k976,female div/dep/mar,26.0,delayed previously
k881,male single,35.0,delayed previously
k429,male mar/wid,22.0,existing paid
k578,female div/dep/mar,23.0,existing paid
k775,male single,28.0,existing paid
k519,male single,36.0,existing paid
k526,male mar/wid,33.0,critical/other existing credit
k826,female div/dep/mar,26.0,no credits/all paid
k563,male single,24.0,existing paid
k838,male single,25.0,existing paid
k387,male single,39.0,existing paid
k666,male single,44.0,critical/other existing credit
k135,female div/dep/mar,23.0,critical/other existing credit
k788,male single,26.0,existing paid
k868,female div/dep/mar,57.0,existing paid
k471,female div/dep/mar,30.0,delayed previously
k812,male single,44.0,critical/other existing credit
k743,male single,47.0,delayed previously
k421,male single,52.0,existing paid
k736,female div/dep/mar,62.0,existing paid
k745,male single,35.0,existing paid
k275,male single,26.0,existing paid
k930,male single,26.0,critical/other existing credit
k116,female div/dep/mar,42.0,no credits/all paid
k904,female div/dep/mar,27.0,critical/other existing credit
k412,male single,38.0,existing paid
k475,male single,39.0,critical/other existing credit
k988,male mar/wid,20.0,existing paid
k636,male single,29.0,existing paid
k646,male single,40.0,critical/other existing credit
k282,male mar/wid,32.0,existing paid
k59,male div/sep,28.0,critical/other existing credit
k194,female div/dep/mar,27.0,existing paid
k473,male single,42.0,existing paid
k853,male div/sep,49.0,existing paid
k57,male single,38.0,critical/other existing credit
k635,female div/dep/mar,24.0,existing paid
k994,male single,27.0,existing paid
k870,male single,36.0,critical/other existing credit
k866,male single,34.0,all paid
k922,male mar/wid,28.0,existing paid
k752,male single,45.0,existing paid
k379,male single,26.0,existing paid
k972,male single,32.0,existing paid
k115,male single,26.0,existing paid
k189,male mar/wid,20.0,delayed previously
k905,male single,54.0,existing paid
k381,female div/dep/mar,37.0,critical/other existing credit
k43,male single,40.0,critical/other existing credit
k84,female div/dep/mar,23.0,critical/other existing credit
k710,male single,43.0,existing paid
k245,male single,36.0,critical/other existing credit
k470,male single,44.0,critical/other existing credit
k298,female div/dep/mar,24.0,existing paid
k864,male single,53.0,no credits/all paid
k288,female div/dep/mar,23.0,existing paid
k190,female div/dep/mar,26.0,existing paid
k101,male single,30.0,existing paid
k64,female div/dep/mar,31.0,critical/other existing credit
k261,male single,42.0,critical/other existing credit
k693,male div/sep,31.0,existing paid
k739,male single,41.0,existing paid
k797,male single,32.0,existing paid
k917,female div/dep/mar,28.0,existing paid
k273,male mar/wid,41.0,delayed previously
k284,male mar/wid,26.0,existing paid
k993,male single,25.0,existing paid
k180,male div/sep,33.0,critical/other existing credit
k551,female div/dep/mar,75.0,existing paid
k285,female div/dep/mar,37.0,critical/other existing credit
k328,male single,42.0,existing paid
k193,female div/dep/mar,45.0,existing paid
k385,male mar/wid,23.0,existing paid
k589,male single,60.0,delayed previously
k996,male single,31.0,existing paid
k96,male single,34.0,existing paid
k158,male single,61.0,critical/other existing credit
k90,male single,43.0,delayed previously
k966,female div/dep/mar,37.0,critical/other existing credit
k375,male single,32.0,existing paid
k558,female div/dep/mar,24.0,all paid
k344,male single,35.0,critical/other existing credit
k334,female div/dep/mar,23.0,critical/other existing credit
k585,male single,45.0,all paid
k971,male mar/wid,34.0,existing paid
k830,male single,27.0,critical/other existing credit
k439,female div/dep/mar,67.0,existing paid
k630,male single,22.0,existing paid
k51,female div/dep/mar,28.0,no credits/all paid
k399,female div/dep/mar,29.0,no credits/all paid
k801,male single,27.0,all paid
k590,male single,31.0,critical/other existing credit
k269,male single,49.0,existing paid
k176,male single,24.0,all paid
k336,female div/dep/mar,29.0,delayed previously
k378,male single,37.0,existing paid
k4,male single,37.0,delayed previously
k91,female div/dep/mar,23.0,delayed previously
k517,male div/sep,36.0,existing paid
k255,male single,34.0,critical/other existing credit
k545,male single,41.0,existing paid
k750,female div/dep/mar,31.0,existing paid
k983,female div/dep/mar,23.0,existing paid
k2,male single,38.0,critical/other existing credit
k34,female div/dep/mar,26.0,existing paid
k606,female div/dep/mar,22.0,existing paid
k216,male single,27.0,existing paid
k499,female div/dep/mar,24.0,critical/other existing credit
k893,female div/dep/mar,27.0,existing paid
k645,female div/dep/mar,33.0,critical/other existing credit
k638,male div/sep,27.0,critical/other existing credit
k304,male mar/wid,27.0,existing paid
k794,male single,30.0,critical/other existing credit
k653,male single,49.0,critical/other existing credit
k44,female div/dep/mar,26.0,existing paid
k163,male single,33.0,existing paid
k512,female div/dep/mar,52.0,existing paid
k140,female div/dep/mar,20.0,existing paid
k305,male single,36.0,critical/other existing credit
k316,male single,21.0,existing paid
k714,male mar/wid,47.0,existing paid
k485,male single,60.0,critical/other existing credit
k520,female div/dep/mar,58.0,critical/other existing credit
k260,female div/dep/mar,42.0,delayed previously
k787,female div/dep/mar,36.0,existing paid
k654,female div/dep/mar,20.0,existing paid
k880,male single,40.0,all paid
k407,female div/dep/mar,32.0,all paid
k248,female div/dep/mar,23.0,existing paid
k793,male single,36.0,no credits/all paid
k208,male single,31.0,critical/other existing credit
k572,male single,32.0,delayed previously
k562,female div/dep/mar,45.0,existing paid
k234,female div/dep/mar,30.0,existing paid
k333,female div/dep/mar,34.0,all paid
k121,female div/dep/mar,28.0,existing paid
k525,female div/dep/mar,23.0,existing paid
k748,male single,22.0,all paid
k668,male single,74.0,critical/other existing credit
k76,female div/dep/mar,50.0,existing paid
k117,male single,33.0,existing paid
k69,male single,45.0,existing paid
k500,female div/dep/mar,22.0,existing paid
k26,female div/dep/mar,48.0,existing paid
k38,female div/dep/mar,29.0,existing paid
k340,female div/dep/mar,22.0,all paid
k446,female div/dep/mar,22.0,delayed previously
k624,male single,48.0,no credits/all paid
k751,male single,27.0,delayed previously
k36,male single,37.0,critical/other existing credit
k153,female div/dep/mar,21.0,existing paid
k169,male div/sep,49.0,existing paid
k776,male single,27.0,critical/other existing credit
k888,male single,32.0,critical/other existing credit
k235,male div/sep,38.0,existing paid
k554,female div/dep/mar,22.0,existing paid
k258,male single,65.0,existing paid
k203,male single,35.0,existing paid
k431,male single,41.0,existing paid
k816,male single,29.0,all paid
k644,male single,36.0,critical/other existing credit
k883,male single,64.0,existing paid
k119,female div/dep/mar,28.0,existing paid
k960,male single,44.0,all paid
k405,male single,23.0,existing paid
k941,female div/dep/mar,19.0,existing paid
k695,female div/dep/mar,25.0,existing paid
k402,male single,47.0,existing paid
k742,female div/dep/mar,28.0,existing paid
k0,male single,21.0,delayed previously
k152,female div/dep/mar,34.0,existing paid
k307,male single,26.0,delayed previously
k629,female div/dep/mar,27.0,existing paid
k414,male single,38.0,existing paid
k308,male single,40.0,existing paid
k173,male mar/wid,33.0,critical/other existing credit
k33,male mar/wid,32.0,critical/other existing credit
k8,male single,27.0,delayed previously
k382,male div/sep,32.0,no credits/all paid
k792,female div/dep/mar,26.0,existing paid
k529,male single,38.0,existing paid
k422,male single,40.0,existing paid
k897,male single,50.0,existing paid
k515,male single,37.0,existing paid
k990,male single,45.0,existing paid
k93,male single,42.0,delayed previously
k918,male single,35.0,critical/other existing credit
k280,male single,22.0,existing paid
k95,male single,41.0,existing paid
k829,male single,37.0,existing paid
k593,female div/dep/mar,28.0,no credits/all paid
k936,male single,41.0,critical/other existing credit
k907,male mar/wid,23.0,existing paid
k257,male mar/wid,23.0,existing paid
k21,male single,50.0,existing paid
k171,male single,35.0,delayed previously
k677,female div/dep/mar,50.0,critical/other existing credit
k811,male single,27.0,critical/other existing credit
k595,male single,34.0,all paid
k225,female div/dep/mar,27.0,all paid
k18,male single,43.0,critical/other existing credit
k420,male single,47.0,critical/other existing credit
k886,male single,27.0,critical/other existing credit
k546,male single,31.0,existing paid
k781,male single,42.0,existing paid
k796,male mar/wid,24.0,critical/other existing credit
k513,male single,41.0,delayed previously
k98,female div/dep/mar,26.0,critical/other existing credit
k929,male single,33.0,critical/other existing credit
k315,male mar/wid,24.0,existing paid
k49,male single,64.0,existing paid
k617,female div/dep/mar,26.0,existing paid
k192,female div/dep/mar,56.0,existing paid
k876,male single,37.0,existing paid
k233,male mar/wid,33.0,delayed previously
k151,male mar/wid,47.0,critical/other existing credit
k607,male single,31.0,delayed previously
k712,male single,34.0,existing paid
k72,male single,27.0,critical/other existing credit
k477,male single,30.0,delayed previously
k530,male single,35.0,existing paid
k570,male single,31.0,existing paid
k860,male div/sep,25.0,critical/other existing credit
k587,female div/dep/mar,25.0,existing paid
k825,male single,29.0,existing paid
k351,male single,44.0,critical/other existing credit
k242,male single,28.0,existing paid
k837,male single,50.0,existing paid
k1,male single,29.0,existing paid
k89,female div/dep/mar,38.0,critical/other existing credit
k594,male single,24.0,critical/other existing credit
k145,male single,40.0,existing paid
k892,female div/dep/mar,29.0,existing paid
k9,male single,46.0,critical/other existing credit
k924,female div/dep/mar,47.0,existing paid
k111,male single,41.0,delayed previously
k419,female div/dep/mar,32.0,existing paid
k318,female div/dep/mar,35.0,existing paid
k890,male single,24.0,existing paid
k817,female div/dep/mar,25.0,no credits/all paid
k521,female div/dep/mar,25.0,existing paid
k632,male single,37.0,existing paid
k967,male single,32.0,critical/other existing credit
k148,female div/dep/mar,35.0,all paid
k390,male single,46.0,existing paid
k377,male single,25.0,critical/other existing credit
k218,male single,27.0,existing paid
k99,male single,63.0,critical/other existing credit
k124,male single,40.0,critical/other existing credit
k548,male single,32.0,existing paid
k352,male single,31.0,critical/other existing credit
k601,male mar/wid,31.0,no credits/all paid
k720,male single,34.0,no credits/all paid
k295,female div/dep/mar,24.0,all paid
k903,female div/dep/mar,24.0,existing paid
k523,female div/dep/mar,66.0,existing paid
k123,female div/dep/mar,21.0,existing paid
k368,female div/dep/mar,41.0,critical/other existing credit
k184,male mar/wid,47.0,critical/other existing credit
k394,female div/dep/mar,25.0,existing paid
k857,female div/dep/mar,59.0,all paid
k45,male div/sep,36.0,critical/other existing credit
k271,male single,33.0,delayed previously
k544,male single,21.0,existing paid
k694,female div/dep/mar,44.0,existing paid
k452,female div/dep/mar,28.0,existing paid
k197,female div/dep/mar,37.0,critical/other existing credit
k357,female div/dep/mar,29.0,all paid
k690,female div/dep/mar,23.0,existing paid
k576,male single,35.0,existing paid
k150,male single,45.0,critical/other existing credit
k25,female div/dep/mar,26.0,no credits/all paid
k665,male single,32.0,all paid
k682,male single,23.0,all paid
k175,male single,41.0,existing paid
k806,male single,22.0,all paid
k805,male single,30.0,critical/other existing credit
k974,male single,28.0,critical/other existing credit
