Key_2_4,V8,V28
k275,2094532,0
k989,12817,0
k848,44478,0
k362,1972773,0
k1048,1847157,0
k1858,1847464,0
k32,16028,0
k1386,1877827,0
k990,1720418,0
k1224,1751637,0
k84,1508093,0
k545,1976551,0
k22,1936241,0
k622,1758655,0
k1845,1579135,0
k1934,1546189,0
k1580,1868220,0
k460,117325,0
k947,1835252,0
k60,1302540,0
k49,1798470,0
k130,1630309,0
k1810,1315891,0
k565,1567858,0
k713,1814409,0
k1181,1381722,0
k759,1375431,0
k1601,1297285,0
k1659,1398637,0
k1316,68416,0
k656,86417,0
k1197,1187807,0
k551,1327403,0
k1846,101435,0
k1358,1339579,0
k1538,1261668,0
k1024,1642086,0
k1774,1431766,0
k196,1402972,0
k1079,1635177,0
k200,1550152,0
k1702,1482862,0
k1646,1661835,0
k193,1691554,0
k642,1424210,0
k1728,1529932,0
k685,1507625,0
k1352,1245388,0
k1327,1320194,0
k1096,1577022,0
k1790,1442027,0
k1869,1459713,0
k805,1507763,0
k1722,1585785,0
k543,1456542,0
k126,1270726,0
k65,1308444,0
k1522,1508999,0
k1938,1248379,0
k800,1383987,0
k1011,1299720,0
k83,1311391,0
k458,1361903,0
k1126,1515722,0
k1756,1367596,0
k1357,1293558,0
k542,1245114,0
k1439,1505833,0
k23,1439221,0
k1118,1452456,0
k390,1330937,0
k879,1487763,0
k1398,1196792,0
k226,1098162,0
k1203,1239926,0
k1514,1303229,0
k1535,1246740,0
k852,1238454,0
k1185,1068391,0
k38,1338028,0
k1576,1133850,0
k1777,582040,0
k1503,513464,0
k814,1083941,0
k154,1273434,0
k1176,527906,0
k1136,601643,0
k164,1084425,0
k653,637883,0
k1873,598575,0
k1287,1095577,0
k236,1059263,0
k493,1001426,0
k291,1130960,0
k1499,971036,0
k632,259127,0
k1712,593650,0
k1600,996980,0
k1180,598862,0
k403,764,0
k97,491662,0
k487,1025103,0
k610,553974,0
k230,618954,0
k1217,245067,0
k404,353617,0
k1125,678752,0
k1306,945879,0
k304,889727,0
k1624,588758,0
k701,701931,0
k1804,497404,0
k974,600689,0
k457,470165,0
k77,47481,0
k684,33858,0
k105,427024,0
k524,408392,0
k192,439309,0
k1317,457632,0
k858,312375,0
k1512,407966,0
k71,12531,0
k429,432500,0
k731,445047,0
k1482,470618,0
k1294,343029,0
k939,378154,0
k717,380538,0
k1667,391378,0
k1824,384266,0
k601,407075,0
k374,342248,0
k144,379850,0
k358,354240,0
k1924,426267,0
k1007,379668,0
k158,450619,0
k1620,421512,0
k1152,413005,0
k751,417578,0
k1486,456908,0
k1023,407163,0
k1838,522331,0
k1723,659058,0
k1120,649441,0
k654,645016,0
k1775,648220,0
k1195,28034,0
k1477,612067,0
k341,591835,0
k300,608466,0
k1374,25309,0
k895,24389,0
k1818,618937,0
k483,627913,0
k1865,637317,0
k944,600867,0
k1256,618605,0
k259,651641,0
k1177,622760,0
k1175,647587,0
k1348,644765,0
k10,626256,0
k620,637707,0
k762,638448,0
k1183,301138,0
k520,588714,0
k1417,266914,0
k673,598890,0
k1215,246168,0
k951,241083,0
k438,589956,0
k699,610139,0
k909,263590,0
k129,658914,0
k430,660910,0
k575,688430,0
k410,656298,0
k1920,659350,0
k958,723789,0
k1381,654684,0
k290,746545,0
k599,671353,0
k1599,732196,0
k1721,686124,0
k1606,227896,0
k813,677554,0
k1036,645839,0
k1582,657020,0
k207,612746,0
k1578,669161,0
k587,647595,0
k91,590664,0
k1729,641502,0
k86,672664,0
k454,705056,0
k1305,670952,0
k1807,674120,0
k293,691010,0
k67,686356,0
k1892,685447,0
k541,255,0
k50,701946,0
k1440,679238,0
k1278,700391,0
k223,687345,0
k894,685894,0
k353,699635,0
k1566,674367,0
k1872,684731,0
k1108,689961,0
k663,666047,0
k774,230162,0
k1252,666662,0
k413,669614,0
k903,709363,0
k1105,684236,0
k1817,676077,0
k1768,735371,0
k1635,725465,0
k62,688556,0
k1609,750685,0
k1670,724819,0
k1647,723643,0
k1504,349157,0
k952,687299,0
k825,676562,0
k578,675748,0
k1202,666455,0
k510,683149,0
k1533,722716,0
k156,706929,0
k1928,624180,0
k576,647965,0
k890,250,0
k1913,626586,0
k1338,614522,0
k1830,649801,0
k1631,654358,0
k313,658162,0
k1219,711671,0
k624,639433,0
k867,640970,0
k697,675659,0
k1034,602131,0
k1284,648910,0
k634,269308,0
k602,588321,0
k0,673434,0
k242,674326,0
k463,648169,0
k392,579951,0
k455,618320,0
k1476,649139,0
k598,633606,0
k906,626007,0
k1491,208514,0
k525,660758,0
k1362,690169,0
k1828,660291,0
k722,654634,0
k725,635284,0
k1247,685717,0
k1451,654471,0
k1882,30451,0
k1461,648030,0
k1196,622528,0
k1143,608295,0
k1541,26683,0
k136,668126,0
k1101,677593,0
k1042,669129,0
k1886,659881,0
k971,635475,0
k613,682403,0
k901,723207,0
k1201,693100,0
k132,20714,0
k1413,734568,0
k1444,685255,0
k1802,649137,0
k1232,661448,0
k181,667465,0
k1785,581466,0
k125,584291,0
k853,652005,0
k1857,598976,0
k1662,618846,0
k383,617639,0
k691,614756,0
k655,435821,0
k1853,456305,0
k327,516343,0
k1438,477354,0
k1690,439881,0
k1339,473046,0
k668,431127,0
k121,373412,0
k693,474761,0
k57,479531,0
k1739,417036,0
k1002,425840,0
k1073,419968,0
k1087,1445817,0
k1044,1594353,0
k803,1328712,0
k1740,1732196,0
k1062,1741571,0
k1361,246531,0
k716,260660,0
k648,265172,0
k703,292575,0
k1286,499944,0
k522,260241,0
k163,633741,0
k1542,819375,0
k1507,773694,0
k1277,635678,0
k273,30104,0
k1113,7479,0
k1508,2871,0
k529,9819,0
k1275,5558,0
k1258,2246,0
k748,2274,0
k271,1537,0
k1297,1563,0
k1686,1543,0
k1719,1528,0
k1831,1504,0
k1373,1808,0
k1579,1541,0
k248,1923,0
k886,1539,0
k233,7104,0
k946,1509,0
k1759,1585,0
k596,1398,0
k1555,2181,0
k1744,1522,0
k1057,1335,0
k1628,1063,0
k705,958,0
k260,950,0
k737,1059,0
k1703,718,0
k651,775,0
k54,1233,0
k53,2121,0
k1123,2183,0
k1184,3576,0
k74,2042,0
k1059,7595,0
k312,2034,0
k361,2319,0
k221,2193,0
k1709,3330,0
k649,2318,0
k1540,2267,0
k1376,2020,0
k546,2214,0
k808,2069,0
k1208,2157,0
k1254,2384,0
k984,2280,0
k1754,2370,0
k1929,2198,0
k650,1967,0
k892,1990,0
k1781,4131,0
k611,2025,0
k914,2001,0
k1400,2015,0
k284,2633,0
k1820,2127,0
k1300,2926,0
k422,6058,0
k372,1961,0
k81,2310,0
k250,2219,0
k478,2062,0
k407,2046,0
k26,2167,0
k945,2420,0
k1016,2683,0
k1669,3341,0
k40,3431,0
k633,2351,0
k1028,2240,0
k948,2028,0
k744,2076,0
k409,25809,0
k1653,39293,0
k982,33449,0
k431,21354,0
k1112,61608,0
k804,67901,0
k772,83011,0
k1039,16920,0
k1531,11608,0
k1867,16441,0
k1117,21073,0
k515,17271,0
k378,8549,0
k1325,10584,0
k346,8542,0
k475,7486,0
k857,14260,0
k1743,7385,0
k364,7112,0
k1261,17217,0
k1334,6616,0
k1129,15711,0
k925,10329,0
k659,7143,0
k1717,8685,0
k878,10188,0
k1715,188767,0
k55,11382,0
k1075,13897,0
k501,60109,0
k1321,80541,0
k1155,64701,0
k591,118721,0
k1242,125338,0
k1161,53536,0
k1223,88065,0
k544,36546,0
k51,65860,0
k381,56735,0
k1801,55666,0
k561,103558,0
k1086,81625,0
k1243,121633,0
k635,77840,0
k859,98616,0
k175,71112,0
k1902,11941,0
k1915,12094,0
k847,9584,0
k552,6560,0
k1282,12919,0
k452,18877,0
k414,7990,0
k924,10196,0
k444,10024,0
k1328,12652,0
k1526,196003,0
k636,4533,0
k1347,62182,0
k1923,12792,0
k1319,71337,0
k671,16093,0
k1773,26419,0
k133,13096,0
k1099,37703,0
k1360,21408,0
k929,14760,0
k28,22581,0
k107,13996,0
k1556,14742,0
k678,24230,0
k791,12221,0
k770,18466,0
k1041,19565,0
k143,62225,0
k822,16873,0
k203,19537,0
k884,30271,0
k1049,12782,0
k1911,13938,0
k29,5345,0
k643,9432,0
k1636,3553,0
k1762,5226,0
k258,4409,0
k966,4108,0
k279,6760,0
k865,4442,0
k82,4304,0
k1610,3094,0
k842,7367,0
k1933,7736,0
k119,10923,0
k1664,13696,0
k1228,6235,0
k1098,11300,0
k1311,65563,0
k785,9363,0
k157,6567,0
k1760,6947,0
k135,18674,0
k370,8457,0
k1313,9124,0
k1478,8996,0
k917,6241,0
k433,17619,0
k979,16061,0
k162,12598,0
k215,17124,0
k819,11247,0
k817,33217,0
k1903,5249,0
k1204,15501,0
k911,8047,0
k1323,9527,0
k104,6459,0
k1405,61890,0
k626,7537,0
k640,19728,0
k44,61753,0
k863,20124,0
k1388,7964,0
k912,10416,0
k424,9571,0
k1868,13355,0
k1577,10036,0
k355,15517,0
k288,6652,0
k1469,8943,0
k147,18196,0
k733,22388,0
k1786,7387,0
k1350,6294,0
k934,11881,0
k1904,7394,0
k1784,6412,0
k1302,7579,0
k736,70737,0
k1693,3507,0
k1414,4717,0
k469,3944,0
k690,99671,0
k618,100842,0
k1342,6385,0
k239,7774,0
k695,23784,0
k1115,8757,0
k1747,6028,0
k639,8375,0
k1515,25833,0
k1513,5716,0
k1879,8851,0
k468,6860,0
k1682,12127,0
k755,34485,0
k385,7550,0
k956,14330,0
k377,9498,0
k100,103662,0
k1150,5816,0
k1157,13196,0
k168,7052,0
k1615,9767,0
k1605,6074,0
k783,7747,0
k1080,9381,0
k334,14032,0
k1027,8107,0
k1585,5857,0
k942,11431,0
k595,7881,0
k1418,8558,0
k1665,10504,0
k1565,6999,0
k1561,13505,0
k1621,7555,0
k1289,18218,0
k235,21349,0
k788,9848,0
k1532,12413,0
k474,9137,0
k765,12530,0
k1455,14087,0
k887,11922,0
k178,6525,0
k1767,10286,0
k1852,5779,0
k298,28061,0
k1415,13464,0
k96,118187,0
k1019,4695,0
k896,26213,0
k1683,5966,0
k833,7390,0
k1811,24834,0
k1164,20916,0
k548,17836,0
k625,41476,0
k1883,12847,0
k771,37025,0
k738,11868,0
k116,11447,0
k287,14163,0
k1330,6884,0
k1343,6811,0
k786,16601,0
k197,23122,0
k532,9120,0
k1617,11973,0
k1158,17564,0
k777,7182,0
k1656,14689,0
k1711,8091,0
k816,7202,0
k1847,8532,0
k1076,8132,0
k9,7519,0
k1611,37664,0
k299,9693,0
k1332,9431,0
k560,6887,0
k1146,12886,0
k481,6684,0
k954,2588,0
k1839,4561,0
k1816,11801,0
k356,10188,0
k246,13680,0
k1128,3963,0
k1604,3772,0
k1796,2918,0
k1406,4664,0
k111,25800,0
k1349,6582,0
k1622,9522,0
k68,14536,0
k995,15761,0
k1880,5483,0
k405,7634,0
k1922,6342,0
k581,10683,0
k969,5795,0
k500,7890,0
k512,7502,0
k1375,12367,0
k425,15073,0
k617,6913,0
k428,6528,0
k700,12284,0
k1602,6651,0
k711,55228,0
k1270,7467,0
k1787,6543,0
k437,10797,0
k380,10694,0
k834,10680,0
k1914,9037,0
k1812,5328,0
k1271,8949,0
k660,12773,0
k426,6682,0
k527,8166,0
k492,7551,0
k245,6005,0
k504,9643,0
k1307,12374,0
k1110,14809,0
k465,9968,0
k854,3355,0
k672,6884,0
k750,29865,0
k734,117153,0
k1488,260185,0
k1301,19435,0
k869,6588,0
k1273,27851,0
k792,7391,0
k1058,44484,0
k217,6661,0
k183,9136,0
k1210,11861,0
k1855,10137,0
k603,19901,0
k1173,19549,0
k1442,68349,0
k109,105560,0
k205,60112,0
k276,991612,0
k607,18480,0
k1420,5577,0
k63,5141,0
k1925,9216,0
k198,23916,0
k923,26032,0
k1250,10095,0
k1257,27364,0
k797,7330,0
k1581,7758,0
k531,25269,0
k880,46379,0
k1887,14403,0
k186,22467,0
k1137,19616,0
k1748,17898,0
k623,21548,0
k1738,28906,0
k470,14912,0
k1303,11469,0
k1645,15848,0
k970,17433,0
k161,36933,0
k1649,22017,0
k1730,16916,0
k315,19457,0
k547,22708,0
k1619,34001,0
k782,16020,0
k1312,29349,0
k1237,29526,0
k1425,11601,0
k1298,15785,0
k1064,12174,0
k440,58906,0
k1456,336567,0
k1156,21547,0
k1166,12587,0
k85,11442,0
k1345,48231,0
k665,14610,0
k1070,17274,0
k1148,14234,0
k1151,54324,0
k1230,11998,0
k1672,9367,0
k855,21865,0
k436,10152,0
k5,17592,0
k743,75006,0
k1931,19132,0
k391,16983,0
k137,348957,0
k846,606744,0
k938,142791,0
k784,56864,0
k1121,62823,0
k421,104560,0
k1851,100112,0
k1,53142,0
k449,37200,0
k309,31583,0
k1326,27761,0
k1186,23488,0
k411,11425,0
k375,28955,0
k1697,10269,0
k173,16566,0
k1681,12560,0
k826,35066,0
k1554,11471,0
k1689,14669,0
k1494,11979,0
k283,11890,0
k1919,12063,0
k828,11562,0
k384,13135,0
k729,11778,0
k1480,13800,0
k1393,33577,0
k1026,12047,0
k1218,24172,0
k1596,19002,0
k397,12705,0
k1794,22134,0
k1249,10704,0
k555,10115,0
k1209,37889,0
k915,53525,0
k518,14047,0
k142,9062,0
k973,7974,0
k1644,11169,0
k1627,14874,0
k1309,7273,0
k818,5867,0
k1227,7312,0
k513,21661,0
k1863,10675,0
k482,18986,0
k373,23075,0
k234,16308,0
k1899,15000,0
k927,15951,0
k1144,13904,0
k439,10318,0
k689,17588,0
k999,11743,0
k101,10605,0
k1724,10613,0
k1165,14896,0
k1895,10136,0
k220,12348,0
k1462,14121,0
k1614,14312,0
k1823,10284,0
k118,9714,0
k776,15643,0
k1322,16835,0
k619,11804,0
k506,11084,0
k480,19028,0
k577,29612,0
k1791,31551,0
k1119,12571,0
k1094,22254,0
k670,37460,0
k94,13292,0
k657,17532,0
k1772,11880,0
k323,16861,0
k1369,10747,0
k1704,20658,0
k1885,23267,0
k1866,27036,0
k30,45215,0
k1055,33682,0
k1127,41956,0
k1053,20262,0
k140,12417,0
k957,64288,0
k120,21649,0
k1054,84630,0
k1428,35912,0
k574,15121,0
k891,16538,0
k1586,15515,0
k1436,15524,0
k823,11579,0
k1551,16975,0
k606,18644,0
k1492,25516,0
k597,79690,0
k1521,58587,0
k4,21321,0
k1806,18238,0
k787,10350,0
k666,11278,0
k498,14626,0
k1474,30422,0
k348,10893,0
k326,21300,0
k985,21603,0
k675,12193,0
k1383,48309,0
k1255,12351,0
k1452,16076,0
k1692,25096,0
k177,97966,0
k1266,15672,0
k1937,57020,0
k980,296673,0
k368,515942,0
k1936,271889,0
k1367,26745,0
k664,38401,0
k709,1826,0
k1891,591111,0
k686,617708,0
k1761,5361,0
k588,8720,0
k514,9105,0
k36,22991,0
k1149,9110,0
k943,17101,0
k1836,11491,0
k882,39648,0
k1066,21326,0
k485,13374,0
k1907,23894,0
k72,716869,0
k1056,35308,0
k1650,140521,0
k503,10340,0
k872,13987,0
k382,17566,0
k328,14533,0
k25,20323,0
k113,12881,0
k1262,22532,0
k415,17419,0
k1463,24476,0
k871,18711,0
k3,34142,0
k432,18047,0
k1850,18013,0
k1906,14353,0
k1648,21380,0
k1716,14618,0
k1875,10957,0
k1927,5729,0
k1598,7446,0
k277,12909,0
k1190,29386,0
k325,76438,0
k1199,14838,0
k187,23697,0
k21,15146,0
k477,16759,0
k1399,13299,0
k741,21545,0
k1771,21640,0
k724,16258,0
k190,26197,0
k679,17587,0
k1749,19311,0
k811,13577,0
k1571,18123,0
k184,39987,0
k20,24783,0
k1234,24530,0
k1290,22591,0
k1194,12543,0
k1174,22232,0
k247,30966,0
k1487,20512,0
k1658,37264,0
k160,26849,0
k505,27597,0
k1497,28445,0
k1574,46226,0
k1377,25231,0
k1912,6337,0
k1320,12693,0
k1279,10868,0
k739,23009,0
k1557,5712,0
k1861,29885,0
k749,31689,0
k1344,15080,0
k1037,13351,0
k1031,95600,0
k1718,21321,0
k829,202897,0
k165,6391,0
k256,39202,0
k975,17260,0
k1753,128883,0
k1757,22761,0
k1862,16504,0
k1544,89110,0
k960,3489,0
k1939,124716,0
k1779,61209,0
k1187,197365,0
k1708,104555,0
k1921,10500,0
k809,5744,0
k490,6013,0
k228,9512,0
k491,5842,0
k1797,5917,0
k981,5111,0
k1490,8170,0
k1918,5003,0
k266,6318,0
k1548,361568,0
k241,1290423,0
k301,1096472,0
k244,50750,0
k1433,724380,0
k363,111196,0
k637,173468,0
k1844,1689009,0
k1003,201109,0
k308,39231,0
k286,22315,0
k628,62384,0
k476,43968,0
k211,15364,0
k1505,25843,0
k1012,345545,0
k1550,24816,0
k1616,14877,0
k509,14029,0
k1905,12886,0
k1285,11560,0
k1047,96340,0
k1168,63000,0
k1239,68556,0
k1380,297086,0
k1696,17363,0
k1304,14169,0
k1366,14727,0
k1940,22098,0
k1633,19997,0
k1519,7181,0
k351,6216,0
k1050,7296,0
k877,6735,0
k905,5418,0
k1613,3476,0
k1109,7446,0
k609,9260,0
k753,7279,0
k1460,10892,0
k447,6942,0
k1241,4162,0
k1776,5464,0
k1675,18503,0
k1691,26729,0
k1688,18327,0
k1142,17802,0
k1008,7457,0
k845,14982,0
k526,21031,0
k435,6750,0
k1293,9347,0
k400,8292,0
k1742,13866,0
k289,22418,0
k1763,6135,0
k1431,9203,0
k1654,20438,0
k1547,11674,0
k1397,7164,0
k652,3806,0
k614,9704,0
k1632,14697,0
k1770,13836,0
k568,7842,0
k319,45968,0
k1090,6936,0
k836,13351,0
k394,13108,0
k747,112240,0
k1900,7197,0
k1465,9458,0
k199,14729,0
k1394,116623,0
k1384,8745,0
k629,8210,0
k1205,8586,0
k379,22601,0
k1661,49848,0
k1259,12808,0
k333,6216,0
k497,10211,0
k727,6100,0
k92,14120,0
k519,6091,0
k272,9016,0
k1932,19652,0
k976,61342,0
k998,42862,0
k267,21009,0
k757,6734,0
k554,7987,0
k180,16692,0
k589,7768,0
k1536,3751,0
k76,8268,0
k760,6638,0
k1546,56456,0
k1030,12311,0
k1133,16288,0
k1589,20778,0
k416,22158,0
k1111,34579,0
k593,14167,0
k456,43294,0
k1815,159918,0
k1470,31251,0
k1029,16370,0
k1634,65282,0
k306,28658,0
k102,29002,0
k349,23865,0
k1511,73055,0
k1516,20469,0
k106,18671,0
k337,71130,0
k1625,46972,0
k1015,53843,0
k45,24070,0
k324,14320,0
k802,33607,0
k1484,10646,0
k889,18651,0
k1837,86329,0
k417,19434,0
k844,49094,0
k1225,60860,0
k683,128770,0
k1829,217759,0
k712,552220,0
k1833,655912,0
k441,13961,0
k14,35410,0
k1640,54676,0
k1426,10070,0
k434,10357,0
k941,162939,0
k229,9275,0
k1422,15359,0
k345,17727,0
k1077,25182,0
k139,342202,0
k1778,21582,0
k1092,27389,0
k238,9441,0
k961,7514,0
k1221,178741,0
k959,14298,0
k1890,27344,0
k953,326345,0
k963,27035,0
k472,31824,0
k1404,8359,0
k583,34779,0
k33,460547,0
k43,5448,0
k978,18075,0
k1545,41524,0
k484,56018,0
k1457,5606,0
k1365,650853,0
k216,30769,0
k1333,5843,0
k114,9778,0
k448,15526,0
k479,13131,0
k446,27453,0
k261,7553,0
k1583,389429,0
k1564,32459,0
k1379,11759,0
k1447,13742,0
k188,7331,0
k1408,7873,0
k182,11422,0
k1567,9217,0
k694,6994,0
k155,7769,0
k977,12615,0
k103,10024,0
k1318,8995,0
k1371,10361,0
k796,9556,0
k1819,10827,0
k496,16734,0
k89,2034,0
k1392,4606,0
k810,16937,0
k1909,9057,0
k1502,93355,0
k1714,239860,0
k1792,40498,0
k718,86830,0
k528,18514,0
k1182,11369,0
k1071,11618,0
k1351,11910,0
k1395,18067,0
k1340,349860,0
k1612,144769,0
k612,55239,0
k1359,144252,0
k876,87496,0
k883,68984,0
k243,76361,0
k1835,91488,0
k732,78978,0
k307,61497,0
k1363,69375,0
k1529,7145,0
k768,17673,0
k1671,6470,0
k1045,35740,0
k921,41469,0
k935,45627,0
k752,20399,0
k1799,24102,0
k1595,3918209,0
k347,20570,0
k1296,146487,0
k1238,160146,0
k795,10888,0
k1795,65200,0
k1192,44609,0
k702,16987,0
k1506,27974,0
k1695,76627,0
k1472,99456,0
k1072,16548,0
k1213,20590,0
k1528,110262,0
k1341,6761,0
k1864,11746,0
k1603,6207,0
k453,15513,0
k1676,8602,0
k646,15397,0
k1364,10160,0
k1423,334869,0
k1017,41492,0
k263,10621,0
k972,10476,0
k644,541426,0
k41,9452,0
k838,8537,0
k115,7241,0
k1178,23817,0
k1141,8595,0
k1706,9956,0
k329,47513,0
k320,10855,0
k486,6243,0
k1281,17114,0
k149,6396,0
k39,6557,0
k1560,13334,0
k1198,8485,0
k1782,6554,0
